年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,衣,未達50萬,20947,58585749
201401,10017000,衣,50(含)-75萬,10933,32327621
201401,10017000,衣,75(含)-100萬,3722,11695450
201401,10017000,衣,100(含)-125萬,1590,5353756
201401,10017000,衣,125(含)-150萬,430,1392519
201401,10017000,衣,150(含)-175萬,320,1030049
201401,10017000,衣,175(含)-200萬,182,724824
201401,10017000,衣,200(含)萬以上,626,2419550
201402,10017000,衣,未達50萬,13029,34144493
201402,10017000,衣,50(含)-75萬,6396,18127338
201402,10017000,衣,75(含)-100萬,2079,5835550
201402,10017000,衣,100(含)-125萬,911,2763207
201402,10017000,衣,125(含)-150萬,258,747847
201402,10017000,衣,150(含)-175萬,196,577864
201402,10017000,衣,175(含)-200萬,107,321599
201402,10017000,衣,200(含)萬以上,406,1433232
201403,10017000,衣,未達50萬,14241,34603155
201403,10017000,衣,50(含)-75萬,6914,18470719
201403,10017000,衣,75(含)-100萬,2210,6253647
201403,10017000,衣,100(含)-125萬,913,2795207
201403,10017000,衣,125(含)-150萬,289,859915
201403,10017000,衣,150(含)-175萬,185,636351
201403,10017000,衣,175(含)-200萬,129,288748
201403,10017000,衣,200(含)萬以上,432,1477082
201404,10017000,衣,未達50萬,13816,33389518
201404,10017000,衣,50(含)-75萬,6326,16401598
201404,10017000,衣,75(含)-100萬,2088,5590336
201404,10017000,衣,100(含)-125萬,942,2938404
201404,10017000,衣,125(含)-150萬,315,929671
201404,10017000,衣,150(含)-175萬,193,721491
201404,10017000,衣,175(含)-200萬,102,250102
201404,10017000,衣,200(含)萬以上,421,1361497
201405,10017000,衣,未達50萬,15710,36923484
201405,10017000,衣,50(含)-75萬,7631,19546775
201405,10017000,衣,75(含)-100萬,2344,6510976
201405,10017000,衣,100(含)-125萬,1056,3379524
201405,10017000,衣,125(含)-150萬,388,1042805
201405,10017000,衣,150(含)-175萬,235,729247
201405,10017000,衣,175(含)-200萬,111,364909
201405,10017000,衣,200(含)萬以上,469,1391332
201406,10017000,衣,未達50萬,15645,36892506
201406,10017000,衣,50(含)-75萬,7387,17961186
201406,10017000,衣,75(含)-100萬,2320,6034555
201406,10017000,衣,100(含)-125萬,1025,2887679
201406,10017000,衣,125(含)-150萬,288,783123
201406,10017000,衣,150(含)-175萬,231,711418
201406,10017000,衣,175(含)-200萬,113,322885
201406,10017000,衣,200(含)萬以上,491,1501606
201407,10017000,衣,未達50萬,15480,35117427
201407,10017000,衣,50(含)-75萬,7742,19069960
201407,10017000,衣,75(含)-100萬,2500,6027216
201407,10017000,衣,100(含)-125萬,1111,3166946
201407,10017000,衣,125(含)-150萬,389,1050892
201407,10017000,衣,150(含)-175萬,224,582331
201407,10017000,衣,175(含)-200萬,114,302310
201407,10017000,衣,200(含)萬以上,494,1599162
201408,10017000,衣,未達50萬,16679,36324754
201408,10017000,衣,50(含)-75萬,8010,18425814
201408,10017000,衣,75(含)-100萬,2575,6417258
201408,10017000,衣,100(含)-125萬,1089,2556812
201408,10017000,衣,125(含)-150萬,384,1007186
201408,10017000,衣,150(含)-175萬,248,558108
201408,10017000,衣,175(含)-200萬,151,392478
201408,10017000,衣,200(含)萬以上,522,1564854
201409,10017000,衣,未達50萬,13859,32381496
201409,10017000,衣,50(含)-75萬,6246,15646422
201409,10017000,衣,75(含)-100萬,2118,5636108
201409,10017000,衣,100(含)-125萬,891,2349998
201409,10017000,衣,125(含)-150萬,321,972160
201409,10017000,衣,150(含)-175萬,199,501458
201409,10017000,衣,175(含)-200萬,123,314246
201409,10017000,衣,200(含)萬以上,422,1391649
201410,10017000,衣,未達50萬,15839,42113639
201410,10017000,衣,50(含)-75萬,7650,22066018
201410,10017000,衣,75(含)-100萬,2546,7746385
201410,10017000,衣,100(含)-125萬,1016,3012646
201410,10017000,衣,125(含)-150萬,355,1116452
201410,10017000,衣,150(含)-175萬,225,748047
201410,10017000,衣,175(含)-200萬,121,401249
201410,10017000,衣,200(含)萬以上,532,1947377
201411,10017000,衣,未達50萬,14363,39427730
201411,10017000,衣,50(含)-75萬,6763,19690337
201411,10017000,衣,75(含)-100萬,2211,6878738
201411,10017000,衣,100(含)-125萬,1003,3211651
201411,10017000,衣,125(含)-150萬,319,1025403
201411,10017000,衣,150(含)-175萬,245,800950
201411,10017000,衣,175(含)-200萬,134,434802
201411,10017000,衣,200(含)萬以上,467,1883146
201412,10017000,衣,未達50萬,18165,50419669
201412,10017000,衣,50(含)-75萬,8036,23681459
201412,10017000,衣,75(含)-100萬,2471,7561475
201412,10017000,衣,100(含)-125萬,1165,3559681
201412,10017000,衣,125(含)-150萬,413,1424869
201412,10017000,衣,150(含)-175萬,293,1058400
201412,10017000,衣,175(含)-200萬,149,635240
201412,10017000,衣,200(含)萬以上,624,2882023
201501,10017000,衣,未達50萬,16228,45569761
201501,10017000,衣,50(含)-75萬,8054,23570537
201501,10017000,衣,75(含)-100萬,2725,8256947
201501,10017000,衣,100(含)-125萬,1170,4028977
201501,10017000,衣,125(含)-150萬,319,1171191
201501,10017000,衣,150(含)-175萬,272,977056
201501,10017000,衣,175(含)-200萬,121,446657
201501,10017000,衣,200(含)萬以上,468,1923485
201502,10017000,衣,未達50萬,18458,52513668
201502,10017000,衣,50(含)-75萬,9152,27083165
201502,10017000,衣,75(含)-100萬,3048,9726572
201502,10017000,衣,100(含)-125萬,1280,4215364
201502,10017000,衣,125(含)-150萬,385,1256262
201502,10017000,衣,150(含)-175萬,296,866002
201502,10017000,衣,175(含)-200萬,141,394249
201502,10017000,衣,200(含)萬以上,523,2100720
201503,10017000,衣,未達50萬,13439,35643483
201503,10017000,衣,50(含)-75萬,6217,17035839
201503,10017000,衣,75(含)-100萬,1963,5632052
201503,10017000,衣,100(含)-125萬,860,2518417
201503,10017000,衣,125(含)-150萬,281,808749
201503,10017000,衣,150(含)-175萬,209,673660
201503,10017000,衣,175(含)-200萬,96,287684
201503,10017000,衣,200(含)萬以上,408,1448131
201504,10017000,衣,未達50萬,14751,36488880
201504,10017000,衣,50(含)-75萬,6860,17746086
201504,10017000,衣,75(含)-100萬,2069,5960190
201504,10017000,衣,100(含)-125萬,950,2695459
201504,10017000,衣,125(含)-150萬,287,811995
201504,10017000,衣,150(含)-175萬,260,766728
201504,10017000,衣,175(含)-200萬,117,327658
201504,10017000,衣,200(含)萬以上,401,1383999
201505,10017000,衣,未達50萬,16872,41300661
201505,10017000,衣,50(含)-75萬,7800,20385104
201505,10017000,衣,75(含)-100萬,2434,6712201
201505,10017000,衣,100(含)-125萬,1018,2804396
201505,10017000,衣,125(含)-150萬,381,945814
201505,10017000,衣,150(含)-175萬,228,654436
201505,10017000,衣,175(含)-200萬,126,374770
201505,10017000,衣,200(含)萬以上,498,1785092
201506,10017000,衣,未達50萬,16355,37398438
201506,10017000,衣,50(含)-75萬,7418,17714645
201506,10017000,衣,75(含)-100萬,2441,6422990
201506,10017000,衣,100(含)-125萬,1015,2835105
201506,10017000,衣,125(含)-150萬,333,981262
201506,10017000,衣,150(含)-175萬,254,625984
201506,10017000,衣,175(含)-200萬,122,369537
201506,10017000,衣,200(含)萬以上,482,1679138
201507,10017000,衣,未達50萬,15695,34823038
201507,10017000,衣,50(含)-75萬,7512,18398542
201507,10017000,衣,75(含)-100萬,2459,6333714
201507,10017000,衣,100(含)-125萬,1185,3178528
201507,10017000,衣,125(含)-150萬,323,858689
201507,10017000,衣,150(含)-175萬,232,585400
201507,10017000,衣,175(含)-200萬,125,441900
201507,10017000,衣,200(含)萬以上,480,1404311
201508,10017000,衣,未達50萬,15398,34024449
201508,10017000,衣,50(含)-75萬,7350,18056341
201508,10017000,衣,75(含)-100萬,2248,5648555
201508,10017000,衣,100(含)-125萬,1032,2574428
201508,10017000,衣,125(含)-150萬,317,827699
201508,10017000,衣,150(含)-175萬,254,628154
201508,10017000,衣,175(含)-200萬,111,270319
201508,10017000,衣,200(含)萬以上,475,1443702
201509,10017000,衣,未達50萬,13679,32138880
201509,10017000,衣,50(含)-75萬,6398,16377596
201509,10017000,衣,75(含)-100萬,2004,5632628
201509,10017000,衣,100(含)-125萬,925,2836508
201509,10017000,衣,125(含)-150萬,304,738878
201509,10017000,衣,150(含)-175萬,212,566020
201509,10017000,衣,175(含)-200萬,98,357782
201509,10017000,衣,200(含)萬以上,373,1286929
201510,10017000,衣,未達50萬,15976,42436275
201510,10017000,衣,50(含)-75萬,7478,21683994
201510,10017000,衣,75(含)-100萬,2494,7772498
201510,10017000,衣,100(含)-125萬,917,2974973
201510,10017000,衣,125(含)-150萬,366,1180930
201510,10017000,衣,150(含)-175萬,229,924228
201510,10017000,衣,175(含)-200萬,113,370202
201510,10017000,衣,200(含)萬以上,442,1537436
201511,10017000,衣,未達50萬,14769,38870423
201511,10017000,衣,50(含)-75萬,6804,19122903
