年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,百貨,未達50萬,3316,8861347
201401,10017000,百貨,50(含)-75萬,1585,4518546
201401,10017000,百貨,75(含)-100萬,504,1596970
201401,10017000,百貨,100(含)-125萬,253,856139
201401,10017000,百貨,125(含)-150萬,87,247907
201401,10017000,百貨,150(含)-175萬,56,157509
201401,10017000,百貨,175(含)-200萬,35,136646
201401,10017000,百貨,200(含)萬以上,111,430422
201402,10017000,百貨,未達50萬,2239,5134876
201402,10017000,百貨,50(含)-75萬,1127,2906363
201402,10017000,百貨,75(含)-100萬,363,1021510
201402,10017000,百貨,100(含)-125萬,190,557445
201402,10017000,百貨,125(含)-150萬,63,136103
201402,10017000,百貨,150(含)-175萬,39,89858
201402,10017000,百貨,175(含)-200萬,17,31434
201402,10017000,百貨,200(含)萬以上,67,208839
201403,10017000,百貨,未達50萬,2302,5102972
201403,10017000,百貨,50(含)-75萬,1103,2829725
201403,10017000,百貨,75(含)-100萬,348,928277
201403,10017000,百貨,100(含)-125萬,188,397622
201403,10017000,百貨,125(含)-150萬,56,122349
201403,10017000,百貨,150(含)-175萬,38,128509
201403,10017000,百貨,175(含)-200萬,20,102731
201403,10017000,百貨,200(含)萬以上,57,219041
201404,10017000,百貨,未達50萬,4033,10966486
201404,10017000,百貨,50(含)-75萬,1835,5773952
201404,10017000,百貨,75(含)-100萬,604,1812249
201404,10017000,百貨,100(含)-125萬,357,1083882
201404,10017000,百貨,125(含)-150萬,117,314373
201404,10017000,百貨,150(含)-175萬,102,354458
201404,10017000,百貨,175(含)-200萬,51,221895
201404,10017000,百貨,200(含)萬以上,230,809848
201405,10017000,百貨,未達50萬,4380,9958679
201405,10017000,百貨,50(含)-75萬,2036,5024295
201405,10017000,百貨,75(含)-100萬,768,1783333
201405,10017000,百貨,100(含)-125萬,442,1162892
201405,10017000,百貨,125(含)-150萬,147,414511
201405,10017000,百貨,150(含)-175萬,113,330807
201405,10017000,百貨,175(含)-200萬,53,144900
201405,10017000,百貨,200(含)萬以上,260,815846
201406,10017000,百貨,未達50萬,4025,8679380
201406,10017000,百貨,50(含)-75萬,1886,4124143
201406,10017000,百貨,75(含)-100萬,625,1557154
201406,10017000,百貨,100(含)-125萬,385,933438
201406,10017000,百貨,125(含)-150萬,139,269389
201406,10017000,百貨,150(含)-175萬,118,265436
201406,10017000,百貨,175(含)-200萬,35,67127
201406,10017000,百貨,200(含)萬以上,205,612808
201407,10017000,百貨,未達50萬,4442,8938858
