年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,其他,未達50萬,18124,78751271
201401,10017000,其他,50(含)-75萬,10176,43621616
201401,10017000,其他,75(含)-100萬,3730,17212028
201401,10017000,其他,100(含)-125萬,2070,9716190
201401,10017000,其他,125(含)-150萬,616,3086590
201401,10017000,其他,150(含)-175萬,452,2145603
201401,10017000,其他,175(含)-200萬,197,1047644
201401,10017000,其他,200(含)萬以上,892,6053152
201402,10017000,其他,未達50萬,14315,59306804
201402,10017000,其他,50(含)-75萬,8448,33712659
201402,10017000,其他,75(含)-100萬,2925,12128011
201402,10017000,其他,100(含)-125萬,1572,6566275
201402,10017000,其他,125(含)-150萬,464,3057793
201402,10017000,其他,150(含)-175萬,376,1862806
201402,10017000,其他,175(含)-200萬,179,1100116
201402,10017000,其他,200(含)萬以上,563,5009770
201403,10017000,其他,未達50萬,16310,60886646
201403,10017000,其他,50(含)-75萬,9436,36950414
201403,10017000,其他,75(含)-100萬,3383,14415710
201403,10017000,其他,100(含)-125萬,1862,10185282
201403,10017000,其他,125(含)-150萬,573,2873982
201403,10017000,其他,150(含)-175萬,444,2251781
201403,10017000,其他,175(含)-200萬,185,1072358
201403,10017000,其他,200(含)萬以上,842,4219875
201404,10017000,其他,未達50萬,15629,58541848
201404,10017000,其他,50(含)-75萬,9175,33863413
201404,10017000,其他,75(含)-100萬,3159,12896935
201404,10017000,其他,100(含)-125萬,1702,7695181
201404,10017000,其他,125(含)-150萬,598,2617543
201404,10017000,其他,150(含)-175萬,385,2560127
201404,10017000,其他,175(含)-200萬,205,1755568
201404,10017000,其他,200(含)萬以上,818,5077495
201405,10017000,其他,未達50萬,16983,63580368
201405,10017000,其他,50(含)-75萬,9683,37459639
201405,10017000,其他,75(含)-100萬,3369,14142656
201405,10017000,其他,100(含)-125萬,1752,8744282
201405,10017000,其他,125(含)-150萬,614,2515024
201405,10017000,其他,150(含)-175萬,439,2015814
201405,10017000,其他,175(含)-200萬,210,921051
201405,10017000,其他,200(含)萬以上,808,4971197
201406,10017000,其他,未達50萬,16715,62500476
201406,10017000,其他,50(含)-75萬,9637,36675731
201406,10017000,其他,75(含)-100萬,3391,14101787
201406,10017000,其他,100(含)-125萬,1887,8189076
201406,10017000,其他,125(含)-150萬,561,2516711
201406,10017000,其他,150(含)-175萬,406,1810355
201406,10017000,其他,175(含)-200萬,178,1035153
201406,10017000,其他,200(含)萬以上,836,5377885
201407,10017000,其他,未達50萬,13239,57114857
201407,10017000,其他,50(含)-75萬,6559,32302531
201407,10017000,其他,75(含)-100萬,2332,12441300
201407,10017000,其他,100(含)-125萬,1168,6861849
201407,10017000,其他,125(含)-150萬,455,2437873
201407,10017000,其他,150(含)-175萬,260,1549516
201407,10017000,其他,175(含)-200萬,141,1646418
201407,10017000,其他,200(含)萬以上,465,4343185
201408,10017000,其他,未達50萬,17269,66257434
201408,10017000,其他,50(含)-75萬,9948,38607027
201408,10017000,其他,75(含)-100萬,3459,15931732
201408,10017000,其他,100(含)-125萬,1832,8885065
201408,10017000,其他,125(含)-150萬,645,2907782
201408,10017000,其他,150(含)-175萬,396,1779598
201408,10017000,其他,175(含)-200萬,191,1668899
201408,10017000,其他,200(含)萬以上,832,4913133
201409,10017000,其他,未達50萬,17719,73147302
201409,10017000,其他,50(含)-75萬,10208,44164047
201409,10017000,其他,75(含)-100萬,3536,17104697
201409,10017000,其他,100(含)-125萬,1942,9992567
201409,10017000,其他,125(含)-150萬,648,3360972
201409,10017000,其他,150(含)-175萬,448,2429672
201409,10017000,其他,175(含)-200萬,191,1247296
201409,10017000,其他,200(含)萬以上,847,7012721
201410,10017000,其他,未達50萬,19242,80670998
201410,10017000,其他,50(含)-75萬,11419,50070690
201410,10017000,其他,75(含)-100萬,3775,17288959
201410,10017000,其他,100(含)-125萬,2119,10538289
201410,10017000,其他,125(含)-150萬,704,3853133
201410,10017000,其他,150(含)-175萬,443,2351396
201410,10017000,其他,175(含)-200萬,221,1464005
201410,10017000,其他,200(含)萬以上,976,6711325
201411,10017000,其他,未達50萬,18386,77614515
201411,10017000,其他,50(含)-75萬,10662,43544137
201411,10017000,其他,75(含)-100萬,3688,18131034
201411,10017000,其他,100(含)-125萬,1947,9783644
201411,10017000,其他,125(含)-150萬,671,3011490
201411,10017000,其他,150(含)-175萬,481,2431109
201411,10017000,其他,175(含)-200萬,218,1240307
201411,10017000,其他,200(含)萬以上,870,6341019
201412,10017000,其他,未達50萬,19397,79636198
201412,10017000,其他,50(含)-75萬,11198,45296054
201412,10017000,其他,75(含)-100萬,3971,17730209
201412,10017000,其他,100(含)-125萬,2117,10600705
201412,10017000,其他,125(含)-150萬,715,3437880
201412,10017000,其他,150(含)-175萬,520,3321382
201412,10017000,其他,175(含)-200萬,212,982083
201412,10017000,其他,200(含)萬以上,989,6279208
201501,10017000,其他,未達50萬,18579,78659771
201501,10017000,其他,50(含)-75萬,10949,44478930
201501,10017000,其他,75(含)-100萬,3839,17703842
201501,10017000,其他,100(含)-125萬,2087,11506803
201501,10017000,其他,125(含)-150萬,707,3083508
201501,10017000,其他,150(含)-175萬,476,3246801
201501,10017000,其他,175(含)-200萬,222,1073559
201501,10017000,其他,200(含)萬以上,897,7198819
201502,10017000,其他,未達50萬,16575,68076403
201502,10017000,其他,50(含)-75萬,9446,36136089
201502,10017000,其他,75(含)-100萬,3243,15356197
201502,10017000,其他,100(含)-125萬,1733,8138463
201502,10017000,其他,125(含)-150萬,658,3814426
201502,10017000,其他,150(含)-175萬,401,2388724
201502,10017000,其他,175(含)-200萬,193,1132080
201502,10017000,其他,200(含)萬以上,727,5682544
201503,10017000,其他,未達50萬,17699,69548838
201503,10017000,其他,50(含)-75萬,10110,37957992
201503,10017000,其他,75(含)-100萬,3595,15958494
201503,10017000,其他,100(含)-125萬,1886,8995497
201503,10017000,其他,125(含)-150萬,667,2719679
201503,10017000,其他,150(含)-175萬,489,2523452
201503,10017000,其他,175(含)-200萬,208,724962
201503,10017000,其他,200(含)萬以上,807,4788706
201504,10017000,其他,未達50萬,17709,71927363
201504,10017000,其他,50(含)-75萬,10148,40409927
201504,10017000,其他,75(含)-100萬,3492,16444888
201504,10017000,其他,100(含)-125萬,1812,9542584
201504,10017000,其他,125(含)-150萬,674,3777668
201504,10017000,其他,150(含)-175萬,437,2336670
201504,10017000,其他,175(含)-200萬,217,1157310
201504,10017000,其他,200(含)萬以上,881,5141329
201505,10017000,其他,未達50萬,16903,73139711
201505,10017000,其他,50(含)-75萬,9042,40829925
201505,10017000,其他,75(含)-100萬,3104,16309370
201505,10017000,其他,100(含)-125萬,1702,11210938
201505,10017000,其他,125(含)-150萬,575,2978375
201505,10017000,其他,150(含)-175萬,364,2823939
201505,10017000,其他,175(含)-200萬,177,931182
201505,10017000,其他,200(含)萬以上,747,5960812
201506,10017000,其他,未達50萬,19366,81327369
201506,10017000,其他,50(含)-75萬,11065,46295970
201506,10017000,其他,75(含)-100萬,3835,18557769
201506,10017000,其他,100(含)-125萬,2018,10655861
201506,10017000,其他,125(含)-150萬,684,3258681
201506,10017000,其他,150(含)-175萬,492,3245310
201506,10017000,其他,175(含)-200萬,219,1847651
201506,10017000,其他,200(含)萬以上,1031,8019724
201507,10017000,其他,未達50萬,19978,82101682
201507,10017000,其他,50(含)-75萬,11167,45075941
201507,10017000,其他,75(含)-100萬,3900,17900358
201507,10017000,其他,100(含)-125萬,2062,9948009
201507,10017000,其他,125(含)-150萬,715,3383644
201507,10017000,其他,150(含)-175萬,526,3219091
201507,10017000,其他,175(含)-200萬,229,1287338
201507,10017000,其他,200(含)萬以上,893,7986247
201508,10017000,其他,未達50萬,19764,81002847
201508,10017000,其他,50(含)-75萬,11253,47075535
201508,10017000,其他,75(含)-100萬,3910,18028254
201508,10017000,其他,100(含)-125萬,2051,11349073
201508,10017000,其他,125(含)-150萬,691,3670629
201508,10017000,其他,150(含)-175萬,441,2638353
201508,10017000,其他,175(含)-200萬,226,1561536
201508,10017000,其他,200(含)萬以上,986,7059662
201509,10017000,其他,未達50萬,19507,79035643
201509,10017000,其他,50(含)-75萬,10965,44492531
201509,10017000,其他,75(含)-100萬,3841,16600662
201509,10017000,其他,100(含)-125萬,2000,10133913
201509,10017000,其他,125(含)-150萬,673,3379004
201509,10017000,其他,150(含)-175萬,507,2089074
201509,10017000,其他,175(含)-200萬,220,1334941
201509,10017000,其他,200(含)萬以上,911,6624609
201510,10017000,其他,未達50萬,21365,93102529
201510,10017000,其他,50(含)-75萬,11845,48647382
201510,10017000,其他,75(含)-100萬,4188,18493451
201510,10017000,其他,100(含)-125萬,2188,11285633
201510,10017000,其他,125(含)-150萬,764,4760248
201510,10017000,其他,150(含)-175萬,515,2837818
201510,10017000,其他,175(含)-200萬,254,1596487
201510,10017000,其他,200(含)萬以上,1032,5893692
201511,10017000,其他,未達50萬,21153,104856641
201511,10017000,其他,50(含)-75萬,11719,54509128
201511,10017000,其他,75(含)-100萬,4136,20238437
201511,10017000,其他,100(含)-125萬,2109,11854022
201511,10017000,其他,125(含)-150萬,722,3954674
201511,10017000,其他,150(含)-175萬,508,2516607
201511,10017000,其他,175(含)-200萬,229,1489116
201511,10017000,其他,200(含)萬以上,935,5975661
201512,10017000,其他,未達50萬,20955,106357332
201512,10017000,其他,50(含)-75萬,11268,52537931
201512,10017000,其他,75(含)-100萬,4143,20618623
201512,10017000,其他,100(含)-125萬,1998,10802819
201512,10017000,其他,125(含)-150萬,678,4538058
201512,10017000,其他,150(含)-175萬,466,3231546
201512,10017000,其他,175(含)-200萬,218,1746313
201512,10017000,其他,200(含)萬以上,1049,7531868
201601,10017000,其他,未達50萬,19805,97000812
201601,10017000,其他,50(含)-75萬,11272,54952524
201601,10017000,其他,75(含)-100萬,4170,21155383
201601,10017000,其他,100(含)-125萬,2084,12678509
201601,10017000,其他,125(含)-150萬,657,3908736
201601,10017000,其他,150(含)-175萬,521,3662625
201601,10017000,其他,175(含)-200萬,231,1695693
201601,10017000,其他,200(含)萬以上,859,6712148
201602,10017000,其他,未達50萬,17512,87255854
201602,10017000,其他,50(含)-75萬,10395,48639899
201602,10017000,其他,75(含)-100萬,3621,16876730
201602,10017000,其他,100(含)-125萬,1892,10665057
201602,10017000,其他,125(含)-150萬,611,3125999
201602,10017000,其他,150(含)-175萬,415,2950855
201602,10017000,其他,175(含)-200萬,195,2061796
201602,10017000,其他,200(含)萬以上,1028,6804400
201603,10017000,其他,未達50萬,21286,121870217
201603,10017000,其他,50(含)-75萬,11839,61372815
201603,10017000,其他,75(含)-100萬,4418,24485875
201603,10017000,其他,100(含)-125萬,2327,14447857
201603,10017000,其他,125(含)-150萬,787,5595650
201603,10017000,其他,150(含)-175萬,561,3600111
201603,10017000,其他,175(含)-200萬,255,1678620
201603,10017000,其他,200(含)萬以上,1024,8183352
201604,10017000,其他,未達50萬,20032,120319857
201604,10017000,其他,50(含)-75萬,11060,60999462
201604,10017000,其他,75(含)-100萬,4040,23519169
201604,10017000,其他,100(含)-125萬,2188,15508393
201604,10017000,其他,125(含)-150萬,686,3669632
201604,10017000,其他,150(含)-175萬,474,3561323
201604,10017000,其他,175(含)-200萬,211,2221689
201604,10017000,其他,200(含)萬以上,1102,9183208
201605,10017000,其他,未達50萬,17779,109683282
201605,10017000,其他,50(含)-75萬,8098,51601760
201605,10017000,其他,75(含)-100萬,2860,19304349
201605,10017000,其他,100(含)-125萬,1473,11098004
201605,10017000,其他,125(含)-150萬,482,3834837
201605,10017000,其他,150(含)-175萬,338,2672375
201605,10017000,其他,175(含)-200萬,189,3031424
201605,10017000,其他,200(含)萬以上,665,7608308
201606,10017000,其他,未達50萬,23691,112230726
201606,10017000,其他,50(含)-75萬,10936,58406526
201606,10017000,其他,75(含)-100萬,3736,21265671
201606,10017000,其他,100(含)-125萬,1866,12436273
201606,10017000,其他,125(含)-150萬,659,4222848
201606,10017000,其他,150(含)-175萬,436,3141651
201606,10017000,其他,175(含)-200萬,236,1734678
201606,10017000,其他,200(含)萬以上,810,8459503
201607,10017000,其他,未達50萬,28176,117162327
201607,10017000,其他,50(含)-75萬,14493,62220466
201607,10017000,其他,75(含)-100萬,5085,23302366
201607,10017000,其他,100(含)-125萬,2470,13586256
201607,10017000,其他,125(含)-150萬,932,5806940
201607,10017000,其他,150(含)-175萬,620,2957362
201607,10017000,其他,175(含)-200萬,330,3246302
201607,10017000,其他,200(含)萬以上,1097,7965133
201608,10017000,其他,未達50萬,26184,85612705
201608,10017000,其他,50(含)-75萬,13418,47108093
201608,10017000,其他,75(含)-100萬,4731,17502642
201608,10017000,其他,100(含)-125萬,2289,10390260
201608,10017000,其他,125(含)-150萬,825,3651896
201608,10017000,其他,150(含)-175萬,520,2264695
201608,10017000,其他,175(含)-200萬,288,1234646
201608,10017000,其他,200(含)萬以上,1156,6181240
201609,10017000,其他,未達50萬,24473,82103617
201609,10017000,其他,50(含)-75萬,12712,45046159
201609,10017000,其他,75(含)-100萬,4300,17469717
201609,10017000,其他,100(含)-125萬,2177,8917509
201609,10017000,其他,125(含)-150萬,841,4169100
201609,10017000,其他,150(含)-175萬,520,2383211
201609,10017000,其他,175(含)-200萬,260,1366175
201609,10017000,其他,200(含)萬以上,952,5925385
201610,10017000,其他,未達50萬,26384,87028228
201610,10017000,其他,50(含)-75萬,13543,48305329
201610,10017000,其他,75(含)-100萬,4947,20381880
201610,10017000,其他,100(含)-125萬,2179,9956799
201610,10017000,其他,125(含)-150萬,925,3985648
201610,10017000,其他,150(含)-175萬,519,2316488
201610,10017000,其他,175(含)-200萬,274,1346742
201610,10017000,其他,200(含)萬以上,1107,5420248
201611,10017000,其他,未達50萬,23214,85299573
201611,10017000,其他,50(含)-75萬,11795,44372014
201611,10017000,其他,75(含)-100萬,4070,18410313
201611,10017000,其他,100(含)-125萬,2044,10484744
201611,10017000,其他,125(含)-150萬,785,3850272
201611,10017000,其他,150(含)-175萬,469,2476301
201611,10017000,其他,175(含)-200萬,234,1880834
201611,10017000,其他,200(含)萬以上,935,6998301
201612,10017000,其他,未達50萬,23702,87129933
201612,10017000,其他,50(含)-75萬,12042,47172316
201612,10017000,其他,75(含)-100萬,4235,19942013
201612,10017000,其他,100(含)-125萬,2167,10437160
201612,10017000,其他,125(含)-150萬,787,4346504
201612,10017000,其他,150(含)-175萬,468,2374096
201612,10017000,其他,175(含)-200萬,238,944562
201612,10017000,其他,200(含)萬以上,977,6651545
201701,10017000,其他,未達50萬,22372,78298402
201701,10017000,其他,50(含)-75萬,11172,40238955
201701,10017000,其他,75(含)-100萬,3954,16791599
201701,10017000,其他,100(含)-125萬,2017,10539224
201701,10017000,其他,125(含)-150萬,772,3472747
201701,10017000,其他,150(含)-175萬,423,2129638
201701,10017000,其他,175(含)-200萬,232,876159
201701,10017000,其他,200(含)萬以上,907,5806115
201702,10017000,其他,未達50萬,20499,66962543
201702,10017000,其他,50(含)-75萬,10675,35623845
201702,10017000,其他,75(含)-100萬,3638,15673725
201702,10017000,其他,100(含)-125萬,1869,7693501
201702,10017000,其他,125(含)-150萬,675,2531331
201702,10017000,其他,150(含)-175萬,442,2586810
201702,10017000,其他,175(含)-200萬,224,974625
201702,10017000,其他,200(含)萬以上,981,4846628
201703,10017000,其他,未達50萬,22288,73323267
201703,10017000,其他,50(含)-75萬,11721,41091248
201703,10017000,其他,75(含)-100萬,4078,17059161
201703,10017000,其他,100(含)-125萬,2024,8453992
201703,10017000,其他,125(含)-150萬,784,3253344
201703,10017000,其他,150(含)-175萬,465,2944683
201703,10017000,其他,175(含)-200萬,248,985777
201703,10017000,其他,200(含)萬以上,897,5617065
201704,10017000,其他,未達50萬,21169,71349822
201704,10017000,其他,50(含)-75萬,10752,39571082
201704,10017000,其他,75(含)-100萬,3654,15384877
