年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,文教康樂,未達50萬,417,2232940
201401,09020000,文教康樂,50(含)-75萬,269,1589690
201401,09020000,文教康樂,75(含)-100萬,113,637188
201401,09020000,文教康樂,100(含)-125萬,70,457671
201401,09020000,文教康樂,125(含)-150萬,17,164689
201401,09020000,文教康樂,150(含)-175萬,21,64146
201401,09020000,文教康樂,175(含)-200萬,5,105406
201401,09020000,文教康樂,200(含)萬以上,22,475076
201402,09020000,文教康樂,未達50萬,267,1369381
201402,09020000,文教康樂,50(含)-75萬,181,1030222
201402,09020000,文教康樂,75(含)-100萬,75,463241
201402,09020000,文教康樂,100(含)-125萬,54,404584
201402,09020000,文教康樂,125(含)-150萬,9,85700
201402,09020000,文教康樂,150(含)-175萬,9,53209
201402,09020000,文教康樂,175(含)-200萬,4,30430
201402,09020000,文教康樂,200(含)萬以上,23,201900
201403,09020000,文教康樂,未達50萬,348,1968913
201403,09020000,文教康樂,50(含)-75萬,219,1704970
201403,09020000,文教康樂,75(含)-100萬,113,677544
201403,09020000,文教康樂,100(含)-125萬,65,427960
201403,09020000,文教康樂,125(含)-150萬,21,144132
201403,09020000,文教康樂,150(含)-175萬,18,131531
201403,09020000,文教康樂,175(含)-200萬,8,74130
201403,09020000,文教康樂,200(含)萬以上,44,403954
201404,09020000,文教康樂,未達50萬,331,1997478
201404,09020000,文教康樂,50(含)-75萬,217,1372124
201404,09020000,文教康樂,75(含)-100萬,89,498376
201404,09020000,文教康樂,100(含)-125萬,67,402631
201404,09020000,文教康樂,125(含)-150萬,18,237403
201404,09020000,文教康樂,150(含)-175萬,10,60919
201404,09020000,文教康樂,175(含)-200萬,9,110402
201404,09020000,文教康樂,200(含)萬以上,20,132133
201405,09020000,文教康樂,未達50萬,618,1723640
201405,09020000,文教康樂,50(含)-75萬,418,1262423
201405,09020000,文教康樂,75(含)-100萬,145,754535
201405,09020000,文教康樂,100(含)-125萬,92,607211
201405,09020000,文教康樂,125(含)-150萬,18,51835
201405,09020000,文教康樂,150(含)-175萬,9,48873
201405,09020000,文教康樂,175(含)-200萬,12,74815
201405,09020000,文教康樂,200(含)萬以上,28,321485
201406,09020000,文教康樂,未達50萬,1132,2319596
201406,09020000,文教康樂,50(含)-75萬,700,1533755
201406,09020000,文教康樂,75(含)-100萬,201,652033
