年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,食,未達50萬,4730,14615876
201401,09020000,食,50(含)-75萬,2730,10356158
201401,09020000,食,75(含)-100萬,1166,5623887
201401,09020000,食,100(含)-125萬,785,3793239
201401,09020000,食,125(含)-150萬,193,1358783
201401,09020000,食,150(含)-175萬,148,748124
201401,09020000,食,175(含)-200萬,55,380657
201401,09020000,食,200(含)萬以上,231,988086
201402,09020000,食,未達50萬,3896,10366440
201402,09020000,食,50(含)-75萬,2146,7537019
201402,09020000,食,75(含)-100萬,830,3096276
201402,09020000,食,100(含)-125萬,550,2602906
201402,09020000,食,125(含)-150萬,165,951604
201402,09020000,食,150(含)-175萬,120,825189
201402,09020000,食,175(含)-200萬,44,132917
201402,09020000,食,200(含)萬以上,202,677677
201403,09020000,食,未達50萬,4792,12355272
201403,09020000,食,50(含)-75萬,2694,8119221
201403,09020000,食,75(含)-100萬,1054,3730814
201403,09020000,食,100(含)-125萬,733,2575137
201403,09020000,食,125(含)-150萬,203,742948
201403,09020000,食,150(含)-175萬,172,1007181
201403,09020000,食,175(含)-200萬,52,104818
201403,09020000,食,200(含)萬以上,260,831261
201404,09020000,食,未達50萬,5057,11010359
201404,09020000,食,50(含)-75萬,2757,7943095
201404,09020000,食,75(含)-100萬,1022,3377361
201404,09020000,食,100(含)-125萬,632,2356029
201404,09020000,食,125(含)-150萬,189,696007
201404,09020000,食,150(含)-175萬,139,571225
201404,09020000,食,175(含)-200萬,50,126686
201404,09020000,食,200(含)萬以上,279,1190656
201405,09020000,食,未達50萬,6395,14420575
201405,09020000,食,50(含)-75萬,3355,9284125
201405,09020000,食,75(含)-100萬,1219,3703236
201405,09020000,食,100(含)-125萬,728,2700493
201405,09020000,食,125(含)-150萬,258,895308
201405,09020000,食,150(含)-175萬,204,588136
201405,09020000,食,175(含)-200萬,63,156060
201405,09020000,食,200(含)萬以上,352,1430622
201406,09020000,食,未達50萬,7178,14680126
201406,09020000,食,50(含)-75萬,3896,8797623
201406,09020000,食,75(含)-100萬,1479,3804222
201406,09020000,食,100(含)-125萬,963,3233982
201406,09020000,食,125(含)-150萬,301,850681
201406,09020000,食,150(含)-175萬,231,727673
201406,09020000,食,175(含)-200萬,111,476852
201406,09020000,食,200(含)萬以上,408,1361561
201407,09020000,食,未達50萬,8435,16554789
201407,09020000,食,50(含)-75萬,4776,10710766
201407,09020000,食,75(含)-100萬,1979,4418561
201407,09020000,食,100(含)-125萬,1149,2586709
201407,09020000,食,125(含)-150萬,331,1206214
201407,09020000,食,150(含)-175萬,254,648581
201407,09020000,食,175(含)-200萬,109,208045
201407,09020000,食,200(含)萬以上,484,1314645
201408,09020000,食,未達50萬,7874,15761969
201408,09020000,食,50(含)-75萬,4482,9706068
201408,09020000,食,75(含)-100萬,1827,4197280
201408,09020000,食,100(含)-125萬,1111,2375814
201408,09020000,食,125(含)-150萬,348,859558
201408,09020000,食,150(含)-175萬,200,581591
201408,09020000,食,175(含)-200萬,105,271951
201408,09020000,食,200(含)萬以上,420,1334925
201409,09020000,食,未達50萬,6428,12820046
201409,09020000,食,50(含)-75萬,3709,8417595
201409,09020000,食,75(含)-100萬,1353,3564295
201409,09020000,食,100(含)-125萬,867,1728041
201409,09020000,食,125(含)-150萬,223,598200
201409,09020000,食,150(含)-175萬,174,607342
201409,09020000,食,175(含)-200萬,59,99916
201409,09020000,食,200(含)萬以上,320,1021030
201410,09020000,食,未達50萬,6990,12679462
201410,09020000,食,50(含)-75萬,4260,9458904
201410,09020000,食,75(含)-100萬,1641,3759264
201410,09020000,食,100(含)-125萬,1012,2244719
201410,09020000,食,125(含)-150萬,312,954525
201410,09020000,食,150(含)-175萬,213,807087
201410,09020000,食,175(含)-200萬,128,405219
201410,09020000,食,200(含)萬以上,530,1597936
201411,09020000,食,未達50萬,6114,11189855
201411,09020000,食,50(含)-75萬,3448,8812417
201411,09020000,食,75(含)-100萬,1427,3563096
201411,09020000,食,100(含)-125萬,880,2464355
201411,09020000,食,125(含)-150萬,261,695720
201411,09020000,食,150(含)-175萬,204,827249
201411,09020000,食,175(含)-200萬,76,164413
201411,09020000,食,200(含)萬以上,374,1218269
201412,09020000,食,未達50萬,6212,12037355
201412,09020000,食,50(含)-75萬,3480,8767561
201412,09020000,食,75(含)-100萬,1378,3558288
201412,09020000,食,100(含)-125萬,869,1905212
201412,09020000,食,125(含)-150萬,237,1025920
201412,09020000,食,150(含)-175萬,167,553277
201412,09020000,食,175(含)-200萬,61,207301
201412,09020000,食,200(含)萬以上,392,1154192
201501,09020000,食,未達50萬,6586,14651994
201501,09020000,食,50(含)-75萬,3831,9494727
201501,09020000,食,75(含)-100萬,1524,4553455
201501,09020000,食,100(含)-125萬,953,3001686
201501,09020000,食,125(含)-150萬,241,884448
201501,09020000,食,150(含)-175萬,195,521394
201501,09020000,食,175(含)-200萬,90,213000
201501,09020000,食,200(含)萬以上,420,1331144
201502,09020000,食,未達50萬,5849,10478216
201502,09020000,食,50(含)-75萬,3540,8157938
201502,09020000,食,75(含)-100萬,1383,3198253
201502,09020000,食,100(含)-125萬,817,1869177
201502,09020000,食,125(含)-150萬,238,632152
201502,09020000,食,150(含)-175萬,157,502952
201502,09020000,食,175(含)-200萬,71,139539
201502,09020000,食,200(含)萬以上,265,864379
201503,09020000,食,未達50萬,5434,10205848
201503,09020000,食,50(含)-75萬,3034,6775496
201503,09020000,食,75(含)-100萬,1143,2855921
201503,09020000,食,100(含)-125萬,715,2079537
201503,09020000,食,125(含)-150萬,186,626353
201503,09020000,食,150(含)-175萬,128,383256
201503,09020000,食,175(含)-200萬,86,145786
201503,09020000,食,200(含)萬以上,285,1357000
201504,09020000,食,未達50萬,5712,9410291
201504,09020000,食,50(含)-75萬,3206,5950086
201504,09020000,食,75(含)-100萬,1218,3215901
201504,09020000,食,100(含)-125萬,756,1482835
201504,09020000,食,125(含)-150萬,187,459013
201504,09020000,食,150(含)-175萬,140,361281
201504,09020000,食,175(含)-200萬,68,137321
201504,09020000,食,200(含)萬以上,269,696948
201505,09020000,食,未達50萬,6404,11505242
201505,09020000,食,50(含)-75萬,3743,6960364
201505,09020000,食,75(含)-100萬,1372,4093948
201505,09020000,食,100(含)-125萬,866,2397723
201505,09020000,食,125(含)-150萬,197,530668
201505,09020000,食,150(含)-175萬,152,259676
201505,09020000,食,175(含)-200萬,96,227444
201505,09020000,食,200(含)萬以上,300,591662
201506,09020000,食,未達50萬,6850,13668485
201506,09020000,食,50(含)-75萬,4273,9170998
201506,09020000,食,75(含)-100萬,1586,3937741
201506,09020000,食,100(含)-125萬,1015,3780361
201506,09020000,食,125(含)-150萬,262,548709
201506,09020000,食,150(含)-175萬,181,617105
201506,09020000,食,175(含)-200萬,110,227144
201506,09020000,食,200(含)萬以上,345,3672085
201507,09020000,食,未達50萬,7813,21369203
201507,09020000,食,50(含)-75萬,4556,15139585
201507,09020000,食,75(含)-100萬,1714,6424500
