年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,其他,未達50萬,1542,7346835
201401,09020000,其他,50(含)-75萬,861,4265751
201401,09020000,其他,75(含)-100萬,331,2099163
201401,09020000,其他,100(含)-125萬,227,1280562
201401,09020000,其他,125(含)-150萬,76,477866
201401,09020000,其他,150(含)-175萬,37,271877
201401,09020000,其他,175(含)-200萬,11,39629
201401,09020000,其他,200(含)萬以上,107,722333
201402,09020000,其他,未達50萬,1040,4211600
201402,09020000,其他,50(含)-75萬,623,2938518
201402,09020000,其他,75(含)-100萬,235,922445
201402,09020000,其他,100(含)-125萬,163,644290
201402,09020000,其他,125(含)-150萬,48,191464
201402,09020000,其他,150(含)-175萬,24,110669
201402,09020000,其他,175(含)-200萬,10,28196
201402,09020000,其他,200(含)萬以上,45,168971
201403,09020000,其他,未達50萬,1180,4430973
201403,09020000,其他,50(含)-75萬,650,2433698
201403,09020000,其他,75(含)-100萬,260,869573
201403,09020000,其他,100(含)-125萬,200,545748
201403,09020000,其他,125(含)-150萬,57,241505
201403,09020000,其他,150(含)-175萬,35,194933
201403,09020000,其他,175(含)-200萬,15,36440
201403,09020000,其他,200(含)萬以上,69,302329
201404,09020000,其他,未達50萬,1220,4851589
201404,09020000,其他,50(含)-75萬,623,2681380
201404,09020000,其他,75(含)-100萬,261,927432
201404,09020000,其他,100(含)-125萬,154,522118
201404,09020000,其他,125(含)-150萬,53,176729
201404,09020000,其他,150(含)-175萬,23,48190
201404,09020000,其他,175(含)-200萬,4,10141
201404,09020000,其他,200(含)萬以上,59,433513
201405,09020000,其他,未達50萬,1387,4819996
201405,09020000,其他,50(含)-75萬,704,2707947
201405,09020000,其他,75(含)-100萬,237,742028
201405,09020000,其他,100(含)-125萬,175,505285
201405,09020000,其他,125(含)-150萬,61,254367
201405,09020000,其他,150(含)-175萬,28,81138
201405,09020000,其他,175(含)-200萬,5,2792
201405,09020000,其他,200(含)萬以上,61,589748
201406,09020000,其他,未達50萬,1367,4820400
201406,09020000,其他,50(含)-75萬,704,2316281
201406,09020000,其他,75(含)-100萬,267,968973
201406,09020000,其他,100(含)-125萬,165,707414
201406,09020000,其他,125(含)-150萬,49,213225
201406,09020000,其他,150(含)-175萬,24,134573
201406,09020000,其他,175(含)-200萬,7,30883
201406,09020000,其他,200(含)萬以上,55,322537
201407,09020000,其他,未達50萬,1389,5217164
201407,09020000,其他,50(含)-75萬,677,2605777
201407,09020000,其他,75(含)-100萬,225,970081
201407,09020000,其他,100(含)-125萬,152,571537
201407,09020000,其他,125(含)-150萬,67,246260
201407,09020000,其他,150(含)-175萬,20,70870
201407,09020000,其他,175(含)-200萬,8,23321
201407,09020000,其他,200(含)萬以上,54,431451
201408,09020000,其他,未達50萬,1345,5298609
201408,09020000,其他,50(含)-75萬,683,3085372
201408,09020000,其他,75(含)-100萬,241,1029527
201408,09020000,其他,100(含)-125萬,167,568894
201408,09020000,其他,125(含)-150萬,55,141899
201408,09020000,其他,150(含)-175萬,27,156769
201408,09020000,其他,175(含)-200萬,11,30740
201408,09020000,其他,200(含)萬以上,69,343816
201409,09020000,其他,未達50萬,1325,5169081
201409,09020000,其他,50(含)-75萬,677,2663265
201409,09020000,其他,75(含)-100萬,294,1026785
201409,09020000,其他,100(含)-125萬,171,609124
201409,09020000,其他,125(含)-150萬,67,255181
201409,09020000,其他,150(含)-175萬,24,71661
201409,09020000,其他,175(含)-200萬,10,36419
201409,09020000,其他,200(含)萬以上,42,306132
201410,09020000,其他,未達50萬,1479,5406856
201410,09020000,其他,50(含)-75萬,702,2660329
201410,09020000,其他,75(含)-100萬,249,997316
201410,09020000,其他,100(含)-125萬,183,742637
201410,09020000,其他,125(含)-150萬,54,178213
201410,09020000,其他,150(含)-175萬,28,84129
201410,09020000,其他,175(含)-200萬,9,25217
201410,09020000,其他,200(含)萬以上,56,354870
201411,09020000,其他,未達50萬,1350,5350163
201411,09020000,其他,50(含)-75萬,687,2837613
201411,09020000,其他,75(含)-100萬,222,825511
201411,09020000,其他,100(含)-125萬,175,717501
201411,09020000,其他,125(含)-150萬,40,138753
201411,09020000,其他,150(含)-175萬,31,139729
201411,09020000,其他,175(含)-200萬,10,18430
201411,09020000,其他,200(含)萬以上,50,1077546
201412,09020000,其他,未達50萬,1337,5799300
201412,09020000,其他,50(含)-75萬,699,2910396
201412,09020000,其他,75(含)-100萬,236,1066533
201412,09020000,其他,100(含)-125萬,192,984783
201412,09020000,其他,125(含)-150萬,49,141842
201412,09020000,其他,150(含)-175萬,18,63861
201412,09020000,其他,175(含)-200萬,11,46870
201412,09020000,其他,200(含)萬以上,48,328006
201501,09020000,其他,未達50萬,1343,6547479
201501,09020000,其他,50(含)-75萬,711,3578300
201501,09020000,其他,75(含)-100萬,238,940199
201501,09020000,其他,100(含)-125萬,168,818628
201501,09020000,其他,125(含)-150萬,60,201100
201501,09020000,其他,150(含)-175萬,20,101618
201501,09020000,其他,175(含)-200萬,13,50189
201501,09020000,其他,200(含)萬以上,84,511661
201502,09020000,其他,未達50萬,1282,5771416
201502,09020000,其他,50(含)-75萬,659,3300874
201502,09020000,其他,75(含)-100萬,279,1299872
201502,09020000,其他,100(含)-125萬,193,1181734
201502,09020000,其他,125(含)-150萬,36,116833
201502,09020000,其他,150(含)-175萬,19,127762
201502,09020000,其他,175(含)-200萬,6,33711
201502,09020000,其他,200(含)萬以上,55,451241
201503,09020000,其他,未達50萬,1297,5531495
201503,09020000,其他,50(含)-75萬,620,3116148
201503,09020000,其他,75(含)-100萬,241,1073912
201503,09020000,其他,100(含)-125萬,165,984589
201503,09020000,其他,125(含)-150萬,43,174072
201503,09020000,其他,150(含)-175萬,16,24671
201503,09020000,其他,175(含)-200萬,8,19902
201503,09020000,其他,200(含)萬以上,48,194708
201504,09020000,其他,未達50萬,1336,5935092
201504,09020000,其他,50(含)-75萬,549,2612999
201504,09020000,其他,75(含)-100萬,240,897192
201504,09020000,其他,100(含)-125萬,182,951195
201504,09020000,其他,125(含)-150萬,28,149470
201504,09020000,其他,150(含)-175萬,34,105061
201504,09020000,其他,175(含)-200萬,19,28341
201504,09020000,其他,200(含)萬以上,50,366658
201505,09020000,其他,未達50萬,1377,5709990
201505,09020000,其他,50(含)-75萬,674,3277319
201505,09020000,其他,75(含)-100萬,240,1148370
201505,09020000,其他,100(含)-125萬,182,1046783
201505,09020000,其他,125(含)-150萬,32,123491
201505,09020000,其他,150(含)-175萬,24,149985
201505,09020000,其他,175(含)-200萬,14,44211
201505,09020000,其他,200(含)萬以上,36,179852
201506,09020000,其他,未達50萬,1431,6472677
201506,09020000,其他,50(含)-75萬,712,3245098
201506,09020000,其他,75(含)-100萬,246,1223469
201506,09020000,其他,100(含)-125萬,185,757423
201506,09020000,其他,125(含)-150萬,39,190983
201506,09020000,其他,150(含)-175萬,15,32688
201506,09020000,其他,175(含)-200萬,22,64949
201506,09020000,其他,200(含)萬以上,36,332840
201507,09020000,其他,未達50萬,1417,6424188
201507,09020000,其他,50(含)-75萬,704,3151021
201507,09020000,其他,75(含)-100萬,258,1023373
201507,09020000,其他,100(含)-125萬,222,862273
201507,09020000,其他,125(含)-150萬,56,182267
201507,09020000,其他,150(含)-175萬,21,81917
201507,09020000,其他,175(含)-200萬,17,62614
201507,09020000,其他,200(含)萬以上,60,334370
201508,09020000,其他,未達50萬,1465,6192366
201508,09020000,其他,50(含)-75萬,744,3366286
201508,09020000,其他,75(含)-100萬,282,1014147
201508,09020000,其他,100(含)-125萬,145,513834
201508,09020000,其他,125(含)-150萬,44,235986
201508,09020000,其他,150(含)-175萬,26,105114
201508,09020000,其他,175(含)-200萬,13,39736
201508,09020000,其他,200(含)萬以上,62,301604
201509,09020000,其他,未達50萬,1405,6004887
201509,09020000,其他,50(含)-75萬,710,3187067
201509,09020000,其他,75(含)-100萬,300,1365567
201509,09020000,其他,100(含)-125萬,152,684889
201509,09020000,其他,125(含)-150萬,53,139837
201509,09020000,其他,150(含)-175萬,16,101465
201509,09020000,其他,175(含)-200萬,16,73029
201509,09020000,其他,200(含)萬以上,47,366363
201510,09020000,其他,未達50萬,1665,8029061
201510,09020000,其他,50(含)-75萬,778,4269932
201510,09020000,其他,75(含)-100萬,302,1322081
