年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09020000,行,未達50萬,5212,7748696
201401,09020000,行,50(含)-75萬,2988,4098814
201401,09020000,行,75(含)-100萬,1358,2144430
201401,09020000,行,100(含)-125萬,1019,1639954
201401,09020000,行,125(含)-150萬,240,359852
201401,09020000,行,150(含)-175萬,134,218268
201401,09020000,行,175(含)-200萬,62,101558
201401,09020000,行,200(含)萬以上,342,627795
201402,09020000,行,未達50萬,5370,8278782
201402,09020000,行,50(含)-75萬,2973,4335166
201402,09020000,行,75(含)-100萬,1313,2156841
201402,09020000,行,100(含)-125萬,886,1343368
201402,09020000,行,125(含)-150萬,236,361560
201402,09020000,行,150(含)-175萬,137,218733
201402,09020000,行,175(含)-200萬,71,130820
201402,09020000,行,200(含)萬以上,287,513327
201403,09020000,行,未達50萬,6108,9868828
201403,09020000,行,50(含)-75萬,3621,5636319
201403,09020000,行,75(含)-100萬,1627,2632143
201403,09020000,行,100(含)-125萬,1069,1648129
201403,09020000,行,125(含)-150萬,333,524450
201403,09020000,行,150(含)-175萬,176,283210
201403,09020000,行,175(含)-200萬,89,119553
201403,09020000,行,200(含)萬以上,393,714400
201404,09020000,行,未達50萬,6883,11774700
201404,09020000,行,50(含)-75萬,3763,5928734
201404,09020000,行,75(含)-100萬,1761,2917954
201404,09020000,行,100(含)-125萬,1234,2110947
201404,09020000,行,125(含)-150萬,397,640164
201404,09020000,行,150(含)-175萬,187,328942
201404,09020000,行,175(含)-200萬,92,144178
201404,09020000,行,200(含)萬以上,423,757728
201405,09020000,行,未達50萬,6579,10950706
201405,09020000,行,50(含)-75萬,3696,6090736
201405,09020000,行,75(含)-100萬,1633,2993593
201405,09020000,行,100(含)-125萬,1152,2540501
201405,09020000,行,125(含)-150萬,354,555785
201405,09020000,行,150(含)-175萬,203,337597
201405,09020000,行,175(含)-200萬,89,135636
201405,09020000,行,200(含)萬以上,367,619500
201406,09020000,行,未達50萬,6569,11320051
201406,09020000,行,50(含)-75萬,4037,6479279
201406,09020000,行,75(含)-100萬,1666,3180417
201406,09020000,行,100(含)-125萬,1177,1952336
201406,09020000,行,125(含)-150萬,331,585150
201406,09020000,行,150(含)-175萬,206,298070
201406,09020000,行,175(含)-200萬,72,110171
201406,09020000,行,200(含)萬以上,389,690319
201407,09020000,行,未達50萬,6992,12226503
201407,09020000,行,50(含)-75萬,4100,7172403
201407,09020000,行,75(含)-100萬,1674,3051143
