年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09007000,衣,未達50萬,0,0
201401,09007000,衣,50(含)-75萬,0,0
201401,09007000,衣,75(含)-100萬,0,0
201401,09007000,衣,100(含)-125萬,0,0
201401,09007000,衣,125(含)-150萬,0,0
201401,09007000,衣,150(含)-175萬,0,0
201401,09007000,衣,175(含)-200萬,0,0
201401,09007000,衣,200(含)萬以上,0,0
201402,09007000,衣,未達50萬,0,0
201402,09007000,衣,50(含)-75萬,0,0
201402,09007000,衣,75(含)-100萬,0,0
201402,09007000,衣,100(含)-125萬,0,0
201402,09007000,衣,125(含)-150萬,0,0
201402,09007000,衣,150(含)-175萬,0,0
201402,09007000,衣,175(含)-200萬,0,0
201402,09007000,衣,200(含)萬以上,0,0
201403,09007000,衣,未達50萬,0,0
201403,09007000,衣,50(含)-75萬,0,0
201403,09007000,衣,75(含)-100萬,0,0
201403,09007000,衣,100(含)-125萬,0,0
201403,09007000,衣,125(含)-150萬,0,0
201403,09007000,衣,150(含)-175萬,0,0
201403,09007000,衣,175(含)-200萬,0,0
201403,09007000,衣,200(含)萬以上,0,0
201404,09007000,衣,未達50萬,0,0
201404,09007000,衣,50(含)-75萬,0,0
201404,09007000,衣,75(含)-100萬,0,0
201404,09007000,衣,100(含)-125萬,0,0
201404,09007000,衣,125(含)-150萬,0,0
201404,09007000,衣,150(含)-175萬,0,0
201404,09007000,衣,175(含)-200萬,0,0
201404,09007000,衣,200(含)萬以上,0,0
201405,09007000,衣,未達50萬,0,0
201405,09007000,衣,50(含)-75萬,0,0
201405,09007000,衣,75(含)-100萬,0,0
201405,09007000,衣,100(含)-125萬,0,0
201405,09007000,衣,125(含)-150萬,0,0
201405,09007000,衣,150(含)-175萬,0,0
201405,09007000,衣,175(含)-200萬,0,0
201405,09007000,衣,200(含)萬以上,0,0
201406,09007000,衣,未達50萬,0,0
201406,09007000,衣,50(含)-75萬,0,0
201406,09007000,衣,75(含)-100萬,0,0
201406,09007000,衣,100(含)-125萬,0,0
201406,09007000,衣,125(含)-150萬,0,0
201406,09007000,衣,150(含)-175萬,0,0
201406,09007000,衣,175(含)-200萬,0,0
201406,09007000,衣,200(含)萬以上,0,0
201407,09007000,衣,未達50萬,0,0
201407,09007000,衣,50(含)-75萬,0,0
201407,09007000,衣,75(含)-100萬,0,0
201407,09007000,衣,100(含)-125萬,0,0
201407,09007000,衣,125(含)-150萬,0,0
201407,09007000,衣,150(含)-175萬,0,0
201407,09007000,衣,175(含)-200萬,0,0
201407,09007000,衣,200(含)萬以上,0,0
201408,09007000,衣,未達50萬,0,0
201408,09007000,衣,50(含)-75萬,0,0
201408,09007000,衣,75(含)-100萬,0,0
201408,09007000,衣,100(含)-125萬,0,0
201408,09007000,衣,125(含)-150萬,0,0
201408,09007000,衣,150(含)-175萬,0,0
201408,09007000,衣,175(含)-200萬,0,0
201408,09007000,衣,200(含)萬以上,0,0
201409,09007000,衣,未達50萬,0,0
201409,09007000,衣,50(含)-75萬,0,0
201409,09007000,衣,75(含)-100萬,0,0
201409,09007000,衣,100(含)-125萬,0,0
201409,09007000,衣,125(含)-150萬,0,0
201409,09007000,衣,150(含)-175萬,0,0
201409,09007000,衣,175(含)-200萬,0,0
201409,09007000,衣,200(含)萬以上,0,0
201410,09007000,衣,未達50萬,0,0
201410,09007000,衣,50(含)-75萬,0,0
201410,09007000,衣,75(含)-100萬,0,0
201410,09007000,衣,100(含)-125萬,0,0
201410,09007000,衣,125(含)-150萬,0,0
201410,09007000,衣,150(含)-175萬,0,0
201410,09007000,衣,175(含)-200萬,0,0
201410,09007000,衣,200(含)萬以上,0,0
201411,09007000,衣,未達50萬,0,0
201411,09007000,衣,50(含)-75萬,0,0
201411,09007000,衣,75(含)-100萬,0,0
201411,09007000,衣,100(含)-125萬,0,0
201411,09007000,衣,125(含)-150萬,0,0
201411,09007000,衣,150(含)-175萬,0,0
201411,09007000,衣,175(含)-200萬,0,0
201411,09007000,衣,200(含)萬以上,0,0
201412,09007000,衣,未達50萬,0,0
201412,09007000,衣,50(含)-75萬,0,0
201412,09007000,衣,75(含)-100萬,0,0
201412,09007000,衣,100(含)-125萬,0,0
201412,09007000,衣,125(含)-150萬,0,0
201412,09007000,衣,150(含)-175萬,0,0
201412,09007000,衣,175(含)-200萬,0,0
201412,09007000,衣,200(含)萬以上,0,0
201501,09007000,衣,未達50萬,0,0
201501,09007000,衣,50(含)-75萬,0,0
201501,09007000,衣,75(含)-100萬,0,0
201501,09007000,衣,100(含)-125萬,0,0
201501,09007000,衣,125(含)-150萬,0,0
201501,09007000,衣,150(含)-175萬,0,0
201501,09007000,衣,175(含)-200萬,0,0
201501,09007000,衣,200(含)萬以上,0,0
201502,09007000,衣,未達50萬,0,0
201502,09007000,衣,50(含)-75萬,0,0
201502,09007000,衣,75(含)-100萬,0,0
201502,09007000,衣,100(含)-125萬,0,0
201502,09007000,衣,125(含)-150萬,0,0
201502,09007000,衣,150(含)-175萬,0,0
201502,09007000,衣,175(含)-200萬,0,0
201502,09007000,衣,200(含)萬以上,0,0
201503,09007000,衣,未達50萬,0,0
201503,09007000,衣,50(含)-75萬,0,0
201503,09007000,衣,75(含)-100萬,0,0
201503,09007000,衣,100(含)-125萬,0,0
201503,09007000,衣,125(含)-150萬,0,0
201503,09007000,衣,150(含)-175萬,0,0
201503,09007000,衣,175(含)-200萬,0,0
201503,09007000,衣,200(含)萬以上,0,0
201504,09007000,衣,未達50萬,0,0
201504,09007000,衣,50(含)-75萬,0,0
201504,09007000,衣,75(含)-100萬,0,0
201504,09007000,衣,100(含)-125萬,0,0
201504,09007000,衣,125(含)-150萬,0,0
201504,09007000,衣,150(含)-175萬,0,0
201504,09007000,衣,175(含)-200萬,0,0
201504,09007000,衣,200(含)萬以上,0,0
