年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09007000,其他,未達50萬,22,96972
201401,09007000,其他,50(含)-75萬,7,25789
201401,09007000,其他,75(含)-100萬,4,3881
201401,09007000,其他,100(含)-125萬,4,4908
201401,09007000,其他,125(含)-150萬,0,0
201401,09007000,其他,150(含)-175萬,0,0
201401,09007000,其他,175(含)-200萬,0,0
201401,09007000,其他,200(含)萬以上,0,0
201402,09007000,其他,未達50萬,13,66883
201402,09007000,其他,50(含)-75萬,7,32361
201402,09007000,其他,75(含)-100萬,6,5210
201402,09007000,其他,100(含)-125萬,2,11767
201402,09007000,其他,125(含)-150萬,0,0
201402,09007000,其他,150(含)-175萬,0,0
201402,09007000,其他,175(含)-200萬,1,520
201402,09007000,其他,200(含)萬以上,0,0
201403,09007000,其他,未達50萬,15,68603
201403,09007000,其他,50(含)-75萬,8,12210
201403,09007000,其他,75(含)-100萬,7,38630
201403,09007000,其他,100(含)-125萬,0,0
201403,09007000,其他,125(含)-150萬,0,0
201403,09007000,其他,150(含)-175萬,0,0
201403,09007000,其他,175(含)-200萬,1,930
201403,09007000,其他,200(含)萬以上,0,0
201404,09007000,其他,未達50萬,24,77511
201404,09007000,其他,50(含)-75萬,8,45608
201404,09007000,其他,75(含)-100萬,7,20940
201404,09007000,其他,100(含)-125萬,0,0
201404,09007000,其他,125(含)-150萬,0,0
201404,09007000,其他,150(含)-175萬,0,0
201404,09007000,其他,175(含)-200萬,0,0
201404,09007000,其他,200(含)萬以上,0,0
201405,09007000,其他,未達50萬,27,66824
201405,09007000,其他,50(含)-75萬,14,96526
201405,09007000,其他,75(含)-100萬,9,40330
201405,09007000,其他,100(含)-125萬,0,0
201405,09007000,其他,125(含)-150萬,2,999
201405,09007000,其他,150(含)-175萬,1,10200
201405,09007000,其他,175(含)-200萬,0,0
201405,09007000,其他,200(含)萬以上,0,0
201406,09007000,其他,未達50萬,23,65291
201406,09007000,其他,50(含)-75萬,19,126357
201406,09007000,其他,75(含)-100萬,5,11060
201406,09007000,其他,100(含)-125萬,3,36380
201406,09007000,其他,125(含)-150萬,0,0
201406,09007000,其他,150(含)-175萬,0,0
201406,09007000,其他,175(含)-200萬,1,4710
201406,09007000,其他,200(含)萬以上,2,1600
201407,09007000,其他,未達50萬,26,434333
201407,09007000,其他,50(含)-75萬,20,202444
201407,09007000,其他,75(含)-100萬,7,33199
201407,09007000,其他,100(含)-125萬,0,0
201407,09007000,其他,125(含)-150萬,0,0
201407,09007000,其他,150(含)-175萬,0,0
201407,09007000,其他,175(含)-200萬,0,0
201407,09007000,其他,200(含)萬以上,0,0
201408,09007000,其他,未達50萬,14,27755
201408,09007000,其他,50(含)-75萬,6,45308
201408,09007000,其他,75(含)-100萬,8,17476
201408,09007000,其他,100(含)-125萬,1,1305
201408,09007000,其他,125(含)-150萬,1,16000
201408,09007000,其他,150(含)-175萬,0,0
201408,09007000,其他,175(含)-200萬,0,0
201408,09007000,其他,200(含)萬以上,0,0
201409,09007000,其他,未達50萬,10,10593
201409,09007000,其他,50(含)-75萬,14,53456
201409,09007000,其他,75(含)-100萬,3,4060
201409,09007000,其他,100(含)-125萬,0,0
201409,09007000,其他,125(含)-150萬,0,0
201409,09007000,其他,150(含)-175萬,0,0
201409,09007000,其他,175(含)-200萬,0,0
201409,09007000,其他,200(含)萬以上,0,0
201410,09007000,其他,未達50萬,13,43662
201410,09007000,其他,50(含)-75萬,17,79479
201410,09007000,其他,75(含)-100萬,6,37490
201410,09007000,其他,100(含)-125萬,0,0
201410,09007000,其他,125(含)-150萬,0,0
201410,09007000,其他,150(含)-175萬,0,0
201410,09007000,其他,175(含)-200萬,0,0
201410,09007000,其他,200(含)萬以上,0,0
201411,09007000,其他,未達50萬,8,23493
201411,09007000,其他,50(含)-75萬,14,103285
201411,09007000,其他,75(含)-100萬,4,6983
201411,09007000,其他,100(含)-125萬,1,2750
201411,09007000,其他,125(含)-150萬,1,4150
201411,09007000,其他,150(含)-175萬,1,913
201411,09007000,其他,175(含)-200萬,0,0
201411,09007000,其他,200(含)萬以上,0,0
201412,09007000,其他,未達50萬,12,-11814
201412,09007000,其他,50(含)-75萬,13,41823
201412,09007000,其他,75(含)-100萬,3,3295
201412,09007000,其他,100(含)-125萬,0,0
201412,09007000,其他,125(含)-150萬,0,0
201412,09007000,其他,150(含)-175萬,1,4788
201412,09007000,其他,175(含)-200萬,0,0
201412,09007000,其他,200(含)萬以上,0,0
201501,09007000,其他,未達50萬,13,18741
201501,09007000,其他,50(含)-75萬,8,50633
201501,09007000,其他,75(含)-100萬,1,1000
201501,09007000,其他,100(含)-125萬,3,6360
201501,09007000,其他,125(含)-150萬,0,0
201501,09007000,其他,150(含)-175萬,0,0
201501,09007000,其他,175(含)-200萬,0,0
201501,09007000,其他,200(含)萬以上,0,0
201502,09007000,其他,未達50萬,12,74773
201502,09007000,其他,50(含)-75萬,17,64773
201502,09007000,其他,75(含)-100萬,2,1600
201502,09007000,其他,100(含)-125萬,0,0
201502,09007000,其他,125(含)-150萬,0,0
201502,09007000,其他,150(含)-175萬,0,0
201502,09007000,其他,175(含)-200萬,1,630
201502,09007000,其他,200(含)萬以上,0,0
201503,09007000,其他,未達50萬,10,34077
201503,09007000,其他,50(含)-75萬,9,39658
201503,09007000,其他,75(含)-100萬,3,3440
201503,09007000,其他,100(含)-125萬,0,0
201503,09007000,其他,125(含)-150萬,0,0
201503,09007000,其他,150(含)-175萬,0,0
201503,09007000,其他,175(含)-200萬,0,0
201503,09007000,其他,200(含)萬以上,0,0
201504,09007000,其他,未達50萬,11,27504
201504,09007000,其他,50(含)-75萬,9,44549
201504,09007000,其他,75(含)-100萬,4,7300
201504,09007000,其他,100(含)-125萬,0,0
201504,09007000,其他,125(含)-150萬,0,0
201504,09007000,其他,150(含)-175萬,0,0
201504,09007000,其他,175(含)-200萬,0,0
201504,09007000,其他,200(含)萬以上,0,0
201505,09007000,其他,未達50萬,24,64214
201505,09007000,其他,50(含)-75萬,14,73502
201505,09007000,其他,75(含)-100萬,3,7590
201505,09007000,其他,100(含)-125萬,1,3330
201505,09007000,其他,125(含)-150萬,0,0
201505,09007000,其他,150(含)-175萬,1,1094
201505,09007000,其他,175(含)-200萬,0,0
201505,09007000,其他,200(含)萬以上,0,0
201506,09007000,其他,未達50萬,13,83439
201506,09007000,其他,50(含)-75萬,12,51889
201506,09007000,其他,75(含)-100萬,7,44740
201506,09007000,其他,100(含)-125萬,2,1419
201506,09007000,其他,125(含)-150萬,1,16000
201506,09007000,其他,150(含)-175萬,0,0
201506,09007000,其他,175(含)-200萬,1,3550
201506,09007000,其他,200(含)萬以上,0,0
201507,09007000,其他,未達50萬,11,38589
201507,09007000,其他,50(含)-75萬,13,94473
201507,09007000,其他,75(含)-100萬,7,41700
201507,09007000,其他,100(含)-125萬,1,1930
201507,09007000,其他,125(含)-150萬,0,0
201507,09007000,其他,150(含)-175萬,0,0
201507,09007000,其他,175(含)-200萬,0,0
201507,09007000,其他,200(含)萬以上,0,0
201508,09007000,其他,未達50萬,14,69886
201508,09007000,其他,50(含)-75萬,11,62819
201508,09007000,其他,75(含)-100萬,4,8200
201508,09007000,其他,100(含)-125萬,0,0
201508,09007000,其他,125(含)-150萬,0,0
201508,09007000,其他,150(含)-175萬,0,0
201508,09007000,其他,175(含)-200萬,0,0
201508,09007000,其他,200(含)萬以上,0,0
201509,09007000,其他,未達50萬,13,20961
201509,09007000,其他,50(含)-75萬,13,105306
201509,09007000,其他,75(含)-100萬,2,2050
201509,09007000,其他,100(含)-125萬,1,670
201509,09007000,其他,125(含)-150萬,1,11700
201509,09007000,其他,150(含)-175萬,0,0
201509,09007000,其他,175(含)-200萬,0,0
201509,09007000,其他,200(含)萬以上,0,0
201510,09007000,其他,未達50萬,14,19864
201510,09007000,其他,50(含)-75萬,17,81957
201510,09007000,其他,75(含)-100萬,5,22309
201510,09007000,其他,100(含)-125萬,1,7200
201510,09007000,其他,125(含)-150萬,0,0
201510,09007000,其他,150(含)-175萬,1,12000
201510,09007000,其他,175(含)-200萬,0,0
201510,09007000,其他,200(含)萬以上,0,0
201511,09007000,其他,未達50萬,22,42788
201511,09007000,其他,50(含)-75萬,11,79705
201511,09007000,其他,75(含)-100萬,5,14440
201511,09007000,其他,100(含)-125萬,0,0
201511,09007000,其他,125(含)-150萬,1,4530
201511,09007000,其他,150(含)-175萬,0,0
201511,09007000,其他,175(含)-200萬,0,0
201511,09007000,其他,200(含)萬以上,0,0
201512,09007000,其他,未達50萬,13,100260
201512,09007000,其他,50(含)-75萬,10,90682
201512,09007000,其他,75(含)-100萬,4,17448
201512,09007000,其他,100(含)-125萬,0,0
201512,09007000,其他,125(含)-150萬,1,848
201512,09007000,其他,150(含)-175萬,0,0
201512,09007000,其他,175(含)-200萬,0,0
201512,09007000,其他,200(含)萬以上,1,2470
201601,09007000,其他,未達50萬,22,74942
201601,09007000,其他,50(含)-75萬,13,73074
201601,09007000,其他,75(含)-100萬,6,9204
201601,09007000,其他,100(含)-125萬,1,3210
201601,09007000,其他,125(含)-150萬,1,276
201601,09007000,其他,150(含)-175萬,0,0
201601,09007000,其他,175(含)-200萬,0,0
201601,09007000,其他,200(含)萬以上,2,1673
201602,09007000,其他,未達50萬,25,97597
201602,09007000,其他,50(含)-75萬,8,19223
201602,09007000,其他,75(含)-100萬,2,15009
201602,09007000,其他,100(含)-125萬,0,0
201602,09007000,其他,125(含)-150萬,0,0
201602,09007000,其他,150(含)-175萬,0,0
201602,09007000,其他,175(含)-200萬,0,0
201602,09007000,其他,200(含)萬以上,0,0
201603,09007000,其他,未達50萬,18,85617
201603,09007000,其他,50(含)-75萬,14,115016
201603,09007000,其他,75(含)-100萬,5,19706
201603,09007000,其他,100(含)-125萬,2,13210
201603,09007000,其他,125(含)-150萬,1,6657
201603,09007000,其他,150(含)-175萬,2,33000
201603,09007000,其他,175(含)-200萬,0,0
201603,09007000,其他,200(含)萬以上,1,7510
201604,09007000,其他,未達50萬,18,98793
201604,09007000,其他,50(含)-75萬,17,83825
201604,09007000,其他,75(含)-100萬,7,17318
201604,09007000,其他,100(含)-125萬,1,1000
201604,09007000,其他,125(含)-150萬,3,54757
201604,09007000,其他,150(含)-175萬,0,0
201604,09007000,其他,175(含)-200萬,0,0
201604,09007000,其他,200(含)萬以上,0,0
201605,09007000,其他,未達50萬,25,113899
201605,09007000,其他,50(含)-75萬,18,78010
201605,09007000,其他,75(含)-100萬,5,17088
201605,09007000,其他,100(含)-125萬,3,23886
201605,09007000,其他,125(含)-150萬,2,8075
201605,09007000,其他,150(含)-175萬,0,0
201605,09007000,其他,175(含)-200萬,0,0
201605,09007000,其他,200(含)萬以上,0,0
201606,09007000,其他,未達50萬,21,99924
201606,09007000,其他,50(含)-75萬,22,93997
201606,09007000,其他,75(含)-100萬,7,29272
201606,09007000,其他,100(含)-125萬,3,11599
201606,09007000,其他,125(含)-150萬,10,36527
201606,09007000,其他,150(含)-175萬,0,0
201606,09007000,其他,175(含)-200萬,2,3684
201606,09007000,其他,200(含)萬以上,2,40190
201607,09007000,其他,未達50萬,21,87995
201607,09007000,其他,50(含)-75萬,13,54861
201607,09007000,其他,75(含)-100萬,7,32008
201607,09007000,其他,100(含)-125萬,2,2388
201607,09007000,其他,125(含)-150萬,1,752
201607,09007000,其他,150(含)-175萬,1,647
201607,09007000,其他,175(含)-200萬,0,0
201607,09007000,其他,200(含)萬以上,1,2388
201608,09007000,其他,未達50萬,26,132667
201608,09007000,其他,50(含)-75萬,14,90067
201608,09007000,其他,75(含)-100萬,4,29413
201608,09007000,其他,100(含)-125萬,3,9979
201608,09007000,其他,125(含)-150萬,3,16271
201608,09007000,其他,150(含)-175萬,1,2600
201608,09007000,其他,175(含)-200萬,1,5880
201608,09007000,其他,200(含)萬以上,1,5713
201609,09007000,其他,未達50萬,19,89010
201609,09007000,其他,50(含)-75萬,10,66565
201609,09007000,其他,75(含)-100萬,6,25452
201609,09007000,其他,100(含)-125萬,3,8412
201609,09007000,其他,125(含)-150萬,1,2400
201609,09007000,其他,150(含)-175萬,1,-1097
201609,09007000,其他,175(含)-200萬,2,5373
201609,09007000,其他,200(含)萬以上,0,0
201610,09007000,其他,未達50萬,21,75977
201610,09007000,其他,50(含)-75萬,12,92407
201610,09007000,其他,75(含)-100萬,4,19634
201610,09007000,其他,100(含)-125萬,2,3577
201610,09007000,其他,125(含)-150萬,2,4888
201610,09007000,其他,150(含)-175萬,2,19514
201610,09007000,其他,175(含)-200萬,1,10828
201610,09007000,其他,200(含)萬以上,1,368
201611,09007000,其他,未達50萬,22,91126
201611,09007000,其他,50(含)-75萬,18,109747
201611,09007000,其他,75(含)-100萬,12,129800
201611,09007000,其他,100(含)-125萬,5,42909
201611,09007000,其他,125(含)-150萬,0,0
201611,09007000,其他,150(含)-175萬,1,657
201611,09007000,其他,175(含)-200萬,0,0
201611,09007000,其他,200(含)萬以上,0,0
201612,09007000,其他,未達50萬,26,148400
201612,09007000,其他,50(含)-75萬,16,135687
201612,09007000,其他,75(含)-100萬,4,11708
201612,09007000,其他,100(含)-125萬,1,9976
201612,09007000,其他,125(含)-150萬,2,6647
201612,09007000,其他,150(含)-175萬,1,3840
201612,09007000,其他,175(含)-200萬,0,0
201612,09007000,其他,200(含)萬以上,0,0
201701,09007000,其他,未達50萬,21,120620
201701,09007000,其他,50(含)-75萬,12,47681
201701,09007000,其他,75(含)-100萬,5,27846
201701,09007000,其他,100(含)-125萬,3,19826
201701,09007000,其他,125(含)-150萬,1,4770
201701,09007000,其他,150(含)-175萬,0,0
201701,09007000,其他,175(含)-200萬,0,0
201701,09007000,其他,200(含)萬以上,0,0
201702,09007000,其他,未達50萬,27,67551
201702,09007000,其他,50(含)-75萬,10,121126
