年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,09007000,行,未達50萬,259,535262
201401,09007000,行,50(含)-75萬,167,353883
201401,09007000,行,75(含)-100萬,95,204928
201401,09007000,行,100(含)-125萬,31,59454
201401,09007000,行,125(含)-150萬,7,12217
201401,09007000,行,150(含)-175萬,13,23982
201401,09007000,行,175(含)-200萬,7,25842
201401,09007000,行,200(含)萬以上,12,17328
201402,09007000,行,未達50萬,236,529473
201402,09007000,行,50(含)-75萬,219,446313
201402,09007000,行,75(含)-100萬,105,381227
201402,09007000,行,100(含)-125萬,46,74484
201402,09007000,行,125(含)-150萬,9,23968
201402,09007000,行,150(含)-175萬,12,12175
201402,09007000,行,175(含)-200萬,2,2241
201402,09007000,行,200(含)萬以上,15,18648
201403,09007000,行,未達50萬,324,821357
201403,09007000,行,50(含)-75萬,276,624441
201403,09007000,行,75(含)-100萬,129,561412
201403,09007000,行,100(含)-125萬,47,97872
201403,09007000,行,125(含)-150萬,11,21488
201403,09007000,行,150(含)-175萬,14,28539
201403,09007000,行,175(含)-200萬,8,50251
201403,09007000,行,200(含)萬以上,10,17304
201404,09007000,行,未達50萬,326,1226727
201404,09007000,行,50(含)-75萬,267,706775
201404,09007000,行,75(含)-100萬,126,467447
201404,09007000,行,100(含)-125萬,65,174106
201404,09007000,行,125(含)-150萬,13,31490
201404,09007000,行,150(含)-175萬,7,20283
201404,09007000,行,175(含)-200萬,8,25941
201404,09007000,行,200(含)萬以上,16,34851
201405,09007000,行,未達50萬,431,1454692
201405,09007000,行,50(含)-75萬,334,869619
201405,09007000,行,75(含)-100萬,165,431588
201405,09007000,行,100(含)-125萬,71,233049
201405,09007000,行,125(含)-150萬,13,26471
201405,09007000,行,150(含)-175萬,14,15247
201405,09007000,行,175(含)-200萬,11,153247
201405,09007000,行,200(含)萬以上,30,99009
201406,09007000,行,未達50萬,447,1463767
201406,09007000,行,50(含)-75萬,332,802131
201406,09007000,行,75(含)-100萬,158,505947
201406,09007000,行,100(含)-125萬,66,155387
201406,09007000,行,125(含)-150萬,15,63027
201406,09007000,行,150(含)-175萬,16,33686
201406,09007000,行,175(含)-200萬,13,173407
201406,09007000,行,200(含)萬以上,27,85911
201407,09007000,行,未達50萬,358,1163462
201407,09007000,行,50(含)-75萬,285,724768
201407,09007000,行,75(含)-100萬,124,466574
201407,09007000,行,100(含)-125萬,65,174474
201407,09007000,行,125(含)-150萬,12,44363
201407,09007000,行,150(含)-175萬,17,35094
201407,09007000,行,175(含)-200萬,7,73558
