年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,百貨,未達50萬,3316,8861347
201401,10017000,百貨,50(含)-75萬,1585,4518546
201401,10017000,百貨,75(含)-100萬,504,1596970
201401,10017000,百貨,100(含)-125萬,253,856139
201401,10017000,百貨,125(含)-150萬,87,247907
201401,10017000,百貨,150(含)-175萬,56,157509
201401,10017000,百貨,175(含)-200萬,35,136646
201401,10017000,百貨,200(含)萬以上,111,430422
201401,10018000,百貨,未達50萬,132503,385636093
201401,10018000,百貨,50(含)-75萬,57160,186171012
201401,10018000,百貨,75(含)-100萬,21392,71272557
201401,10018000,百貨,100(含)-125萬,12945,46955943
201401,10018000,百貨,125(含)-150萬,5127,17857677
201401,10018000,百貨,150(含)-175萬,4149,14656511
201401,10018000,百貨,175(含)-200萬,2410,9283859
201401,10018000,百貨,200(含)萬以上,9355,39128528
201401,10004000,百貨,未達50萬,1197,3437344
201401,10004000,百貨,50(含)-75萬,647,1955701
201401,10004000,百貨,75(含)-100萬,198,777959
201401,10004000,百貨,100(含)-125萬,97,612309
201401,10004000,百貨,125(含)-150萬,45,226828
201401,10004000,百貨,150(含)-175萬,37,274021
201401,10004000,百貨,175(含)-200萬,21,36112
201401,10004000,百貨,200(含)萬以上,81,381139
201401,10005000,百貨,未達50萬,9449,10108088
201401,10005000,百貨,50(含)-75萬,3287,4025732
201401,10005000,百貨,75(含)-100萬,776,881672
201401,10005000,百貨,100(含)-125萬,374,578025
201401,10005000,百貨,125(含)-150萬,115,115871
201401,10005000,百貨,150(含)-175萬,56,198306
201401,10005000,百貨,175(含)-200萬,42,77521
201401,10005000,百貨,200(含)萬以上,167,283345
201401,10007000,百貨,未達50萬,210558,359224043
201401,10007000,百貨,50(含)-75萬,82837,155895135
201401,10007000,百貨,75(含)-100萬,26481,55036223
201401,10007000,百貨,100(含)-125萬,16196,37513188
201401,10007000,百貨,125(含)-150萬,4984,11215750
201401,10007000,百貨,150(含)-175萬,4864,11085580
201401,10007000,百貨,175(含)-200萬,2281,5520669
201401,10007000,百貨,200(含)萬以上,9973,29785110
201401,10008000,百貨,未達50萬,7897,6200348
201401,10008000,百貨,50(含)-75萬,2498,2140376
201401,10008000,百貨,75(含)-100萬,678,581663
201401,10008000,百貨,100(含)-125萬,286,263939
201401,10008000,百貨,125(含)-150萬,94,118312
201401,10008000,百貨,150(含)-175萬,62,86756
201401,10008000,百貨,175(含)-200萬,30,20390
201401,10008000,百貨,200(含)萬以上,158,138435
201401,10009000,百貨,未達50萬,11383,15859688
