年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10017000,其他,未達50萬,18124,78751271
201401,10017000,其他,50(含)-75萬,10176,43621616
201401,10017000,其他,75(含)-100萬,3730,17212028
201401,10017000,其他,100(含)-125萬,2070,9716190
201401,10017000,其他,125(含)-150萬,616,3086590
201401,10017000,其他,150(含)-175萬,452,2145603
201401,10017000,其他,175(含)-200萬,197,1047644
201401,10017000,其他,200(含)萬以上,892,6053152
201401,10018000,其他,未達50萬,30987,139395451
201401,10018000,其他,50(含)-75萬,16076,82706497
201401,10018000,其他,75(含)-100萬,5991,33643931
201401,10018000,其他,100(含)-125萬,4036,26455971
201401,10018000,其他,125(含)-150萬,1389,9048979
201401,10018000,其他,150(含)-175萬,1179,8590432
201401,10018000,其他,175(含)-200萬,597,4220745
201401,10018000,其他,200(含)萬以上,2447,18359020
201401,10004000,其他,未達50萬,13605,70150711
201401,10004000,其他,50(含)-75萬,7066,41512424
201401,10004000,其他,75(含)-100萬,2699,17348532
201401,10004000,其他,100(含)-125萬,1816,13323233
201401,10004000,其他,125(含)-150萬,590,3530000
201401,10004000,其他,150(含)-175萬,469,3306172
201401,10004000,其他,175(含)-200萬,269,1824100
201401,10004000,其他,200(含)萬以上,947,7061467
201401,10005000,其他,未達50萬,29864,124881116
201401,10005000,其他,50(含)-75萬,13047,58208783
201401,10005000,其他,75(含)-100萬,4404,22214225
201401,10005000,其他,100(含)-125萬,2390,11755128
201401,10005000,其他,125(含)-150萬,755,4239028
201401,10005000,其他,150(含)-175萬,576,3485629
201401,10005000,其他,175(含)-200萬,271,1445621
201401,10005000,其他,200(含)萬以上,1228,8303344
201401,10007000,其他,未達50萬,288356,1125947975
201401,10007000,其他,50(含)-75萬,119055,547101739
201401,10007000,其他,75(含)-100萬,37516,204948409
201401,10007000,其他,100(含)-125萬,24249,160207262
201401,10007000,其他,125(含)-150萬,7216,43230500
201401,10007000,其他,150(含)-175萬,6402,49160528
201401,10007000,其他,175(含)-200萬,2883,25359297
201401,10007000,其他,200(含)萬以上,14233,135357552
201401,10008000,其他,未達50萬,25709,99921646
201401,10008000,其他,50(含)-75萬,10020,46260873
201401,10008000,其他,75(含)-100萬,3412,17535104
201401,10008000,其他,100(含)-125萬,1880,11329932
201401,10008000,其他,125(含)-150萬,546,3115895
201401,10008000,其他,150(含)-175萬,399,2494985
201401,10008000,其他,175(含)-200萬,168,1435536
201401,10008000,其他,200(含)萬以上,853,7222613
201401,10009000,其他,未達50萬,21628,85684228
201401,10009000,其他,50(含)-75萬,9608,41883088
201401,10009000,其他,75(含)-100萬,2868,14278968
201401,10009000,其他,100(含)-125萬,1694,9867323
201401,10009000,其他,125(含)-150萬,449,2081811
201401,10009000,其他,150(含)-175萬,315,1991636
201401,10009000,其他,175(含)-200萬,133,754184
201401,10009000,其他,200(含)萬以上,823,5252295
201401,10020000,其他,未達50萬,52740,173246768
201401,10020000,其他,50(含)-75萬,21621,82361714
201401,10020000,其他,75(含)-100萬,6747,30314986
201401,10020000,其他,100(含)-125萬,3765,18286495
201401,10020000,其他,125(含)-150萬,1242,5972958
201401,10020000,其他,150(含)-175萬,953,5270939
201401,10020000,其他,175(含)-200萬,566,2204858
201401,10020000,其他,200(含)萬以上,2017,13381339
201401,10010000,其他,未達50萬,8940,34737264
201401,10010000,其他,50(含)-75萬,4080,16406462
201401,10010000,其他,75(含)-100萬,1626,6563878
201401,10010000,其他,100(含)-125萬,786,3787500
201401,10010000,其他,125(含)-150萬,239,1245842
201401,10010000,其他,150(含)-175萬,253,936687
201401,10010000,其他,175(含)-200萬,87,418363
201401,10010000,其他,200(含)萬以上,347,1903824
201401,10013000,其他,未達50萬,30704,120811066
201401,10013000,其他,50(含)-75萬,11242,50125265
201401,10013000,其他,75(含)-100萬,3669,17715014
201401,10013000,其他,100(含)-125萬,1879,9641148
201401,10013000,其他,125(含)-150萬,698,3353613
201401,10013000,其他,150(含)-175萬,425,2034290
201401,10013000,其他,175(含)-200萬,202,1083838
201401,10013000,其他,200(含)萬以上,1026,5632518
201401,10002000,其他,未達50萬,23047,86154818
201401,10002000,其他,50(含)-75萬,10740,44175601
201401,10002000,其他,75(含)-100萬,3866,15294332
201401,10002000,其他,100(含)-125萬,2315,10280219
201401,10002000,其他,125(含)-150萬,634,2537657
201401,10002000,其他,150(含)-175萬,516,2599128
201401,10002000,其他,175(含)-200萬,214,949278
201401,10002000,其他,200(含)萬以上,1208,7261452
201401,10015000,其他,未達50萬,17137,76802933
201401,10015000,其他,50(含)-75萬,8568,43958839
201401,10015000,其他,75(含)-100萬,3602,21249371
201401,10015000,其他,100(含)-125萬,1748,11734079
201401,10015000,其他,125(含)-150萬,491,2665225
201401,10015000,其他,150(含)-175萬,290,1439028
201401,10015000,其他,175(含)-200萬,167,875456
201401,10015000,其他,200(含)萬以上,743,4518512
201401,10014000,其他,未達50萬,5755,24540875
201401,10014000,其他,50(含)-75萬,3269,15359451
201401,10014000,其他,75(含)-100萬,1269,6627848
201401,10014000,其他,100(含)-125萬,576,3292961
201401,10014000,其他,125(含)-150萬,140,863245
201401,10014000,其他,150(含)-175萬,122,598536
201401,10014000,其他,175(含)-200萬,35,228401
201401,10014000,其他,200(含)萬以上,186,1052778
201401,10016000,其他,未達50萬,7778,27990561
201401,10016000,其他,50(含)-75萬,3136,12708003
201401,10016000,其他,75(含)-100萬,1121,4586938
201401,10016000,其他,100(含)-125萬,615,3004761
201401,10016000,其他,125(含)-150萬,206,923470
201401,10016000,其他,150(含)-175萬,162,568677
201401,10016000,其他,175(含)-200萬,76,321189
201401,10016000,其他,200(含)萬以上,260,1519440
201401,09020000,其他,未達50萬,1542,7346835
201401,09020000,其他,50(含)-75萬,861,4265751
201401,09020000,其他,75(含)-100萬,331,2099163
201401,09020000,其他,100(含)-125萬,227,1280562
201401,09020000,其他,125(含)-150萬,76,477866
201401,09020000,其他,150(含)-175萬,37,271877
201401,09020000,其他,175(含)-200萬,11,39629
201401,09020000,其他,200(含)萬以上,107,722333
201401,09007000,其他,未達50萬,22,96972
201401,09007000,其他,50(含)-75萬,7,25789
201401,09007000,其他,75(含)-100萬,4,3881
201401,09007000,其他,100(含)-125萬,4,4908
201401,09007000,其他,125(含)-150萬,0,0
201401,09007000,其他,150(含)-175萬,0,0
201401,09007000,其他,175(含)-200萬,0,0
201401,09007000,其他,200(含)萬以上,0,0
201402,10017000,其他,未達50萬,14315,59306804
201402,10017000,其他,50(含)-75萬,8448,33712659
201402,10017000,其他,75(含)-100萬,2925,12128011
201402,10017000,其他,100(含)-125萬,1572,6566275
201402,10017000,其他,125(含)-150萬,464,3057793
201402,10017000,其他,150(含)-175萬,376,1862806
201402,10017000,其他,175(含)-200萬,179,1100116
201402,10017000,其他,200(含)萬以上,563,5009770
201402,10018000,其他,未達50萬,24183,100452237
201402,10018000,其他,50(含)-75萬,12168,59904853
201402,10018000,其他,75(含)-100萬,4623,24999232
201402,10018000,其他,100(含)-125萬,3035,18074268
201402,10018000,其他,125(含)-150萬,1047,6637294
201402,10018000,其他,150(含)-175萬,986,6116486
201402,10018000,其他,175(含)-200萬,440,2429642
201402,10018000,其他,200(含)萬以上,1804,14411626
201402,10004000,其他,未達50萬,10243,61694304
201402,10004000,其他,50(含)-75萬,5384,34522764
201402,10004000,其他,75(含)-100萬,2054,13928482
201402,10004000,其他,100(含)-125萬,1359,9650485
201402,10004000,其他,125(含)-150萬,413,2856109
201402,10004000,其他,150(含)-175萬,382,2799193
201402,10004000,其他,175(含)-200萬,188,1122767
201402,10004000,其他,200(含)萬以上,755,7034308
201402,10005000,其他,未達50萬,24021,87287715
201402,10005000,其他,50(含)-75萬,10154,39795501
201402,10005000,其他,75(含)-100萬,3291,13441413
201402,10005000,其他,100(含)-125萬,1824,8531967
201402,10005000,其他,125(含)-150萬,529,2635390
201402,10005000,其他,150(含)-175萬,448,1971518
201402,10005000,其他,175(含)-200萬,217,986671
201402,10005000,其他,200(含)萬以上,872,4562852
201402,10007000,其他,未達50萬,231038,856582273
201402,10007000,其他,50(含)-75萬,94193,406297133
201402,10007000,其他,75(含)-100萬,29066,147066997
201402,10007000,其他,100(含)-125萬,19222,120733516
201402,10007000,其他,125(含)-150萬,5628,35026136
201402,10007000,其他,150(含)-175萬,5155,39015861
201402,10007000,其他,175(含)-200萬,2222,16915981
201402,10007000,其他,200(含)萬以上,10851,94192375
201402,10008000,其他,未達50萬,19342,77826156
201402,10008000,其他,50(含)-75萬,7586,36137514
201402,10008000,其他,75(含)-100萬,2411,11480511
201402,10008000,其他,100(含)-125萬,1461,8233115
201402,10008000,其他,125(含)-150萬,437,2990223
201402,10008000,其他,150(含)-175萬,278,1833100
201402,10008000,其他,175(含)-200萬,120,611446
201402,10008000,其他,200(含)萬以上,704,5030678
201402,10009000,其他,未達50萬,18046,75028700
201402,10009000,其他,50(含)-75萬,8006,38141846
201402,10009000,其他,75(含)-100萬,2365,11973397
201402,10009000,其他,100(含)-125萬,1354,8274142
201402,10009000,其他,125(含)-150萬,391,2048462
201402,10009000,其他,150(含)-175萬,346,2773235
201402,10009000,其他,175(含)-200萬,139,901513
201402,10009000,其他,200(含)萬以上,658,5451518
201402,10020000,其他,未達50萬,41789,132715400
201402,10020000,其他,50(含)-75萬,17126,61392278
201402,10020000,其他,75(含)-100萬,5419,24157776
201402,10020000,其他,100(含)-125萬,2880,13573497
201402,10020000,其他,125(含)-150萬,998,4717778
201402,10020000,其他,150(含)-175萬,705,3761490
201402,10020000,其他,175(含)-200萬,431,1773822
201402,10020000,其他,200(含)萬以上,1591,9176139
201402,10010000,其他,未達50萬,7281,27571445
201402,10010000,其他,50(含)-75萬,3285,13128061
201402,10010000,其他,75(含)-100萬,1358,5091998
201402,10010000,其他,100(含)-125萬,649,3073165
201402,10010000,其他,125(含)-150萬,226,887220
201402,10010000,其他,150(含)-175萬,157,666858
201402,10010000,其他,175(含)-200萬,106,470343
201402,10010000,其他,200(含)萬以上,259,2970576
201402,10013000,其他,未達50萬,24536,87987214
201402,10013000,其他,50(含)-75萬,8947,36095558
201402,10013000,其他,75(含)-100萬,2722,11709357
201402,10013000,其他,100(含)-125萬,1384,6886331
201402,10013000,其他,125(含)-150萬,532,2639409
201402,10013000,其他,150(含)-175萬,314,1390961
201402,10013000,其他,175(含)-200萬,149,936803
201402,10013000,其他,200(含)萬以上,954,4713340
201402,10002000,其他,未達50萬,20340,64438620
201402,10002000,其他,50(含)-75萬,9793,34563177
201402,10002000,其他,75(含)-100萬,3413,12402947
201402,10002000,其他,100(含)-125萬,2058,9097616
201402,10002000,其他,125(含)-150萬,526,2029852
201402,10002000,其他,150(含)-175萬,412,2001345
201402,10002000,其他,175(含)-200萬,248,1082995
201402,10002000,其他,200(含)萬以上,1134,5979191
201402,10015000,其他,未達50萬,13794,56890581
201402,10015000,其他,50(含)-75萬,6630,32613153
201402,10015000,其他,75(含)-100萬,2574,13220982
201402,10015000,其他,100(含)-125萬,1444,7214055
201402,10015000,其他,125(含)-150萬,375,2698601
201402,10015000,其他,150(含)-175萬,280,1915562
201402,10015000,其他,175(含)-200萬,115,607010
201402,10015000,其他,200(含)萬以上,558,3600219
201402,10014000,其他,未達50萬,4724,18084954
201402,10014000,其他,50(含)-75萬,2539,11188758
201402,10014000,其他,75(含)-100萬,903,4213391
201402,10014000,其他,100(含)-125萬,419,2173551
201402,10014000,其他,125(含)-150萬,113,455599
201402,10014000,其他,150(含)-175萬,90,380273
201402,10014000,其他,175(含)-200萬,36,183319
201402,10014000,其他,200(含)萬以上,156,692737
201402,10016000,其他,未達50萬,6795,23955557
201402,10016000,其他,50(含)-75萬,2621,9982572
201402,10016000,其他,75(含)-100萬,913,3365912
201402,10016000,其他,100(含)-125萬,478,2307972
201402,10016000,其他,125(含)-150萬,152,769151
201402,10016000,其他,150(含)-175萬,113,358394
201402,10016000,其他,175(含)-200萬,74,205782
201402,10016000,其他,200(含)萬以上,246,969831
201402,09020000,其他,未達50萬,1040,4211600
201402,09020000,其他,50(含)-75萬,623,2938518
201402,09020000,其他,75(含)-100萬,235,922445
201402,09020000,其他,100(含)-125萬,163,644290
201402,09020000,其他,125(含)-150萬,48,191464
201402,09020000,其他,150(含)-175萬,24,110669
201402,09020000,其他,175(含)-200萬,10,28196
201402,09020000,其他,200(含)萬以上,45,168971
201402,09007000,其他,未達50萬,13,66883
201402,09007000,其他,50(含)-75萬,7,32361
201402,09007000,其他,75(含)-100萬,6,5210
201402,09007000,其他,100(含)-125萬,2,11767
201402,09007000,其他,125(含)-150萬,0,0
201402,09007000,其他,150(含)-175萬,0,0
201402,09007000,其他,175(含)-200萬,1,520
201402,09007000,其他,200(含)萬以上,0,0
201403,10017000,其他,未達50萬,16310,60886646
201403,10017000,其他,50(含)-75萬,9436,36950414
201403,10017000,其他,75(含)-100萬,3383,14415710
201403,10017000,其他,100(含)-125萬,1862,10185282
201403,10017000,其他,125(含)-150萬,573,2873982
201403,10017000,其他,150(含)-175萬,444,2251781
201403,10017000,其他,175(含)-200萬,185,1072358
201403,10017000,其他,200(含)萬以上,842,4219875
201403,10018000,其他,未達50萬,27737,114747279
201403,10018000,其他,50(含)-75萬,13817,69175767
201403,10018000,其他,75(含)-100萬,5213,28294394
201403,10018000,其他,100(含)-125萬,3417,23536668
201403,10018000,其他,125(含)-150萬,1194,7644818
201403,10018000,其他,150(含)-175萬,1039,6338041
201403,10018000,其他,175(含)-200萬,497,3780891
201403,10018000,其他,200(含)萬以上,2150,16548599
201403,10004000,其他,未達50萬,11864,58439085
201403,10004000,其他,50(含)-75萬,6254,32221282
201403,10004000,其他,75(含)-100萬,2507,15574553
201403,10004000,其他,100(含)-125萬,1557,9832543
201403,10004000,其他,125(含)-150萬,540,2992203
201403,10004000,其他,150(含)-175萬,395,2460043
201403,10004000,其他,175(含)-200萬,228,1471941
201403,10004000,其他,200(含)萬以上,940,7972154
201403,10005000,其他,未達50萬,25561,92599195
201403,10005000,其他,50(含)-75萬,10734,44507001
201403,10005000,其他,75(含)-100萬,3497,15868234
201403,10005000,其他,100(含)-125萬,1979,10219198
201403,10005000,其他,125(含)-150萬,580,3398192
201403,10005000,其他,150(含)-175萬,454,2286684
201403,10005000,其他,175(含)-200萬,233,1381975
201403,10005000,其他,200(含)萬以上,1062,5806142
201403,10007000,其他,未達50萬,263930,986197303
201403,10007000,其他,50(含)-75萬,106438,476336208
201403,10007000,其他,75(含)-100萬,32775,171389432
201403,10007000,其他,100(含)-125萬,21720,141931645
201403,10007000,其他,125(含)-150萬,6742,41786800
201403,10007000,其他,150(含)-175萬,5897,44267503
201403,10007000,其他,175(含)-200萬,2458,19178383
201403,10007000,其他,200(含)萬以上,12750,130553102
201403,10008000,其他,未達50萬,21719,77166488
201403,10008000,其他,50(含)-75萬,8313,36838582
201403,10008000,其他,75(含)-100萬,2694,12859551
201403,10008000,其他,100(含)-125萬,1529,9955042
201403,10008000,其他,125(含)-150萬,407,2392043
201403,10008000,其他,150(含)-175萬,284,1881859
201403,10008000,其他,175(含)-200萬,138,1551432
201403,10008000,其他,200(含)萬以上,767,5968410
201403,10009000,其他,未達50萬,18891,70521365
201403,10009000,其他,50(含)-75萬,8078,35167740
201403,10009000,其他,75(含)-100萬,2453,11995038
201403,10009000,其他,100(含)-125萬,1364,8317898
201403,10009000,其他,125(含)-150萬,350,1977395
201403,10009000,其他,150(含)-175萬,287,1672758
201403,10009000,其他,175(含)-200萬,133,654569
201403,10009000,其他,200(含)萬以上,679,4092309
201403,10020000,其他,未達50萬,41450,138670521
201403,10020000,其他,50(含)-75萬,16843,66537246
201403,10020000,其他,75(含)-100萬,5200,22192978
201403,10020000,其他,100(含)-125萬,2954,15952765
201403,10020000,其他,125(含)-150萬,964,4568477
