年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,衣,未達50萬,469639,1393202634
201401,63000000,衣,50(含)-75萬,227345,685774022
201401,63000000,衣,75(含)-100萬,74454,253572863
201401,63000000,衣,100(含)-125萬,44982,177176469
201401,63000000,衣,125(含)-150萬,15410,62846310
201401,63000000,衣,150(含)-175萬,13227,57947582
201401,63000000,衣,175(含)-200萬,6246,27947763
201401,63000000,衣,200(含)萬以上,27259,185993046
201401,65000000,衣,未達50萬,97688,285209287
201401,65000000,衣,50(含)-75萬,44073,133517005
201401,65000000,衣,75(含)-100萬,14187,45408809
201401,65000000,衣,100(含)-125萬,7112,25343662
201401,65000000,衣,125(含)-150萬,2575,9159047
201401,65000000,衣,150(含)-175萬,2050,7624165
201401,65000000,衣,175(含)-200萬,1027,4047514
201401,65000000,衣,200(含)萬以上,3584,15729929
201401,68000000,衣,未達50萬,116281,289788350
201401,68000000,衣,50(含)-75萬,49585,126612187
201401,68000000,衣,75(含)-100萬,15098,39937744
201401,68000000,衣,100(含)-125萬,7716,23387869
201401,68000000,衣,125(含)-150萬,2604,7945111
201401,68000000,衣,150(含)-175萬,2047,6334197
201401,68000000,衣,175(含)-200萬,1011,2903617
201401,68000000,衣,200(含)萬以上,4282,18074250
201401,66000000,衣,未達50萬,89035,253477292
201401,66000000,衣,50(含)-75萬,34577,106126739
201401,66000000,衣,75(含)-100萬,10378,34434890
201401,66000000,衣,100(含)-125萬,5203,20292002
201401,66000000,衣,125(含)-150萬,1653,5985749
201401,66000000,衣,150(含)-175萬,1388,5249542
201401,66000000,衣,175(含)-200萬,719,2991832
201401,66000000,衣,200(含)萬以上,3175,17100744
201401,67000000,衣,未達50萬,77532,209202519
201401,67000000,衣,50(含)-75萬,32902,97714333
201401,67000000,衣,75(含)-100萬,9182,28574407
201401,67000000,衣,100(含)-125萬,4764,16702427
201401,67000000,衣,125(含)-150萬,1443,4850417
201401,67000000,衣,150(含)-175萬,1211,4055446
201401,67000000,衣,175(含)-200萬,572,2058877
201401,67000000,衣,200(含)萬以上,2575,11318829
201401,64000000,衣,未達50萬,140752,346297901
201401,64000000,衣,50(含)-75萬,53085,144379709
201401,64000000,衣,75(含)-100萬,16273,45835216
201401,64000000,衣,100(含)-125萬,8104,26192250
201401,64000000,衣,125(含)-150萬,2622,8513482
201401,64000000,衣,150(含)-175萬,2047,7068657
201401,64000000,衣,175(含)-200萬,1037,3856847
201401,64000000,衣,200(含)萬以上,4776,20721646
