年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,百貨,未達50萬,1433915,3615327931
201401,63000000,百貨,50(含)-75萬,765996,2059013950
201401,63000000,百貨,75(含)-100萬,272178,833137365
201401,63000000,百貨,100(含)-125萬,178095,617377993
201401,63000000,百貨,125(含)-150萬,63372,229519505
201401,63000000,百貨,150(含)-175萬,54367,207559759
201401,63000000,百貨,175(含)-200萬,29875,116411466
201401,63000000,百貨,200(含)萬以上,119258,636870820
201401,65000000,百貨,未達50萬,182119,607673599
201401,65000000,百貨,50(含)-75萬,81779,303527286
201401,65000000,百貨,75(含)-100萬,33774,127886746
201401,65000000,百貨,100(含)-125萬,18517,80033478
201401,65000000,百貨,125(含)-150萬,6965,29573242
201401,65000000,百貨,150(含)-175萬,5477,24082830
201401,65000000,百貨,175(含)-200萬,3221,14832381
201401,65000000,百貨,200(含)萬以上,10164,53076960
201401,68000000,百貨,未達50萬,333872,1017646658
201401,68000000,百貨,50(含)-75萬,171485,552023705
201401,68000000,百貨,75(含)-100萬,68999,225913061
201401,68000000,百貨,100(含)-125萬,46601,176484282
201401,68000000,百貨,125(含)-150萬,15756,57600612
201401,68000000,百貨,150(含)-175萬,13263,50342117
201401,68000000,百貨,175(含)-200萬,6911,29259524
201401,68000000,百貨,200(含)萬以上,32766,169279052
201401,66000000,百貨,未達50萬,335147,1161841778
201401,66000000,百貨,50(含)-75萬,161915,622226743
201401,66000000,百貨,75(含)-100萬,48587,208432472
201401,66000000,百貨,100(含)-125萬,28458,143247755
201401,66000000,百貨,125(含)-150萬,8511,45991879
201401,66000000,百貨,150(含)-175萬,7523,41595311
201401,66000000,百貨,175(含)-200萬,4213,23088061
201401,66000000,百貨,200(含)萬以上,19515,143293289
201401,67000000,百貨,未達50萬,190155,456521369
201401,67000000,百貨,50(含)-75萬,107001,284400854
201401,67000000,百貨,75(含)-100萬,25393,78633860
201401,67000000,百貨,100(含)-125萬,14299,51851844
201401,67000000,百貨,125(含)-150萬,4508,17582165
201401,67000000,百貨,150(含)-175萬,3756,16077380
201401,67000000,百貨,175(含)-200萬,2039,8651801
201401,67000000,百貨,200(含)萬以上,8752,53007750
201401,64000000,百貨,未達50萬,484190,1168676587
201401,64000000,百貨,50(含)-75萬,211584,559469027
201401,64000000,百貨,75(含)-100萬,79090,236579181
201401,64000000,百貨,100(含)-125萬,44710,145284295
201401,64000000,百貨,125(含)-150萬,13312,50172446
201401,64000000,百貨,150(含)-175萬,11214,41294064
201401,64000000,百貨,175(含)-200萬,6476,24319937
201401,64000000,百貨,200(含)萬以上,25871,119363197
201402,63000000,百貨,未達50萬,1218013,2917765738
201402,63000000,百貨,50(含)-75萬,643802,1621433394
201402,63000000,百貨,75(含)-100萬,223962,640577984
201402,63000000,百貨,100(含)-125萬,146782,474795739
201402,63000000,百貨,125(含)-150萬,51827,171701435
201402,63000000,百貨,150(含)-175萬,45365,167604072
201402,63000000,百貨,175(含)-200萬,24345,93781381
201402,63000000,百貨,200(含)萬以上,97309,527399866
201402,65000000,百貨,未達50萬,142745,416035480
201402,65000000,百貨,50(含)-75萬,60470,184086195
201402,65000000,百貨,75(含)-100萬,24211,77758680
201402,65000000,百貨,100(含)-125萬,13220,46759169
201402,65000000,百貨,125(含)-150萬,5073,17445892
201402,65000000,百貨,150(含)-175萬,3976,15664027
201402,65000000,百貨,175(含)-200萬,2184,7633781
201402,65000000,百貨,200(含)萬以上,7562,32721115
201402,68000000,百貨,未達50萬,279500,829608204
201402,68000000,百貨,50(含)-75萬,142038,441535274
201402,68000000,百貨,75(含)-100萬,55628,175930023
201402,68000000,百貨,100(含)-125萬,38821,141951356
201402,68000000,百貨,125(含)-150萬,13205,46560285
201402,68000000,百貨,150(含)-175萬,11163,41156692
201402,68000000,百貨,175(含)-200萬,5642,20986246
201402,68000000,百貨,200(含)萬以上,26945,134971318
201402,66000000,百貨,未達50萬,259364,849423300
201402,66000000,百貨,50(含)-75萬,121852,434080262
201402,66000000,百貨,75(含)-100萬,36000,144932745
201402,66000000,百貨,100(含)-125萬,20846,93918150
201402,66000000,百貨,125(含)-150萬,6339,32557135
201402,66000000,百貨,150(含)-175萬,5349,30402500
201402,66000000,百貨,175(含)-200萬,3099,14532295
201402,66000000,百貨,200(含)萬以上,14335,108206361
201402,67000000,百貨,未達50萬,162793,396406171
201402,67000000,百貨,50(含)-75萬,92039,240744729
201402,67000000,百貨,75(含)-100萬,20952,63822327
201402,67000000,百貨,100(含)-125萬,11793,44509493
201402,67000000,百貨,125(含)-150萬,3578,15038716
201402,67000000,百貨,150(含)-175萬,2994,13183230
201402,67000000,百貨,175(含)-200萬,1613,6151863
201402,67000000,百貨,200(含)萬以上,7039,43260335
201402,64000000,百貨,未達50萬,421739,975358422
201402,64000000,百貨,50(含)-75萬,183129,461299407
201402,64000000,百貨,75(含)-100萬,66245,184256132
201402,64000000,百貨,100(含)-125萬,38344,117697634
201402,64000000,百貨,125(含)-150萬,11743,42475223
201402,64000000,百貨,150(含)-175萬,9925,34169566
201402,64000000,百貨,175(含)-200萬,5544,19302893
201402,64000000,百貨,200(含)萬以上,22782,111123102
201403,63000000,百貨,未達50萬,1274580,2790938270
201403,63000000,百貨,50(含)-75萬,651294,1486609645
201403,63000000,百貨,75(含)-100萬,228998,597284854
201403,63000000,百貨,100(含)-125萬,147065,439602649
201403,63000000,百貨,125(含)-150萬,53297,168441999
201403,63000000,百貨,150(含)-175萬,46445,152196792
201403,63000000,百貨,175(含)-200萬,24618,81544549
201403,63000000,百貨,200(含)萬以上,101099,482831673
201403,65000000,百貨,未達50萬,138633,408698850
201403,65000000,百貨,50(含)-75萬,58634,177242305
201403,65000000,百貨,75(含)-100萬,24739,77666257
201403,65000000,百貨,100(含)-125萬,13426,46635405
201403,65000000,百貨,125(含)-150萬,4991,18335814
201403,65000000,百貨,150(含)-175萬,4061,13640510
201403,65000000,百貨,175(含)-200萬,2392,9105572
201403,65000000,百貨,200(含)萬以上,7271,32131929
201403,68000000,百貨,未達50萬,277406,783971313
201403,68000000,百貨,50(含)-75萬,140714,420926816
201403,68000000,百貨,75(含)-100萬,55248,172907704
201403,68000000,百貨,100(含)-125萬,38960,133959708
201403,68000000,百貨,125(含)-150萬,13476,47293683
201403,68000000,百貨,150(含)-175萬,11768,42358100
201403,68000000,百貨,175(含)-200萬,5927,21685073
201403,68000000,百貨,200(含)萬以上,28911,137439334
201403,66000000,百貨,未達50萬,271661,1075530371
201403,66000000,百貨,50(含)-75萬,121948,543679998
201403,66000000,百貨,75(含)-100萬,36968,194139614
201403,66000000,百貨,100(含)-125萬,20889,126804149
201403,66000000,百貨,125(含)-150萬,6220,41811307
201403,66000000,百貨,150(含)-175萬,5522,38037292
201403,66000000,百貨,175(含)-200萬,3110,20573700
201403,66000000,百貨,200(含)萬以上,14838,145000343
201403,67000000,百貨,未達50萬,152761,331588785
201403,67000000,百貨,50(含)-75萬,80890,187179249
201403,67000000,百貨,75(含)-100萬,18259,50619660
201403,67000000,百貨,100(含)-125萬,10485,33647619
201403,67000000,百貨,125(含)-150萬,3429,12393930
201403,67000000,百貨,150(含)-175萬,2591,10414579
201403,67000000,百貨,175(含)-200萬,1588,6919760
201403,67000000,百貨,200(含)萬以上,6229,35798945
201403,64000000,百貨,未達50萬,392913,934528371
201403,64000000,百貨,50(含)-75萬,165162,445891764
201403,64000000,百貨,75(含)-100萬,60308,180306105
201403,64000000,百貨,100(含)-125萬,34011,120546377
201403,64000000,百貨,125(含)-150萬,10351,39556121
201403,64000000,百貨,150(含)-175萬,8728,38525078
201403,64000000,百貨,175(含)-200萬,5121,20838478
201403,64000000,百貨,200(含)萬以上,20824,105458132
201404,63000000,百貨,未達50萬,1307155,3596294341
201404,63000000,百貨,50(含)-75萬,681977,1968363026
201404,63000000,百貨,75(含)-100萬,235988,782539129
201404,63000000,百貨,100(含)-125萬,149111,558456797
201404,63000000,百貨,125(含)-150萬,55492,234508675
201404,63000000,百貨,150(含)-175萬,48021,213323722
201404,63000000,百貨,175(含)-200萬,25670,131258653
201404,63000000,百貨,200(含)萬以上,102895,672919824
201404,65000000,百貨,未達50萬,146119,504416038
201404,65000000,百貨,50(含)-75萬,60807,215666918
