年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,食,未達50萬,2679556,3503463235
201401,63000000,食,50(含)-75萬,1534628,1963048828
201401,63000000,食,75(含)-100萬,649696,898061464
201401,63000000,食,100(含)-125萬,396899,676225435
201401,63000000,食,125(含)-150萬,142410,254563125
201401,63000000,食,150(含)-175萬,117946,244822483
201401,63000000,食,175(含)-200萬,66129,127810418
201401,63000000,食,200(含)萬以上,220113,647101477
201401,65000000,食,未達50萬,660406,1007628881
201401,65000000,食,50(含)-75萬,318781,486498719
201401,65000000,食,75(含)-100萬,119869,201315343
201401,65000000,食,100(含)-125萬,64671,116375877
201401,65000000,食,125(含)-150萬,27024,58021645
201401,65000000,食,150(含)-175萬,26616,67674846
201401,65000000,食,175(含)-200萬,12113,29694940
201401,65000000,食,200(含)萬以上,33454,86170235
201401,68000000,食,未達50萬,521488,894022801
201401,68000000,食,50(含)-75萬,246811,426763869
201401,68000000,食,75(含)-100萬,96447,177904293
201401,68000000,食,100(含)-125萬,53937,106584703
201401,68000000,食,125(含)-150萬,19770,43303165
201401,68000000,食,150(含)-175萬,15816,37915182
201401,68000000,食,175(含)-200萬,7268,16711360
201401,68000000,食,200(含)萬以上,27692,76089463
201401,66000000,食,未達50萬,458427,932540674
201401,66000000,食,50(含)-75萬,211238,415721374
201401,66000000,食,75(含)-100萬,73555,173835219
201401,66000000,食,100(含)-125萬,39984,99686519
201401,66000000,食,125(含)-150萬,15102,59403667
201401,66000000,食,150(含)-175萬,13966,55675592
201401,66000000,食,175(含)-200萬,6506,18648442
201401,66000000,食,200(含)萬以上,25320,140033599
201401,67000000,食,未達50萬,359055,574915909
201401,67000000,食,50(含)-75萬,163753,283436830
201401,67000000,食,75(含)-100萬,54916,106128807
201401,67000000,食,100(含)-125萬,28910,63039980
201401,67000000,食,125(含)-150萬,10988,26684025
201401,67000000,食,150(含)-175萬,8802,22123979
201401,67000000,食,175(含)-200萬,4061,10020180
201401,67000000,食,200(含)萬以上,16402,51968714
201401,64000000,食,未達50萬,721894,1190414212
201401,64000000,食,50(含)-75萬,300479,524828611
201401,64000000,食,75(含)-100萬,117057,229955083
201401,64000000,食,100(含)-125萬,63552,145302608
201401,64000000,食,125(含)-150萬,25279,60087490
201401,64000000,食,150(含)-175萬,22519,61078113
201401,64000000,食,175(含)-200萬,9964,26094852
201401,64000000,食,200(含)萬以上,38898,130077902
201402,63000000,食,未達50萬,2216043,2528316848
201402,63000000,食,50(含)-75萬,1292757,1436328785
201402,63000000,食,75(含)-100萬,546794,644787317
201402,63000000,食,100(含)-125萬,335634,497398241
201402,63000000,食,125(含)-150萬,119341,181906746
201402,63000000,食,150(含)-175萬,98952,177085538
201402,63000000,食,175(含)-200萬,56156,97913192
201402,63000000,食,200(含)萬以上,184197,475406688
201402,65000000,食,未達50萬,499055,596317025
201402,65000000,食,50(含)-75萬,247838,293021718
201402,65000000,食,75(含)-100萬,93122,123529300
201402,65000000,食,100(含)-125萬,51812,71213403
201402,65000000,食,125(含)-150萬,20577,33670110
201402,65000000,食,150(含)-175萬,18974,35396834
201402,65000000,食,175(含)-200萬,9005,16290371
201402,65000000,食,200(含)萬以上,25879,51573605
201402,68000000,食,未達50萬,392472,544269093
201402,68000000,食,50(含)-75萬,191406,265197789
201402,68000000,食,75(含)-100萬,75047,111947837
201402,68000000,食,100(含)-125萬,42499,66459562
201402,68000000,食,125(含)-150萬,15448,27501888
201402,68000000,食,150(含)-175萬,12500,23587469
201402,68000000,食,175(含)-200萬,5681,10500141
201402,68000000,食,200(含)萬以上,21208,44871356
201402,66000000,食,未達50萬,363933,533096974
201402,66000000,食,50(含)-75萬,172221,257520874
201402,66000000,食,75(含)-100萬,58823,99324890
201402,66000000,食,100(含)-125萬,33885,67112572
201402,66000000,食,125(含)-150萬,11777,23875998
201402,66000000,食,150(含)-175萬,10772,26432159
201402,66000000,食,175(含)-200萬,5381,11989221
201402,66000000,食,200(含)萬以上,20805,60088994
201402,67000000,食,未達50萬,267696,361675002
201402,67000000,食,50(含)-75萬,125699,178162918
201402,67000000,食,75(含)-100萬,41408,65862324
201402,67000000,食,100(含)-125萬,23030,42866179
201402,67000000,食,125(含)-150萬,8256,14438112
201402,67000000,食,150(含)-175萬,6563,13019766
201402,67000000,食,175(含)-200萬,3186,6885268
201402,67000000,食,200(含)萬以上,12777,31404285
201402,64000000,食,未達50萬,554431,773930570
201402,64000000,食,50(含)-75萬,239482,353187344
201402,64000000,食,75(含)-100萬,92282,150999510
201402,64000000,食,100(含)-125萬,51577,97871991
201402,64000000,食,125(含)-150萬,19353,39996393
201402,64000000,食,150(含)-175萬,17621,36435194
201402,64000000,食,175(含)-200萬,8111,16871372
201402,64000000,食,200(含)萬以上,31075,89659477
201403,63000000,食,未達50萬,2645756,2735306647
201403,63000000,食,50(含)-75萬,1497724,1517399187
201403,63000000,食,75(含)-100萬,637102,683294959
201403,63000000,食,100(含)-125萬,381288,501986273
201403,63000000,食,125(含)-150萬,137974,191590826
201403,63000000,食,150(含)-175萬,113341,190609080
201403,63000000,食,175(含)-200萬,65098,98807506
201403,63000000,食,200(含)萬以上,209900,496433860
201403,65000000,食,未達50萬,596352,720619800
201403,65000000,食,50(含)-75萬,288464,343797543
201403,65000000,食,75(含)-100萬,107950,143925391
201403,65000000,食,100(含)-125萬,58056,75972853
201403,65000000,食,125(含)-150萬,24618,39232478
