年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,住,未達50萬,345731,1550688776
201401,63000000,住,50(含)-75萬,205467,920461750
201401,63000000,住,75(含)-100萬,85178,440822118
201401,63000000,住,100(含)-125萬,61267,386799475
201401,63000000,住,125(含)-150萬,21043,132420965
201401,63000000,住,150(含)-175萬,19708,138338905
201401,63000000,住,175(含)-200萬,9770,65888479
201401,63000000,住,200(含)萬以上,47271,463259080
201401,65000000,住,未達50萬,82548,429795789
201401,65000000,住,50(含)-75萬,47642,253855159
201401,65000000,住,75(含)-100萬,22484,123490363
201401,65000000,住,100(含)-125萬,12381,78900384
201401,65000000,住,125(含)-150萬,4328,28099717
201401,65000000,住,150(含)-175萬,3362,24963710
201401,65000000,住,175(含)-200萬,2011,13616762
201401,65000000,住,200(含)萬以上,6788,61993089
201401,68000000,住,未達50萬,78935,344251874
201401,68000000,住,50(含)-75萬,43873,199121019
201401,68000000,住,75(含)-100萬,19298,89500696
201401,68000000,住,100(含)-125萬,12029,66660000
201401,68000000,住,125(含)-150萬,4402,23877703
201401,68000000,住,150(含)-175萬,3625,28303826
201401,68000000,住,175(含)-200萬,1711,10726982
201401,68000000,住,200(含)萬以上,7608,65902387
201401,66000000,住,未達50萬,56828,322479499
201401,66000000,住,50(含)-75萬,29126,174681250
201401,66000000,住,75(含)-100萬,11779,73787188
201401,66000000,住,100(含)-125萬,7173,52045953
201401,66000000,住,125(含)-150萬,2250,17725661
201401,66000000,住,150(含)-175萬,1951,17038839
201401,66000000,住,175(含)-200萬,1079,8073337
201401,66000000,住,200(含)萬以上,5052,56824916
201401,67000000,住,未達50萬,69037,307338915
201401,67000000,住,50(含)-75萬,36818,172495375
201401,67000000,住,75(含)-100萬,14802,71724941
201401,67000000,住,100(含)-125萬,9092,51034420
201401,67000000,住,125(含)-150萬,3089,17115848
201401,67000000,住,150(含)-175萬,2522,15221215
201401,67000000,住,175(含)-200萬,1179,6621780
201401,67000000,住,200(含)萬以上,6029,48721148
201401,64000000,住,未達50萬,139022,562965498
201401,64000000,住,50(含)-75萬,73329,299711960
201401,64000000,住,75(含)-100萬,31723,136479813
201401,64000000,住,100(含)-125萬,18363,104333867
201401,64000000,住,125(含)-150萬,5719,36364102
201401,64000000,住,150(含)-175萬,4973,38212759
201401,64000000,住,175(含)-200萬,2573,16406290
201401,64000000,住,200(含)萬以上,11147,117829884
201402,63000000,住,未達50萬,262441,1052654025
201402,63000000,住,50(含)-75萬,156882,604103144
201402,63000000,住,75(含)-100萬,63830,275819112
201402,63000000,住,100(含)-125萬,47736,258109045
