年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,其他,未達50萬,6448014,18518610480
201401,63000000,其他,50(含)-75萬,3217389,8788784889
201401,63000000,其他,75(含)-100萬,1217616,3620192965
201401,63000000,其他,100(含)-125萬,723500,2672430196
201401,63000000,其他,125(含)-150萬,235566,874379189
201401,63000000,其他,150(含)-175萬,192444,928540069
201401,63000000,其他,175(含)-200萬,101781,455003560
201401,63000000,其他,200(含)萬以上,391073,3013477441
201401,65000000,其他,未達50萬,246603,966192022
201401,65000000,其他,50(含)-75萬,123241,526484671
201401,65000000,其他,75(含)-100萬,46794,216634170
201401,65000000,其他,100(含)-125萬,25957,144732353
201401,65000000,其他,125(含)-150萬,8924,41208655
201401,65000000,其他,150(含)-175萬,6972,41441540
201401,65000000,其他,175(含)-200萬,3446,19519978
201401,65000000,其他,200(含)萬以上,11940,95185668
201401,68000000,其他,未達50萬,207121,937856488
201401,68000000,其他,50(含)-75萬,87849,455214775
201401,68000000,其他,75(含)-100萬,31049,183316036
201401,68000000,其他,100(含)-125萬,19047,130687855
201401,68000000,其他,125(含)-150萬,6672,46549128
201401,68000000,其他,150(含)-175萬,5275,37542247
201401,68000000,其他,175(含)-200萬,2321,20314373
201401,68000000,其他,200(含)萬以上,10548,96546322
201401,66000000,其他,未達50萬,188526,862688037
201401,66000000,其他,50(含)-75萬,102274,438039579
201401,66000000,其他,75(含)-100萬,40182,176036578
201401,66000000,其他,100(含)-125萬,21383,118390964
201401,66000000,其他,125(含)-150萬,6636,38788518
201401,66000000,其他,150(含)-175萬,5014,32008039
201401,66000000,其他,175(含)-200萬,3027,17185277
201401,66000000,其他,200(含)萬以上,11229,91133981
201401,67000000,其他,未達50萬,141569,555439856
201401,67000000,其他,50(含)-75萬,61875,280892991
201401,67000000,其他,75(含)-100萬,18880,99409650
201401,67000000,其他,100(含)-125萬,11204,67301136
201401,67000000,其他,125(含)-150萬,3532,20642210
201401,67000000,其他,150(含)-175萬,2722,17708451
201401,67000000,其他,175(含)-200萬,1284,9834089
201401,67000000,其他,200(含)萬以上,5711,39351970
201401,64000000,其他,未達50萬,292941,1070257723
201401,64000000,其他,50(含)-75萬,126854,516290883
201401,64000000,其他,75(含)-100萬,51258,205874357
201401,64000000,其他,100(含)-125萬,26086,138777813
201401,64000000,其他,125(含)-150萬,8341,43669611
201401,64000000,其他,150(含)-175萬,6329,36367896
201401,64000000,其他,175(含)-200萬,3862,19890769
201401,64000000,其他,200(含)萬以上,13141,103796318
201402,63000000,其他,未達50萬,5912072,15887306690
201402,63000000,其他,50(含)-75萬,2966602,7699897049
201402,63000000,其他,75(含)-100萬,1107940,3118632877
201402,63000000,其他,100(含)-125萬,660409,2314522751
201402,63000000,其他,125(含)-150萬,210507,738348305
201402,63000000,其他,150(含)-175萬,174319,772755388
201402,63000000,其他,175(含)-200萬,90204,381924500
201402,63000000,其他,200(含)萬以上,355709,2482081992
201402,65000000,其他,未達50萬,199482,726024770
201402,65000000,其他,50(含)-75萬,97204,379828074
201402,65000000,其他,75(含)-100萬,36856,156095749
201402,65000000,其他,100(含)-125萬,21141,100653957
201402,65000000,其他,125(含)-150萬,7189,33017639
201402,65000000,其他,150(含)-175萬,5395,29645936
201402,65000000,其他,175(含)-200萬,2889,15756678
201402,65000000,其他,200(含)萬以上,10026,67466595
201402,68000000,其他,未達50萬,155059,655013698
201402,68000000,其他,50(含)-75萬,67112,318189330
201402,68000000,其他,75(含)-100萬,23596,129731309
201402,68000000,其他,100(含)-125萬,14359,90033917
201402,68000000,其他,125(含)-150萬,5009,34545424
201402,68000000,其他,150(含)-175萬,3823,25666012
201402,68000000,其他,175(含)-200萬,1714,12668185
201402,68000000,其他,200(含)萬以上,7843,64902163
201402,66000000,其他,未達50萬,153863,662100436
201402,66000000,其他,50(含)-75萬,86932,341272998
201402,66000000,其他,75(含)-100萬,35053,135987171
201402,66000000,其他,100(含)-125萬,18311,89899984
201402,66000000,其他,125(含)-150萬,5613,25883560
201402,66000000,其他,150(含)-175萬,4280,23964289
201402,66000000,其他,175(含)-200萬,2687,10619280
201402,66000000,其他,200(含)萬以上,9121,66480846
201402,67000000,其他,未達50萬,108645,408172909
201402,67000000,其他,50(含)-75萬,47434,209393614
201402,67000000,其他,75(含)-100萬,14470,72076943
201402,67000000,其他,100(含)-125萬,8410,50272941
201402,67000000,其他,125(含)-150萬,2660,14293942
201402,67000000,其他,150(含)-175萬,2086,11966142
201402,67000000,其他,175(含)-200萬,985,6444593
201402,67000000,其他,200(含)萬以上,4143,34593386
201402,64000000,其他,未達50萬,241513,852801869
201402,64000000,其他,50(含)-75萬,107320,405347770
201402,64000000,其他,75(含)-100萬,44354,165899255
201402,64000000,其他,100(含)-125萬,22252,110495049
201402,64000000,其他,125(含)-150萬,7181,35626693
201402,64000000,其他,150(含)-175萬,5294,30081016
201402,64000000,其他,175(含)-200萬,3301,17964830
201402,64000000,其他,200(含)萬以上,10938,86620145
201403,63000000,其他,未達50萬,6790534,18434450426
201403,63000000,其他,50(含)-75萬,3423804,8858986681
201403,63000000,其他,75(含)-100萬,1283780,3553893358
201403,63000000,其他,100(含)-125萬,762478,2682402133
201403,63000000,其他,125(含)-150萬,245330,838850100
201403,63000000,其他,150(含)-175萬,201607,932529914
201403,63000000,其他,175(含)-200萬,106838,466146880
201403,63000000,其他,200(含)萬以上,413197,3425986484
201403,65000000,其他,未達50萬,221726,803894390
201403,65000000,其他,50(含)-75萬,107093,430281398
201403,65000000,其他,75(含)-100萬,39222,172841038
201403,65000000,其他,100(含)-125萬,22880,117111077
201403,65000000,其他,125(含)-150萬,7508,36938591
201403,65000000,其他,150(含)-175萬,6079,32284787
201403,65000000,其他,175(含)-200萬,3130,17292809
201403,65000000,其他,200(含)萬以上,10605,76985272
