年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,行,未達50萬,2241053,2272794604
201401,63000000,行,50(含)-75萬,1371178,1463161630
201401,63000000,行,75(含)-100萬,597368,690943580
201401,63000000,行,100(含)-125萬,316594,417707593
201401,63000000,行,125(含)-150萬,110570,149142885
201401,63000000,行,150(含)-175萬,80978,115550605
201401,63000000,行,175(含)-200萬,47193,67189645
201401,63000000,行,200(含)萬以上,146286,248559073
201401,65000000,行,未達50萬,379394,339968908
201401,65000000,行,50(含)-75萬,136544,137003395
201401,65000000,行,75(含)-100萬,60965,68551157
201401,65000000,行,100(含)-125萬,27618,35444467
201401,65000000,行,125(含)-150萬,10567,14371825
201401,65000000,行,150(含)-175萬,6577,8930696
201401,65000000,行,175(含)-200萬,4072,6087260
201401,65000000,行,200(含)萬以上,9188,15375876
201401,68000000,行,未達50萬,592524,712522794
201401,68000000,行,50(含)-75萬,264052,347576518
201401,68000000,行,75(含)-100萬,102329,148256392
201401,68000000,行,100(含)-125萬,60342,102716410
201401,68000000,行,125(含)-150萬,22026,38199780
201401,68000000,行,150(含)-175萬,15268,27671325
201401,68000000,行,175(含)-200萬,7264,14232555
201401,68000000,行,200(含)萬以上,31663,73857598
201401,66000000,行,未達50萬,195049,209220460
201401,66000000,行,50(含)-75萬,83003,102865387
201401,66000000,行,75(含)-100萬,34603,47662780
201401,66000000,行,100(含)-125萬,15225,22420616
201401,66000000,行,125(含)-150萬,5304,8195252
201401,66000000,行,150(含)-175萬,3132,5295859
201401,66000000,行,175(含)-200萬,2343,3493984
201401,66000000,行,200(含)萬以上,5667,13219371
201401,67000000,行,未達50萬,497940,503693696
201401,67000000,行,50(含)-75萬,202222,229265271
201401,67000000,行,75(含)-100萬,70560,86221099
201401,67000000,行,100(含)-125萬,41666,59965050
201401,67000000,行,125(含)-150萬,13486,17795749
201401,67000000,行,150(含)-175萬,10494,15451028
201401,67000000,行,175(含)-200萬,4998,7177832
201401,67000000,行,200(含)萬以上,22841,39440122
201401,64000000,行,未達50萬,662607,681702620
201401,64000000,行,50(含)-75萬,274868,316099800
201401,64000000,行,75(含)-100萬,105088,134225399
201401,64000000,行,100(含)-125萬,61073,95577601
