年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10005000,衣,未達50萬,19782,56074656
201401,10005000,衣,50(含)-75萬,8282,25845492
201401,10005000,衣,75(含)-100萬,2316,7435592
201401,10005000,衣,100(含)-125萬,1193,4064016
201401,10005000,衣,125(含)-150萬,383,1375448
201401,10005000,衣,150(含)-175萬,262,856323
201401,10005000,衣,175(含)-200萬,169,490202
201401,10005000,衣,200(含)萬以上,640,2524433
201402,10005000,衣,未達50萬,11132,28977941
201402,10005000,衣,50(含)-75萬,4739,14271923
201402,10005000,衣,75(含)-100萬,1459,4372959
201402,10005000,衣,100(含)-125萬,728,2228128
201402,10005000,衣,125(含)-150萬,232,783235
201402,10005000,衣,150(含)-175萬,169,660228
201402,10005000,衣,175(含)-200萬,87,284521
201402,10005000,衣,200(含)萬以上,359,1234353
201403,10005000,衣,未達50萬,12107,31065797
201403,10005000,衣,50(含)-75萬,4887,13486618
201403,10005000,衣,75(含)-100萬,1469,4368605
201403,10005000,衣,100(含)-125萬,768,2233757
201403,10005000,衣,125(含)-150萬,245,811314
201403,10005000,衣,150(含)-175萬,199,691830
201403,10005000,衣,175(含)-200萬,108,281775
201403,10005000,衣,200(含)萬以上,409,1520356
201404,10005000,衣,未達50萬,12265,30949409
201404,10005000,衣,50(含)-75萬,4919,13736174
201404,10005000,衣,75(含)-100萬,1444,4515529
201404,10005000,衣,100(含)-125萬,682,2049642
201404,10005000,衣,125(含)-150萬,234,690848
201404,10005000,衣,150(含)-175萬,187,557401
201404,10005000,衣,175(含)-200萬,113,359555
201404,10005000,衣,200(含)萬以上,416,1704609
201405,10005000,衣,未達50萬,14166,35291311
201405,10005000,衣,50(含)-75萬,5742,15632868
201405,10005000,衣,75(含)-100萬,1815,5429366
201405,10005000,衣,100(含)-125萬,860,2774337
201405,10005000,衣,125(含)-150萬,286,871081
201405,10005000,衣,150(含)-175萬,197,500036
201405,10005000,衣,175(含)-200萬,109,305264
201405,10005000,衣,200(含)萬以上,400,1327067
201406,10005000,衣,未達50萬,13447,32713343
201406,10005000,衣,50(含)-75萬,5586,14368725
201406,10005000,衣,75(含)-100萬,1722,4571686
