年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10005000,百貨,未達50萬,9449,10108088
201401,10005000,百貨,50(含)-75萬,3287,4025732
201401,10005000,百貨,75(含)-100萬,776,881672
201401,10005000,百貨,100(含)-125萬,374,578025
201401,10005000,百貨,125(含)-150萬,115,115871
201401,10005000,百貨,150(含)-175萬,56,198306
201401,10005000,百貨,175(含)-200萬,42,77521
201401,10005000,百貨,200(含)萬以上,167,283345
201402,10005000,百貨,未達50萬,7980,7635246
201402,10005000,百貨,50(含)-75萬,2744,2842348
201402,10005000,百貨,75(含)-100萬,668,838839
201402,10005000,百貨,100(含)-125萬,284,338429
201402,10005000,百貨,125(含)-150萬,103,85988
201402,10005000,百貨,150(含)-175萬,80,77565
201402,10005000,百貨,175(含)-200萬,41,33146
201402,10005000,百貨,200(含)萬以上,128,128490
201403,10005000,百貨,未達50萬,9059,8684546
201403,10005000,百貨,50(含)-75萬,2955,3019686
201403,10005000,百貨,75(含)-100萬,749,827357
201403,10005000,百貨,100(含)-125萬,303,359638
201403,10005000,百貨,125(含)-150萬,117,134877
201403,10005000,百貨,150(含)-175萬,75,106010
201403,10005000,百貨,175(含)-200萬,56,57829
201403,10005000,百貨,200(含)萬以上,150,163342
201404,10005000,百貨,未達50萬,8992,10514004
201404,10005000,百貨,50(含)-75萬,2943,3611009
201404,10005000,百貨,75(含)-100萬,703,981093
201404,10005000,百貨,100(含)-125萬,318,446233
201404,10005000,百貨,125(含)-150萬,129,186450
201404,10005000,百貨,150(含)-175萬,73,162671
201404,10005000,百貨,175(含)-200萬,45,53230
201404,10005000,百貨,200(含)萬以上,162,238569
201405,10005000,百貨,未達50萬,10639,11753486
201405,10005000,百貨,50(含)-75萬,3509,3938618
201405,10005000,百貨,75(含)-100萬,931,1218680
201405,10005000,百貨,100(含)-125萬,382,539051
201405,10005000,百貨,125(含)-150萬,120,126987
201405,10005000,百貨,150(含)-175萬,81,136854
201405,10005000,百貨,175(含)-200萬,58,62375
201405,10005000,百貨,200(含)萬以上,180,217585
201406,10005000,百貨,未達50萬,10802,11334035
201406,10005000,百貨,50(含)-75萬,3708,3762223
201406,10005000,百貨,75(含)-100萬,926,1062138
201406,10005000,百貨,100(含)-125萬,428,600430
201406,10005000,百貨,125(含)-150萬,137,170148
201406,10005000,百貨,150(含)-175萬,97,120437
201406,10005000,百貨,175(含)-200萬,53,76888
201406,10005000,百貨,200(含)萬以上,189,239070
201407,10005000,百貨,未達50萬,11609,11736315
201407,10005000,百貨,50(含)-75萬,3743,3849369
201407,10005000,百貨,75(含)-100萬,999,1199921
201407,10005000,百貨,100(含)-125萬,395,452143
201407,10005000,百貨,125(含)-150萬,137,155910
201407,10005000,百貨,150(含)-175萬,74,71958
201407,10005000,百貨,175(含)-200萬,44,88645
201407,10005000,百貨,200(含)萬以上,213,389011
201408,10005000,百貨,未達50萬,11585,11516327
201408,10005000,百貨,50(含)-75萬,3862,4051747
201408,10005000,百貨,75(含)-100萬,1057,1159060
201408,10005000,百貨,100(含)-125萬,422,553363
201408,10005000,百貨,125(含)-150萬,150,137182
201408,10005000,百貨,150(含)-175萬,97,139901
201408,10005000,百貨,175(含)-200萬,59,67222
201408,10005000,百貨,200(含)萬以上,239,303838
201409,10005000,百貨,未達50萬,11231,12869995
201409,10005000,百貨,50(含)-75萬,3722,4499528
201409,10005000,百貨,75(含)-100萬,989,1306660
201409,10005000,百貨,100(含)-125萬,427,527253
201409,10005000,百貨,125(含)-150萬,142,174412
201409,10005000,百貨,150(含)-175萬,82,112426
201409,10005000,百貨,175(含)-200萬,49,53628
201409,10005000,百貨,200(含)萬以上,213,298074
201410,10005000,百貨,未達50萬,10839,10944361
201410,10005000,百貨,50(含)-75萬,3637,3987340
201410,10005000,百貨,75(含)-100萬,1002,1022090
201410,10005000,百貨,100(含)-125萬,367,531003
201410,10005000,百貨,125(含)-150萬,125,199923
201410,10005000,百貨,150(含)-175萬,87,102233
201410,10005000,百貨,175(含)-200萬,49,41573
201410,10005000,百貨,200(含)萬以上,174,269379
201411,10005000,百貨,未達50萬,10989,9946429
201411,10005000,百貨,50(含)-75萬,3514,3334674
201411,10005000,百貨,75(含)-100萬,965,1026198
201411,10005000,百貨,100(含)-125萬,400,504617
201411,10005000,百貨,125(含)-150萬,151,161004
201411,10005000,百貨,150(含)-175萬,78,122510
201411,10005000,百貨,175(含)-200萬,47,64815
201411,10005000,百貨,200(含)萬以上,170,240496
201412,10005000,百貨,未達50萬,14032,13345598
201412,10005000,百貨,50(含)-75萬,4661,4569971
201412,10005000,百貨,75(含)-100萬,1297,1530312
201412,10005000,百貨,100(含)-125萬,516,553417
201412,10005000,百貨,125(含)-150萬,177,177041
201412,10005000,百貨,150(含)-175萬,103,154530
201412,10005000,百貨,175(含)-200萬,44,32627
201412,10005000,百貨,200(含)萬以上,189,317363
201501,10005000,百貨,未達50萬,11305,11288429
201501,10005000,百貨,50(含)-75萬,3846,4040411
201501,10005000,百貨,75(含)-100萬,1049,1108774
201501,10005000,百貨,100(含)-125萬,443,440318
201501,10005000,百貨,125(含)-150萬,142,129183
201501,10005000,百貨,150(含)-175萬,94,152474
201501,10005000,百貨,175(含)-200萬,53,86110
201501,10005000,百貨,200(含)萬以上,196,288966
201502,10005000,百貨,未達50萬,10507,11027287
201502,10005000,百貨,50(含)-75萬,3673,3844848
201502,10005000,百貨,75(含)-100萬,1072,1344314
201502,10005000,百貨,100(含)-125萬,408,543532
201502,10005000,百貨,125(含)-150萬,140,158853
201502,10005000,百貨,150(含)-175萬,98,165546
201502,10005000,百貨,175(含)-200萬,51,88119
201502,10005000,百貨,200(含)萬以上,208,289325
201503,10005000,百貨,未達50萬,11138,10820916
201503,10005000,百貨,50(含)-75萬,3505,3623643
201503,10005000,百貨,75(含)-100萬,991,1175607
201503,10005000,百貨,100(含)-125萬,374,471465
201503,10005000,百貨,125(含)-150萬,123,115944
201503,10005000,百貨,150(含)-175萬,71,119829
201503,10005000,百貨,175(含)-200萬,49,65972
201503,10005000,百貨,200(含)萬以上,160,189050
201504,10005000,百貨,未達50萬,11699,18955886
201504,10005000,百貨,50(含)-75萬,3754,4363452
201504,10005000,百貨,75(含)-100萬,967,1208082
201504,10005000,百貨,100(含)-125萬,406,641608
201504,10005000,百貨,125(含)-150萬,130,155020
201504,10005000,百貨,150(含)-175萬,84,119825
201504,10005000,百貨,175(含)-200萬,40,32573
201504,10005000,百貨,200(含)萬以上,199,313086
201505,10005000,百貨,未達50萬,14331,16584159
201505,10005000,百貨,50(含)-75萬,5213,6327606
201505,10005000,百貨,75(含)-100萬,1431,1831653
201505,10005000,百貨,100(含)-125萬,650,1072891
201505,10005000,百貨,125(含)-150萬,235,341816
201505,10005000,百貨,150(含)-175萬,150,232768
201505,10005000,百貨,175(含)-200萬,88,122137
201505,10005000,百貨,200(含)萬以上,333,554401
201506,10005000,百貨,未達50萬,22788,27283226
201506,10005000,百貨,50(含)-75萬,8776,11199491
