年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10005000,文教康樂,未達50萬,13653,51263443
201401,10005000,文教康樂,50(含)-75萬,7095,30734291
201401,10005000,文教康樂,75(含)-100萬,2715,12250663
201401,10005000,文教康樂,100(含)-125萬,1738,8295394
201401,10005000,文教康樂,125(含)-150萬,499,2373448
201401,10005000,文教康樂,150(含)-175萬,434,2173203
201401,10005000,文教康樂,175(含)-200萬,222,964417
201401,10005000,文教康樂,200(含)萬以上,1184,7285084
201402,10005000,文教康樂,未達50萬,11394,43252724
201402,10005000,文教康樂,50(含)-75萬,5834,23195358
201402,10005000,文教康樂,75(含)-100萬,2403,9694623
201402,10005000,文教康樂,100(含)-125萬,1509,7433410
201402,10005000,文教康樂,125(含)-150萬,449,2097596
201402,10005000,文教康樂,150(含)-175萬,424,3152161
201402,10005000,文教康樂,175(含)-200萬,220,1066096
201402,10005000,文教康樂,200(含)萬以上,1139,7963399
201403,10005000,文教康樂,未達50萬,12815,52925707
201403,10005000,文教康樂,50(含)-75萬,6185,28356278
201403,10005000,文教康樂,75(含)-100萬,2577,11468076
201403,10005000,文教康樂,100(含)-125萬,1727,8105030
201403,10005000,文教康樂,125(含)-150萬,517,3237661
201403,10005000,文教康樂,150(含)-175萬,472,2104836
201403,10005000,文教康樂,175(含)-200萬,284,1076043
201403,10005000,文教康樂,200(含)萬以上,1324,11111319
201404,10005000,文教康樂,未達50萬,12699,55666667
201404,10005000,文教康樂,50(含)-75萬,6524,30185374
201404,10005000,文教康樂,75(含)-100萬,2516,13237678
201404,10005000,文教康樂,100(含)-125萬,1722,9673178
201404,10005000,文教康樂,125(含)-150萬,517,3047171
201404,10005000,文教康樂,150(含)-175萬,463,2531684
201404,10005000,文教康樂,175(含)-200萬,255,1545412
201404,10005000,文教康樂,200(含)萬以上,1234,8741557
201405,10005000,文教康樂,未達50萬,13285,59008221
201405,10005000,文教康樂,50(含)-75萬,6814,34433422
201405,10005000,文教康樂,75(含)-100萬,2822,16837237
201405,10005000,文教康樂,100(含)-125萬,1708,10367258
201405,10005000,文教康樂,125(含)-150萬,520,3796843
201405,10005000,文教康樂,150(含)-175萬,482,2537315
201405,10005000,文教康樂,175(含)-200萬,267,1681208
201405,10005000,文教康樂,200(含)萬以上,1276,9120400
201406,10005000,文教康樂,未達50萬,12818,55792943
201406,10005000,文教康樂,50(含)-75萬,6670,30297182
201406,10005000,文教康樂,75(含)-100萬,2654,13737808
201406,10005000,文教康樂,100(含)-125萬,1727,9399966
201406,10005000,文教康樂,125(含)-150萬,532,3119973
201406,10005000,文教康樂,150(含)-175萬,479,3024516
201406,10005000,文教康樂,175(含)-200萬,275,1505884
201406,10005000,文教康樂,200(含)萬以上,1290,9168621
201407,10005000,文教康樂,未達50萬,13668,58413676
201407,10005000,文教康樂,50(含)-75萬,7115,33312841
201407,10005000,文教康樂,75(含)-100萬,2874,15813323
201407,10005000,文教康樂,100(含)-125萬,1799,11612318
201407,10005000,文教康樂,125(含)-150萬,544,2968984
201407,10005000,文教康樂,150(含)-175萬,449,4741953
201407,10005000,文教康樂,175(含)-200萬,282,1438950
201407,10005000,文教康樂,200(含)萬以上,1260,9876151
