年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10005000,食,未達50萬,77651,117648992
201401,10005000,食,50(含)-75萬,37411,60551470
201401,10005000,食,75(含)-100萬,13372,22530434
201401,10005000,食,100(含)-125萬,6979,12119621
201401,10005000,食,125(含)-150萬,2113,3612481
201401,10005000,食,150(含)-175萬,1589,3219200
201401,10005000,食,175(含)-200萬,768,1370176
201401,10005000,食,200(含)萬以上,3199,6468862
201402,10005000,食,未達50萬,53437,62055222
201402,10005000,食,50(含)-75萬,26350,31254418
201402,10005000,食,75(含)-100萬,9126,11230573
201402,10005000,食,100(含)-125萬,4950,6690469
201402,10005000,食,125(含)-150萬,1542,2130350
201402,10005000,食,150(含)-175萬,1253,1796657
201402,10005000,食,175(含)-200萬,542,709778
201402,10005000,食,200(含)萬以上,2300,3781378
201403,10005000,食,未達50萬,62557,67480794
201403,10005000,食,50(含)-75萬,29380,33137647
201403,10005000,食,75(含)-100萬,10165,11852339
201403,10005000,食,100(含)-125萬,5715,7048981
201403,10005000,食,125(含)-150萬,1661,2035687
201403,10005000,食,150(含)-175萬,1207,1533029
201403,10005000,食,175(含)-200萬,605,765804
201403,10005000,食,200(含)萬以上,2600,3911884
201404,10005000,食,未達50萬,60130,65580459
201404,10005000,食,50(含)-75萬,28727,33234951
201404,10005000,食,75(含)-100萬,9721,11415169
201404,10005000,食,100(含)-125萬,5241,6747018
201404,10005000,食,125(含)-150萬,1596,2016190
201404,10005000,食,150(含)-175萬,1243,1601560
201404,10005000,食,175(含)-200萬,599,745760
201404,10005000,食,200(含)萬以上,2545,3932660
201405,10005000,食,未達50萬,66552,75324401
201405,10005000,食,50(含)-75萬,31812,37056550
201405,10005000,食,75(含)-100萬,10814,13225803
201405,10005000,食,100(含)-125萬,5767,7598006
201405,10005000,食,125(含)-150萬,1752,2307004
201405,10005000,食,150(含)-175萬,1348,1994839
201405,10005000,食,175(含)-200萬,675,990168
201405,10005000,食,200(含)萬以上,2780,4535408
201406,10005000,食,未達50萬,66114,74482527
201406,10005000,食,50(含)-75萬,31528,36547671
201406,10005000,食,75(含)-100萬,10814,13589637
201406,10005000,食,100(含)-125萬,5636,7621384
201406,10005000,食,125(含)-150萬,1800,2888525
201406,10005000,食,150(含)-175萬,1283,2771018
201406,10005000,食,175(含)-200萬,678,866805
201406,10005000,食,200(含)萬以上,2750,5004508
201407,10005000,食,未達50萬,74430,85929910
201407,10005000,食,50(含)-75萬,35058,41495676
201407,10005000,食,75(含)-100萬,11972,14258577
201407,10005000,食,100(含)-125萬,6246,8227003
201407,10005000,食,125(含)-150萬,1986,2793816
201407,10005000,食,150(含)-175萬,1353,1922096
201407,10005000,食,175(含)-200萬,784,1019550
201407,10005000,食,200(含)萬以上,2988,4862709
201408,10005000,食,未達50萬,80002,102807843
201408,10005000,食,50(含)-75萬,37708,50150100
201408,10005000,食,75(含)-100萬,13054,18119290
201408,10005000,食,100(含)-125萬,6623,9912937
201408,10005000,食,125(含)-150萬,2141,3238600
201408,10005000,食,150(含)-175萬,1510,2718540
201408,10005000,食,175(含)-200萬,835,1174718
201408,10005000,食,200(含)萬以上,3234,5679053
201409,10005000,食,未達50萬,66074,74406722
201409,10005000,食,50(含)-75萬,30977,35650093
201409,10005000,食,75(含)-100萬,10412,12897429
201409,10005000,食,100(含)-125萬,5340,6989529
201409,10005000,食,125(含)-150萬,1858,2404494
201409,10005000,食,150(含)-175萬,1332,2207003
201409,10005000,食,175(含)-200萬,663,899904
201409,10005000,食,200(含)萬以上,2528,4049289
201410,10005000,食,未達50萬,64009,69350074
201410,10005000,食,50(含)-75萬,30115,33279234
201410,10005000,食,75(含)-100萬,10035,12194855
201410,10005000,食,100(含)-125萬,5488,7633597
201410,10005000,食,125(含)-150萬,1816,2758432
201410,10005000,食,150(含)-175萬,1262,2038977
201410,10005000,食,175(含)-200萬,662,805127
201410,10005000,食,200(含)萬以上,2647,4880914
201411,10005000,食,未達50萬,62377,68880954
201411,10005000,食,50(含)-75萬,29701,34315971
201411,10005000,食,75(含)-100萬,9958,12325865
201411,10005000,食,100(含)-125萬,5326,6968883
201411,10005000,食,125(含)-150萬,1821,2519470
201411,10005000,食,150(含)-175萬,1275,1730039
201411,10005000,食,175(含)-200萬,642,878670
201411,10005000,食,200(含)萬以上,2505,3942804
201412,10005000,食,未達50萬,69848,81905979
201412,10005000,食,50(含)-75萬,32652,39805391
201412,10005000,食,75(含)-100萬,10999,13874054
201412,10005000,食,100(含)-125萬,5840,7926821
201412,10005000,食,125(含)-150萬,1916,2343033
201412,10005000,食,150(含)-175萬,1265,1792619
201412,10005000,食,175(含)-200萬,704,932250
201412,10005000,食,200(含)萬以上,2814,4948476
