年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10005000,住,未達50萬,11481,64409296
201401,10005000,住,50(含)-75萬,6581,35414152
201401,10005000,住,75(含)-100萬,2491,15702319
201401,10005000,住,100(含)-125萬,1556,10348249
201401,10005000,住,125(含)-150萬,491,2764721
201401,10005000,住,150(含)-175萬,383,1765308
201401,10005000,住,175(含)-200萬,176,1170207
201401,10005000,住,200(含)萬以上,825,8149307
201402,10005000,住,未達50萬,9782,46784829
201402,10005000,住,50(含)-75萬,5274,24368886
201402,10005000,住,75(含)-100萬,2046,9877873
201402,10005000,住,100(含)-125萬,1176,6371637
201402,10005000,住,125(含)-150萬,387,2094966
201402,10005000,住,150(含)-175萬,298,1293305
201402,10005000,住,175(含)-200萬,115,797377
201402,10005000,住,200(含)萬以上,770,5533401
201403,10005000,住,未達50萬,8802,42911739
201403,10005000,住,50(含)-75萬,4569,20241413
201403,10005000,住,75(含)-100萬,1799,8830393
201403,10005000,住,100(含)-125萬,1002,6435579
201403,10005000,住,125(含)-150萬,352,2300229
201403,10005000,住,150(含)-175萬,219,1198698
201403,10005000,住,175(含)-200萬,143,1113682
201403,10005000,住,200(含)萬以上,621,5762304
201404,10005000,住,未達50萬,9119,52227217
201404,10005000,住,50(含)-75萬,4989,28779304
201404,10005000,住,75(含)-100萬,1853,11159176
201404,10005000,住,100(含)-125萬,1168,7464453
201404,10005000,住,125(含)-150萬,356,2431818
201404,10005000,住,150(含)-175萬,266,1787528
201404,10005000,住,175(含)-200萬,123,897185
201404,10005000,住,200(含)萬以上,658,7115670
201405,10005000,住,未達50萬,9380,52094144
201405,10005000,住,50(含)-75萬,4905,26217784
201405,10005000,住,75(含)-100萬,1834,10107290
201405,10005000,住,100(含)-125萬,1174,7209749
201405,10005000,住,125(含)-150萬,384,2633136
201405,10005000,住,150(含)-175萬,304,2239397
201405,10005000,住,175(含)-200萬,139,1176135
201405,10005000,住,200(含)萬以上,724,7974075
201406,10005000,住,未達50萬,8870,52536038
201406,10005000,住,50(含)-75萬,4408,26104616
201406,10005000,住,75(含)-100萬,1783,10061567
201406,10005000,住,100(含)-125萬,1033,5865049
201406,10005000,住,125(含)-150萬,328,2068385
201406,10005000,住,150(含)-175萬,275,1754160
201406,10005000,住,175(含)-200萬,127,852156
201406,10005000,住,200(含)萬以上,644,7489880
201407,10005000,住,未達50萬,10056,61309292
201407,10005000,住,50(含)-75萬,5473,33688856
201407,10005000,住,75(含)-100萬,2109,12546652
201407,10005000,住,100(含)-125萬,1266,8011107
201407,10005000,住,125(含)-150萬,408,3114692
201407,10005000,住,150(含)-175萬,288,1701647
201407,10005000,住,175(含)-200萬,187,1557941
201407,10005000,住,200(含)萬以上,714,7505944
201408,10005000,住,未達50萬,9756,52679168
201408,10005000,住,50(含)-75萬,5347,28069523
201408,10005000,住,75(含)-100萬,1986,10690582
201408,10005000,住,100(含)-125萬,1260,7643372
201408,10005000,住,125(含)-150萬,357,2947216
201408,10005000,住,150(含)-175萬,287,2006282
201408,10005000,住,175(含)-200萬,141,959528
201408,10005000,住,200(含)萬以上,742,7113718
201409,10005000,住,未達50萬,8944,48073660
201409,10005000,住,50(含)-75萬,4628,25441992
201409,10005000,住,75(含)-100萬,1670,9039550
201409,10005000,住,100(含)-125萬,1037,6562336
201409,10005000,住,125(含)-150萬,360,2045212
201409,10005000,住,150(含)-175萬,232,1387675
201409,10005000,住,175(含)-200萬,140,1298501
201409,10005000,住,200(含)萬以上,633,6455776
201410,10005000,住,未達50萬,9510,46391852
201410,10005000,住,50(含)-75萬,5121,24258193
201410,10005000,住,75(含)-100萬,1994,10436104
201410,10005000,住,100(含)-125萬,1178,7686018
201410,10005000,住,125(含)-150萬,392,2150725
201410,10005000,住,150(含)-175萬,306,1667835
201410,10005000,住,175(含)-200萬,177,1514988
201410,10005000,住,200(含)萬以上,781,8186449
201411,10005000,住,未達50萬,11073,63772770
201411,10005000,住,50(含)-75萬,5797,33691634
201411,10005000,住,75(含)-100萬,2276,14571413
201411,10005000,住,100(含)-125萬,1321,9163385
201411,10005000,住,125(含)-150萬,516,3164836
201411,10005000,住,150(含)-175萬,438,3960513
201411,10005000,住,175(含)-200萬,223,1626378
201411,10005000,住,200(含)萬以上,931,11827718
201412,10005000,住,未達50萬,11149,53064633
201412,10005000,住,50(含)-75萬,5865,28870120
