年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,百貨,未達50萬,7897,6200348
201401,10008000,百貨,50(含)-75萬,2498,2140376
201401,10008000,百貨,75(含)-100萬,678,581663
201401,10008000,百貨,100(含)-125萬,286,263939
201401,10008000,百貨,125(含)-150萬,94,118312
201401,10008000,百貨,150(含)-175萬,62,86756
201401,10008000,百貨,175(含)-200萬,30,20390
201401,10008000,百貨,200(含)萬以上,158,138435
201402,10008000,百貨,未達50萬,6489,4971864
201402,10008000,百貨,50(含)-75萬,2147,1688603
201402,10008000,百貨,75(含)-100萬,533,384599
201402,10008000,百貨,100(含)-125萬,222,214418
201402,10008000,百貨,125(含)-150萬,54,38948
201402,10008000,百貨,150(含)-175萬,47,57268
201402,10008000,百貨,175(含)-200萬,22,15345
201402,10008000,百貨,200(含)萬以上,102,102678
201403,10008000,百貨,未達50萬,6897,5680965
201403,10008000,百貨,50(含)-75萬,2134,1587108
201403,10008000,百貨,75(含)-100萬,572,440225
201403,10008000,百貨,100(含)-125萬,219,172863
201403,10008000,百貨,125(含)-150萬,51,62811
201403,10008000,百貨,150(含)-175萬,43,31393
201403,10008000,百貨,175(含)-200萬,22,17409
201403,10008000,百貨,200(含)萬以上,110,130802
201404,10008000,百貨,未達50萬,7167,5860295
201404,10008000,百貨,50(含)-75萬,2194,1768175
201404,10008000,百貨,75(含)-100萬,598,565063
201404,10008000,百貨,100(含)-125萬,207,206360
201404,10008000,百貨,125(含)-150萬,65,78555
201404,10008000,百貨,150(含)-175萬,39,28132
201404,10008000,百貨,175(含)-200萬,14,8853
201404,10008000,百貨,200(含)萬以上,112,99039
201405,10008000,百貨,未達50萬,7738,6186772
201405,10008000,百貨,50(含)-75萬,2446,2036510
201405,10008000,百貨,75(含)-100萬,658,665276
201405,10008000,百貨,100(含)-125萬,258,260068
201405,10008000,百貨,125(含)-150萬,70,60076
201405,10008000,百貨,150(含)-175萬,34,27422
201405,10008000,百貨,175(含)-200萬,24,22985
201405,10008000,百貨,200(含)萬以上,92,124389
201406,10008000,百貨,未達50萬,8233,6389072
201406,10008000,百貨,50(含)-75萬,2612,2314384
201406,10008000,百貨,75(含)-100萬,610,639426
201406,10008000,百貨,100(含)-125萬,271,232981
201406,10008000,百貨,125(含)-150萬,82,61249
201406,10008000,百貨,150(含)-175萬,57,46594
201406,10008000,百貨,175(含)-200萬,18,15185
