年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,文教康樂,未達50萬,13900,53679305
201401,10008000,文教康樂,50(含)-75萬,7431,29459994
201401,10008000,文教康樂,75(含)-100萬,2911,13281771
201401,10008000,文教康樂,100(含)-125萬,1999,10106084
201401,10008000,文教康樂,125(含)-150萬,523,2808803
201401,10008000,文教康樂,150(含)-175萬,547,2946547
201401,10008000,文教康樂,175(含)-200萬,284,1431141
201401,10008000,文教康樂,200(含)萬以上,1644,9707552
201402,10008000,文教康樂,未達50萬,12626,49484531
201402,10008000,文教康樂,50(含)-75萬,7209,29374222
201402,10008000,文教康樂,75(含)-100萬,2783,12222614
201402,10008000,文教康樂,100(含)-125萬,1925,10085784
201402,10008000,文教康樂,125(含)-150萬,536,2980216
201402,10008000,文教康樂,150(含)-175萬,513,2675273
201402,10008000,文教康樂,175(含)-200萬,258,1017354
201402,10008000,文教康樂,200(含)萬以上,1474,8494369
201403,10008000,文教康樂,未達50萬,12178,49579225
201403,10008000,文教康樂,50(含)-75萬,6451,25689763
201403,10008000,文教康樂,75(含)-100萬,2706,11890893
201403,10008000,文教康樂,100(含)-125萬,1825,9534082
201403,10008000,文教康樂,125(含)-150萬,548,2919173
201403,10008000,文教康樂,150(含)-175萬,497,2520039
201403,10008000,文教康樂,175(含)-200萬,252,1522646
201403,10008000,文教康樂,200(含)萬以上,1633,8606373
201404,10008000,文教康樂,未達50萬,12491,55532736
201404,10008000,文教康樂,50(含)-75萬,6430,28455241
201404,10008000,文教康樂,75(含)-100萬,2571,11658285
201404,10008000,文教康樂,100(含)-125萬,1855,9762466
201404,10008000,文教康樂,125(含)-150萬,559,3044099
201404,10008000,文教康樂,150(含)-175萬,500,2684584
201404,10008000,文教康樂,175(含)-200萬,233,1304573
201404,10008000,文教康樂,200(含)萬以上,1457,8111463
201405,10008000,文教康樂,未達50萬,12248,51076026
201405,10008000,文教康樂,50(含)-75萬,6131,28045503
201405,10008000,文教康樂,75(含)-100萬,2615,12925133
201405,10008000,文教康樂,100(含)-125萬,1664,8579199
201405,10008000,文教康樂,125(含)-150萬,525,3033949
201405,10008000,文教康樂,150(含)-175萬,518,2920765
201405,10008000,文教康樂,175(含)-200萬,264,1173313
201405,10008000,文教康樂,200(含)萬以上,1363,7750445
201406,10008000,文教康樂,未達50萬,11383,48081036
201406,10008000,文教康樂,50(含)-75萬,6244,27663079
201406,10008000,文教康樂,75(含)-100萬,2584,12430149
201406,10008000,文教康樂,100(含)-125萬,1761,8430173
201406,10008000,文教康樂,125(含)-150萬,508,2634274
201406,10008000,文教康樂,150(含)-175萬,454,2446535
201406,10008000,文教康樂,175(含)-200萬,295,1449794
201406,10008000,文教康樂,200(含)萬以上,1445,10205001
201407,10008000,文教康樂,未達50萬,13633,55943105
201407,10008000,文教康樂,50(含)-75萬,7974,31090577
201407,10008000,文教康樂,75(含)-100萬,3486,14188272
201407,10008000,文教康樂,100(含)-125萬,2184,9970141
201407,10008000,文教康樂,125(含)-150萬,607,3236842
201407,10008000,文教康樂,150(含)-175萬,587,3695484
201407,10008000,文教康樂,175(含)-200萬,347,2252576
201407,10008000,文教康樂,200(含)萬以上,1576,7978275
201408,10008000,文教康樂,未達50萬,15115,60681174
201408,10008000,文教康樂,50(含)-75萬,8674,33376027
201408,10008000,文教康樂,75(含)-100萬,3586,15047227
201408,10008000,文教康樂,100(含)-125萬,2393,12228116
201408,10008000,文教康樂,125(含)-150萬,708,3388262
201408,10008000,文教康樂,150(含)-175萬,581,3384288
201408,10008000,文教康樂,175(含)-200萬,326,1408159
201408,10008000,文教康樂,200(含)萬以上,1806,10421138
201409,10008000,文教康樂,未達50萬,11469,43234032
201409,10008000,文教康樂,50(含)-75萬,6005,23582408
201409,10008000,文教康樂,75(含)-100萬,2439,10348877
201409,10008000,文教康樂,100(含)-125萬,1681,8058148
201409,10008000,文教康樂,125(含)-150萬,509,1813850
201409,10008000,文教康樂,150(含)-175萬,442,2227975
201409,10008000,文教康樂,175(含)-200萬,259,1000415
201409,10008000,文教康樂,200(含)萬以上,1450,7843490
201410,10008000,文教康樂,未達50萬,13439,54600841
201410,10008000,文教康樂,50(含)-75萬,6938,29240012
201410,10008000,文教康樂,75(含)-100萬,2900,13091373
201410,10008000,文教康樂,100(含)-125萬,1974,7739453
201410,10008000,文教康樂,125(含)-150萬,598,2161820
201410,10008000,文教康樂,150(含)-175萬,520,2433275
201410,10008000,文教康樂,175(含)-200萬,313,1341730
201410,10008000,文教康樂,200(含)萬以上,1640,8066703
201411,10008000,文教康樂,未達50萬,13123,48837129
201411,10008000,文教康樂,50(含)-75萬,6759,26975886
201411,10008000,文教康樂,75(含)-100萬,2916,11818555
201411,10008000,文教康樂,100(含)-125萬,1994,8885227
201411,10008000,文教康樂,125(含)-150萬,620,2556114
201411,10008000,文教康樂,150(含)-175萬,573,2698741
201411,10008000,文教康樂,175(含)-200萬,354,1188473
201411,10008000,文教康樂,200(含)萬以上,1899,11431501
201412,10008000,文教康樂,未達50萬,12187,49860426
201412,10008000,文教康樂,50(含)-75萬,6043,25365487
201412,10008000,文教康樂,75(含)-100萬,2720,11255691
201412,10008000,文教康樂,100(含)-125萬,1874,8762515
201412,10008000,文教康樂,125(含)-150萬,578,2592534
201412,10008000,文教康樂,150(含)-175萬,540,2852515
201412,10008000,文教康樂,175(含)-200萬,303,1265522
201412,10008000,文教康樂,200(含)萬以上,1707,8356283
201501,10008000,文教康樂,未達50萬,13105,55168550
201501,10008000,文教康樂,50(含)-75萬,7022,30332808
201501,10008000,文教康樂,75(含)-100萬,3090,13497758
201501,10008000,文教康樂,100(含)-125萬,2078,10916329
201501,10008000,文教康樂,125(含)-150萬,637,3330995
201501,10008000,文教康樂,150(含)-175萬,602,3349725
201501,10008000,文教康樂,175(含)-200萬,361,1615445
201501,10008000,文教康樂,200(含)萬以上,1935,11207641
201502,10008000,文教康樂,未達50萬,14818,59731836
201502,10008000,文教康樂,50(含)-75萬,8657,33141349
201502,10008000,文教康樂,75(含)-100萬,3620,14549752
201502,10008000,文教康樂,100(含)-125萬,2150,9796988
201502,10008000,文教康樂,125(含)-150萬,632,3670239
201502,10008000,文教康樂,150(含)-175萬,646,4451295
201502,10008000,文教康樂,175(含)-200萬,306,1303420
201502,10008000,文教康樂,200(含)萬以上,1811,9917897
201503,10008000,文教康樂,未達50萬,11955,54109028
201503,10008000,文教康樂,50(含)-75萬,6267,30259266
201503,10008000,文教康樂,75(含)-100萬,2709,12242645
201503,10008000,文教康樂,100(含)-125萬,1896,8326251
201503,10008000,文教康樂,125(含)-150萬,542,3062477
201503,10008000,文教康樂,150(含)-175萬,570,3025774
201503,10008000,文教康樂,175(含)-200萬,299,1369471
201503,10008000,文教康樂,200(含)萬以上,1748,8993859
201504,10008000,文教康樂,未達50萬,12919,56984570
201504,10008000,文教康樂,50(含)-75萬,6697,31497251
201504,10008000,文教康樂,75(含)-100萬,2874,13426636
201504,10008000,文教康樂,100(含)-125萬,2016,10473073
201504,10008000,文教康樂,125(含)-150萬,610,3165721
201504,10008000,文教康樂,150(含)-175萬,531,3028220
201504,10008000,文教康樂,175(含)-200萬,313,1183814
201504,10008000,文教康樂,200(含)萬以上,1730,8936427
201505,10008000,文教康樂,未達50萬,12591,57730165
201505,10008000,文教康樂,50(含)-75萬,6249,28922549
201505,10008000,文教康樂,75(含)-100萬,2618,13537580
201505,10008000,文教康樂,100(含)-125萬,1805,9683779
201505,10008000,文教康樂,125(含)-150萬,642,3170598
201505,10008000,文教康樂,150(含)-175萬,540,3158573
201505,10008000,文教康樂,175(含)-200萬,303,1181057
201505,10008000,文教康樂,200(含)萬以上,1653,7800156
201506,10008000,文教康樂,未達50萬,12103,52939899
201506,10008000,文教康樂,50(含)-75萬,6444,29372070
201506,10008000,文教康樂,75(含)-100萬,2784,11421358
201506,10008000,文教康樂,100(含)-125萬,1900,8821617
201506,10008000,文教康樂,125(含)-150萬,625,2821382
201506,10008000,文教康樂,150(含)-175萬,547,2947497
201506,10008000,文教康樂,175(含)-200萬,317,1366946
201506,10008000,文教康樂,200(含)萬以上,1766,8890622
201507,10008000,文教康樂,未達50萬,13261,55294698
201507,10008000,文教康樂,50(含)-75萬,7797,32404532
201507,10008000,文教康樂,75(含)-100萬,3540,15190083
201507,10008000,文教康樂,100(含)-125萬,2123,9212483
201507,10008000,文教康樂,125(含)-150萬,656,2592100
201507,10008000,文教康樂,150(含)-175萬,555,2681984
201507,10008000,文教康樂,175(含)-200萬,351,1647777
201507,10008000,文教康樂,200(含)萬以上,1673,8900245
201508,10008000,文教康樂,未達50萬,13833,61541381
201508,10008000,文教康樂,50(含)-75萬,7537,30418249
201508,10008000,文教康樂,75(含)-100萬,3218,14817257
201508,10008000,文教康樂,100(含)-125萬,1955,10329126
