年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10008000,行,未達50萬,137746,154891401
201401,10008000,行,50(含)-75萬,54666,64071062
201401,10008000,行,75(含)-100萬,20113,25228695
201401,10008000,行,100(含)-125萬,11808,21400506
201401,10008000,行,125(含)-150萬,3602,4880599
201401,10008000,行,150(含)-175萬,2595,3548257
201401,10008000,行,175(含)-200萬,1202,1896736
201401,10008000,行,200(含)萬以上,5584,8448011
201402,10008000,行,未達50萬,139363,156241899
201402,10008000,行,50(含)-75萬,57099,66041462
201402,10008000,行,75(含)-100萬,20605,24892554
201402,10008000,行,100(含)-125萬,11732,19159994
201402,10008000,行,125(含)-150萬,3578,4804021
201402,10008000,行,150(含)-175萬,2636,3737233
201402,10008000,行,175(含)-200萬,1180,2015687
201402,10008000,行,200(含)萬以上,5472,8473466
201403,10008000,行,未達50萬,136497,152558061
201403,10008000,行,50(含)-75萬,54146,64218410
201403,10008000,行,75(含)-100萬,18934,23264241
201403,10008000,行,100(含)-125萬,10832,18408635
201403,10008000,行,125(含)-150萬,3417,5033016
201403,10008000,行,150(含)-175萬,2417,3520964
201403,10008000,行,175(含)-200萬,1069,1917425
201403,10008000,行,200(含)萬以上,5201,8921798
201404,10008000,行,未達50萬,130594,146723266
201404,10008000,行,50(含)-75萬,51031,60150660
201404,10008000,行,75(含)-100萬,18444,22674856
201404,10008000,行,100(含)-125萬,10377,15291073
201404,10008000,行,125(含)-150萬,3408,4625020
201404,10008000,行,150(含)-175萬,2212,3346692
201404,10008000,行,175(含)-200萬,1047,1665082
201404,10008000,行,200(含)萬以上,5060,8915552
201405,10008000,行,未達50萬,132566,146813928
201405,10008000,行,50(含)-75萬,51717,60955409
201405,10008000,行,75(含)-100萬,18251,22785886
201405,10008000,行,100(含)-125萬,10235,15701418
201405,10008000,行,125(含)-150萬,3252,4372760
201405,10008000,行,150(含)-175萬,2160,3681852
201405,10008000,行,175(含)-200萬,1033,1727375
201405,10008000,行,200(含)萬以上,4816,8556108
201406,10008000,行,未達50萬,137029,153402154
201406,10008000,行,50(含)-75萬,53727,64132104
201406,10008000,行,75(含)-100萬,18743,23237120
201406,10008000,行,100(含)-125萬,10505,15121201
201406,10008000,行,125(含)-150萬,3369,4544422
201406,10008000,行,150(含)-175萬,2330,3292787
201406,10008000,行,175(含)-200萬,1078,1824190
201406,10008000,行,200(含)萬以上,5162,9316717
201407,10008000,行,未達50萬,144865,159770533
201407,10008000,行,50(含)-75萬,59654,69785179
201407,10008000,行,75(含)-100萬,21569,26273630
201407,10008000,行,100(含)-125萬,11918,18397072
201407,10008000,行,125(含)-150萬,3716,5188056
201407,10008000,行,150(含)-175萬,2594,3678459
201407,10008000,行,175(含)-200萬,1150,1919086
201407,10008000,行,200(含)萬以上,5686,9628175
201408,10008000,行,未達50萬,148542,160488941
201408,10008000,行,50(含)-75萬,61449,69147670
201408,10008000,行,75(含)-100萬,22501,27073700
201408,10008000,行,100(含)-125萬,12146,17210468
201408,10008000,行,125(含)-150萬,3865,5091260
201408,10008000,行,150(含)-175萬,2649,4013253
201408,10008000,行,175(含)-200萬,1339,1963118
201408,10008000,行,200(含)萬以上,5972,9872422
201409,10008000,行,未達50萬,136792,143788396
201409,10008000,行,50(含)-75萬,53926,61280503
201409,10008000,行,75(含)-100萬,19256,22466965
201409,10008000,行,100(含)-125萬,10804,15109594
201409,10008000,行,125(含)-150萬,3432,4239485
201409,10008000,行,150(含)-175萬,2414,3279625
201409,10008000,行,175(含)-200萬,1068,1418525
201409,10008000,行,200(含)萬以上,5263,9606957
201410,10008000,行,未達50萬,143908,146774390
201410,10008000,行,50(含)-75萬,56974,61755472
201410,10008000,行,75(含)-100萬,20301,23176366
201410,10008000,行,100(含)-125萬,11221,15664401
201410,10008000,行,125(含)-150萬,3714,4548860
201410,10008000,行,150(含)-175萬,2539,3363153
201410,10008000,行,175(含)-200萬,1190,1793844
201410,10008000,行,200(含)萬以上,5528,8122410
201411,10008000,行,未達50萬,137089,134490150
201411,10008000,行,50(含)-75萬,53774,56126261
201411,10008000,行,75(含)-100萬,19034,20852899
201411,10008000,行,100(含)-125萬,10697,13269682
201411,10008000,行,125(含)-150萬,3428,4274527
201411,10008000,行,150(含)-175萬,2341,3523418
201411,10008000,行,175(含)-200萬,1064,1659792
201411,10008000,行,200(含)萬以上,5147,8482104
201412,10008000,行,未達50萬,136206,123725251
201412,10008000,行,50(含)-75萬,52421,50832591
201412,10008000,行,75(含)-100萬,18370,19908573
201412,10008000,行,100(含)-125萬,10464,13544591
201412,10008000,行,125(含)-150萬,3293,4303207
201412,10008000,行,150(含)-175萬,2296,2634854
201412,10008000,行,175(含)-200萬,1076,1385137
201412,10008000,行,200(含)萬以上,5017,7207768
201501,10008000,行,未達50萬,139942,114904186
201501,10008000,行,50(含)-75萬,55720,48855504
201501,10008000,行,75(含)-100萬,19857,19048042
201501,10008000,行,100(含)-125萬,11229,11837944
201501,10008000,行,125(含)-150萬,3549,3373060
201501,10008000,行,150(含)-175萬,2546,2855123
201501,10008000,行,175(含)-200萬,1216,1453814
201501,10008000,行,200(含)萬以上,5667,6358369
201502,10008000,行,未達50萬,137225,115157365
201502,10008000,行,50(含)-75萬,57237,50937233
201502,10008000,行,75(含)-100萬,21186,19499285
