年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,65000000,衣,未達50萬,97688,285209287
201401,65000000,衣,50(含)-75萬,44073,133517005
201401,65000000,衣,75(含)-100萬,14187,45408809
201401,65000000,衣,100(含)-125萬,7112,25343662
201401,65000000,衣,125(含)-150萬,2575,9159047
201401,65000000,衣,150(含)-175萬,2050,7624165
201401,65000000,衣,175(含)-200萬,1027,4047514
201401,65000000,衣,200(含)萬以上,3584,15729929
201402,65000000,衣,未達50萬,59099,156730591
201402,65000000,衣,50(含)-75萬,27058,75196010
201402,65000000,衣,75(含)-100萬,8795,26136684
201402,65000000,衣,100(含)-125萬,4671,15061062
201402,65000000,衣,125(含)-150萬,1671,5337591
201402,65000000,衣,150(含)-175萬,1236,3938067
201402,65000000,衣,175(含)-200萬,671,2369382
201402,65000000,衣,200(含)萬以上,2379,9471591
201403,65000000,衣,未達50萬,70246,180370868
201403,65000000,衣,50(含)-75萬,31464,83846525
201403,65000000,衣,75(含)-100萬,10234,29010312
201403,65000000,衣,100(含)-125萬,5223,16791760
201403,65000000,衣,125(含)-150萬,1916,6007719
201403,65000000,衣,150(含)-175萬,1464,4683271
201403,65000000,衣,175(含)-200萬,750,2569452
201403,65000000,衣,200(含)萬以上,2778,10777568
201404,65000000,衣,未達50萬,68996,175651659
201404,65000000,衣,50(含)-75萬,30861,83085758
201404,65000000,衣,75(含)-100萬,9961,29269573
201404,65000000,衣,100(含)-125萬,5036,15836418
201404,65000000,衣,125(含)-150萬,1835,5829290
201404,65000000,衣,150(含)-175萬,1416,4305326
201404,65000000,衣,175(含)-200萬,731,2520172
201404,65000000,衣,200(含)萬以上,2759,11354673
201405,65000000,衣,未達50萬,78118,196854892
201405,65000000,衣,50(含)-75萬,34833,90344484
201405,65000000,衣,75(含)-100萬,11213,32204898
201405,65000000,衣,100(含)-125萬,5626,17209666
201405,65000000,衣,125(含)-150萬,2124,6584425
201405,65000000,衣,150(含)-175萬,1607,4950468
201405,65000000,衣,175(含)-200萬,859,2677764
201405,65000000,衣,200(含)萬以上,3052,11414895
201406,65000000,衣,未達50萬,74765,189071329
201406,65000000,衣,50(含)-75萬,34137,89358111
201406,65000000,衣,75(含)-100萬,10781,29852107
201406,65000000,衣,100(含)-125萬,5482,16331631
201406,65000000,衣,125(含)-150萬,2102,6548524
201406,65000000,衣,150(含)-175萬,1595,4828887
