年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,65000000,文教康樂,未達50萬,102835,321886052
201401,65000000,文教康樂,50(含)-75萬,51579,171222229
201401,65000000,文教康樂,75(含)-100萬,17989,65177995
201401,65000000,文教康樂,100(含)-125萬,11070,42775775
201401,65000000,文教康樂,125(含)-150萬,3575,13878642
201401,65000000,文教康樂,150(含)-175萬,3191,15177394
201401,65000000,文教康樂,175(含)-200萬,1686,6638905
201401,65000000,文教康樂,200(含)萬以上,6635,37235100
201402,65000000,文教康樂,未達50萬,96484,248791743
201402,65000000,文教康樂,50(含)-75萬,47872,127987914
201402,65000000,文教康樂,75(含)-100萬,16748,48626075
201402,65000000,文教康樂,100(含)-125萬,9971,31782773
201402,65000000,文教康樂,125(含)-150萬,3327,10783207
201402,65000000,文教康樂,150(含)-175萬,2851,8932083
201402,65000000,文教康樂,175(含)-200萬,1506,5795180
201402,65000000,文教康樂,200(含)萬以上,6076,25804319
201403,65000000,文教康樂,未達50萬,101541,277267956
201403,65000000,文教康樂,50(含)-75萬,50095,140289994
201403,65000000,文教康樂,75(含)-100萬,17061,54545447
201403,65000000,文教康樂,100(含)-125萬,10423,35453780
201403,65000000,文教康樂,125(含)-150萬,3386,12409511
201403,65000000,文教康樂,150(含)-175萬,3028,10846160
201403,65000000,文教康樂,175(含)-200萬,1460,4855768
201403,65000000,文教康樂,200(含)萬以上,6341,29313999
201404,65000000,文教康樂,未達50萬,99220,286306826
201404,65000000,文教康樂,50(含)-75萬,48415,146146808
201404,65000000,文教康樂,75(含)-100萬,16565,55300988
201404,65000000,文教康樂,100(含)-125萬,9972,37225826
201404,65000000,文教康樂,125(含)-150萬,3456,13689369
201404,65000000,文教康樂,150(含)-175萬,2790,11661539
201404,65000000,文教康樂,175(含)-200萬,1394,5628703
201404,65000000,文教康樂,200(含)萬以上,6195,31231571
201405,65000000,文教康樂,未達50萬,111286,327791014
201405,65000000,文教康樂,50(含)-75萬,54310,170602632
201405,65000000,文教康樂,75(含)-100萬,18268,62048996
201405,65000000,文教康樂,100(含)-125萬,10978,41325408
201405,65000000,文教康樂,125(含)-150萬,3703,14480442
201405,65000000,文教康樂,150(含)-175萬,3159,13658000
201405,65000000,文教康樂,175(含)-200萬,1572,6466510
201405,65000000,文教康樂,200(含)萬以上,6805,33765959
201406,65000000,文教康樂,未達50萬,99290,296658000
201406,65000000,文教康樂,50(含)-75萬,48673,158181890
201406,65000000,文教康樂,75(含)-100萬,17415,59669134
201406,65000000,文教康樂,100(含)-125萬,10265,38284706
201406,65000000,文教康樂,125(含)-150萬,3575,13359317
201406,65000000,文教康樂,150(含)-175萬,3058,11915367
201406,65000000,文教康樂,175(含)-200萬,1564,5982049
201406,65000000,文教康樂,200(含)萬以上,6561,29722950
201407,65000000,文教康樂,未達50萬,98974,298131116
201407,65000000,文教康樂,50(含)-75萬,49582,160934830
201407,65000000,文教康樂,75(含)-100萬,18063,63089445
201407,65000000,文教康樂,100(含)-125萬,10790,41642068
201407,65000000,文教康樂,125(含)-150萬,3839,15916760
201407,65000000,文教康樂,150(含)-175萬,3215,13390144
201407,65000000,文教康樂,175(含)-200萬,1606,7421865
201407,65000000,文教康樂,200(含)萬以上,7108,34641942
201408,65000000,文教康樂,未達50萬,119073,325911261
201408,65000000,文教康樂,50(含)-75萬,56146,166941946
201408,65000000,文教康樂,75(含)-100萬,20343,65378223
201408,65000000,文教康樂,100(含)-125萬,12201,43506506
201408,65000000,文教康樂,125(含)-150萬,4487,15414823
201408,65000000,文教康樂,150(含)-175萬,3637,12786303
201408,65000000,文教康樂,175(含)-200萬,1872,7522658
201408,65000000,文教康樂,200(含)萬以上,8220,37176527
201409,65000000,文教康樂,未達50萬,110225,319310407
201409,65000000,文教康樂,50(含)-75萬,52574,163781365
201409,65000000,文教康樂,75(含)-100萬,18377,60524404
201409,65000000,文教康樂,100(含)-125萬,11056,41357796
201409,65000000,文教康樂,125(含)-150萬,3848,15541470
201409,65000000,文教康樂,150(含)-175萬,3273,13654008
201409,65000000,文教康樂,175(含)-200萬,1626,6647173
201409,65000000,文教康樂,200(含)萬以上,6955,32346207
201410,65000000,文教康樂,未達50萬,114930,349467662
201410,65000000,文教康樂,50(含)-75萬,54756,180655368
201410,65000000,文教康樂,75(含)-100萬,19541,66253888
201410,65000000,文教康樂,100(含)-125萬,11465,43758184
201410,65000000,文教康樂,125(含)-150萬,4162,15979003
201410,65000000,文教康樂,150(含)-175萬,3383,13704373
201410,65000000,文教康樂,175(含)-200萬,1662,6898947
201410,65000000,文教康樂,200(含)萬以上,7521,36198056
201411,65000000,文教康樂,未達50萬,110075,325875583
201411,65000000,文教康樂,50(含)-75萬,53493,168847490
201411,65000000,文教康樂,75(含)-100萬,19114,62686649
201411,65000000,文教康樂,100(含)-125萬,11370,39348991
201411,65000000,文教康樂,125(含)-150萬,3919,14442706
201411,65000000,文教康樂,150(含)-175萬,3340,13355097
201411,65000000,文教康樂,175(含)-200萬,1709,6611317
201411,65000000,文教康樂,200(含)萬以上,7282,36892428
201412,65000000,文教康樂,未達50萬,121242,370406104
201412,65000000,文教康樂,50(含)-75萬,58114,191970362
201412,65000000,文教康樂,75(含)-100萬,20785,71420320
201412,65000000,文教康樂,100(含)-125萬,12196,48611674
201412,65000000,文教康樂,125(含)-150萬,4240,16202824
201412,65000000,文教康樂,150(含)-175萬,3613,15153287
201412,65000000,文教康樂,175(含)-200萬,1816,7696794
201412,65000000,文教康樂,200(含)萬以上,7430,42163096
201501,65000000,文教康樂,未達50萬,124032,369504025
201501,65000000,文教康樂,50(含)-75萬,59922,193929516
201501,65000000,文教康樂,75(含)-100萬,21545,71998646
201501,65000000,文教康樂,100(含)-125萬,12620,46584759
201501,65000000,文教康樂,125(含)-150萬,4433,17054551
201501,65000000,文教康樂,150(含)-175萬,3837,15620808
201501,65000000,文教康樂,175(含)-200萬,1908,7604015
201501,65000000,文教康樂,200(含)萬以上,7867,37539652
201502,65000000,文教康樂,未達50萬,122374,350642893
201502,65000000,文教康樂,50(含)-75萬,59217,179738979
201502,65000000,文教康樂,75(含)-100萬,20768,66998125
201502,65000000,文教康樂,100(含)-125萬,12005,42012068
