年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,65000000,其他,未達50萬,246603,966192022
201401,65000000,其他,50(含)-75萬,123241,526484671
201401,65000000,其他,75(含)-100萬,46794,216634170
201401,65000000,其他,100(含)-125萬,25957,144732353
201401,65000000,其他,125(含)-150萬,8924,41208655
201401,65000000,其他,150(含)-175萬,6972,41441540
201401,65000000,其他,175(含)-200萬,3446,19519978
201401,65000000,其他,200(含)萬以上,11940,95185668
201402,65000000,其他,未達50萬,199482,726024770
201402,65000000,其他,50(含)-75萬,97204,379828074
201402,65000000,其他,75(含)-100萬,36856,156095749
201402,65000000,其他,100(含)-125萬,21141,100653957
201402,65000000,其他,125(含)-150萬,7189,33017639
201402,65000000,其他,150(含)-175萬,5395,29645936
201402,65000000,其他,175(含)-200萬,2889,15756678
201402,65000000,其他,200(含)萬以上,10026,67466595
201403,65000000,其他,未達50萬,221726,803894390
201403,65000000,其他,50(含)-75萬,107093,430281398
201403,65000000,其他,75(含)-100萬,39222,172841038
201403,65000000,其他,100(含)-125萬,22880,117111077
201403,65000000,其他,125(含)-150萬,7508,36938591
201403,65000000,其他,150(含)-175萬,6079,32284787
201403,65000000,其他,175(含)-200萬,3130,17292809
201403,65000000,其他,200(含)萬以上,10605,76985272
201404,65000000,其他,未達50萬,214198,798599267
201404,65000000,其他,50(含)-75萬,104131,435059161
201404,65000000,其他,75(含)-100萬,38154,170772744
201404,65000000,其他,100(含)-125萬,22137,114672905
201404,65000000,其他,125(含)-150萬,7789,39453661
201404,65000000,其他,150(含)-175萬,5769,33813505
201404,65000000,其他,175(含)-200萬,3084,18869101
201404,65000000,其他,200(含)萬以上,10929,77595604
201405,65000000,其他,未達50萬,225623,819411916
201405,65000000,其他,50(含)-75萬,109079,439602487
201405,65000000,其他,75(含)-100萬,39776,174883152
201405,65000000,其他,100(含)-125萬,22483,111948749
201405,65000000,其他,125(含)-150萬,8070,37761874
201405,65000000,其他,150(含)-175萬,6282,33085903
201405,65000000,其他,175(含)-200萬,3212,19377839
201405,65000000,其他,200(含)萬以上,11473,86081964
201406,65000000,其他,未達50萬,214790,751082853
201406,65000000,其他,50(含)-75萬,105708,406799544
201406,65000000,其他,75(含)-100萬,39262,166767120
201406,65000000,其他,100(含)-125萬,21687,105795462
201406,65000000,其他,125(含)-150萬,7960,35119932
201406,65000000,其他,150(含)-175萬,5647,30046957
201406,65000000,其他,175(含)-200萬,3245,18305115
201406,65000000,其他,200(含)萬以上,10757,70824891
201407,65000000,其他,未達50萬,250562,862227291
201407,65000000,其他,50(含)-75萬,125689,467764067
201407,65000000,其他,75(含)-100萬,46227,189774673
201407,65000000,其他,100(含)-125萬,26460,125016177
201407,65000000,其他,125(含)-150萬,9118,41929800
201407,65000000,其他,150(含)-175萬,6571,33883969
201407,65000000,其他,175(含)-200萬,3695,17962071
201407,65000000,其他,200(含)萬以上,12639,75229057
201408,65000000,其他,未達50萬,235353,787851949
201408,65000000,其他,50(含)-75萬,115596,433676285
201408,65000000,其他,75(含)-100萬,41443,172440827
201408,65000000,其他,100(含)-125萬,23312,110875741
201408,65000000,其他,125(含)-150萬,8692,39691619
201408,65000000,其他,150(含)-175萬,6516,35844335
201408,65000000,其他,175(含)-200萬,3262,18555809
201408,65000000,其他,200(含)萬以上,11601,75719241
201409,65000000,其他,未達50萬,221505,785551236
