年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,65000000,行,未達50萬,379394,339968908
201401,65000000,行,50(含)-75萬,136544,137003395
201401,65000000,行,75(含)-100萬,60965,68551157
201401,65000000,行,100(含)-125萬,27618,35444467
201401,65000000,行,125(含)-150萬,10567,14371825
201401,65000000,行,150(含)-175萬,6577,8930696
201401,65000000,行,175(含)-200萬,4072,6087260
201401,65000000,行,200(含)萬以上,9188,15375876
201402,65000000,行,未達50萬,318288,285503635
201402,65000000,行,50(含)-75萬,114741,113888062
201402,65000000,行,75(含)-100萬,51182,57986591
201402,65000000,行,100(含)-125萬,23532,29857966
201402,65000000,行,125(含)-150萬,8822,11279735
201402,65000000,行,150(含)-175萬,5741,7868215
201402,65000000,行,175(含)-200萬,3412,4909816
201402,65000000,行,200(含)萬以上,7904,11994541
201403,65000000,行,未達50萬,371923,326328184
201403,65000000,行,50(含)-75萬,134669,133303905
201403,65000000,行,75(含)-100萬,59167,66581104
201403,65000000,行,100(含)-125萬,27022,34181473
201403,65000000,行,125(含)-150萬,10229,13853396
201403,65000000,行,150(含)-175萬,6592,8896731
201403,65000000,行,175(含)-200萬,3815,5430304
201403,65000000,行,200(含)萬以上,8997,14493545
201404,65000000,行,未達50萬,367434,319850404
201404,65000000,行,50(含)-75萬,132981,129837089
201404,65000000,行,75(含)-100萬,57717,64241491
201404,65000000,行,100(含)-125萬,26352,33279432
201404,65000000,行,125(含)-150萬,9914,12602074
201404,65000000,行,150(含)-175萬,6170,7966020
201404,65000000,行,175(含)-200萬,3835,5451845
201404,65000000,行,200(含)萬以上,8820,13818566
201405,65000000,行,未達50萬,390917,350602687
201405,65000000,行,50(含)-75萬,141158,140390146
201405,65000000,行,75(含)-100萬,61602,70345520
201405,65000000,行,100(含)-125萬,28171,35702880
201405,65000000,行,125(含)-150萬,10708,13797827
201405,65000000,行,150(含)-175萬,6761,8974445
201405,65000000,行,175(含)-200萬,4023,5808640
201405,65000000,行,200(含)萬以上,9658,16663772
201406,65000000,行,未達50萬,385349,348373516
201406,65000000,行,50(含)-75萬,138638,138862309
201406,65000000,行,75(含)-100萬,60622,69345841
201406,65000000,行,100(含)-125萬,27587,35657308
201406,65000000,行,125(含)-150萬,10394,13742939
201406,65000000,行,150(含)-175萬,6654,8961848
201406,65000000,行,175(含)-200萬,3955,5936887
201406,65000000,行,200(含)萬以上,9436,17076041
201407,65000000,行,未達50萬,402645,359838268
201407,65000000,行,50(含)-75萬,148608,149145955
201407,65000000,行,75(含)-100萬,64531,73027024
201407,65000000,行,100(含)-125萬,29278,37909858
201407,65000000,行,125(含)-150萬,11065,14682642
201407,65000000,行,150(含)-175萬,6895,9242855
201407,65000000,行,175(含)-200萬,4195,6836657
201407,65000000,行,200(含)萬以上,9838,18537609
201408,65000000,行,未達50萬,407089,353896307
201408,65000000,行,50(含)-75萬,150743,146787194
201408,65000000,行,75(含)-100萬,65895,73716711
201408,65000000,行,100(含)-125萬,29661,36367536
201408,65000000,行,125(含)-150萬,11142,14745052
201408,65000000,行,150(含)-175萬,7070,9831054
201408,65000000,行,175(含)-200萬,4417,6382018
201408,65000000,行,200(含)萬以上,9929,15489002
201409,65000000,行,未達50萬,396679,335582593
201409,65000000,行,50(含)-75萬,146453,137932495
201409,65000000,行,75(含)-100萬,63445,67623818
201409,65000000,行,100(含)-125萬,28954,34540786
201409,65000000,行,125(含)-150萬,10867,13450190
201409,65000000,行,150(含)-175萬,6933,8564128
201409,65000000,行,175(含)-200萬,4186,6027446
201409,65000000,行,200(含)萬以上,9761,16591928
201410,65000000,行,未達50萬,408492,325274567
201410,65000000,行,50(含)-75萬,149900,138406610
201410,65000000,行,75(含)-100萬,65093,68124739
201410,65000000,行,100(含)-125萬,29620,35352217
201410,65000000,行,125(含)-150萬,11134,12818687
201410,65000000,行,150(含)-175萬,6955,8629027
201410,65000000,行,175(含)-200萬,4210,5713750
