年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,衣,未達50萬,7224,19615666
201401,10016000,衣,50(含)-75萬,3011,9212188
201401,10016000,衣,75(含)-100萬,890,2879909
201401,10016000,衣,100(含)-125萬,399,1350106
201401,10016000,衣,125(含)-150萬,144,446162
201401,10016000,衣,150(含)-175萬,83,291919
201401,10016000,衣,175(含)-200萬,30,155232
201401,10016000,衣,200(含)萬以上,209,748248
201402,10016000,衣,未達50萬,4082,9646496
201402,10016000,衣,50(含)-75萬,1822,5066766
201402,10016000,衣,75(含)-100萬,489,1401121
201402,10016000,衣,100(含)-125萬,224,622114
201402,10016000,衣,125(含)-150萬,53,170651
201402,10016000,衣,150(含)-175萬,46,127760
201402,10016000,衣,175(含)-200萬,23,81169
201402,10016000,衣,200(含)萬以上,133,480916
201403,10016000,衣,未達50萬,4792,11450604
201403,10016000,衣,50(含)-75萬,1960,5613178
201403,10016000,衣,75(含)-100萬,551,1563789
201403,10016000,衣,100(含)-125萬,278,917160
201403,10016000,衣,125(含)-150萬,81,243821
201403,10016000,衣,150(含)-175萬,56,168320
201403,10016000,衣,175(含)-200萬,38,159995
201403,10016000,衣,200(含)萬以上,155,509703
201404,10016000,衣,未達50萬,4547,11008202
201404,10016000,衣,50(含)-75萬,1894,4953216
201404,10016000,衣,75(含)-100萬,508,1420439
201404,10016000,衣,100(含)-125萬,251,727904
201404,10016000,衣,125(含)-150萬,89,257784
201404,10016000,衣,150(含)-175萬,55,180332
201404,10016000,衣,175(含)-200萬,35,100055
201404,10016000,衣,200(含)萬以上,130,458048
201405,10016000,衣,未達50萬,5009,11545330
201405,10016000,衣,50(含)-75萬,2051,5265555
201405,10016000,衣,75(含)-100萬,585,1424833
201405,10016000,衣,100(含)-125萬,315,854060
201405,10016000,衣,125(含)-150萬,97,228624
201405,10016000,衣,150(含)-175萬,85,175542
201405,10016000,衣,175(含)-200萬,27,55258
201405,10016000,衣,200(含)萬以上,165,546313
201406,10016000,衣,未達50萬,4553,10271309
201406,10016000,衣,50(含)-75萬,1861,4923143
201406,10016000,衣,75(含)-100萬,565,1545631
201406,10016000,衣,100(含)-125萬,281,782991
201406,10016000,衣,125(含)-150萬,91,228303
201406,10016000,衣,150(含)-175萬,72,164637
201406,10016000,衣,175(含)-200萬,27,136095
201406,10016000,衣,200(含)萬以上,153,426764
201407,10016000,衣,未達50萬,4711,10168096
201407,10016000,衣,50(含)-75萬,1919,4784180
201407,10016000,衣,75(含)-100萬,610,1615994
201407,10016000,衣,100(含)-125萬,262,737932
201407,10016000,衣,125(含)-150萬,95,199244
201407,10016000,衣,150(含)-175萬,74,141184
201407,10016000,衣,175(含)-200萬,27,129371
201407,10016000,衣,200(含)萬以上,161,612393
