年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,百貨,未達50萬,4492,7459301
201401,10016000,百貨,50(含)-75萬,2844,4845733
201401,10016000,百貨,75(含)-100萬,1130,1766534
201401,10016000,百貨,100(含)-125萬,612,1167909
201401,10016000,百貨,125(含)-150萬,195,333647
201401,10016000,百貨,150(含)-175萬,115,222461
201401,10016000,百貨,175(含)-200萬,46,108124
201401,10016000,百貨,200(含)萬以上,292,635015
201402,10016000,百貨,未達50萬,6066,10910920
201402,10016000,百貨,50(含)-75萬,3518,6322479
201402,10016000,百貨,75(含)-100萬,1393,2630438
201402,10016000,百貨,100(含)-125萬,709,1602839
201402,10016000,百貨,125(含)-150萬,249,530770
201402,10016000,百貨,150(含)-175萬,130,257066
201402,10016000,百貨,175(含)-200萬,45,99406
201402,10016000,百貨,200(含)萬以上,340,874747
201403,10016000,百貨,未達50萬,5898,10551092
201403,10016000,百貨,50(含)-75萬,3442,5938491
201403,10016000,百貨,75(含)-100萬,1386,2348361
201403,10016000,百貨,100(含)-125萬,734,1465982
201403,10016000,百貨,125(含)-150萬,223,489885
201403,10016000,百貨,150(含)-175萬,144,352525
201403,10016000,百貨,175(含)-200萬,59,118045
201403,10016000,百貨,200(含)萬以上,346,852769
201404,10016000,百貨,未達50萬,9714,19307526
201404,10016000,百貨,50(含)-75萬,5193,10362364
201404,10016000,百貨,75(含)-100萬,1866,3680379
201404,10016000,百貨,100(含)-125萬,1021,2244937
201404,10016000,百貨,125(含)-150萬,336,790005
201404,10016000,百貨,150(含)-175萬,192,492231
201404,10016000,百貨,175(含)-200萬,84,192693
201404,10016000,百貨,200(含)萬以上,511,1542432
201405,10016000,百貨,未達50萬,15355,33001632
201405,10016000,百貨,50(含)-75萬,7113,14907604
201405,10016000,百貨,75(含)-100萬,2425,5262649
201405,10016000,百貨,100(含)-125萬,1402,3497244
201405,10016000,百貨,125(含)-150萬,486,1071334
