年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,文教康樂,未達50萬,4136,13072553
201401,10016000,文教康樂,50(含)-75萬,2496,9060233
201401,10016000,文教康樂,75(含)-100萬,940,3130578
201401,10016000,文教康樂,100(含)-125萬,525,1980180
201401,10016000,文教康樂,125(含)-150萬,168,730181
201401,10016000,文教康樂,150(含)-175萬,87,263375
201401,10016000,文教康樂,175(含)-200萬,44,143508
201401,10016000,文教康樂,200(含)萬以上,248,1139690
201402,10016000,文教康樂,未達50萬,4110,12660278
201402,10016000,文教康樂,50(含)-75萬,2320,7871659
201402,10016000,文教康樂,75(含)-100萬,934,3463283
201402,10016000,文教康樂,100(含)-125萬,513,1711551
201402,10016000,文教康樂,125(含)-150萬,165,706213
201402,10016000,文教康樂,150(含)-175萬,94,337453
201402,10016000,文教康樂,175(含)-200萬,37,210856
201402,10016000,文教康樂,200(含)萬以上,276,1076693
201403,10016000,文教康樂,未達50萬,5001,18770340
201403,10016000,文教康樂,50(含)-75萬,2850,11368531
201403,10016000,文教康樂,75(含)-100萬,1197,4553407
201403,10016000,文教康樂,100(含)-125萬,638,2724589
201403,10016000,文教康樂,125(含)-150萬,241,1058165
201403,10016000,文教康樂,150(含)-175萬,110,422817
201403,10016000,文教康樂,175(含)-200萬,57,201418
201403,10016000,文教康樂,200(含)萬以上,336,1593296
201404,10016000,文教康樂,未達50萬,4892,19058249
201404,10016000,文教康樂,50(含)-75萬,2820,12259366
201404,10016000,文教康樂,75(含)-100萬,1202,5165519
201404,10016000,文教康樂,100(含)-125萬,666,3095645
201404,10016000,文教康樂,125(含)-150萬,262,1383238
201404,10016000,文教康樂,150(含)-175萬,125,876672
201404,10016000,文教康樂,175(含)-200萬,66,244418
201404,10016000,文教康樂,200(含)萬以上,340,2129404
201405,10016000,文教康樂,未達50萬,5422,22899865
201405,10016000,文教康樂,50(含)-75萬,3132,14615264
201405,10016000,文教康樂,75(含)-100萬,1279,5544521
201405,10016000,文教康樂,100(含)-125萬,700,3647596
201405,10016000,文教康樂,125(含)-150萬,243,1057968
201405,10016000,文教康樂,150(含)-175萬,130,494534
201405,10016000,文教康樂,175(含)-200萬,65,294903
201405,10016000,文教康樂,200(含)萬以上,348,2427538
201406,10016000,文教康樂,未達50萬,5182,24452554
201406,10016000,文教康樂,50(含)-75萬,2877,15201581
201406,10016000,文教康樂,75(含)-100萬,1153,6470325
201406,10016000,文教康樂,100(含)-125萬,598,2821369
201406,10016000,文教康樂,125(含)-150萬,269,1505598
201406,10016000,文教康樂,150(含)-175萬,107,723114
201406,10016000,文教康樂,175(含)-200萬,47,247644
201406,10016000,文教康樂,200(含)萬以上,324,2015505
201407,10016000,文教康樂,未達50萬,5078,25111218
201407,10016000,文教康樂,50(含)-75萬,3007,15770798
201407,10016000,文教康樂,75(含)-100萬,1272,6521233
201407,10016000,文教康樂,100(含)-125萬,685,4301252
201407,10016000,文教康樂,125(含)-150萬,260,1223245
201407,10016000,文教康樂,150(含)-175萬,113,566896
201407,10016000,文教康樂,175(含)-200萬,59,462374
201407,10016000,文教康樂,200(含)萬以上,337,2925317
201408,10016000,文教康樂,未達50萬,4560,17418726
201408,10016000,文教康樂,50(含)-75萬,2650,10224515
201408,10016000,文教康樂,75(含)-100萬,1081,4735434
201408,10016000,文教康樂,100(含)-125萬,591,2636201
201408,10016000,文教康樂,125(含)-150萬,229,926693
201408,10016000,文教康樂,150(含)-175萬,122,669154
201408,10016000,文教康樂,175(含)-200萬,53,492670
201408,10016000,文教康樂,200(含)萬以上,260,1319202
201409,10016000,文教康樂,未達50萬,4215,14363804
201409,10016000,文教康樂,50(含)-75萬,2246,8460944
201409,10016000,文教康樂,75(含)-100萬,973,3756072
201409,10016000,文教康樂,100(含)-125萬,486,1668313
201409,10016000,文教康樂,125(含)-150萬,171,545112
201409,10016000,文教康樂,150(含)-175萬,108,443991
201409,10016000,文教康樂,175(含)-200萬,41,212604
201409,10016000,文教康樂,200(含)萬以上,249,1211151
201410,10016000,文教康樂,未達50萬,4401,15893089
201410,10016000,文教康樂,50(含)-75萬,2531,9726427
201410,10016000,文教康樂,75(含)-100萬,1060,3893408
201410,10016000,文教康樂,100(含)-125萬,594,2354532
201410,10016000,文教康樂,125(含)-150萬,224,895865
201410,10016000,文教康樂,150(含)-175萬,120,495422
201410,10016000,文教康樂,175(含)-200萬,46,209761
201410,10016000,文教康樂,200(含)萬以上,281,1709902
201411,10016000,文教康樂,未達50萬,4220,14660262
201411,10016000,文教康樂,50(含)-75萬,2315,8134768
201411,10016000,文教康樂,75(含)-100萬,1014,4235895
201411,10016000,文教康樂,100(含)-125萬,481,1583584
201411,10016000,文教康樂,125(含)-150萬,208,837609
201411,10016000,文教康樂,150(含)-175萬,94,382716
201411,10016000,文教康樂,175(含)-200萬,32,234912
201411,10016000,文教康樂,200(含)萬以上,282,1166671
201412,10016000,文教康樂,未達50萬,5037,18012586
201412,10016000,文教康樂,50(含)-75萬,2689,9998233
201412,10016000,文教康樂,75(含)-100萬,1108,3993165
201412,10016000,文教康樂,100(含)-125萬,616,2107908
201412,10016000,文教康樂,125(含)-150萬,286,992508
201412,10016000,文教康樂,150(含)-175萬,116,346587
201412,10016000,文教康樂,175(含)-200萬,52,459340
201412,10016000,文教康樂,200(含)萬以上,309,1581940
201501,10016000,文教康樂,未達50萬,4560,16553517
201501,10016000,文教康樂,50(含)-75萬,2555,9525306
201501,10016000,文教康樂,75(含)-100萬,980,4786737
