年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,食,未達50萬,3741,9686025
201401,10016000,食,50(含)-75萬,2030,6265223
201401,10016000,食,75(含)-100萬,827,2765244
201401,10016000,食,100(含)-125萬,485,1734104
201401,10016000,食,125(含)-150萬,167,422738
201401,10016000,食,150(含)-175萬,98,362244
201401,10016000,食,175(含)-200萬,55,272417
201401,10016000,食,200(含)萬以上,268,796932
201402,10016000,食,未達50萬,3278,7405333
201402,10016000,食,50(含)-75萬,1892,4701064
201402,10016000,食,75(含)-100萬,731,2096274
201402,10016000,食,100(含)-125萬,431,1157585
201402,10016000,食,125(含)-150萬,128,331313
201402,10016000,食,150(含)-175萬,98,258043
201402,10016000,食,175(含)-200萬,54,355658
201402,10016000,食,200(含)萬以上,249,720620
201403,10016000,食,未達50萬,3597,8332936
201403,10016000,食,50(含)-75萬,1978,4346773
201403,10016000,食,75(含)-100萬,713,2249653
201403,10016000,食,100(含)-125萬,401,1308698
201403,10016000,食,125(含)-150萬,134,394958
201403,10016000,食,150(含)-175萬,107,274100
201403,10016000,食,175(含)-200萬,40,172538
201403,10016000,食,200(含)萬以上,260,613163
201404,10016000,食,未達50萬,5399,10771910
201404,10016000,食,50(含)-75萬,2854,6501964
201404,10016000,食,75(含)-100萬,1061,3055009
201404,10016000,食,100(含)-125萬,559,1202385
201404,10016000,食,125(含)-150萬,211,478072
201404,10016000,食,150(含)-175萬,164,330045
201404,10016000,食,175(含)-200萬,78,292423
201404,10016000,食,200(含)萬以上,367,1113748
201405,10016000,食,未達50萬,8196,15863623
201405,10016000,食,50(含)-75萬,4097,8603712
201405,10016000,食,75(含)-100萬,1437,3858852
201405,10016000,食,100(含)-125萬,776,1668609
201405,10016000,食,125(含)-150萬,311,607325
201405,10016000,食,150(含)-175萬,197,632456
201405,10016000,食,175(含)-200萬,113,566362
201405,10016000,食,200(含)萬以上,516,1399640
201406,10016000,食,未達50萬,8013,14885954
201406,10016000,食,50(含)-75萬,4125,8571010
201406,10016000,食,75(含)-100萬,1343,3085223
201406,10016000,食,100(含)-125萬,809,1684705
201406,10016000,食,125(含)-150萬,298,634353
201406,10016000,食,150(含)-175萬,205,380533
201406,10016000,食,175(含)-200萬,104,309590
201406,10016000,食,200(含)萬以上,488,1493731
201407,10016000,食,未達50萬,8033,14873000
201407,10016000,食,50(含)-75萬,4348,9035154
201407,10016000,食,75(含)-100萬,1712,3412745
201407,10016000,食,100(含)-125萬,874,2182986
201407,10016000,食,125(含)-150萬,334,673447
201407,10016000,食,150(含)-175萬,227,491384
201407,10016000,食,175(含)-200萬,95,249555
201407,10016000,食,200(含)萬以上,525,1202238
201408,10016000,食,未達50萬,6406,13649818
201408,10016000,食,50(含)-75萬,3493,8227899
201408,10016000,食,75(含)-100萬,1397,3260295
201408,10016000,食,100(含)-125萬,750,1777971
201408,10016000,食,125(含)-150萬,324,668701
201408,10016000,食,150(含)-175萬,192,493268
201408,10016000,食,175(含)-200萬,97,440424
201408,10016000,食,200(含)萬以上,404,1435117
201409,10016000,食,未達50萬,4566,9242728
201409,10016000,食,50(含)-75萬,2184,5282892
201409,10016000,食,75(含)-100萬,827,2297825
201409,10016000,食,100(含)-125萬,497,1404103
201409,10016000,食,125(含)-150萬,169,496517
201409,10016000,食,150(含)-175萬,111,448505
201409,10016000,食,175(含)-200萬,52,538408
201409,10016000,食,200(含)萬以上,329,783718
201410,10016000,食,未達50萬,3175,6895819
201410,10016000,食,50(含)-75萬,1793,4117971
201410,10016000,食,75(含)-100萬,669,1580266
201410,10016000,食,100(含)-125萬,384,799324
201410,10016000,食,125(含)-150萬,125,379701
201410,10016000,食,150(含)-175萬,91,216780
201410,10016000,食,175(含)-200萬,44,246093
