年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,住,未達50萬,1979,7797452
201401,10016000,住,50(含)-75萬,1317,5314462
201401,10016000,住,75(含)-100萬,589,2068114
201401,10016000,住,100(含)-125萬,327,1488453
201401,10016000,住,125(含)-150萬,105,696088
201401,10016000,住,150(含)-175萬,50,209750
201401,10016000,住,175(含)-200萬,34,287503
201401,10016000,住,200(含)萬以上,121,1221913
201402,10016000,住,未達50萬,1723,6846624
201402,10016000,住,50(含)-75萬,1121,4198728
201402,10016000,住,75(含)-100萬,428,1799510
201402,10016000,住,100(含)-125萬,263,1062371
201402,10016000,住,125(含)-150萬,82,536522
201402,10016000,住,150(含)-175萬,61,236178
201402,10016000,住,175(含)-200萬,32,139781
201402,10016000,住,200(含)萬以上,117,641813
201403,10016000,住,未達50萬,1654,7559815
201403,10016000,住,50(含)-75萬,1178,3947686
201403,10016000,住,75(含)-100萬,564,2421719
201403,10016000,住,100(含)-125萬,320,1630731
201403,10016000,住,125(含)-150萬,78,369357
201403,10016000,住,150(含)-175萬,58,207587
201403,10016000,住,175(含)-200萬,22,127688
201403,10016000,住,200(含)萬以上,155,867322
201404,10016000,住,未達50萬,2301,11475308
201404,10016000,住,50(含)-75萬,1610,7031461
201404,10016000,住,75(含)-100萬,726,3495856
201404,10016000,住,100(含)-125萬,422,2158958
201404,10016000,住,125(含)-150萬,113,495801
201404,10016000,住,150(含)-175萬,86,371527
201404,10016000,住,175(含)-200萬,43,151630
201404,10016000,住,200(含)萬以上,196,2343506
201405,10016000,住,未達50萬,2655,13692954
201405,10016000,住,50(含)-75萬,1732,8662071
201405,10016000,住,75(含)-100萬,808,4270814
201405,10016000,住,100(含)-125萬,462,2593142
201405,10016000,住,125(含)-150萬,129,764596
201405,10016000,住,150(含)-175萬,96,393825
201405,10016000,住,175(含)-200萬,38,323817
201405,10016000,住,200(含)萬以上,224,2152409
201406,10016000,住,未達50萬,2478,13962216
201406,10016000,住,50(含)-75萬,1758,8236645
201406,10016000,住,75(含)-100萬,746,4099781
201406,10016000,住,100(含)-125萬,399,2415794
201406,10016000,住,125(含)-150萬,119,634512
201406,10016000,住,150(含)-175萬,93,394905
201406,10016000,住,175(含)-200萬,41,262565
201406,10016000,住,200(含)萬以上,246,2297740
201407,10016000,住,未達50萬,3051,18067290
201407,10016000,住,50(含)-75萬,2070,10776416
201407,10016000,住,75(含)-100萬,910,4617298
201407,10016000,住,100(含)-125萬,470,5538104
201407,10016000,住,125(含)-150萬,161,1591730
201407,10016000,住,150(含)-175萬,119,720321
201407,10016000,住,175(含)-200萬,49,213162
201407,10016000,住,200(含)萬以上,227,1899275
201408,10016000,住,未達50萬,2440,14044097
201408,10016000,住,50(含)-75萬,1683,7732051
201408,10016000,住,75(含)-100萬,813,3820073
201408,10016000,住,100(含)-125萬,435,2874455
201408,10016000,住,125(含)-150萬,114,633261
201408,10016000,住,150(含)-175萬,111,605163
201408,10016000,住,175(含)-200萬,38,211885
201408,10016000,住,200(含)萬以上,217,1624437
201409,10016000,住,未達50萬,2147,10969924
201409,10016000,住,50(含)-75萬,1350,5343231
201409,10016000,住,75(含)-100萬,617,2866784
201409,10016000,住,100(含)-125萬,376,2274016
201409,10016000,住,125(含)-150萬,90,341001
201409,10016000,住,150(含)-175萬,83,356329
201409,10016000,住,175(含)-200萬,31,145175
201409,10016000,住,200(含)萬以上,163,1243728
201410,10016000,住,未達50萬,1930,7815432
201410,10016000,住,50(含)-75萬,1399,5286390
201410,10016000,住,75(含)-100萬,593,2177858
201410,10016000,住,100(含)-125萬,373,1741965
201410,10016000,住,125(含)-150萬,104,599730
201410,10016000,住,150(含)-175萬,72,228023
201410,10016000,住,175(含)-200萬,41,132858
201410,10016000,住,200(含)萬以上,157,687240
201411,10016000,住,未達50萬,2019,7281855
201411,10016000,住,50(含)-75萬,1325,5552451
201411,10016000,住,75(含)-100萬,583,2199335
201411,10016000,住,100(含)-125萬,380,1596091
201411,10016000,住,125(含)-150萬,104,385927
201411,10016000,住,150(含)-175萬,61,274866
201411,10016000,住,175(含)-200萬,30,92812
201411,10016000,住,200(含)萬以上,143,918854
201412,10016000,住,未達50萬,2084,7479598
201412,10016000,住,50(含)-75萬,1226,4079145
201412,10016000,住,75(含)-100萬,557,1828407
201412,10016000,住,100(含)-125萬,320,1400035
201412,10016000,住,125(含)-150萬,75,314790
201412,10016000,住,150(含)-175萬,59,270072
201412,10016000,住,175(含)-200萬,34,146500
201412,10016000,住,200(含)萬以上,132,569999
201501,10016000,住,未達50萬,2152,8436787
201501,10016000,住,50(含)-75萬,1302,4847180
201501,10016000,住,75(含)-100萬,567,2463910
201501,10016000,住,100(含)-125萬,341,1298758
201501,10016000,住,125(含)-150萬,92,706147
201501,10016000,住,150(含)-175萬,81,424642
201501,10016000,住,175(含)-200萬,27,130167
201501,10016000,住,200(含)萬以上,159,1072286
201502,10016000,住,未達50萬,1897,7038727
201502,10016000,住,50(含)-75萬,1231,5364654
201502,10016000,住,75(含)-100萬,527,2368401
201502,10016000,住,100(含)-125萬,308,1422813
201502,10016000,住,125(含)-150萬,74,352767
201502,10016000,住,150(含)-175萬,56,263953
201502,10016000,住,175(含)-200萬,19,76257
201502,10016000,住,200(含)萬以上,146,772589
201503,10016000,住,未達50萬,1672,6963371
201503,10016000,住,50(含)-75萬,1012,4047600
201503,10016000,住,75(含)-100萬,477,1869100
201503,10016000,住,100(含)-125萬,266,1218484
201503,10016000,住,125(含)-150萬,78,285214
201503,10016000,住,150(含)-175萬,52,214605
201503,10016000,住,175(含)-200萬,18,80754
201503,10016000,住,200(含)萬以上,128,543765
201504,10016000,住,未達50萬,2300,10747494
201504,10016000,住,50(含)-75萬,1464,6382476
201504,10016000,住,75(含)-100萬,634,2586903
201504,10016000,住,100(含)-125萬,357,1715982
201504,10016000,住,125(含)-150萬,107,361585
201504,10016000,住,150(含)-175萬,105,453126
201504,10016000,住,175(含)-200萬,51,655023
201504,10016000,住,200(含)萬以上,156,1324046
201505,10016000,住,未達50萬,2386,11458308
201505,10016000,住,50(含)-75萬,1575,6937067
201505,10016000,住,75(含)-100萬,718,3222403
201505,10016000,住,100(含)-125萬,357,1589216
201505,10016000,住,125(含)-150萬,104,574868
201505,10016000,住,150(含)-175萬,79,351856
201505,10016000,住,175(含)-200萬,35,195425
201505,10016000,住,200(含)萬以上,168,942454
201506,10016000,住,未達50萬,2490,13900021
201506,10016000,住,50(含)-75萬,1669,8358810
201506,10016000,住,75(含)-100萬,683,3297568
201506,10016000,住,100(含)-125萬,364,2497518
201506,10016000,住,125(含)-150萬,108,531810
201506,10016000,住,150(含)-175萬,112,522264
201506,10016000,住,175(含)-200萬,40,185959
201506,10016000,住,200(含)萬以上,170,1342322
201507,10016000,住,未達50萬,2616,15262481
201507,10016000,住,50(含)-75萬,1768,8766985
201507,10016000,住,75(含)-100萬,750,4344790
201507,10016000,住,100(含)-125萬,361,3127152
201507,10016000,住,125(含)-150萬,120,477080
201507,10016000,住,150(含)-175萬,97,548146
201507,10016000,住,175(含)-200萬,43,406587
201507,10016000,住,200(含)萬以上,140,1255122
201508,10016000,住,未達50萬,2369,12218405
201508,10016000,住,50(含)-75萬,1542,7585003
201508,10016000,住,75(含)-100萬,710,3492358
201508,10016000,住,100(含)-125萬,426,3243618
201508,10016000,住,125(含)-150萬,98,443522
201508,10016000,住,150(含)-175萬,80,341991
201508,10016000,住,175(含)-200萬,44,207610
201508,10016000,住,200(含)萬以上,199,1948081
201509,10016000,住,未達50萬,2325,10914108
201509,10016000,住,50(含)-75萬,1404,5789699
201509,10016000,住,75(含)-100萬,559,2876522
201509,10016000,住,100(含)-125萬,392,3302915
201509,10016000,住,125(含)-150萬,111,393695
201509,10016000,住,150(含)-175萬,87,380958
201509,10016000,住,175(含)-200萬,49,169859
201509,10016000,住,200(含)萬以上,163,897255
201510,10016000,住,未達50萬,1984,9006558
201510,10016000,住,50(含)-75萬,1354,5291322
201510,10016000,住,75(含)-100萬,547,2460678
201510,10016000,住,100(含)-125萬,334,1943220
201510,10016000,住,125(含)-150萬,98,460775
201510,10016000,住,150(含)-175萬,55,240999
201510,10016000,住,175(含)-200萬,30,98385
