年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,行,未達50萬,10777,12867173
201401,10016000,行,50(含)-75萬,5986,7791824
201401,10016000,行,75(含)-100萬,2407,3542580
201401,10016000,行,100(含)-125萬,1306,1755335
201401,10016000,行,125(含)-150萬,444,761813
201401,10016000,行,150(含)-175萬,206,435704
201401,10016000,行,175(含)-200萬,107,223686
201401,10016000,行,200(含)萬以上,548,1055902
201402,10016000,行,未達50萬,10208,12970138
201402,10016000,行,50(含)-75萬,5644,7623163
201402,10016000,行,75(含)-100萬,2327,3139139
201402,10016000,行,100(含)-125萬,1196,1712895
201402,10016000,行,125(含)-150萬,421,597627
201402,10016000,行,150(含)-175萬,199,302104
201402,10016000,行,175(含)-200萬,112,380914
201402,10016000,行,200(含)萬以上,506,774016
201403,10016000,行,未達50萬,11218,13318303
201403,10016000,行,50(含)-75萬,6347,8356130
201403,10016000,行,75(含)-100萬,2509,3218791
201403,10016000,行,100(含)-125萬,1397,2242286
201403,10016000,行,125(含)-150萬,467,748567
201403,10016000,行,150(含)-175萬,205,510134
201403,10016000,行,175(含)-200萬,109,165500
201403,10016000,行,200(含)萬以上,601,1534229
201404,10016000,行,未達50萬,11552,13528659
201404,10016000,行,50(含)-75萬,6540,8092917
201404,10016000,行,75(含)-100萬,2656,3617533
201404,10016000,行,100(含)-125萬,1431,2374795
201404,10016000,行,125(含)-150萬,501,794116
201404,10016000,行,150(含)-175萬,241,481317
201404,10016000,行,175(含)-200萬,108,224460
201404,10016000,行,200(含)萬以上,607,1174462
201405,10016000,行,未達50萬,12665,15580562
201405,10016000,行,50(含)-75萬,7241,9462368
201405,10016000,行,75(含)-100萬,2868,3947062
201405,10016000,行,100(含)-125萬,1611,2493756
201405,10016000,行,125(含)-150萬,541,900352
201405,10016000,行,150(含)-175萬,269,536869
201405,10016000,行,175(含)-200萬,130,392271
201405,10016000,行,200(含)萬以上,636,1240657
201406,10016000,行,未達50萬,12674,15546288
201406,10016000,行,50(含)-75萬,7249,9532050
201406,10016000,行,75(含)-100萬,2811,3682227
201406,10016000,行,100(含)-125萬,1603,2239472
201406,10016000,行,125(含)-150萬,549,1284664
201406,10016000,行,150(含)-175萬,247,463554
201406,10016000,行,175(含)-200萬,125,244864
201406,10016000,行,200(含)萬以上,622,1187274
201407,10016000,行,未達50萬,12977,16422975
201407,10016000,行,50(含)-75萬,7366,10823143
201407,10016000,行,75(含)-100萬,3061,4428986
201407,10016000,行,100(含)-125萬,1626,2481320
201407,10016000,行,125(含)-150萬,567,1225514
201407,10016000,行,150(含)-175萬,313,462595
201407,10016000,行,175(含)-200萬,158,293295
201407,10016000,行,200(含)萬以上,703,1359737
201408,10016000,行,未達50萬,12326,15557791
201408,10016000,行,50(含)-75萬,7053,9690016
201408,10016000,行,75(含)-100萬,2960,4105142
201408,10016000,行,100(含)-125萬,1520,2338104
201408,10016000,行,125(含)-150萬,575,1290033
201408,10016000,行,150(含)-175萬,291,474168
201408,10016000,行,175(含)-200萬,114,408227
201408,10016000,行,200(含)萬以上,636,1303049
201409,10016000,行,未達50萬,11236,14455213
201409,10016000,行,50(含)-75萬,6483,8581829
201409,10016000,行,75(含)-100萬,2632,3700641
201409,10016000,行,100(含)-125萬,1338,1909100
201409,10016000,行,125(含)-150萬,467,911282
201409,10016000,行,150(含)-175萬,233,386296
201409,10016000,行,175(含)-200萬,104,163615
201409,10016000,行,200(含)萬以上,577,1497323
201410,10016000,行,未達50萬,11207,13803590
201410,10016000,行,50(含)-75萬,6324,8149610
201410,10016000,行,75(含)-100萬,2597,3384124
201410,10016000,行,100(含)-125萬,1412,2202830
201410,10016000,行,125(含)-150萬,516,909273
201410,10016000,行,150(含)-175萬,229,348307
201410,10016000,行,175(含)-200萬,146,294504
201410,10016000,行,200(含)萬以上,550,1040381
201411,10016000,行,未達50萬,10491,11405679
201411,10016000,行,50(含)-75萬,5941,6995855
201411,10016000,行,75(含)-100萬,2358,2806400
201411,10016000,行,100(含)-125萬,1295,1631707
201411,10016000,行,125(含)-150萬,451,681392
201411,10016000,行,150(含)-175萬,205,309476
201411,10016000,行,175(含)-200萬,129,254110
201411,10016000,行,200(含)萬以上,525,967169
201412,10016000,行,未達50萬,11171,11427006
201412,10016000,行,50(含)-75萬,6360,7605679
201412,10016000,行,75(含)-100萬,2654,3231498
201412,10016000,行,100(含)-125萬,1333,1704583
201412,10016000,行,125(含)-150萬,425,624134
201412,10016000,行,150(含)-175萬,220,355999
201412,10016000,行,175(含)-200萬,114,131438
