年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,文教康樂,未達50萬,101233,463867265
201401,66000000,文教康樂,50(含)-75萬,50373,257509197
201401,66000000,文教康樂,75(含)-100萬,18646,102906294
201401,66000000,文教康樂,100(含)-125萬,11246,75286365
201401,66000000,文教康樂,125(含)-150萬,3436,24060597
201401,66000000,文教康樂,150(含)-175萬,3069,23433646
201401,66000000,文教康樂,175(含)-200萬,1769,13254957
201401,66000000,文教康樂,200(含)萬以上,7773,83468442
201402,66000000,文教康樂,未達50萬,91150,386211588
201402,66000000,文教康樂,50(含)-75萬,46545,199858598
201402,66000000,文教康樂,75(含)-100萬,17374,80313404
201402,66000000,文教康樂,100(含)-125萬,10297,54032282
201402,66000000,文教康樂,125(含)-150萬,3205,17352438
201402,66000000,文教康樂,150(含)-175萬,2848,16740123
201402,66000000,文教康樂,175(含)-200萬,1608,10103289
201402,66000000,文教康樂,200(含)萬以上,6947,57194128
201403,66000000,文教康樂,未達50萬,97652,468770064
201403,66000000,文教康樂,50(含)-75萬,48004,230622123
201403,66000000,文教康樂,75(含)-100萬,17587,91736683
201403,66000000,文教康樂,100(含)-125萬,10615,69359402
201403,66000000,文教康樂,125(含)-150萬,3416,21890188
201403,66000000,文教康樂,150(含)-175萬,2973,22375448
201403,66000000,文教康樂,175(含)-200萬,1697,11731430
201403,66000000,文教康樂,200(含)萬以上,7553,77545563
201404,66000000,文教康樂,未達50萬,93537,461509353
201404,66000000,文教康樂,50(含)-75萬,46408,242207093
201404,66000000,文教康樂,75(含)-100萬,17553,101935289
201404,66000000,文教康樂,100(含)-125萬,10549,74482827
201404,66000000,文教康樂,125(含)-150萬,3334,22071118
201404,66000000,文教康樂,150(含)-175萬,2884,22742501
201404,66000000,文教康樂,175(含)-200萬,1667,10157347
201404,66000000,文教康樂,200(含)萬以上,7225,75732449
201405,66000000,文教康樂,未達50萬,99420,498106596
201405,66000000,文教康樂,50(含)-75萬,48991,265110597
201405,66000000,文教康樂,75(含)-100萬,18080,108240987
201405,66000000,文教康樂,100(含)-125萬,10641,79928759
