年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,食,未達50萬,458427,932540674
201401,66000000,食,50(含)-75萬,211238,415721374
201401,66000000,食,75(含)-100萬,73555,173835219
201401,66000000,食,100(含)-125萬,39984,99686519
201401,66000000,食,125(含)-150萬,15102,59403667
201401,66000000,食,150(含)-175萬,13966,55675592
201401,66000000,食,175(含)-200萬,6506,18648442
201401,66000000,食,200(含)萬以上,25320,140033599
201402,66000000,食,未達50萬,363933,533096974
201402,66000000,食,50(含)-75萬,172221,257520874
201402,66000000,食,75(含)-100萬,58823,99324890
201402,66000000,食,100(含)-125萬,33885,67112572
201402,66000000,食,125(含)-150萬,11777,23875998
201402,66000000,食,150(含)-175萬,10772,26432159
201402,66000000,食,175(含)-200萬,5381,11989221
201402,66000000,食,200(含)萬以上,20805,60088994
201403,66000000,食,未達50萬,423337,630436727
201403,66000000,食,50(含)-75萬,190312,280417459
201403,66000000,食,75(含)-100萬,64588,107577229
201403,66000000,食,100(含)-125萬,36027,67282532
201403,66000000,食,125(含)-150萬,13237,28487249
201403,66000000,食,150(含)-175萬,12227,30622297
201403,66000000,食,175(含)-200萬,5927,13640597
201403,66000000,食,200(含)萬以上,22378,64110609
201404,66000000,食,未達50萬,401350,595943000
201404,66000000,食,50(含)-75萬,181668,262825168
201404,66000000,食,75(含)-100萬,62011,105859660
201404,66000000,食,100(含)-125萬,34141,61871104
201404,66000000,食,125(含)-150萬,12747,26632860
201404,66000000,食,150(含)-175萬,11607,26431297
201404,66000000,食,175(含)-200萬,5788,12540757
201404,66000000,食,200(含)萬以上,20974,57133894
201405,66000000,食,未達50萬,445825,674605932
201405,66000000,食,50(含)-75萬,200425,303652659
201405,66000000,食,75(含)-100萬,67901,118736651
201405,66000000,食,100(含)-125萬,37373,69882128
201405,66000000,食,125(含)-150萬,14326,31993530
201405,66000000,食,150(含)-175萬,12980,32302187
201405,66000000,食,175(含)-200萬,6225,14671885
201405,66000000,食,200(含)萬以上,23040,85297383
201406,66000000,食,未達50萬,435767,638120121
201406,66000000,食,50(含)-75萬,197068,289367817
201406,66000000,食,75(含)-100萬,66833,114750283
201406,66000000,食,100(含)-125萬,36715,68411069
201406,66000000,食,125(含)-150萬,14101,30323591
201406,66000000,食,150(含)-175萬,12846,35042935
201406,66000000,食,175(含)-200萬,6188,13360096
201406,66000000,食,200(含)萬以上,22745,69442133
201407,66000000,食,未達50萬,476573,712782185
201407,66000000,食,50(含)-75萬,214422,315798152
201407,66000000,食,75(含)-100萬,72992,123998361
201407,66000000,食,100(含)-125萬,39256,75497400
