年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,行,未達50萬,195049,209220460
201401,66000000,行,50(含)-75萬,83003,102865387
201401,66000000,行,75(含)-100萬,34603,47662780
201401,66000000,行,100(含)-125萬,15225,22420616
201401,66000000,行,125(含)-150萬,5304,8195252
201401,66000000,行,150(含)-175萬,3132,5295859
201401,66000000,行,175(含)-200萬,2343,3493984
201401,66000000,行,200(含)萬以上,5667,13219371
201402,66000000,行,未達50萬,170145,179762432
201402,66000000,行,50(含)-75萬,73608,89148963
201402,66000000,行,75(含)-100萬,31162,40739356
201402,66000000,行,100(含)-125萬,13258,19929181
201402,66000000,行,125(含)-150萬,4626,7115464
201402,66000000,行,150(含)-175萬,2826,4658195
201402,66000000,行,175(含)-200萬,2146,3477877
201402,66000000,行,200(含)萬以上,5010,9916275
201403,66000000,行,未達50萬,197858,207586109
201403,66000000,行,50(含)-75萬,84252,100796571
201403,66000000,行,75(含)-100萬,34948,45641633
201403,66000000,行,100(含)-125萬,14584,21842644
201403,66000000,行,125(含)-150萬,5117,7678435
201403,66000000,行,150(含)-175萬,3065,4791637
201403,66000000,行,175(含)-200萬,2439,3643497
201403,66000000,行,200(含)萬以上,5483,12138232
201404,66000000,行,未達50萬,191322,194069791
201404,66000000,行,50(含)-75萬,81488,95711852
201404,66000000,行,75(含)-100萬,33730,43959622
201404,66000000,行,100(含)-125萬,13999,20824119
201404,66000000,行,125(含)-150萬,5022,8242977
201404,66000000,行,150(含)-175萬,2944,4672414
201404,66000000,行,175(含)-200萬,2282,3311121
201404,66000000,行,200(含)萬以上,5337,10723642
201405,66000000,行,未達50萬,200785,206386005
201405,66000000,行,50(含)-75萬,84586,100916964
201405,66000000,行,75(含)-100萬,35046,46338572
201405,66000000,行,100(含)-125萬,14401,21154757
201405,66000000,行,125(含)-150萬,5064,7604809
201405,66000000,行,150(含)-175萬,3043,4926856
201405,66000000,行,175(含)-200萬,2256,3467516
201405,66000000,行,200(含)萬以上,5242,12067961
201406,66000000,行,未達50萬,210885,224567953
201406,66000000,行,50(含)-75萬,88782,107140353
201406,66000000,行,75(含)-100萬,37104,49288315
201406,66000000,行,100(含)-125萬,15767,23092391
201406,66000000,行,125(含)-150萬,5484,8040432
201406,66000000,行,150(含)-175萬,3386,5614666
201406,66000000,行,175(含)-200萬,2522,4157314
201406,66000000,行,200(含)萬以上,5919,12514679
201407,66000000,行,未達50萬,218573,229658471
201407,66000000,行,50(含)-75萬,95132,114273045
201407,66000000,行,75(含)-100萬,39206,51480797
201407,66000000,行,100(含)-125萬,16680,26769239
201407,66000000,行,125(含)-150萬,5792,9181561
201407,66000000,行,150(含)-175萬,3604,5991900
201407,66000000,行,175(含)-200萬,2602,4457256
201407,66000000,行,200(含)萬以上,6177,15061045
201408,66000000,行,未達50萬,218972,225049244
201408,66000000,行,50(含)-75萬,95401,111367801
201408,66000000,行,75(含)-100萬,39849,50884841
201408,66000000,行,100(含)-125萬,16746,24383705
201408,66000000,行,125(含)-150萬,5878,8797013
201408,66000000,行,150(含)-175萬,3649,5851660
201408,66000000,行,175(含)-200萬,2701,3953666
201408,66000000,行,200(含)萬以上,6240,12224538
201409,66000000,行,未達50萬,210840,211700261
201409,66000000,行,50(含)-75萬,90630,103897248
201409,66000000,行,75(含)-100萬,37024,46964477
201409,66000000,行,100(含)-125萬,15515,21990110
201409,66000000,行,125(含)-150萬,5515,8400563
201409,66000000,行,150(含)-175萬,3368,5106324
201409,66000000,行,175(含)-200萬,2505,3763735
201409,66000000,行,200(含)萬以上,5871,12340129
201410,66000000,行,未達50萬,217833,209199394
201410,66000000,行,50(含)-75萬,92427,101745918
201410,66000000,行,75(含)-100萬,38393,47052613
201410,66000000,行,100(含)-125萬,15838,21722291
201410,66000000,行,125(含)-150萬,5657,9101186
201410,66000000,行,150(含)-175萬,3594,5195192
201410,66000000,行,175(含)-200萬,2602,3601189
201410,66000000,行,200(含)萬以上,6236,12300219
201411,66000000,行,未達50萬,207957,190578404
