年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,67000000,文教康樂,未達50萬,79645,333874919
201401,67000000,文教康樂,50(含)-75萬,40345,189994381
201401,67000000,文教康樂,75(含)-100萬,12592,74617825
201401,67000000,文教康樂,100(含)-125萬,7328,54775238
201401,67000000,文教康樂,125(含)-150萬,2284,17923449
201401,67000000,文教康樂,150(含)-175萬,1913,14560400
201401,67000000,文教康樂,175(含)-200萬,959,9569713
201401,67000000,文教康樂,200(含)萬以上,4647,55910428
201402,67000000,文教康樂,未達50萬,80866,316310534
201402,67000000,文教康樂,50(含)-75萬,40619,169988799
201402,67000000,文教康樂,75(含)-100萬,12112,60642517
201402,67000000,文教康樂,100(含)-125萬,7249,45491350
201402,67000000,文教康樂,125(含)-150萬,2120,14678187
201402,67000000,文教康樂,150(含)-175萬,1872,12990130
201402,67000000,文教康樂,175(含)-200萬,958,6569941
201402,67000000,文教康樂,200(含)萬以上,4403,44307917
201403,67000000,文教康樂,未達50萬,84702,323629146
201403,67000000,文教康樂,50(含)-75萬,41544,177730529
201403,67000000,文教康樂,75(含)-100萬,12098,64969240
201403,67000000,文教康樂,100(含)-125萬,7438,50303108
201403,67000000,文教康樂,125(含)-150萬,2166,17180664
201403,67000000,文教康樂,150(含)-175萬,1953,15233337
201403,67000000,文教康樂,175(含)-200萬,929,7811634
201403,67000000,文教康樂,200(含)萬以上,4603,51157092
201404,67000000,文教康樂,未達50萬,79751,335084229
201404,67000000,文教康樂,50(含)-75萬,39204,185254073
201404,67000000,文教康樂,75(含)-100萬,11634,70048935
201404,67000000,文教康樂,100(含)-125萬,6884,52298898
201404,67000000,文教康樂,125(含)-150萬,2138,16226761
201404,67000000,文教康樂,150(含)-175萬,1786,14827152
201404,67000000,文教康樂,175(含)-200萬,950,8071330
201404,67000000,文教康樂,200(含)萬以上,4524,49361308
201405,67000000,文教康樂,未達50萬,86988,371204620
201405,67000000,文教康樂,50(含)-75萬,42048,203462173
201405,67000000,文教康樂,75(含)-100萬,12875,79561889
201405,67000000,文教康樂,100(含)-125萬,7420,57604117
201405,67000000,文教康樂,125(含)-150萬,2406,20141610
201405,67000000,文教康樂,150(含)-175萬,1907,17011840
201405,67000000,文教康樂,175(含)-200萬,1090,11181451
201405,67000000,文教康樂,200(含)萬以上,4862,57272977
201406,67000000,文教康樂,未達50萬,78223,344349277
201406,67000000,文教康樂,50(含)-75萬,39628,206759491
201406,67000000,文教康樂,75(含)-100萬,12542,86081143
201406,67000000,文教康樂,100(含)-125萬,7096,58672500
201406,67000000,文教康樂,125(含)-150萬,2268,22001084
201406,67000000,文教康樂,150(含)-175萬,1876,17667898
201406,67000000,文教康樂,175(含)-200萬,1034,11137204
201406,67000000,文教康樂,200(含)萬以上,4648,60988336
201407,67000000,文教康樂,未達50萬,82093,340185275
201407,67000000,文教康樂,50(含)-75萬,42856,205532587
201407,67000000,文教康樂,75(含)-100萬,13622,86322218
201407,67000000,文教康樂,100(含)-125萬,7743,60481668
201407,67000000,文教康樂,125(含)-150萬,2391,20834283
201407,67000000,文教康樂,150(含)-175萬,1943,17338628
201407,67000000,文教康樂,175(含)-200萬,1038,10032299
201407,67000000,文教康樂,200(含)萬以上,5054,62265570
201408,67000000,文教康樂,未達50萬,93250,368842485
201408,67000000,文教康樂,50(含)-75萬,46608,205341078
201408,67000000,文教康樂,75(含)-100萬,13933,81090605
201408,67000000,文教康樂,100(含)-125萬,8010,57639866
201408,67000000,文教康樂,125(含)-150萬,2528,19937059
201408,67000000,文教康樂,150(含)-175萬,2203,18878061
201408,67000000,文教康樂,175(含)-200萬,1127,9853621
201408,67000000,文教康樂,200(含)萬以上,5119,57582487
201409,67000000,文教康樂,未達50萬,78004,348063334
201409,67000000,文教康樂,50(含)-75萬,37826,184962613
201409,67000000,文教康樂,75(含)-100萬,11633,74679091
201409,67000000,文教康樂,100(含)-125萬,6787,55543902
201409,67000000,文教康樂,125(含)-150萬,2225,18115342
201409,67000000,文教康樂,150(含)-175萬,1788,15721206
201409,67000000,文教康樂,175(含)-200萬,1039,9875942
201409,67000000,文教康樂,200(含)萬以上,4879,60355971
201410,67000000,文教康樂,未達50萬,80689,363109213
201410,67000000,文教康樂,50(含)-75萬,39426,191561689
201410,67000000,文教康樂,75(含)-100萬,12269,75450104
201410,67000000,文教康樂,100(含)-125萬,7181,56410359
201410,67000000,文教康樂,125(含)-150萬,2228,17953147
201410,67000000,文教康樂,150(含)-175萬,1875,16175355
201410,67000000,文教康樂,175(含)-200萬,1105,9718840
201410,67000000,文教康樂,200(含)萬以上,4858,58947705
201411,67000000,文教康樂,未達50萬,78429,320673131
201411,67000000,文教康樂,50(含)-75萬,38065,168991936
