年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,衣,未達50萬,469639,1393202634
201401,63000000,衣,50(含)-75萬,227345,685774022
201401,63000000,衣,75(含)-100萬,74454,253572863
201401,63000000,衣,100(含)-125萬,44982,177176469
201401,63000000,衣,125(含)-150萬,15410,62846310
201401,63000000,衣,150(含)-175萬,13227,57947582
201401,63000000,衣,175(含)-200萬,6246,27947763
201401,63000000,衣,200(含)萬以上,27259,185993046
201402,63000000,衣,未達50萬,327683,924895010
201402,63000000,衣,50(含)-75萬,157655,453179228
201402,63000000,衣,75(含)-100萬,51771,170744058
201402,63000000,衣,100(含)-125萬,31280,121651795
201402,63000000,衣,125(含)-150萬,10770,40614443
201402,63000000,衣,150(含)-175萬,9355,42672298
201402,63000000,衣,175(含)-200萬,4446,21021575
201402,63000000,衣,200(含)萬以上,18932,138896190
201403,63000000,衣,未達50萬,382059,1080549931
201403,63000000,衣,50(含)-75萬,181608,519479324
201403,63000000,衣,75(含)-100萬,57891,192363929
201403,63000000,衣,100(含)-125萬,35571,140210815
201403,63000000,衣,125(含)-150萬,12273,50273518
201403,63000000,衣,150(含)-175萬,10616,48486179
201403,63000000,衣,175(含)-200萬,5215,24962096
201403,63000000,衣,200(含)萬以上,22210,162307711
201404,63000000,衣,未達50萬,369224,1010079870
201404,63000000,衣,50(含)-75萬,174159,482936131
201404,63000000,衣,75(含)-100萬,56126,178766158
201404,63000000,衣,100(含)-125萬,33835,126517934
201404,63000000,衣,125(含)-150萬,12129,45610322
201404,63000000,衣,150(含)-175萬,10358,44662511
201404,63000000,衣,175(含)-200萬,5029,22987297
201404,63000000,衣,200(含)萬以上,22240,162874699
201405,63000000,衣,未達50萬,398965,1064930192
201405,63000000,衣,50(含)-75萬,188468,517344616
201405,63000000,衣,75(含)-100萬,61318,192115203
201405,63000000,衣,100(含)-125萬,36647,135785362
201405,63000000,衣,125(含)-150萬,13129,49976642
201405,63000000,衣,150(含)-175萬,11262,46684859
201405,63000000,衣,175(含)-200萬,5752,24726923
201405,63000000,衣,200(含)萬以上,24082,160160964
201406,63000000,衣,未達50萬,423083,1077490525
201406,63000000,衣,50(含)-75萬,199437,520448564
201406,63000000,衣,75(含)-100萬,65116,191958691
201406,63000000,衣,100(含)-125萬,39117,133667226
201406,63000000,衣,125(含)-150萬,14086,51038593
201406,63000000,衣,150(含)-175萬,12047,49159851
201406,63000000,衣,175(含)-200萬,6062,23972536
201406,63000000,衣,200(含)萬以上,24782,146241081
