年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,文教康樂,未達50萬,957173,4988077209
201401,63000000,文教康樂,50(含)-75萬,517858,2860760020
201401,63000000,文教康樂,75(含)-100萬,203405,1321602550
201401,63000000,文教康樂,100(含)-125萬,134340,1087566698
201401,63000000,文教康樂,125(含)-150萬,45703,388523717
201401,63000000,文教康樂,150(含)-175萬,40550,374059877
201401,63000000,文教康樂,175(含)-200萬,22770,222757258
201401,63000000,文教康樂,200(含)萬以上,95314,1306625368
201402,63000000,文教康樂,未達50萬,1037959,5849835221
201402,63000000,文教康樂,50(含)-75萬,570883,3455736034
201402,63000000,文教康樂,75(含)-100萬,228208,1623228207
201402,63000000,文教康樂,100(含)-125萬,150325,1249218167
201402,63000000,文教康樂,125(含)-150萬,50599,434854546
201402,63000000,文教康樂,150(含)-175萬,43982,396272351
201402,63000000,文教康樂,175(含)-200萬,24765,223764425
201402,63000000,文教康樂,200(含)萬以上,97393,1142577153
201403,63000000,文教康樂,未達50萬,1025674,5024329508
201403,63000000,文教康樂,50(含)-75萬,541279,2749565480
201403,63000000,文教康樂,75(含)-100萬,207213,1211870567
201403,63000000,文教康樂,100(含)-125萬,138361,986261297
201403,63000000,文教康樂,125(含)-150萬,47270,345840075
201403,63000000,文教康樂,150(含)-175萬,41947,344308955
201403,63000000,文教康樂,175(含)-200萬,22947,186219778
201403,63000000,文教康樂,200(含)萬以上,98812,1136090109
201404,63000000,文教康樂,未達50萬,961710,5053941565
201404,63000000,文教康樂,50(含)-75萬,503509,2730538961
201404,63000000,文教康樂,75(含)-100萬,190221,1236742870
201404,63000000,文教康樂,100(含)-125萬,126152,989482468
201404,63000000,文教康樂,125(含)-150萬,43870,360132321
201404,63000000,文教康樂,150(含)-175萬,39011,344783612
201404,63000000,文教康樂,175(含)-200萬,21535,193292408
201404,63000000,文教康樂,200(含)萬以上,92914,1159348263
201405,63000000,文教康樂,未達50萬,1022071,5662389141
201405,63000000,文教康樂,50(含)-75萬,533759,3095041802
201405,63000000,文教康樂,75(含)-100萬,201800,1423212058
201405,63000000,文教康樂,100(含)-125萬,132878,1153543143
201405,63000000,文教康樂,125(含)-150萬,46957,433019199
201405,63000000,文教康樂,150(含)-175萬,41384,410020366
201405,63000000,文教康樂,175(含)-200萬,22539,227831882
201405,63000000,文教康樂,200(含)萬以上,98222,1397989254
201406,63000000,文教康樂,未達50萬,1128301,5580756872
201406,63000000,文教康樂,50(含)-75萬,590167,3143206883
201406,63000000,文教康樂,75(含)-100萬,220562,1512557279
201406,63000000,文教康樂,100(含)-125萬,142593,1191871379
201406,63000000,文教康樂,125(含)-150萬,50434,437487995
201406,63000000,文教康樂,150(含)-175萬,43301,419427539
201406,63000000,文教康樂,175(含)-200萬,24284,240999820
201406,63000000,文教康樂,200(含)萬以上,100974,1407051545
201407,63000000,文教康樂,未達50萬,1034699,5350661581
201407,63000000,文教康樂,50(含)-75萬,550887,3036759258
201407,63000000,文教康樂,75(含)-100萬,219133,1464285057
201407,63000000,文教康樂,100(含)-125萬,141066,1160334141
201407,63000000,文教康樂,125(含)-150萬,50713,431788706
201407,63000000,文教康樂,150(含)-175萬,43094,410420136
201407,63000000,文教康樂,175(含)-200萬,24946,243603273
201407,63000000,文教康樂,200(含)萬以上,101371,1394337287
201408,63000000,文教康樂,未達50萬,1388032,6415291258
201408,63000000,文教康樂,50(含)-75萬,710708,3735851353
201408,63000000,文教康樂,75(含)-100萬,264453,1784151233
201408,63000000,文教康樂,100(含)-125萬,167710,1390901647
201408,63000000,文教康樂,125(含)-150萬,59606,514102498
201408,63000000,文教康樂,150(含)-175萬,49995,485254097
201408,63000000,文教康樂,175(含)-200萬,29083,288257659
201408,63000000,文教康樂,200(含)萬以上,116191,1533282735
201409,63000000,文教康樂,未達50萬,1200452,6391355392
201409,63000000,文教康樂,50(含)-75萬,632394,3652012300
201409,63000000,文教康樂,75(含)-100萬,243917,1688361443
201409,63000000,文教康樂,100(含)-125萬,156520,1322338887
201409,63000000,文教康樂,125(含)-150萬,56405,482891898
201409,63000000,文教康樂,150(含)-175萬,47088,459460377
201409,63000000,文教康樂,175(含)-200萬,27346,264787876
201409,63000000,文教康樂,200(含)萬以上,110080,1464519242
201410,63000000,文教康樂,未達50萬,1198079,5463178031
201410,63000000,文教康樂,50(含)-75萬,609281,2932362015
201410,63000000,文教康樂,75(含)-100萬,223265,1320512991
201410,63000000,文教康樂,100(含)-125萬,144762,1058460695
201410,63000000,文教康樂,125(含)-150萬,51977,396164870
201410,63000000,文教康樂,150(含)-175萬,44671,376711741
201410,63000000,文教康樂,175(含)-200萬,24571,213084724
201410,63000000,文教康樂,200(含)萬以上,108341,1318477825
201411,63000000,文教康樂,未達50萬,1157788,4942079178
201411,63000000,文教康樂,50(含)-75萬,599748,2659779844
201411,63000000,文教康樂,75(含)-100萬,220373,1187665423
201411,63000000,文教康樂,100(含)-125萬,141798,937949573
201411,63000000,文教康樂,125(含)-150萬,51157,351534426
201411,63000000,文教康樂,150(含)-175萬,44293,338045511
201411,63000000,文教康樂,175(含)-200萬,24814,192293458
201411,63000000,文教康樂,200(含)萬以上,104943,1169208162
201412,63000000,文教康樂,未達50萬,1230398,5049433018
201412,63000000,文教康樂,50(含)-75萬,636564,2776659592
201412,63000000,文教康樂,75(含)-100萬,238260,1249217631
201412,63000000,文教康樂,100(含)-125萬,154214,999534766
201412,63000000,文教康樂,125(含)-150萬,55641,379550735
201412,63000000,文教康樂,150(含)-175萬,47093,350100812
201412,63000000,文教康樂,175(含)-200萬,26911,208571714
201412,63000000,文教康樂,200(含)萬以上,113351,1260828022
201501,63000000,文教康樂,未達50萬,1237969,5509968439
