年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,其他,未達50萬,6448014,18518610480
201401,63000000,其他,50(含)-75萬,3217389,8788784889
201401,63000000,其他,75(含)-100萬,1217616,3620192965
201401,63000000,其他,100(含)-125萬,723500,2672430196
201401,63000000,其他,125(含)-150萬,235566,874379189
201401,63000000,其他,150(含)-175萬,192444,928540069
201401,63000000,其他,175(含)-200萬,101781,455003560
201401,63000000,其他,200(含)萬以上,391073,3013477441
201402,63000000,其他,未達50萬,5912072,15887306690
201402,63000000,其他,50(含)-75萬,2966602,7699897049
201402,63000000,其他,75(含)-100萬,1107940,3118632877
201402,63000000,其他,100(含)-125萬,660409,2314522751
201402,63000000,其他,125(含)-150萬,210507,738348305
201402,63000000,其他,150(含)-175萬,174319,772755388
201402,63000000,其他,175(含)-200萬,90204,381924500
201402,63000000,其他,200(含)萬以上,355709,2482081992
201403,63000000,其他,未達50萬,6790534,18434450426
201403,63000000,其他,50(含)-75萬,3423804,8858986681
201403,63000000,其他,75(含)-100萬,1283780,3553893358
201403,63000000,其他,100(含)-125萬,762478,2682402133
201403,63000000,其他,125(含)-150萬,245330,838850100
201403,63000000,其他,150(含)-175萬,201607,932529914
201403,63000000,其他,175(含)-200萬,106838,466146880
201403,63000000,其他,200(含)萬以上,413197,3425986484
201404,63000000,其他,未達50萬,6372626,17626617517
201404,63000000,其他,50(含)-75萬,3335365,9057312944
201404,63000000,其他,75(含)-100萬,1256906,3670931529
201404,63000000,其他,100(含)-125萬,735786,2708273781
201404,63000000,其他,125(含)-150萬,241968,889293283
201404,63000000,其他,150(含)-175萬,196610,946813579
201404,63000000,其他,175(含)-200萬,105329,489092370
201404,63000000,其他,200(含)萬以上,408142,3187437567
201405,63000000,其他,未達50萬,6761479,24714176812
201405,63000000,其他,50(含)-75萬,3577979,15159274354
201405,63000000,其他,75(含)-100萬,1365584,6885873994
201405,63000000,其他,100(含)-125萬,793581,5887779364
201405,63000000,其他,125(含)-150萬,268201,2276757524
201405,63000000,其他,150(含)-175萬,215802,2436804242
201405,63000000,其他,175(含)-200萬,117620,2285625435
201405,63000000,其他,200(含)萬以上,455593,13062943891
201406,63000000,其他,未達50萬,6546234,19275889128
201406,63000000,其他,50(含)-75萬,3411831,10253640542
201406,63000000,其他,75(含)-100萬,1288919,4347030097
201406,63000000,其他,100(含)-125萬,754899,3449491521
201406,63000000,其他,125(含)-150萬,249591,1181996520
201406,63000000,其他,150(含)-175萬,203696,1325523393
201406,63000000,其他,175(含)-200萬,108695,789794566
201406,63000000,其他,200(含)萬以上,417597,4955624337
201407,63000000,其他,未達50萬,6550500,18086354899
201407,63000000,其他,50(含)-75萬,3242049,8669480079
201407,63000000,其他,75(含)-100萬,1242947,3528730303
201407,63000000,其他,100(含)-125萬,712315,2634748941
201407,63000000,其他,125(含)-150萬,246186,869875687
201407,63000000,其他,150(含)-175萬,194697,923652535
201407,63000000,其他,175(含)-200萬,107845,453216701
201407,63000000,其他,200(含)萬以上,396552,2936145267
201408,63000000,其他,未達50萬,6711100,18538140673
201408,63000000,其他,50(含)-75萬,3374405,8911233107
201408,63000000,其他,75(含)-100萬,1271969,3596392101
201408,63000000,其他,100(含)-125萬,739615,2678489441
201408,63000000,其他,125(含)-150萬,251855,932826264
201408,63000000,其他,150(含)-175萬,200624,929707235
201408,63000000,其他,175(含)-200萬,108502,453754086
201408,63000000,其他,200(含)萬以上,411216,3163676580
201409,63000000,其他,未達50萬,6977036,20614031171
201409,63000000,其他,50(含)-75萬,3518811,10111740909
201409,63000000,其他,75(含)-100萬,1323924,4085387037
201409,63000000,其他,100(含)-125萬,776529,3184056092
201409,63000000,其他,125(含)-150萬,259390,982862177
201409,63000000,其他,150(含)-175萬,209094,1087253990
201409,63000000,其他,175(含)-200萬,112009,482023780
201409,63000000,其他,200(含)萬以上,428981,3677593948
201410,63000000,其他,未達50萬,6849181,19894688521
201410,63000000,其他,50(含)-75萬,3432309,9965269748
201410,63000000,其他,75(含)-100萬,1303761,4027493806
201410,63000000,其他,100(含)-125萬,745874,2961775528
201410,63000000,其他,125(含)-150萬,252615,961199875
201410,63000000,其他,150(含)-175萬,205119,1015579133
201410,63000000,其他,175(含)-200萬,112335,472819939
201410,63000000,其他,200(含)萬以上,414188,2946022601
201411,63000000,其他,未達50萬,6633746,18033197948
201411,63000000,其他,50(含)-75萬,3382271,9197614792
201411,63000000,其他,75(含)-100萬,1278465,3779677098
201411,63000000,其他,100(含)-125萬,737922,2861995073
201411,63000000,其他,125(含)-150萬,243773,915938358
201411,63000000,其他,150(含)-175萬,198694,933878978
201411,63000000,其他,175(含)-200萬,109114,462691301
201411,63000000,其他,200(含)萬以上,406111,3225627946
201412,63000000,其他,未達50萬,7805610,25075231703
201412,63000000,其他,50(含)-75萬,3869071,11950824721
201412,63000000,其他,75(含)-100萬,1461124,4905944845
201412,63000000,其他,100(含)-125萬,852172,3734679081
201412,63000000,其他,125(含)-150萬,282451,1224469707
201412,63000000,其他,150(含)-175萬,234352,1321918562
201412,63000000,其他,175(含)-200萬,127854,659951469
201412,63000000,其他,200(含)萬以上,483790,4415732616
201501,63000000,其他,未達50萬,7132341,19801988556
201501,63000000,其他,50(含)-75萬,3551292,9562818523
201501,63000000,其他,75(含)-100萬,1351894,3934678606
201501,63000000,其他,100(含)-125萬,784828,2906892837
201501,63000000,其他,125(含)-150萬,259742,989378880
201501,63000000,其他,150(含)-175萬,213391,1004009230
201501,63000000,其他,175(含)-200萬,116375,492681721
201501,63000000,其他,200(含)萬以上,439123,3450088952
201502,63000000,其他,未達50萬,5983886,15863376500
201502,63000000,其他,50(含)-75萬,3026859,8081559769
201502,63000000,其他,75(含)-100萬,1144890,3278873872
201502,63000000,其他,100(含)-125萬,660802,2398928225
