年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,百貨,未達50萬,2473,3040063
201401,10014000,百貨,50(含)-75萬,982,1412324
201401,10014000,百貨,75(含)-100萬,331,612517
201401,10014000,百貨,100(含)-125萬,128,335833
201401,10014000,百貨,125(含)-150萬,19,29242
201401,10014000,百貨,150(含)-175萬,22,20445
201401,10014000,百貨,175(含)-200萬,9,20396
201401,10014000,百貨,200(含)萬以上,26,45393
201402,10014000,百貨,未達50萬,1880,2656540
201402,10014000,百貨,50(含)-75萬,823,1154531
201402,10014000,百貨,75(含)-100萬,201,312373
201402,10014000,百貨,100(含)-125萬,110,284913
201402,10014000,百貨,125(含)-150萬,19,18223
201402,10014000,百貨,150(含)-175萬,20,56212
201402,10014000,百貨,175(含)-200萬,9,5683
201402,10014000,百貨,200(含)萬以上,42,105165
201403,10014000,百貨,未達50萬,3882,4350748
201403,10014000,百貨,50(含)-75萬,1752,2105669
201403,10014000,百貨,75(含)-100萬,472,609565
201403,10014000,百貨,100(含)-125萬,208,340893
201403,10014000,百貨,125(含)-150萬,48,75934
201403,10014000,百貨,150(含)-175萬,36,53929
201403,10014000,百貨,175(含)-200萬,13,24380
201403,10014000,百貨,200(含)萬以上,66,120884
201404,10014000,百貨,未達50萬,4028,5342812
201404,10014000,百貨,50(含)-75萬,1704,2538504
201404,10014000,百貨,75(含)-100萬,503,804484
201404,10014000,百貨,100(含)-125萬,252,439976
201404,10014000,百貨,125(含)-150萬,70,125216
201404,10014000,百貨,150(含)-175萬,36,35660
201404,10014000,百貨,175(含)-200萬,16,18634
201404,10014000,百貨,200(含)萬以上,106,232595
201405,10014000,百貨,未達50萬,4854,6660381
201405,10014000,百貨,50(含)-75萬,2196,3390344
201405,10014000,百貨,75(含)-100萬,630,933510
201405,10014000,百貨,100(含)-125萬,248,447807
201405,10014000,百貨,125(含)-150萬,76,170625
201405,10014000,百貨,150(含)-175萬,85,201696
201405,10014000,百貨,175(含)-200萬,26,27223
201405,10014000,百貨,200(含)萬以上,125,367717
201406,10014000,百貨,未達50萬,5187,7502735
201406,10014000,百貨,50(含)-75萬,2103,3209151
201406,10014000,百貨,75(含)-100萬,639,1104907
201406,10014000,百貨,100(含)-125萬,244,385722
201406,10014000,百貨,125(含)-150萬,93,229166
201406,10014000,百貨,150(含)-175萬,52,142587
201406,10014000,百貨,175(含)-200萬,34,48514
201406,10014000,百貨,200(含)萬以上,101,269451
201407,10014000,百貨,未達50萬,5839,9026761
201407,10014000,百貨,50(含)-75萬,2444,4077021
201407,10014000,百貨,75(含)-100萬,801,1401738
201407,10014000,百貨,100(含)-125萬,333,640040
