年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,文教康樂,未達50萬,10322,23733419
201401,10014000,文教康樂,50(含)-75萬,6798,14712319
201401,10014000,文教康樂,75(含)-100萬,2720,6267503
201401,10014000,文教康樂,100(含)-125萬,1521,3947951
201401,10014000,文教康樂,125(含)-150萬,454,1206540
201401,10014000,文教康樂,150(含)-175萬,366,1191549
201401,10014000,文教康樂,175(含)-200萬,213,731682
201401,10014000,文教康樂,200(含)萬以上,835,3686388
201402,10014000,文教康樂,未達50萬,10948,21988080
201402,10014000,文教康樂,50(含)-75萬,6803,13138174
201402,10014000,文教康樂,75(含)-100萬,2675,5898757
201402,10014000,文教康樂,100(含)-125萬,1388,2741123
201402,10014000,文教康樂,125(含)-150萬,461,1042746
201402,10014000,文教康樂,150(含)-175萬,371,1125980
201402,10014000,文教康樂,175(含)-200萬,229,405001
201402,10014000,文教康樂,200(含)萬以上,838,2813349
201403,10014000,文教康樂,未達50萬,10263,23482633
201403,10014000,文教康樂,50(含)-75萬,6369,14013861
201403,10014000,文教康樂,75(含)-100萬,2483,5209518
201403,10014000,文教康樂,100(含)-125萬,1366,3843074
201403,10014000,文教康樂,125(含)-150萬,423,1294161
201403,10014000,文教康樂,150(含)-175萬,356,1505685
201403,10014000,文教康樂,175(含)-200萬,209,558249
201403,10014000,文教康樂,200(含)萬以上,784,3422000
201404,10014000,文教康樂,未達50萬,10014,23274863
201404,10014000,文教康樂,50(含)-75萬,5974,13361718
201404,10014000,文教康樂,75(含)-100萬,2495,6380313
201404,10014000,文教康樂,100(含)-125萬,1355,3972468
201404,10014000,文教康樂,125(含)-150萬,415,1461609
201404,10014000,文教康樂,150(含)-175萬,322,1197741
201404,10014000,文教康樂,175(含)-200萬,217,726640
201404,10014000,文教康樂,200(含)萬以上,828,4286797
201405,10014000,文教康樂,未達50萬,10968,24012489
201405,10014000,文教康樂,50(含)-75萬,6643,16183907
201405,10014000,文教康樂,75(含)-100萬,2611,6404981
201405,10014000,文教康樂,100(含)-125萬,1398,3714971
201405,10014000,文教康樂,125(含)-150萬,430,1380395
201405,10014000,文教康樂,150(含)-175萬,347,1285616
201405,10014000,文教康樂,175(含)-200萬,219,585470
201405,10014000,文教康樂,200(含)萬以上,847,3819043
201406,10014000,文教康樂,未達50萬,11491,22399012
201406,10014000,文教康樂,50(含)-75萬,6898,13665920
201406,10014000,文教康樂,75(含)-100萬,2736,5512207
201406,10014000,文教康樂,100(含)-125萬,1449,3406359
201406,10014000,文教康樂,125(含)-150萬,482,1250835
201406,10014000,文教康樂,150(含)-175萬,377,973175
201406,10014000,文教康樂,175(含)-200萬,237,657942
201406,10014000,文教康樂,200(含)萬以上,819,2992714
201407,10014000,文教康樂,未達50萬,13250,25203896
201407,10014000,文教康樂,50(含)-75萬,8360,16581466
201407,10014000,文教康樂,75(含)-100萬,3422,8557742
201407,10014000,文教康樂,100(含)-125萬,1718,4475087
201407,10014000,文教康樂,125(含)-150萬,516,1608225
201407,10014000,文教康樂,150(含)-175萬,426,1354354
201407,10014000,文教康樂,175(含)-200萬,262,923311
201407,10014000,文教康樂,200(含)萬以上,996,3777708
201408,10014000,文教康樂,未達50萬,14634,25229546
201408,10014000,文教康樂,50(含)-75萬,8943,16425062
