年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,住,未達50萬,7688,55231849
201401,10014000,住,50(含)-75萬,5439,33666601
201401,10014000,住,75(含)-100萬,2565,16400705
201401,10014000,住,100(含)-125萬,1584,15002911
201401,10014000,住,125(含)-150萬,477,4300045
201401,10014000,住,150(含)-175萬,595,8777966
201401,10014000,住,175(含)-200萬,213,1726230
201401,10014000,住,200(含)萬以上,1298,25826269
201402,10014000,住,未達50萬,7465,51298909
201402,10014000,住,50(含)-75萬,4804,28602821
201402,10014000,住,75(含)-100萬,2085,15356887
201402,10014000,住,100(含)-125萬,1420,14290325
201402,10014000,住,125(含)-150萬,376,2464590
201402,10014000,住,150(含)-175萬,583,8778858
201402,10014000,住,175(含)-200萬,248,2742583
201402,10014000,住,200(含)萬以上,1202,22939215
201403,10014000,住,未達50萬,6420,53201138
201403,10014000,住,50(含)-75萬,4131,30143014
201403,10014000,住,75(含)-100萬,1846,16704734
201403,10014000,住,100(含)-125萬,1264,16198440
201403,10014000,住,125(含)-150萬,307,2562050
201403,10014000,住,150(含)-175萬,681,11989822
201403,10014000,住,175(含)-200萬,183,2696702
201403,10014000,住,200(含)萬以上,1202,27744437
201404,10014000,住,未達50萬,6686,59917168
201404,10014000,住,50(含)-75萬,4314,32427215
201404,10014000,住,75(含)-100萬,1931,17974597
201404,10014000,住,100(含)-125萬,1255,17567101
201404,10014000,住,125(含)-150萬,355,3280581
201404,10014000,住,150(含)-175萬,507,8242817
201404,10014000,住,175(含)-200萬,194,2247136
201404,10014000,住,200(含)萬以上,1190,27449467
201405,10014000,住,未達50萬,8041,64987075
201405,10014000,住,50(含)-75萬,5261,38174253
201405,10014000,住,75(含)-100萬,2202,18325191
201405,10014000,住,100(含)-125萬,1474,18975233
201405,10014000,住,125(含)-150萬,398,3393841
201405,10014000,住,150(含)-175萬,540,8103701
201405,10014000,住,175(含)-200萬,200,2421096
201405,10014000,住,200(含)萬以上,1189,21579104
201406,10014000,住,未達50萬,7949,59436221
201406,10014000,住,50(含)-75萬,5294,35071108
201406,10014000,住,75(含)-100萬,2473,17666149
201406,10014000,住,100(含)-125萬,1455,14283523
201406,10014000,住,125(含)-150萬,444,3510931
201406,10014000,住,150(含)-175萬,467,6454653
201406,10014000,住,175(含)-200萬,263,3174921
201406,10014000,住,200(含)萬以上,1283,22135574
201407,10014000,住,未達50萬,10747,80623363
201407,10014000,住,50(含)-75萬,7941,52810699
201407,10014000,住,75(含)-100萬,3671,27571229
201407,10014000,住,100(含)-125萬,2079,19878756
201407,10014000,住,125(含)-150萬,633,5062925
201407,10014000,住,150(含)-175萬,499,5418753
201407,10014000,住,175(含)-200萬,304,2753152
201407,10014000,住,200(含)萬以上,1628,25006707
201408,10014000,住,未達50萬,10759,72137622
201408,10014000,住,50(含)-75萬,7653,41797869
201408,10014000,住,75(含)-100萬,3591,23854749
201408,10014000,住,100(含)-125萬,2068,17195982
201408,10014000,住,125(含)-150萬,617,4646954
201408,10014000,住,150(含)-175萬,626,6507256
201408,10014000,住,175(含)-200萬,264,2017556
201408,10014000,住,200(含)萬以上,1691,33668573
201409,10014000,住,未達50萬,7491,55728788
201409,10014000,住,50(含)-75萬,4778,29784697
201409,10014000,住,75(含)-100萬,2199,15382779
201409,10014000,住,100(含)-125萬,1311,13159462
201409,10014000,住,125(含)-150萬,379,2471821
201409,10014000,住,150(含)-175萬,421,6697083
201409,10014000,住,175(含)-200萬,179,1909802
201409,10014000,住,200(含)萬以上,1044,16255927
201410,10014000,住,未達50萬,7646,58638510
201410,10014000,住,50(含)-75萬,4852,30623202
201410,10014000,住,75(含)-100萬,2389,18557752
201410,10014000,住,100(含)-125萬,1391,13615039
201410,10014000,住,125(含)-150萬,393,3625207
201410,10014000,住,150(含)-175萬,454,5207731
201410,10014000,住,175(含)-200萬,200,3071749
201410,10014000,住,200(含)萬以上,1375,26307134
201411,10014000,住,未達50萬,8148,72783013
201411,10014000,住,50(含)-75萬,5129,38508086
201411,10014000,住,75(含)-100萬,2346,20230878
201411,10014000,住,100(含)-125萬,1662,16686475
201411,10014000,住,125(含)-150萬,466,4539393
201411,10014000,住,150(含)-175萬,539,6306402
201411,10014000,住,175(含)-200萬,237,2608693
201411,10014000,住,200(含)萬以上,1414,26416121
201412,10014000,住,未達50萬,7697,64746100
201412,10014000,住,50(含)-75萬,4891,37472145
201412,10014000,住,75(含)-100萬,2288,19369742
201412,10014000,住,100(含)-125萬,1516,15806590
201412,10014000,住,125(含)-150萬,465,4503130
201412,10014000,住,150(含)-175萬,505,5940317
201412,10014000,住,175(含)-200萬,244,3051801
201412,10014000,住,200(含)萬以上,1546,32695561
201501,10014000,住,未達50萬,8793,65277566
201501,10014000,住,50(含)-75萬,5701,34658658
201501,10014000,住,75(含)-100萬,2656,16319995
201501,10014000,住,100(含)-125萬,1810,18643687
201501,10014000,住,125(含)-150萬,518,4807671
201501,10014000,住,150(含)-175萬,508,4844742
201501,10014000,住,175(含)-200萬,228,2087381
201501,10014000,住,200(含)萬以上,1565,28580498
201502,10014000,住,未達50萬,10524,77452248
201502,10014000,住,50(含)-75萬,7180,43436988
201502,10014000,住,75(含)-100萬,3184,20255312
201502,10014000,住,100(含)-125萬,1916,17835779
201502,10014000,住,125(含)-150萬,622,5438207
201502,10014000,住,150(含)-175萬,558,5178022
201502,10014000,住,175(含)-200萬,309,3293638
201502,10014000,住,200(含)萬以上,1624,25977956
201503,10014000,住,未達50萬,7216,50482447
201503,10014000,住,50(含)-75萬,4511,27986376
201503,10014000,住,75(含)-100萬,2129,14744248
201503,10014000,住,100(含)-125萬,1300,12867635
201503,10014000,住,125(含)-150萬,392,3044552
201503,10014000,住,150(含)-175萬,375,4156851
201503,10014000,住,175(含)-200萬,160,2077980
201503,10014000,住,200(含)萬以上,1206,20884000
201504,10014000,住,未達50萬,7934,64600840
201504,10014000,住,50(含)-75萬,5309,38360075
201504,10014000,住,75(含)-100萬,2382,18365819
201504,10014000,住,100(含)-125萬,1535,16897503
201504,10014000,住,125(含)-150萬,456,4591679
201504,10014000,住,150(含)-175萬,506,5156220
201504,10014000,住,175(含)-200萬,221,2100483
201504,10014000,住,200(含)萬以上,1410,26582678
201505,10014000,住,未達50萬,8619,72919364
201505,10014000,住,50(含)-75萬,5482,42657566
201505,10014000,住,75(含)-100萬,2587,19349212
201505,10014000,住,100(含)-125萬,1619,18280423
201505,10014000,住,125(含)-150萬,513,5372620
201505,10014000,住,150(含)-175萬,479,5030036
201505,10014000,住,175(含)-200萬,241,2232532
201505,10014000,住,200(含)萬以上,1486,27671169
201506,10014000,住,未達50萬,8405,66812429
201506,10014000,住,50(含)-75萬,5448,36058000
201506,10014000,住,75(含)-100萬,2544,18549903
201506,10014000,住,100(含)-125萬,1571,15478899
201506,10014000,住,125(含)-150萬,490,4315462
201506,10014000,住,150(含)-175萬,443,4777531
201506,10014000,住,175(含)-200萬,213,2059012
201506,10014000,住,200(含)萬以上,1374,23186343
201507,10014000,住,未達50萬,11631,85492539
201507,10014000,住,50(含)-75萬,8291,52991300
201507,10014000,住,75(含)-100萬,3867,27822503
201507,10014000,住,100(含)-125萬,2173,20701797
201507,10014000,住,125(含)-150萬,747,6561779
201507,10014000,住,150(含)-175萬,577,5392994
201507,10014000,住,175(含)-200萬,319,2751314
201507,10014000,住,200(含)萬以上,1835,29838921
201508,10014000,住,未達50萬,10094,66873281
201508,10014000,住,50(含)-75萬,7228,41519825
201508,10014000,住,75(含)-100萬,3269,21785853
201508,10014000,住,100(含)-125萬,1930,17198957
201508,10014000,住,125(含)-150萬,604,5409075
201508,10014000,住,150(含)-175萬,522,5338231
201508,10014000,住,175(含)-200萬,278,2067544
201508,10014000,住,200(含)萬以上,1559,20904541
201509,10014000,住,未達50萬,8064,55339973
201509,10014000,住,50(含)-75萬,5190,33575702
201509,10014000,住,75(含)-100萬,2266,14212189
201509,10014000,住,100(含)-125萬,1574,15557161
201509,10014000,住,125(含)-150萬,496,3970115
201509,10014000,住,150(含)-175萬,427,4019776
201509,10014000,住,175(含)-200萬,199,1850335
201509,10014000,住,200(含)萬以上,1279,19394181
201510,10014000,住,未達50萬,8638,64196900
201510,10014000,住,50(含)-75萬,5525,37442134
201510,10014000,住,75(含)-100萬,2496,20204687
201510,10014000,住,100(含)-125萬,1656,17949765
201510,10014000,住,125(含)-150萬,495,4317051
201510,10014000,住,150(含)-175萬,434,5025124
201510,10014000,住,175(含)-200萬,214,2069925
