年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,其他,未達50萬,5755,24540875
201401,10014000,其他,50(含)-75萬,3269,15359451
201401,10014000,其他,75(含)-100萬,1269,6627848
201401,10014000,其他,100(含)-125萬,576,3292961
201401,10014000,其他,125(含)-150萬,140,863245
201401,10014000,其他,150(含)-175萬,122,598536
201401,10014000,其他,175(含)-200萬,35,228401
201401,10014000,其他,200(含)萬以上,186,1052778
201402,10014000,其他,未達50萬,4724,18084954
201402,10014000,其他,50(含)-75萬,2539,11188758
201402,10014000,其他,75(含)-100萬,903,4213391
201402,10014000,其他,100(含)-125萬,419,2173551
201402,10014000,其他,125(含)-150萬,113,455599
201402,10014000,其他,150(含)-175萬,90,380273
201402,10014000,其他,175(含)-200萬,36,183319
201402,10014000,其他,200(含)萬以上,156,692737
201403,10014000,其他,未達50萬,5088,19183410
201403,10014000,其他,50(含)-75萬,2616,11821987
201403,10014000,其他,75(含)-100萬,1015,5001047
201403,10014000,其他,100(含)-125萬,479,2859230
201403,10014000,其他,125(含)-150萬,124,388029
201403,10014000,其他,150(含)-175萬,84,411081
201403,10014000,其他,175(含)-200萬,30,228415
201403,10014000,其他,200(含)萬以上,164,870138
201404,10014000,其他,未達50萬,4830,19456748
201404,10014000,其他,50(含)-75萬,2590,12440295
201404,10014000,其他,75(含)-100萬,1014,5727202
201404,10014000,其他,100(含)-125萬,450,2520339
201404,10014000,其他,125(含)-150萬,99,528357
201404,10014000,其他,150(含)-175萬,105,506237
201404,10014000,其他,175(含)-200萬,35,194123
201404,10014000,其他,200(含)萬以上,133,667651
201405,10014000,其他,未達50萬,5387,22435659
201405,10014000,其他,50(含)-75萬,2853,14284017
201405,10014000,其他,75(含)-100萬,1199,5827130
201405,10014000,其他,100(含)-125萬,507,2665460
201405,10014000,其他,125(含)-150萬,146,802613
201405,10014000,其他,150(含)-175萬,87,449881
201405,10014000,其他,175(含)-200萬,53,399862
201405,10014000,其他,200(含)萬以上,187,867289
201406,10014000,其他,未達50萬,5051,19103820
201406,10014000,其他,50(含)-75萬,2643,11438670
201406,10014000,其他,75(含)-100萬,1087,4960480
201406,10014000,其他,100(含)-125萬,439,2080975
201406,10014000,其他,125(含)-150萬,134,850557
201406,10014000,其他,150(含)-175萬,94,434258
201406,10014000,其他,175(含)-200萬,51,256654
201406,10014000,其他,200(含)萬以上,172,1057367
201407,10014000,其他,未達50萬,5502,20887321
201407,10014000,其他,50(含)-75萬,2921,13628032
201407,10014000,其他,75(含)-100萬,1163,6262294
201407,10014000,其他,100(含)-125萬,503,2970354
201407,10014000,其他,125(含)-150萬,132,561260
201407,10014000,其他,150(含)-175萬,113,743505
201407,10014000,其他,175(含)-200萬,53,334854
201407,10014000,其他,200(含)萬以上,170,1043149
201408,10014000,其他,未達50萬,5616,20030489
201408,10014000,其他,50(含)-75萬,2949,11897244
201408,10014000,其他,75(含)-100萬,1244,5555952
201408,10014000,其他,100(含)-125萬,547,2759520
201408,10014000,其他,125(含)-150萬,132,583191
201408,10014000,其他,150(含)-175萬,106,520742
201408,10014000,其他,175(含)-200萬,44,297492
201408,10014000,其他,200(含)萬以上,179,976829
201409,10014000,其他,未達50萬,5246,20100803
201409,10014000,其他,50(含)-75萬,2705,10962061
201409,10014000,其他,75(含)-100萬,1051,5066258
201409,10014000,其他,100(含)-125萬,477,2339057
201409,10014000,其他,125(含)-150萬,94,339080
201409,10014000,其他,150(含)-175萬,99,428478
201409,10014000,其他,175(含)-200萬,39,164678
201409,10014000,其他,200(含)萬以上,161,1445614
201410,10014000,其他,未達50萬,5699,22708499
201410,10014000,其他,50(含)-75萬,3057,13810414
201410,10014000,其他,75(含)-100萬,1051,5601134
201410,10014000,其他,100(含)-125萬,496,3014334
201410,10014000,其他,125(含)-150萬,116,1219834
201410,10014000,其他,150(含)-175萬,118,580341
201410,10014000,其他,175(含)-200萬,39,318470
201410,10014000,其他,200(含)萬以上,166,1364339
201411,10014000,其他,未達50萬,5085,19999660
201411,10014000,其他,50(含)-75萬,2616,11521074
201411,10014000,其他,75(含)-100萬,990,5016937
201411,10014000,其他,100(含)-125萬,543,3060542
201411,10014000,其他,125(含)-150萬,97,685288
201411,10014000,其他,150(含)-175萬,87,397367
201411,10014000,其他,175(含)-200萬,37,338662
201411,10014000,其他,200(含)萬以上,174,1758267
201412,10014000,其他,未達50萬,5551,23429218
201412,10014000,其他,50(含)-75萬,2790,13298864
201412,10014000,其他,75(含)-100萬,1159,6224885
201412,10014000,其他,100(含)-125萬,536,3462324
201412,10014000,其他,125(含)-150萬,140,515075
201412,10014000,其他,150(含)-175萬,120,548236
201412,10014000,其他,175(含)-200萬,50,394058
201412,10014000,其他,200(含)萬以上,157,1177462
201501,10014000,其他,未達50萬,5606,24525046
201501,10014000,其他,50(含)-75萬,2949,14103997
201501,10014000,其他,75(含)-100萬,1211,6700194
201501,10014000,其他,100(含)-125萬,527,2982344
201501,10014000,其他,125(含)-150萬,157,806477
201501,10014000,其他,150(含)-175萬,91,669943
201501,10014000,其他,175(含)-200萬,42,322452
201501,10014000,其他,200(含)萬以上,177,1106041
201502,10014000,其他,未達50萬,5483,25094633
201502,10014000,其他,50(含)-75萬,2806,13702158
201502,10014000,其他,75(含)-100萬,1167,5919560
201502,10014000,其他,100(含)-125萬,544,3058009
201502,10014000,其他,125(含)-150萬,116,550834
201502,10014000,其他,150(含)-175萬,96,408903
201502,10014000,其他,175(含)-200萬,36,218409
201502,10014000,其他,200(含)萬以上,206,2054577
201503,10014000,其他,未達50萬,5030,21251266
201503,10014000,其他,50(含)-75萬,2605,12727154
201503,10014000,其他,75(含)-100萬,1032,5386633
201503,10014000,其他,100(含)-125萬,394,2494060
201503,10014000,其他,125(含)-150萬,110,478510
201503,10014000,其他,150(含)-175萬,98,611192
201503,10014000,其他,175(含)-200萬,32,226536
201503,10014000,其他,200(含)萬以上,154,1210878
201504,10014000,其他,未達50萬,5053,22534837
201504,10014000,其他,50(含)-75萬,2743,13145386
201504,10014000,其他,75(含)-100萬,984,5121703
201504,10014000,其他,100(含)-125萬,450,3172284
201504,10014000,其他,125(含)-150萬,114,503986
201504,10014000,其他,150(含)-175萬,106,790261
201504,10014000,其他,175(含)-200萬,45,729169
201504,10014000,其他,200(含)萬以上,172,1833626
201505,10014000,其他,未達50萬,5518,24429100
201505,10014000,其他,50(含)-75萬,2902,14849998
201505,10014000,其他,75(含)-100萬,1007,5593587
201505,10014000,其他,100(含)-125萬,475,3198480
201505,10014000,其他,125(含)-150萬,117,970781
201505,10014000,其他,150(含)-175萬,128,1053238
201505,10014000,其他,175(含)-200萬,29,365612
201505,10014000,其他,200(含)萬以上,165,1394541
201506,10014000,其他,未達50萬,5628,23476401
201506,10014000,其他,50(含)-75萬,2940,13993452
201506,10014000,其他,75(含)-100萬,1063,5434582
201506,10014000,其他,100(含)-125萬,476,2802896
201506,10014000,其他,125(含)-150萬,124,949073
201506,10014000,其他,150(含)-175萬,101,551999
201506,10014000,其他,175(含)-200萬,34,285227
201506,10014000,其他,200(含)萬以上,188,1445166
201507,10014000,其他,未達50萬,5693,22849384
201507,10014000,其他,50(含)-75萬,3080,13951676
201507,10014000,其他,75(含)-100萬,1312,6321684
201507,10014000,其他,100(含)-125萬,546,3287877
201507,10014000,其他,125(含)-150萬,131,707240
201507,10014000,其他,150(含)-175萬,100,465767
201507,10014000,其他,175(含)-200萬,45,197898
201507,10014000,其他,200(含)萬以上,181,928226
201508,10014000,其他,未達50萬,6308,31792277
201508,10014000,其他,50(含)-75萬,3297,17089789
201508,10014000,其他,75(含)-100萬,1298,7436376
201508,10014000,其他,100(含)-125萬,565,3740152
201508,10014000,其他,125(含)-150萬,156,1346513
201508,10014000,其他,150(含)-175萬,142,1664870
201508,10014000,其他,175(含)-200萬,56,429706
201508,10014000,其他,200(含)萬以上,285,2910969
201509,10014000,其他,未達50萬,5344,21031676
201509,10014000,其他,50(含)-75萬,2763,12684572
201509,10014000,其他,75(含)-100萬,986,4706074
201509,10014000,其他,100(含)-125萬,459,2316552
201509,10014000,其他,125(含)-150萬,127,648035
201509,10014000,其他,150(含)-175萬,109,568984
201509,10014000,其他,175(含)-200萬,40,504798
201509,10014000,其他,200(含)萬以上,193,1562982
201510,10014000,其他,未達50萬,5667,28573013
201510,10014000,其他,50(含)-75萬,3018,16585137
201510,10014000,其他,75(含)-100萬,1070,6006783
