年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,行,未達50萬,31030,34045626
201401,10014000,行,50(含)-75萬,16794,19249962
201401,10014000,行,75(含)-100萬,7030,8438686
201401,10014000,行,100(含)-125萬,3617,5320427
201401,10014000,行,125(含)-150萬,1035,1624646
201401,10014000,行,150(含)-175萬,691,1010223
201401,10014000,行,175(含)-200萬,271,382386
201401,10014000,行,200(含)萬以上,1289,2174435
201402,10014000,行,未達50萬,35749,39932711
201402,10014000,行,50(含)-75萬,18537,21317895
201402,10014000,行,75(含)-100萬,7476,9291880
201402,10014000,行,100(含)-125萬,3809,5126885
201402,10014000,行,125(含)-150萬,1049,1501809
201402,10014000,行,150(含)-175萬,739,966014
201402,10014000,行,175(含)-200萬,344,501182
201402,10014000,行,200(含)萬以上,1491,2028429
201403,10014000,行,未達50萬,30805,33216035
201403,10014000,行,50(含)-75萬,16583,18601966
201403,10014000,行,75(含)-100萬,6948,8381122
201403,10014000,行,100(含)-125萬,3408,4995470
201403,10014000,行,125(含)-150萬,933,1278057
201403,10014000,行,150(含)-175萬,607,830043
201403,10014000,行,175(含)-200萬,250,300746
201403,10014000,行,200(含)萬以上,1216,1980185
201404,10014000,行,未達50萬,30529,34122328
201404,10014000,行,50(含)-75萬,16384,18685651
201404,10014000,行,75(含)-100萬,6773,8321472
201404,10014000,行,100(含)-125萬,3345,4651031
201404,10014000,行,125(含)-150萬,877,1082309
201404,10014000,行,150(含)-175萬,615,890125
201404,10014000,行,175(含)-200萬,294,374060
201404,10014000,行,200(含)萬以上,1250,2248393
201405,10014000,行,未達50萬,31480,34230638
201405,10014000,行,50(含)-75萬,17125,19199211
201405,10014000,行,75(含)-100萬,7212,8410348
201405,10014000,行,100(含)-125萬,3440,5445941
201405,10014000,行,125(含)-150萬,988,1353453
201405,10014000,行,150(含)-175萬,624,802136
201405,10014000,行,175(含)-200萬,273,382957
201405,10014000,行,200(含)萬以上,1242,2040694
201406,10014000,行,未達50萬,35052,39815955
201406,10014000,行,50(含)-75萬,18761,21738003
201406,10014000,行,75(含)-100萬,7879,9051206
201406,10014000,行,100(含)-125萬,3881,6143455
201406,10014000,行,125(含)-150萬,1134,1674490
201406,10014000,行,150(含)-175萬,790,1209525
201406,10014000,行,175(含)-200萬,330,463082
201406,10014000,行,200(含)萬以上,1383,2560256
201407,10014000,行,未達50萬,41194,46196510
201407,10014000,行,50(含)-75萬,23438,28104031
201407,10014000,行,75(含)-100萬,10064,12170727
201407,10014000,行,100(含)-125萬,4900,7105908
201407,10014000,行,125(含)-150萬,1452,1945067
201407,10014000,行,150(含)-175萬,903,1205075
201407,10014000,行,175(含)-200萬,422,643012
201407,10014000,行,200(含)萬以上,1727,2978763
201408,10014000,行,未達50萬,42363,46442939
201408,10014000,行,50(含)-75萬,23831,27773295
201408,10014000,行,75(含)-100萬,10188,11978406
201408,10014000,行,100(含)-125萬,5009,7054380
201408,10014000,行,125(含)-150萬,1414,1980442
201408,10014000,行,150(含)-175萬,955,1452384
201408,10014000,行,175(含)-200萬,436,594532
201408,10014000,行,200(含)萬以上,1838,2778737
201409,10014000,行,未達50萬,33582,35410570
201409,10014000,行,50(含)-75萬,17625,19957730
201409,10014000,行,75(含)-100萬,7067,7597405
201409,10014000,行,100(含)-125萬,3622,5473892
201409,10014000,行,125(含)-150萬,1038,1451837
201409,10014000,行,150(含)-175萬,696,982171
201409,10014000,行,175(含)-200萬,307,401420
201409,10014000,行,200(含)萬以上,1297,2301366
201410,10014000,行,未達50萬,34361,35478989
201410,10014000,行,50(含)-75萬,18699,20394475
201410,10014000,行,75(含)-100萬,7411,7816124
201410,10014000,行,100(含)-125萬,3649,5432363
201410,10014000,行,125(含)-150萬,1004,1272079
201410,10014000,行,150(含)-175萬,684,975532
201410,10014000,行,175(含)-200萬,325,434057
201410,10014000,行,200(含)萬以上,1359,2628029
201411,10014000,行,未達50萬,30265,31895159
201411,10014000,行,50(含)-75萬,16546,17962554
201411,10014000,行,75(含)-100萬,6659,6860061
201411,10014000,行,100(含)-125萬,3356,5009064
201411,10014000,行,125(含)-150萬,951,1273978
201411,10014000,行,150(含)-175萬,601,775033
201411,10014000,行,175(含)-200萬,288,385580
201411,10014000,行,200(含)萬以上,1157,2012307
201412,10014000,行,未達50萬,29446,28391321
201412,10014000,行,50(含)-75萬,16389,16288583
201412,10014000,行,75(含)-100萬,6698,6474845
201412,10014000,行,100(含)-125萬,3530,4688143
201412,10014000,行,125(含)-150萬,949,1189616
201412,10014000,行,150(含)-175萬,627,857846
201412,10014000,行,175(含)-200萬,273,274939
201412,10014000,行,200(含)萬以上,1270,2532008
201501,10014000,行,未達50萬,33071,30123215
201501,10014000,行,50(含)-75萬,18197,16917747
201501,10014000,行,75(含)-100萬,7516,7074311
201501,10014000,行,100(含)-125萬,3777,4350323
201501,10014000,行,125(含)-150萬,1103,1305061
201501,10014000,行,150(含)-175萬,692,785660
201501,10014000,行,175(含)-200萬,325,374172
201501,10014000,行,200(含)萬以上,1355,2317939
201502,10014000,行,未達50萬,38285,34860514
201502,10014000,行,50(含)-75萬,20565,19165342
201502,10014000,行,75(含)-100萬,8507,7874499
201502,10014000,行,100(含)-125萬,4320,4955784
201502,10014000,行,125(含)-150萬,1311,1509127
201502,10014000,行,150(含)-175萬,990,1121136
201502,10014000,行,175(含)-200萬,461,507278
201502,10014000,行,200(含)萬以上,1701,2267601
201503,10014000,行,未達50萬,30456,27190008
201503,10014000,行,50(含)-75萬,16325,15200933
201503,10014000,行,75(含)-100萬,6500,6352895
201503,10014000,行,100(含)-125萬,3170,3332886
201503,10014000,行,125(含)-150萬,945,1068809
201503,10014000,行,150(含)-175萬,625,693932
201503,10014000,行,175(含)-200萬,258,279611
201503,10014000,行,200(含)萬以上,1106,1257492
201504,10014000,行,未達50萬,32087,29394569
201504,10014000,行,50(含)-75萬,17543,16025114
201504,10014000,行,75(含)-100萬,6901,7188306
201504,10014000,行,100(含)-125萬,3403,3892639
201504,10014000,行,125(含)-150萬,980,1070300
201504,10014000,行,150(含)-175萬,679,772311
201504,10014000,行,175(含)-200萬,307,369446
201504,10014000,行,200(含)萬以上,1252,2020943
201505,10014000,行,未達50萬,31835,30286389
201505,10014000,行,50(含)-75萬,16894,16270663
201505,10014000,行,75(含)-100萬,6719,6970657
201505,10014000,行,100(含)-125萬,3236,3938311
201505,10014000,行,125(含)-150萬,944,1180073
201505,10014000,行,150(含)-175萬,661,762145
201505,10014000,行,175(含)-200萬,274,325421
201505,10014000,行,200(含)萬以上,1144,1531719
201506,10014000,行,未達50萬,34849,34392559
201506,10014000,行,50(含)-75萬,18865,19650583
201506,10014000,行,75(含)-100萬,7337,7381915
201506,10014000,行,100(含)-125萬,3502,4510274
201506,10014000,行,125(含)-150萬,1061,1386578
201506,10014000,行,150(含)-175萬,796,856839
201506,10014000,行,175(含)-200萬,305,384757
201506,10014000,行,200(含)萬以上,1231,2340610
201507,10014000,行,未達50萬,40637,39230273
201507,10014000,行,50(含)-75萬,22849,23188743
201507,10014000,行,75(含)-100萬,9227,9701605
201507,10014000,行,100(含)-125萬,4512,5181881
201507,10014000,行,125(含)-150萬,1378,1758250
201507,10014000,行,150(含)-175萬,1018,1133117
201507,10014000,行,175(含)-200萬,416,499991
201507,10014000,行,200(含)萬以上,1717,2815355
201508,10014000,行,未達50萬,37370,34338015
201508,10014000,行,50(含)-75萬,20442,19417654
201508,10014000,行,75(含)-100萬,8339,8019838
201508,10014000,行,100(含)-125萬,4120,4333808
201508,10014000,行,125(含)-150萬,1199,1181266
201508,10014000,行,150(含)-175萬,839,903733
201508,10014000,行,175(含)-200萬,372,493472
201508,10014000,行,200(含)萬以上,1533,1961187
201509,10014000,行,未達50萬,34423,31326394
201509,10014000,行,50(含)-75萬,18222,16822561
