年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,衣,未達50萬,116281,289788350
201401,68000000,衣,50(含)-75萬,49585,126612187
201401,68000000,衣,75(含)-100萬,15098,39937744
201401,68000000,衣,100(含)-125萬,7716,23387869
201401,68000000,衣,125(含)-150萬,2604,7945111
201401,68000000,衣,150(含)-175萬,2047,6334197
201401,68000000,衣,175(含)-200萬,1011,2903617
201401,68000000,衣,200(含)萬以上,4282,18074250
201402,68000000,衣,未達50萬,62256,145961113
201402,68000000,衣,50(含)-75萬,26931,65583864
201402,68000000,衣,75(含)-100萬,8424,21479432
201402,68000000,衣,100(含)-125萬,4438,11843001
201402,68000000,衣,125(含)-150萬,1518,4304535
201402,68000000,衣,150(含)-175萬,1148,3407869
201402,68000000,衣,175(含)-200萬,550,1935844
201402,68000000,衣,200(含)萬以上,2482,8893434
201403,68000000,衣,未達50萬,71561,170210894
201403,68000000,衣,50(含)-75萬,29817,72713323
201403,68000000,衣,75(含)-100萬,9073,24036579
201403,68000000,衣,100(含)-125萬,4735,14430426
201403,68000000,衣,125(含)-150萬,1631,4597979
201403,68000000,衣,150(含)-175萬,1263,3894976
201403,68000000,衣,175(含)-200萬,596,1852633
201403,68000000,衣,200(含)萬以上,2763,11019865
201404,68000000,衣,未達50萬,83060,198042301
201404,68000000,衣,50(含)-75萬,34448,86231522
201404,68000000,衣,75(含)-100萬,10244,26828564
201404,68000000,衣,100(含)-125萬,5217,16073020
201404,68000000,衣,125(含)-150萬,1930,5948348
201404,68000000,衣,150(含)-175萬,1461,4427254
201404,68000000,衣,175(含)-200萬,682,2221042
201404,68000000,衣,200(含)萬以上,3162,13199532
201405,68000000,衣,未達50萬,97616,224055779
201405,68000000,衣,50(含)-75萬,40848,95825974
201405,68000000,衣,75(含)-100萬,12105,30331845
201405,68000000,衣,100(含)-125萬,6363,17726569
201405,68000000,衣,125(含)-150萬,2271,6339282
201405,68000000,衣,150(含)-175萬,1690,4913967
201405,68000000,衣,175(含)-200萬,822,3201191
201405,68000000,衣,200(含)萬以上,3664,13751008
201406,68000000,衣,未達50萬,91585,202007744
201406,68000000,衣,50(含)-75萬,38607,87695220
201406,68000000,衣,75(含)-100萬,11594,28284115
201406,68000000,衣,100(含)-125萬,5988,16376536
201406,68000000,衣,125(含)-150萬,2179,5858736
201406,68000000,衣,150(含)-175萬,1692,4574327
201406,68000000,衣,175(含)-200萬,823,2529450
201406,68000000,衣,200(含)萬以上,3592,12930926
201407,68000000,衣,未達50萬,85797,180176478
201407,68000000,衣,50(含)-75萬,36388,80086993
201407,68000000,衣,75(含)-100萬,11210,26023545
201407,68000000,衣,100(含)-125萬,5890,15732163
201407,68000000,衣,125(含)-150萬,2064,4963307
201407,68000000,衣,150(含)-175萬,1491,3996663
201407,68000000,衣,175(含)-200萬,781,2277964
201407,68000000,衣,200(含)萬以上,3419,11491894
201408,68000000,衣,未達50萬,93826,185659214
201408,68000000,衣,50(含)-75萬,39649,81872385
201408,68000000,衣,75(含)-100萬,12023,25963282
201408,68000000,衣,100(含)-125萬,6010,15090585
201408,68000000,衣,125(含)-150萬,2217,5377051
201408,68000000,衣,150(含)-175萬,1621,4091310
201408,68000000,衣,175(含)-200萬,828,2523865
201408,68000000,衣,200(含)萬以上,3438,10456505
201409,68000000,衣,未達50萬,77921,178700037
201409,68000000,衣,50(含)-75萬,31818,76748945
201409,68000000,衣,75(含)-100萬,9610,24694610
201409,68000000,衣,100(含)-125萬,4994,13874915
201409,68000000,衣,125(含)-150萬,1733,4823640
201409,68000000,衣,150(含)-175萬,1417,3963562
201409,68000000,衣,175(含)-200萬,659,2165298
201409,68000000,衣,200(含)萬以上,2859,10245355
201410,68000000,衣,未達50萬,102741,260682108
201410,68000000,衣,50(含)-75萬,42975,114240363
