年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,文教康樂,未達50萬,101753,443046168
201401,68000000,文教康樂,50(含)-75萬,49631,228823596
201401,68000000,文教康樂,75(含)-100萬,20417,105279792
201401,68000000,文教康樂,100(含)-125萬,14529,81065478
201401,68000000,文教康樂,125(含)-150萬,4984,30184115
201401,68000000,文教康樂,150(含)-175萬,4477,24632089
201401,68000000,文教康樂,175(含)-200萬,2263,13092926
201401,68000000,文教康樂,200(含)萬以上,13393,92820186
201402,68000000,文教康樂,未達50萬,97583,452012049
201402,68000000,文教康樂,50(含)-75萬,47829,235605436
201402,68000000,文教康樂,75(含)-100萬,19002,104665089
201402,68000000,文教康樂,100(含)-125萬,13518,83941064
201402,68000000,文教康樂,125(含)-150萬,4516,27991415
201402,68000000,文教康樂,150(含)-175萬,4205,27792135
201402,68000000,文教康樂,175(含)-200萬,2038,12356156
201402,68000000,文教康樂,200(含)萬以上,11629,81350549
201403,68000000,文教康樂,未達50萬,104536,438989121
201403,68000000,文教康樂,50(含)-75萬,50689,224840580
201403,68000000,文教康樂,75(含)-100萬,19994,96014379
201403,68000000,文教康樂,100(含)-125萬,14558,78636476
201403,68000000,文教康樂,125(含)-150萬,4908,28036736
201403,68000000,文教康樂,150(含)-175萬,4620,25555591
201403,68000000,文教康樂,175(含)-200萬,2366,13462606
201403,68000000,文教康樂,200(含)萬以上,13438,83475021
201404,68000000,文教康樂,未達50萬,102267,457936024
201404,68000000,文教康樂,50(含)-75萬,50059,235132330
201404,68000000,文教康樂,75(含)-100萬,20207,102454163
201404,68000000,文教康樂,100(含)-125萬,14210,77242807
201404,68000000,文教康樂,125(含)-150萬,5037,28450492
201404,68000000,文教康樂,150(含)-175萬,4599,26783202
201404,68000000,文教康樂,175(含)-200萬,2385,14740838
201404,68000000,文教康樂,200(含)萬以上,12993,85960048
201405,68000000,文教康樂,未達50萬,105743,500793080
201405,68000000,文教康樂,50(含)-75萬,50647,255861309
201405,68000000,文教康樂,75(含)-100萬,20004,114346749
201405,68000000,文教康樂,100(含)-125萬,13952,89972305
201405,68000000,文教康樂,125(含)-150萬,5032,33803695
201405,68000000,文教康樂,150(含)-175萬,4449,31250786
201405,68000000,文教康樂,175(含)-200萬,2253,16721751
201405,68000000,文教康樂,200(含)萬以上,12429,94180639
201406,68000000,文教康樂,未達50萬,109518,493334125
201406,68000000,文教康樂,50(含)-75萬,53758,265076975
201406,68000000,文教康樂,75(含)-100萬,21467,125469219
201406,68000000,文教康樂,100(含)-125萬,15006,92598226
201406,68000000,文教康樂,125(含)-150萬,5410,33437914
201406,68000000,文教康樂,150(含)-175萬,4718,30818567
201406,68000000,文教康樂,175(含)-200萬,2490,16547623
201406,68000000,文教康樂,200(含)萬以上,13255,98784800
201407,68000000,文教康樂,未達50萬,114697,481501513
201407,68000000,文教康樂,50(含)-75萬,57788,270186695
201407,68000000,文教康樂,75(含)-100萬,23070,124219992
201407,68000000,文教康樂,100(含)-125萬,15674,89214163
201407,68000000,文教康樂,125(含)-150萬,5625,35516341
201407,68000000,文教康樂,150(含)-175萬,4933,31370660
201407,68000000,文教康樂,175(含)-200萬,2571,18717232
201407,68000000,文教康樂,200(含)萬以上,13678,100146948
201408,68000000,文教康樂,未達50萬,126065,523686150
201408,68000000,文教康樂,50(含)-75萬,61906,282694231
201408,68000000,文教康樂,75(含)-100萬,24317,123947404
201408,68000000,文教康樂,100(含)-125萬,16397,98026371
201408,68000000,文教康樂,125(含)-150萬,5996,37306717
201408,68000000,文教康樂,150(含)-175萬,5100,30956162
201408,68000000,文教康樂,175(含)-200萬,2784,18027644
201408,68000000,文教康樂,200(含)萬以上,14610,100462141
201409,68000000,文教康樂,未達50萬,111326,526558132
201409,68000000,文教康樂,50(含)-75萬,53344,273758171
201409,68000000,文教康樂,75(含)-100萬,20647,114757688
201409,68000000,文教康樂,100(含)-125萬,14626,91990428
201409,68000000,文教康樂,125(含)-150萬,5428,33480367
201409,68000000,文教康樂,150(含)-175萬,4678,32193593
201409,68000000,文教康樂,175(含)-200萬,2373,15403518
201409,68000000,文教康樂,200(含)萬以上,13479,101017931
201410,68000000,文教康樂,未達50萬,112629,486550907
201410,68000000,文教康樂,50(含)-75萬,54221,245513178
201410,68000000,文教康樂,75(含)-100萬,21262,109206192
201410,68000000,文教康樂,100(含)-125萬,15421,87642808
201410,68000000,文教康樂,125(含)-150萬,5775,33408347
201410,68000000,文教康樂,150(含)-175萬,4989,29295045
201410,68000000,文教康樂,175(含)-200萬,2531,16070640
201410,68000000,文教康樂,200(含)萬以上,14441,95052894
201411,68000000,文教康樂,未達50萬,108153,442495268
201411,68000000,文教康樂,50(含)-75萬,52298,224242145
201411,68000000,文教康樂,75(含)-100萬,20773,99775543
201411,68000000,文教康樂,100(含)-125萬,14612,77965038
201411,68000000,文教康樂,125(含)-150萬,5318,29423850
201411,68000000,文教康樂,150(含)-175萬,4774,27550475
201411,68000000,文教康樂,175(含)-200萬,2533,15132178
201411,68000000,文教康樂,200(含)萬以上,13768,88568238
201412,68000000,文教康樂,未達50萬,113073,462308036
201412,68000000,文教康樂,50(含)-75萬,54134,240156081
201412,68000000,文教康樂,75(含)-100萬,21584,108360081
201412,68000000,文教康樂,100(含)-125萬,15037,77382347
201412,68000000,文教康樂,125(含)-150萬,5582,30310555
201412,68000000,文教康樂,150(含)-175萬,4895,29249063
201412,68000000,文教康樂,175(含)-200萬,2592,16804659
201412,68000000,文教康樂,200(含)萬以上,13391,92023751
201501,68000000,文教康樂,未達50萬,115960,478795832
201501,68000000,文教康樂,50(含)-75萬,56985,259474728
201501,68000000,文教康樂,75(含)-100萬,22602,114242991
201501,68000000,文教康樂,100(含)-125萬,15602,84775467
201501,68000000,文教康樂,125(含)-150萬,5638,32271762
201501,68000000,文教康樂,150(含)-175萬,5049,29743977
