年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,其他,未達50萬,207121,937856488
201401,68000000,其他,50(含)-75萬,87849,455214775
201401,68000000,其他,75(含)-100萬,31049,183316036
201401,68000000,其他,100(含)-125萬,19047,130687855
201401,68000000,其他,125(含)-150萬,6672,46549128
201401,68000000,其他,150(含)-175萬,5275,37542247
201401,68000000,其他,175(含)-200萬,2321,20314373
201401,68000000,其他,200(含)萬以上,10548,96546322
201402,68000000,其他,未達50萬,155059,655013698
201402,68000000,其他,50(含)-75萬,67112,318189330
201402,68000000,其他,75(含)-100萬,23596,129731309
201402,68000000,其他,100(含)-125萬,14359,90033917
201402,68000000,其他,125(含)-150萬,5009,34545424
201402,68000000,其他,150(含)-175萬,3823,25666012
201402,68000000,其他,175(含)-200萬,1714,12668185
201402,68000000,其他,200(含)萬以上,7843,64902163
201403,68000000,其他,未達50萬,182670,820104187
201403,68000000,其他,50(含)-75萬,77395,382505688
201403,68000000,其他,75(含)-100萬,27103,160581169
201403,68000000,其他,100(含)-125萬,16647,113536740
201403,68000000,其他,125(含)-150萬,5891,41106204
201403,68000000,其他,150(含)-175萬,4329,33065330
201403,68000000,其他,175(含)-200萬,2006,15608398
201403,68000000,其他,200(含)萬以上,9276,93456482
201404,68000000,其他,未達50萬,176872,835339859
201404,68000000,其他,50(含)-75萬,74316,397215828
201404,68000000,其他,75(含)-100萬,26245,162536239
201404,68000000,其他,100(含)-125萬,15617,116975880
201404,68000000,其他,125(含)-150萬,5772,44867027
201404,68000000,其他,150(含)-175萬,4052,33593777
201404,68000000,其他,175(含)-200萬,1910,17795930
201404,68000000,其他,200(含)萬以上,8808,90153859
201405,68000000,其他,未達50萬,192202,863051060
201405,68000000,其他,50(含)-75萬,79786,410758371
201405,68000000,其他,75(含)-100萬,28211,172037935
201405,68000000,其他,100(含)-125萬,17000,126536518
201405,68000000,其他,125(含)-150萬,6010,40746157
201405,68000000,其他,150(含)-175萬,4309,32443569
201405,68000000,其他,175(含)-200萬,2168,16750961
201405,68000000,其他,200(含)萬以上,9615,89333373
201406,68000000,其他,未達50萬,188104,795549221
201406,68000000,其他,50(含)-75萬,79873,386416324
201406,68000000,其他,75(含)-100萬,28113,163691410
201406,68000000,其他,100(含)-125萬,16829,110359241
201406,68000000,其他,125(含)-150萬,6138,42636871
201406,68000000,其他,150(含)-175萬,4318,31430131
201406,68000000,其他,175(含)-200萬,2238,17841769
