年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,文教康樂,未達50萬,11478,42751412
201401,10002000,文教康樂,50(含)-75萬,5983,23014836
201401,10002000,文教康樂,75(含)-100萬,2286,9274500
201401,10002000,文教康樂,100(含)-125萬,1474,7153210
201401,10002000,文教康樂,125(含)-150萬,367,1944154
201401,10002000,文教康樂,150(含)-175萬,337,1479659
201401,10002000,文教康樂,175(含)-200萬,162,1235272
201401,10002000,文教康樂,200(含)萬以上,997,7072673
201402,10002000,文教康樂,未達50萬,9482,33005903
201402,10002000,文教康樂,50(含)-75萬,5010,17442891
201402,10002000,文教康樂,75(含)-100萬,1860,6601289
201402,10002000,文教康樂,100(含)-125萬,1321,5672634
201402,10002000,文教康樂,125(含)-150萬,385,1601967
201402,10002000,文教康樂,150(含)-175萬,374,1788448
201402,10002000,文教康樂,175(含)-200萬,143,581885
201402,10002000,文教康樂,200(含)萬以上,935,6508802
201403,10002000,文教康樂,未達50萬,10590,37830345
201403,10002000,文教康樂,50(含)-75萬,5455,21866272
201403,10002000,文教康樂,75(含)-100萬,2059,8486494
201403,10002000,文教康樂,100(含)-125萬,1369,6073121
201403,10002000,文教康樂,125(含)-150萬,403,1909130
201403,10002000,文教康樂,150(含)-175萬,396,1782878
201403,10002000,文教康樂,175(含)-200萬,182,827531
201403,10002000,文教康樂,200(含)萬以上,1029,4626937
201404,10002000,文教康樂,未達50萬,12520,42437568
201404,10002000,文教康樂,50(含)-75萬,7091,23512418
201404,10002000,文教康樂,75(含)-100萬,3084,9305847
201404,10002000,文教康樂,100(含)-125萬,1777,6617830
201404,10002000,文教康樂,125(含)-150萬,576,2487621
201404,10002000,文教康樂,150(含)-175萬,472,1698568
201404,10002000,文教康樂,175(含)-200萬,264,945377
201404,10002000,文教康樂,200(含)萬以上,1135,5729238
201405,10002000,文教康樂,未達50萬,11433,44430685
201405,10002000,文教康樂,50(含)-75萬,6268,24053432
201405,10002000,文教康樂,75(含)-100萬,2595,12775325
201405,10002000,文教康樂,100(含)-125萬,1611,8596145
201405,10002000,文教康樂,125(含)-150萬,463,2257670
201405,10002000,文教康樂,150(含)-175萬,437,2496728
201405,10002000,文教康樂,175(含)-200萬,223,928378
201405,10002000,文教康樂,200(含)萬以上,1067,6045447
201406,10002000,文教康樂,未達50萬,10266,46380096
201406,10002000,文教康樂,50(含)-75萬,5445,24388668
201406,10002000,文教康樂,75(含)-100萬,2195,11389676
201406,10002000,文教康樂,100(含)-125萬,1409,8092919
201406,10002000,文教康樂,125(含)-150萬,402,2362983
201406,10002000,文教康樂,150(含)-175萬,398,1738780
201406,10002000,文教康樂,175(含)-200萬,202,1693139
201406,10002000,文教康樂,200(含)萬以上,1021,5980477
201407,10002000,文教康樂,未達50萬,15569,45912766
201407,10002000,文教康樂,50(含)-75萬,9413,31084802
201407,10002000,文教康樂,75(含)-100萬,3648,13293386
201407,10002000,文教康樂,100(含)-125萬,1856,7156194
201407,10002000,文教康樂,125(含)-150萬,592,2772717
201407,10002000,文教康樂,150(含)-175萬,480,1922628
201407,10002000,文教康樂,175(含)-200萬,241,1226064
201407,10002000,文教康樂,200(含)萬以上,1200,5586094
201408,10002000,文教康樂,未達50萬,15260,44601142
201408,10002000,文教康樂,50(含)-75萬,9504,27194778
201408,10002000,文教康樂,75(含)-100萬,3608,11035547
201408,10002000,文教康樂,100(含)-125萬,1893,7629383
201408,10002000,文教康樂,125(含)-150萬,575,1899189
201408,10002000,文教康樂,150(含)-175萬,517,1824100
201408,10002000,文教康樂,175(含)-200萬,260,904036
201408,10002000,文教康樂,200(含)萬以上,1349,5878876
201409,10002000,文教康樂,未達50萬,9902,36968288
201409,10002000,文教康樂,50(含)-75萬,5139,22590465
201409,10002000,文教康樂,75(含)-100萬,2036,8345926
201409,10002000,文教康樂,100(含)-125萬,1324,6381732
201409,10002000,文教康樂,125(含)-150萬,377,1914243
201409,10002000,文教康樂,150(含)-175萬,392,1934172
201409,10002000,文教康樂,175(含)-200萬,169,876412
201409,10002000,文教康樂,200(含)萬以上,966,6144689
201410,10002000,文教康樂,未達50萬,11048,44934661
201410,10002000,文教康樂,50(含)-75萬,5489,24536896
201410,10002000,文教康樂,75(含)-100萬,2292,10598400
201410,10002000,文教康樂,100(含)-125萬,1500,7850064
201410,10002000,文教康樂,125(含)-150萬,431,2161207
201410,10002000,文教康樂,150(含)-175萬,432,2262492
201410,10002000,文教康樂,175(含)-200萬,219,1049397
201410,10002000,文教康樂,200(含)萬以上,1150,7660407
201411,10002000,文教康樂,未達50萬,11466,46045674
201411,10002000,文教康樂,50(含)-75萬,6006,26522460
201411,10002000,文教康樂,75(含)-100萬,2294,10921346
201411,10002000,文教康樂,100(含)-125萬,1518,7414620
201411,10002000,文教康樂,125(含)-150萬,462,2576649
201411,10002000,文教康樂,150(含)-175萬,447,2347650
201411,10002000,文教康樂,175(含)-200萬,216,1113151
201411,10002000,文教康樂,200(含)萬以上,1081,6128379
201412,10002000,文教康樂,未達50萬,10926,39586726
201412,10002000,文教康樂,50(含)-75萬,5693,22052019
201412,10002000,文教康樂,75(含)-100萬,2222,9228460
201412,10002000,文教康樂,100(含)-125萬,1374,6588035
201412,10002000,文教康樂,125(含)-150萬,417,2312376
201412,10002000,文教康樂,150(含)-175萬,407,1867259
201412,10002000,文教康樂,175(含)-200萬,188,955762
201412,10002000,文教康樂,200(含)萬以上,1029,6317780
201501,10002000,文教康樂,未達50萬,12484,44754679
201501,10002000,文教康樂,50(含)-75萬,6450,25543160
201501,10002000,文教康樂,75(含)-100萬,2436,9324516
201501,10002000,文教康樂,100(含)-125萬,1469,5652276
201501,10002000,文教康樂,125(含)-150萬,434,2020007
201501,10002000,文教康樂,150(含)-175萬,445,2217415
201501,10002000,文教康樂,175(含)-200萬,221,1065357
201501,10002000,文教康樂,200(含)萬以上,1058,6682879
201502,10002000,文教康樂,未達50萬,13006,44833811
201502,10002000,文教康樂,50(含)-75萬,7013,24852277
201502,10002000,文教康樂,75(含)-100萬,2603,10001353
201502,10002000,文教康樂,100(含)-125萬,1574,7342968
201502,10002000,文教康樂,125(含)-150萬,472,1623647
201502,10002000,文教康樂,150(含)-175萬,449,2367314
201502,10002000,文教康樂,175(含)-200萬,198,834292
201502,10002000,文教康樂,200(含)萬以上,1050,5505589
201503,10002000,文教康樂,未達50萬,11642,43770873
201503,10002000,文教康樂,50(含)-75萬,6037,24714764
201503,10002000,文教康樂,75(含)-100萬,2381,9694243
201503,10002000,文教康樂,100(含)-125萬,1373,6742209
201503,10002000,文教康樂,125(含)-150萬,443,1877142
201503,10002000,文教康樂,150(含)-175萬,411,2090206
201503,10002000,文教康樂,175(含)-200萬,198,861277
201503,10002000,文教康樂,200(含)萬以上,1006,6144353
201504,10002000,文教康樂,未達50萬,14819,48838802
201504,10002000,文教康樂,50(含)-75萬,8093,26245734
201504,10002000,文教康樂,75(含)-100萬,3446,10920077
201504,10002000,文教康樂,100(含)-125萬,1873,7613304
201504,10002000,文教康樂,125(含)-150萬,632,2213749
201504,10002000,文教康樂,150(含)-175萬,514,1765467
201504,10002000,文教康樂,175(含)-200萬,278,1115337
201504,10002000,文教康樂,200(含)萬以上,1231,8667115
201505,10002000,文教康樂,未達50萬,13742,52602994
201505,10002000,文教康樂,50(含)-75萬,7261,28236443
201505,10002000,文教康樂,75(含)-100萬,2945,12514045
201505,10002000,文教康樂,100(含)-125萬,1761,8506856
201505,10002000,文教康樂,125(含)-150萬,546,2892547
201505,10002000,文教康樂,150(含)-175萬,518,3473777
201505,10002000,文教康樂,175(含)-200萬,249,1395648
201505,10002000,文教康樂,200(含)萬以上,1203,8284529
201506,10002000,文教康樂,未達50萬,13137,46194640
201506,10002000,文教康樂,50(含)-75萬,7038,26944903
201506,10002000,文教康樂,75(含)-100萬,2733,11275355
201506,10002000,文教康樂,100(含)-125萬,1650,8074203
201506,10002000,文教康樂,125(含)-150萬,554,2428942
201506,10002000,文教康樂,150(含)-175萬,510,2954615
201506,10002000,文教康樂,175(含)-200萬,236,1528943
201506,10002000,文教康樂,200(含)萬以上,1085,6572007
201507,10002000,文教康樂,未達50萬,17309,55193996
201507,10002000,文教康樂,50(含)-75萬,10317,33178796
201507,10002000,文教康樂,75(含)-100萬,4005,15180517
201507,10002000,文教康樂,100(含)-125萬,2203,10074447
201507,10002000,文教康樂,125(含)-150萬,654,3528113
201507,10002000,文教康樂,150(含)-175萬,612,2763715
201507,10002000,文教康樂,175(含)-200萬,300,1430189
201507,10002000,文教康樂,200(含)萬以上,1366,6743141
201508,10002000,文教康樂,未達50萬,15048,44305179
201508,10002000,文教康樂,50(含)-75萬,8433,26551245
201508,10002000,文教康樂,75(含)-100萬,3452,11262563
201508,10002000,文教康樂,100(含)-125萬,1811,8286718
201508,10002000,文教康樂,125(含)-150萬,633,2634983
201508,10002000,文教康樂,150(含)-175萬,479,2025857
201508,10002000,文教康樂,175(含)-200萬,230,1211453
201508,10002000,文教康樂,200(含)萬以上,1151,6974897
201509,10002000,文教康樂,未達50萬,12223,43661132
201509,10002000,文教康樂,50(含)-75萬,6176,22178940
201509,10002000,文教康樂,75(含)-100萬,2528,9840387
201509,10002000,文教康樂,100(含)-125萬,1539,7208830
201509,10002000,文教康樂,125(含)-150萬,481,2287520
201509,10002000,文教康樂,150(含)-175萬,450,2719831
201509,10002000,文教康樂,175(含)-200萬,191,1055985
201509,10002000,文教康樂,200(含)萬以上,1139,6665745
201510,10002000,文教康樂,未達50萬,12810,48173346
201510,10002000,文教康樂,50(含)-75萬,6706,27977840
201510,10002000,文教康樂,75(含)-100萬,2622,11808272
201510,10002000,文教康樂,100(含)-125萬,1690,8780802
201510,10002000,文教康樂,125(含)-150萬,497,2225844
201510,10002000,文教康樂,150(含)-175萬,462,2079772
201510,10002000,文教康樂,175(含)-200萬,206,780381
201510,10002000,文教康樂,200(含)萬以上,1120,7544086
201511,10002000,文教康樂,未達50萬,12960,46966375
201511,10002000,文教康樂,50(含)-75萬,6707,24577248
201511,10002000,文教康樂,75(含)-100萬,2710,10592222
201511,10002000,文教康樂,100(含)-125萬,1622,7547280
201511,10002000,文教康樂,125(含)-150萬,518,2588457
201511,10002000,文教康樂,150(含)-175萬,516,2152069
201511,10002000,文教康樂,175(含)-200萬,259,1215442
201511,10002000,文教康樂,200(含)萬以上,1207,6695966
201512,10002000,文教康樂,未達50萬,13667,43566597
201512,10002000,文教康樂,50(含)-75萬,6841,23352289
201512,10002000,文教康樂,75(含)-100萬,2666,10108937
201512,10002000,文教康樂,100(含)-125萬,1676,6993471
201512,10002000,文教康樂,125(含)-150萬,525,1907557
201512,10002000,文教康樂,150(含)-175萬,516,2118769
201512,10002000,文教康樂,175(含)-200萬,227,837142
201512,10002000,文教康樂,200(含)萬以上,1131,6334183
201601,10002000,文教康樂,未達50萬,13909,43685026
201601,10002000,文教康樂,50(含)-75萬,6893,26346673
201601,10002000,文教康樂,75(含)-100萬,2562,9535001
201601,10002000,文教康樂,100(含)-125萬,1399,6673640
201601,10002000,文教康樂,125(含)-150萬,475,1477829
201601,10002000,文教康樂,150(含)-175萬,400,2005917
201601,10002000,文教康樂,175(含)-200萬,204,857037
201601,10002000,文教康樂,200(含)萬以上,943,5414421
201602,10002000,文教康樂,未達50萬,15518,46817929
201602,10002000,文教康樂,50(含)-75萬,7575,22891520
201602,10002000,文教康樂,75(含)-100萬,2875,8768471
201602,10002000,文教康樂,100(含)-125萬,1603,5785162
201602,10002000,文教康樂,125(含)-150萬,523,2240673
201602,10002000,文教康樂,150(含)-175萬,459,2111965
201602,10002000,文教康樂,175(含)-200萬,231,839717
201602,10002000,文教康樂,200(含)萬以上,992,4921016
201603,10002000,文教康樂,未達50萬,15244,49866822
201603,10002000,文教康樂,50(含)-75萬,7137,25090014
201603,10002000,文教康樂,75(含)-100萬,2738,10165492
201603,10002000,文教康樂,100(含)-125萬,1634,6914854
201603,10002000,文教康樂,125(含)-150萬,538,2095412
201603,10002000,文教康樂,150(含)-175萬,512,1995015
201603,10002000,文教康樂,175(含)-200萬,246,903560
201603,10002000,文教康樂,200(含)萬以上,1104,5748910
201604,10002000,文教康樂,未達50萬,16897,47897219
201604,10002000,文教康樂,50(含)-75萬,8274,26868626
201604,10002000,文教康樂,75(含)-100萬,3508,11342166
201604,10002000,文教康樂,100(含)-125萬,1890,6869426
201604,10002000,文教康樂,125(含)-150萬,666,2645147
201604,10002000,文教康樂,150(含)-175萬,516,1863500
201604,10002000,文教康樂,175(含)-200萬,279,910059
201604,10002000,文教康樂,200(含)萬以上,1165,4704622
201605,10002000,文教康樂,未達50萬,18093,56961148
201605,10002000,文教康樂,50(含)-75萬,8664,29204821
201605,10002000,文教康樂,75(含)-100萬,3416,12713368
201605,10002000,文教康樂,100(含)-125萬,1907,7405467
201605,10002000,文教康樂,125(含)-150萬,683,2635202
201605,10002000,文教康樂,150(含)-175萬,590,1926031
201605,10002000,文教康樂,175(含)-200萬,282,1151846
201605,10002000,文教康樂,200(含)萬以上,1328,6684676
201606,10002000,文教康樂,未達50萬,18348,54007836
201606,10002000,文教康樂,50(含)-75萬,8656,29420090
201606,10002000,文教康樂,75(含)-100萬,3504,13271534
201606,10002000,文教康樂,100(含)-125萬,1979,7511409
201606,10002000,文教康樂,125(含)-150萬,631,1864371
201606,10002000,文教康樂,150(含)-175萬,646,2178531
201606,10002000,文教康樂,175(含)-200萬,279,1197783
201606,10002000,文教康樂,200(含)萬以上,1417,7095658
201607,10002000,文教康樂,未達50萬,25376,58555454
201607,10002000,文教康樂,50(含)-75萬,13150,31660237
201607,10002000,文教康樂,75(含)-100萬,5008,15413496
201607,10002000,文教康樂,100(含)-125萬,2524,7929170
201607,10002000,文教康樂,125(含)-150萬,872,2986651
201607,10002000,文教康樂,150(含)-175萬,774,2532868
201607,10002000,文教康樂,175(含)-200萬,339,1061586
201607,10002000,文教康樂,200(含)萬以上,1633,6696894
201608,10002000,文教康樂,未達50萬,21858,56034008
201608,10002000,文教康樂,50(含)-75萬,10688,29972358
201608,10002000,文教康樂,75(含)-100萬,4195,13011765
201608,10002000,文教康樂,100(含)-125萬,2220,6759992
201608,10002000,文教康樂,125(含)-150萬,727,2452335
201608,10002000,文教康樂,150(含)-175萬,662,2914721
201608,10002000,文教康樂,175(含)-200萬,310,1375244
201608,10002000,文教康樂,200(含)萬以上,1545,6958095
201609,10002000,文教康樂,未達50萬,17365,47495083
201609,10002000,文教康樂,50(含)-75萬,7844,23277375
201609,10002000,文教康樂,75(含)-100萬,3028,9919536
201609,10002000,文教康樂,100(含)-125萬,1642,5612536
201609,10002000,文教康樂,125(含)-150萬,594,2741372
201609,10002000,文教康樂,150(含)-175萬,531,1812101
201609,10002000,文教康樂,175(含)-200萬,231,1282918
201609,10002000,文教康樂,200(含)萬以上,1173,5803906
201610,10002000,文教康樂,未達50萬,18934,54036774
201610,10002000,文教康樂,50(含)-75萬,8510,27318873
201610,10002000,文教康樂,75(含)-100萬,3186,11472470
201610,10002000,文教康樂,100(含)-125萬,1864,6964876
201610,10002000,文教康樂,125(含)-150萬,634,2794395
201610,10002000,文教康樂,150(含)-175萬,607,2384802
201610,10002000,文教康樂,175(含)-200萬,259,916525
201610,10002000,文教康樂,200(含)萬以上,1294,7086956
201611,10002000,文教康樂,未達50萬,19011,56550501
201611,10002000,文教康樂,50(含)-75萬,8790,29359129
201611,10002000,文教康樂,75(含)-100萬,3348,12131480
201611,10002000,文教康樂,100(含)-125萬,1965,8190661
201611,10002000,文教康樂,125(含)-150萬,678,3000859
201611,10002000,文教康樂,150(含)-175萬,625,2752366
201611,10002000,文教康樂,175(含)-200萬,272,1332575
201611,10002000,文教康樂,200(含)萬以上,1324,6419290
201612,10002000,文教康樂,未達50萬,19918,54977220
201612,10002000,文教康樂,50(含)-75萬,9075,27180822
201612,10002000,文教康樂,75(含)-100萬,3555,11187611
201612,10002000,文教康樂,100(含)-125萬,2042,7446484
201612,10002000,文教康樂,125(含)-150萬,694,2246890
201612,10002000,文教康樂,150(含)-175萬,611,2353646
201612,10002000,文教康樂,175(含)-200萬,254,894876
201612,10002000,文教康樂,200(含)萬以上,1418,6258253
201701,10002000,文教康樂,未達50萬,21631,56535026
