年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,食,未達50萬,52514,69169251
201401,10002000,食,50(含)-75萬,26764,39117478
201401,10002000,食,75(含)-100萬,11011,17781064
201401,10002000,食,100(含)-125萬,5778,10887755
201401,10002000,食,125(含)-150萬,1568,2877728
201401,10002000,食,150(含)-175萬,1372,3045269
201401,10002000,食,175(含)-200萬,626,1343643
201401,10002000,食,200(含)萬以上,2742,7692712
201402,10002000,食,未達50萬,41677,50508503
201402,10002000,食,50(含)-75萬,21373,27665579
201402,10002000,食,75(含)-100萬,8642,12382390
201402,10002000,食,100(含)-125萬,4662,8017693
201402,10002000,食,125(含)-150萬,1249,1872380
201402,10002000,食,150(含)-175萬,1123,2095651
201402,10002000,食,175(含)-200萬,555,966863
201402,10002000,食,200(含)萬以上,2317,5416692
201403,10002000,食,未達50萬,44131,47038176
201403,10002000,食,50(含)-75萬,21678,24877491
201403,10002000,食,75(含)-100萬,8456,10340545
201403,10002000,食,100(含)-125萬,4546,6643988
201403,10002000,食,125(含)-150萬,1268,1908854
201403,10002000,食,150(含)-175萬,1101,1807836
201403,10002000,食,175(含)-200萬,568,965490
201403,10002000,食,200(含)萬以上,2250,4402980
201404,10002000,食,未達50萬,42454,43796324
201404,10002000,食,50(含)-75萬,21502,24584239
201404,10002000,食,75(含)-100萬,8404,10174415
201404,10002000,食,100(含)-125萬,4505,6302534
201404,10002000,食,125(含)-150萬,1294,1824848
201404,10002000,食,150(含)-175萬,1071,1660892
201404,10002000,食,175(含)-200萬,572,895619
201404,10002000,食,200(含)萬以上,2196,4588568
201405,10002000,食,未達50萬,48046,53483938
201405,10002000,食,50(含)-75萬,23862,28718845
201405,10002000,食,75(含)-100萬,9398,12290890
201405,10002000,食,100(含)-125萬,4960,7263891
201405,10002000,食,125(含)-150萬,1527,2405360
201405,10002000,食,150(含)-175萬,1190,1790567
201405,10002000,食,175(含)-200萬,576,1143299
201405,10002000,食,200(含)萬以上,2404,4628878
201406,10002000,食,未達50萬,48603,53315475
201406,10002000,食,50(含)-75萬,23907,27517675
201406,10002000,食,75(含)-100萬,9477,11714954
201406,10002000,食,100(含)-125萬,4924,7505009
201406,10002000,食,125(含)-150萬,1530,2428144
201406,10002000,食,150(含)-175萬,1258,1905364
201406,10002000,食,175(含)-200萬,622,1041674
201406,10002000,食,200(含)萬以上,2494,5260225
201407,10002000,食,未達50萬,57942,64831752
201407,10002000,食,50(含)-75萬,29191,35670998
201407,10002000,食,75(含)-100萬,11709,15334811
