年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,住,未達50萬,23168,130787466
201401,10002000,住,50(含)-75萬,14503,83753487
201401,10002000,住,75(含)-100萬,6317,40909034
201401,10002000,住,100(含)-125萬,4006,30628168
201401,10002000,住,125(含)-150萬,1236,8901480
201401,10002000,住,150(含)-175萬,1177,10768244
201401,10002000,住,175(含)-200萬,589,5115809
201401,10002000,住,200(含)萬以上,2883,32063875
201402,10002000,住,未達50萬,20847,109541022
201402,10002000,住,50(含)-75萬,12542,67550872
201402,10002000,住,75(含)-100萬,5195,30669005
201402,10002000,住,100(含)-125萬,3347,20404699
201402,10002000,住,125(含)-150萬,1082,7577576
201402,10002000,住,150(含)-175萬,1055,9623505
201402,10002000,住,175(含)-200萬,524,3750743
201402,10002000,住,200(含)萬以上,2543,22734286
201403,10002000,住,未達50萬,18368,101181789
201403,10002000,住,50(含)-75萬,11303,57760427
201403,10002000,住,75(含)-100萬,4606,25391083
201403,10002000,住,100(含)-125萬,3036,21548059
201403,10002000,住,125(含)-150萬,966,6570814
201403,10002000,住,150(含)-175萬,929,7210454
201403,10002000,住,175(含)-200萬,542,3813570
201403,10002000,住,200(含)萬以上,2373,23986187
201404,10002000,住,未達50萬,18606,112717135
201404,10002000,住,50(含)-75萬,11197,63495065
201404,10002000,住,75(含)-100萬,4899,30278726
201404,10002000,住,100(含)-125萬,2972,21208338
201404,10002000,住,125(含)-150萬,1051,7459121
201404,10002000,住,150(含)-175萬,871,6609433
201404,10002000,住,175(含)-200萬,529,3555311
201404,10002000,住,200(含)萬以上,2373,24245536
201405,10002000,住,未達50萬,21017,123042040
201405,10002000,住,50(含)-75萬,12693,74629215
201405,10002000,住,75(含)-100萬,5447,35220522
201405,10002000,住,100(含)-125萬,3697,28124856
201405,10002000,住,125(含)-150萬,1161,7967539
201405,10002000,住,150(含)-175萬,1005,6493765
201405,10002000,住,175(含)-200萬,601,4291843
201405,10002000,住,200(含)萬以上,2557,28692420
201406,10002000,住,未達50萬,20954,128117045
201406,10002000,住,50(含)-75萬,12787,72451316
201406,10002000,住,75(含)-100萬,5625,36060046
201406,10002000,住,100(含)-125萬,3500,26994735
201406,10002000,住,125(含)-150萬,1155,9557777
201406,10002000,住,150(含)-175萬,1063,8122326
201406,10002000,住,175(含)-200萬,565,3732851
201406,10002000,住,200(含)萬以上,2762,28230533
201407,10002000,住,未達50萬,25120,159706163
201407,10002000,住,50(含)-75萬,16452,97483704
201407,10002000,住,75(含)-100萬,7214,43748903
201407,10002000,住,100(含)-125萬,4354,33362624
201407,10002000,住,125(含)-150萬,1319,9475812
201407,10002000,住,150(含)-175萬,1253,10180432
201407,10002000,住,175(含)-200萬,655,5108409
201407,10002000,住,200(含)萬以上,3105,35136013
201408,10002000,住,未達50萬,27472,157156423
201408,10002000,住,50(含)-75萬,17864,103920954
201408,10002000,住,75(含)-100萬,7678,43874890
201408,10002000,住,100(含)-125萬,4865,38453759
201408,10002000,住,125(含)-150萬,1619,11673782
201408,10002000,住,150(含)-175萬,1286,9416998
201408,10002000,住,175(含)-200萬,780,5394282
201408,10002000,住,200(含)萬以上,3587,40031073
201409,10002000,住,未達50萬,19553,109448535
201409,10002000,住,50(含)-75萬,11741,69407100
201409,10002000,住,75(含)-100萬,4871,30359505
201409,10002000,住,100(含)-125萬,3165,22621906
201409,10002000,住,125(含)-150萬,1113,7283607
201409,10002000,住,150(含)-175萬,963,7185374
201409,10002000,住,175(含)-200萬,540,4338223
201409,10002000,住,200(含)萬以上,2394,23986200
201410,10002000,住,未達50萬,22330,124901972
201410,10002000,住,50(含)-75萬,13314,76434825
201410,10002000,住,75(含)-100萬,5721,35129337
201410,10002000,住,100(含)-125萬,3643,25968006
201410,10002000,住,125(含)-150萬,1285,8222902
201410,10002000,住,150(含)-175萬,1088,6838681
201410,10002000,住,175(含)-200萬,619,4162491
201410,10002000,住,200(含)萬以上,2905,32069276
201411,10002000,住,未達50萬,24243,151512172
201411,10002000,住,50(含)-75萬,14861,92409242
201411,10002000,住,75(含)-100萬,6609,49812039
201411,10002000,住,100(含)-125萬,4139,34302947
201411,10002000,住,125(含)-150萬,1383,11169215
201411,10002000,住,150(含)-175萬,1256,10101281
201411,10002000,住,175(含)-200萬,689,6471634
201411,10002000,住,200(含)萬以上,3063,36633798
201412,10002000,住,未達50萬,23465,134071479
201412,10002000,住,50(含)-75萬,13917,77523701
201412,10002000,住,75(含)-100萬,5922,35627584
201412,10002000,住,100(含)-125萬,3904,29822542
201412,10002000,住,125(含)-150萬,1367,11348159
201412,10002000,住,150(含)-175萬,1159,9090598
201412,10002000,住,175(含)-200萬,684,5248187
201412,10002000,住,200(含)萬以上,3164,32650708
201501,10002000,住,未達50萬,23506,136090606
201501,10002000,住,50(含)-75萬,14366,80805824
201501,10002000,住,75(含)-100萬,5933,36813554
201501,10002000,住,100(含)-125萬,3795,28213976
201501,10002000,住,125(含)-150萬,1298,8722979
201501,10002000,住,150(含)-175萬,1120,10462393
201501,10002000,住,175(含)-200萬,659,5812285
201501,10002000,住,200(含)萬以上,2918,31208201
201502,10002000,住,未達50萬,24403,143945469
201502,10002000,住,50(含)-75萬,15155,88645870
201502,10002000,住,75(含)-100萬,6605,41698383
201502,10002000,住,100(含)-125萬,4085,31296673
201502,10002000,住,125(含)-150萬,1353,11157645
201502,10002000,住,150(含)-175萬,1188,9231825
201502,10002000,住,175(含)-200萬,704,5977919
201502,10002000,住,200(含)萬以上,3009,34767334
201503,10002000,住,未達50萬,19182,104992959
201503,10002000,住,50(含)-75萬,11341,62738991
201503,10002000,住,75(含)-100萬,4540,24761365
201503,10002000,住,100(含)-125萬,2917,21784766
201503,10002000,住,125(含)-150萬,1055,8073590
201503,10002000,住,150(含)-175萬,845,6193082
201503,10002000,住,175(含)-200萬,515,5051898
201503,10002000,住,200(含)萬以上,2278,23355037
201504,10002000,住,未達50萬,19391,115270389
201504,10002000,住,50(含)-75萬,11616,70461187
201504,10002000,住,75(含)-100萬,4807,32143619
201504,10002000,住,100(含)-125萬,3164,22886178
201504,10002000,住,125(含)-150萬,1037,9083643
201504,10002000,住,150(含)-175萬,942,7093336
201504,10002000,住,175(含)-200萬,521,5756608
201504,10002000,住,200(含)萬以上,2317,24737346
201505,10002000,住,未達50萬,20010,123353132
201505,10002000,住,50(含)-75萬,11828,75710572
201505,10002000,住,75(含)-100萬,4977,31102954
201505,10002000,住,100(含)-125萬,3278,24414210
201505,10002000,住,125(含)-150萬,1131,8974197
201505,10002000,住,150(含)-175萬,972,7799578
201505,10002000,住,175(含)-200萬,524,4095350
201505,10002000,住,200(含)萬以上,2502,25970230
201506,10002000,住,未達50萬,20397,125183698
201506,10002000,住,50(含)-75萬,12048,72413186
201506,10002000,住,75(含)-100萬,5105,34115881
201506,10002000,住,100(含)-125萬,3113,24330811
201506,10002000,住,125(含)-150萬,1149,7872339
201506,10002000,住,150(含)-175萬,968,7602360
201506,10002000,住,175(含)-200萬,537,3789441
201506,10002000,住,200(含)萬以上,2460,25984566
201507,10002000,住,未達50萬,24324,147072678
201507,10002000,住,50(含)-75萬,15380,97247859
201507,10002000,住,75(含)-100萬,6686,42025872
201507,10002000,住,100(含)-125萬,3999,29258095
201507,10002000,住,125(含)-150萬,1357,9978269
201507,10002000,住,150(含)-175萬,1220,9873518
201507,10002000,住,175(含)-200萬,662,5005770
201507,10002000,住,200(含)萬以上,3173,34857838
201508,10002000,住,未達50萬,23481,133447442
201508,10002000,住,50(含)-75萬,14469,82935957
201508,10002000,住,75(含)-100萬,6473,40548434
201508,10002000,住,100(含)-125萬,3876,28129920
201508,10002000,住,125(含)-150萬,1414,10170544
201508,10002000,住,150(含)-175萬,1163,8229867
201508,10002000,住,175(含)-200萬,614,5325902
201508,10002000,住,200(含)萬以上,2996,30430287
201509,10002000,住,未達50萬,20236,113422066
201509,10002000,住,50(含)-75萬,11942,64333672
201509,10002000,住,75(含)-100萬,5029,30815215
201509,10002000,住,100(含)-125萬,3163,22733359
201509,10002000,住,125(含)-150萬,1126,7478453
201509,10002000,住,150(含)-175萬,940,7481866
201509,10002000,住,175(含)-200萬,567,4395260
201509,10002000,住,200(含)萬以上,2519,28394751
201510,10002000,住,未達50萬,22739,137657545
201510,10002000,住,50(含)-75萬,13176,77375292
201510,10002000,住,75(含)-100萬,5616,34765303
201510,10002000,住,100(含)-125萬,3457,29760170
201510,10002000,住,125(含)-150萬,1243,8084920
201510,10002000,住,150(含)-175萬,1011,7272396
201510,10002000,住,175(含)-200萬,609,4476266
201510,10002000,住,200(含)萬以上,2803,31162720
201511,10002000,住,未達50萬,25041,162563249
201511,10002000,住,50(含)-75萬,15085,98871134
201511,10002000,住,75(含)-100萬,6390,42545869
201511,10002000,住,100(含)-125萬,4098,34294337
201511,10002000,住,125(含)-150萬,1417,12062206
201511,10002000,住,150(含)-175萬,1262,11837381
201511,10002000,住,175(含)-200萬,703,6361814
201511,10002000,住,200(含)萬以上,3039,34983814
201512,10002000,住,未達50萬,23713,136377581
201512,10002000,住,50(含)-75萬,13911,76866181
201512,10002000,住,75(含)-100萬,6084,37188497
201512,10002000,住,100(含)-125萬,3974,28023919
201512,10002000,住,125(含)-150萬,1409,11910844
201512,10002000,住,150(含)-175萬,1264,12245965
201512,10002000,住,175(含)-200萬,708,5188711
201512,10002000,住,200(含)萬以上,3180,37255620
201601,10002000,住,未達50萬,24286,141830266
201601,10002000,住,50(含)-75萬,14494,81787016
201601,10002000,住,75(含)-100萬,6230,36191109
201601,10002000,住,100(含)-125萬,3788,27058918
201601,10002000,住,125(含)-150萬,1292,9999214
201601,10002000,住,150(含)-175萬,1113,9762124
201601,10002000,住,175(含)-200萬,622,4436968
201601,10002000,住,200(含)萬以上,2983,31885733
201602,10002000,住,未達50萬,23047,140328190
201602,10002000,住,50(含)-75萬,13502,79650552
201602,10002000,住,75(含)-100萬,5515,33704563
201602,10002000,住,100(含)-125萬,3509,26328466
201602,10002000,住,125(含)-150萬,1242,10266898
201602,10002000,住,150(含)-175萬,1078,8301423
201602,10002000,住,175(含)-200萬,630,5005517
201602,10002000,住,200(含)萬以上,2803,30697223
201603,10002000,住,未達50萬,17904,89550092
201603,10002000,住,50(含)-75萬,10326,53018904
201603,10002000,住,75(含)-100萬,4252,21351379
201603,10002000,住,100(含)-125萬,2558,17871736
201603,10002000,住,125(含)-150萬,990,6267303
201603,10002000,住,150(含)-175萬,853,5152309
201603,10002000,住,175(含)-200萬,498,4147512
201603,10002000,住,200(含)萬以上,2157,21316624
201604,10002000,住,未達50萬,18582,103216137
201604,10002000,住,50(含)-75萬,11014,63745291
201604,10002000,住,75(含)-100萬,4687,27434530
201604,10002000,住,100(含)-125萬,2887,19983984
201604,10002000,住,125(含)-150萬,1057,7727295
201604,10002000,住,150(含)-175萬,854,5904031
201604,10002000,住,175(含)-200萬,544,4982623
201604,10002000,住,200(含)萬以上,2232,20934355
201605,10002000,住,未達50萬,19691,112433782
201605,10002000,住,50(含)-75萬,11521,67859827
201605,10002000,住,75(含)-100萬,4928,29775740
201605,10002000,住,100(含)-125萬,2873,21859410
201605,10002000,住,125(含)-150萬,1025,6845060
201605,10002000,住,150(含)-175萬,900,6052485
201605,10002000,住,175(含)-200萬,494,3293532
201605,10002000,住,200(含)萬以上,2100,21926397
201606,10002000,住,未達50萬,21367,125955283
201606,10002000,住,50(含)-75萬,12768,69700985
201606,10002000,住,75(含)-100萬,5368,30746029
201606,10002000,住,100(含)-125萬,3377,25268385
201606,10002000,住,125(含)-150萬,1162,7746345
201606,10002000,住,150(含)-175萬,1074,6911201
201606,10002000,住,175(含)-200萬,556,3672375
201606,10002000,住,200(含)萬以上,2673,26580023
201607,10002000,住,未達50萬,24447,141090268
201607,10002000,住,50(含)-75萬,15241,90295210
201607,10002000,住,75(含)-100萬,6637,39183328
201607,10002000,住,100(含)-125萬,3692,26920521
201607,10002000,住,125(含)-150萬,1384,8857848
201607,10002000,住,150(含)-175萬,1037,7100161
201607,10002000,住,175(含)-200萬,616,4053021
201607,10002000,住,200(含)萬以上,2712,28189315
201608,10002000,住,未達50萬,24153,128203546
201608,10002000,住,50(含)-75萬,14734,82523069
201608,10002000,住,75(含)-100萬,6512,35881565
201608,10002000,住,100(含)-125萬,3759,23541111
201608,10002000,住,125(含)-150萬,1483,9419422
201608,10002000,住,150(含)-175萬,1136,7169386
201608,10002000,住,175(含)-200萬,682,4411573
201608,10002000,住,200(含)萬以上,2810,23844546
201609,10002000,住,未達50萬,16879,95089008
201609,10002000,住,50(含)-75萬,9838,54534621
201609,10002000,住,75(含)-100萬,4032,21658519
201609,10002000,住,100(含)-125萬,2481,17240585
201609,10002000,住,125(含)-150萬,1009,6608808
201609,10002000,住,150(含)-175萬,744,5525639
201609,10002000,住,175(含)-200萬,477,3675398
201609,10002000,住,200(含)萬以上,1870,22310987
201610,10002000,住,未達50萬,19884,114413026
201610,10002000,住,50(含)-75萬,11546,64565490
201610,10002000,住,75(含)-100萬,4620,26826751
201610,10002000,住,100(含)-125萬,2885,21119827
201610,10002000,住,125(含)-150萬,1164,8625442
201610,10002000,住,150(含)-175萬,920,6363680
201610,10002000,住,175(含)-200萬,517,4081795
201610,10002000,住,200(含)萬以上,2266,26974810
201611,10002000,住,未達50萬,23570,151371130
201611,10002000,住,50(含)-75萬,14133,91189220
201611,10002000,住,75(含)-100萬,5834,39046027
201611,10002000,住,100(含)-125萬,3743,29368357
201611,10002000,住,125(含)-150萬,1495,14681509
201611,10002000,住,150(含)-175萬,1140,9304379
201611,10002000,住,175(含)-200萬,640,5702656
201611,10002000,住,200(含)萬以上,3053,33581000
201612,10002000,住,未達50萬,23687,139676882
201612,10002000,住,50(含)-75萬,14116,77209045
201612,10002000,住,75(含)-100萬,5834,32655946
201612,10002000,住,100(含)-125萬,3721,26343775
