年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,其他,未達50萬,23047,86154818
201401,10002000,其他,50(含)-75萬,10740,44175601
201401,10002000,其他,75(含)-100萬,3866,15294332
201401,10002000,其他,100(含)-125萬,2315,10280219
201401,10002000,其他,125(含)-150萬,634,2537657
201401,10002000,其他,150(含)-175萬,516,2599128
201401,10002000,其他,175(含)-200萬,214,949278
201401,10002000,其他,200(含)萬以上,1208,7261452
201402,10002000,其他,未達50萬,20340,64438620
201402,10002000,其他,50(含)-75萬,9793,34563177
201402,10002000,其他,75(含)-100萬,3413,12402947
201402,10002000,其他,100(含)-125萬,2058,9097616
201402,10002000,其他,125(含)-150萬,526,2029852
201402,10002000,其他,150(含)-175萬,412,2001345
201402,10002000,其他,175(含)-200萬,248,1082995
201402,10002000,其他,200(含)萬以上,1134,5979191
201403,10002000,其他,未達50萬,21099,68357118
201403,10002000,其他,50(含)-75萬,9473,36227370
201403,10002000,其他,75(含)-100萬,3349,12652003
201403,10002000,其他,100(含)-125萬,2040,10031342
201403,10002000,其他,125(含)-150萬,529,2479359
201403,10002000,其他,150(含)-175萬,464,2053815
201403,10002000,其他,175(含)-200萬,249,961366
201403,10002000,其他,200(含)萬以上,1077,6767821
201404,10002000,其他,未達50萬,19299,67096557
201404,10002000,其他,50(含)-75萬,8947,33469398
201404,10002000,其他,75(含)-100萬,3174,13114843
201404,10002000,其他,100(含)-125萬,1770,8829406
201404,10002000,其他,125(含)-150萬,522,1857753
201404,10002000,其他,150(含)-175萬,435,1925414
201404,10002000,其他,175(含)-200萬,200,1034069
201404,10002000,其他,200(含)萬以上,1033,4973589
201405,10002000,其他,未達50萬,20820,69037461
201405,10002000,其他,50(含)-75萬,9366,35258352
201405,10002000,其他,75(含)-100萬,3495,13789362
201405,10002000,其他,100(含)-125萬,1995,9396874
201405,10002000,其他,125(含)-150萬,562,2010306
201405,10002000,其他,150(含)-175萬,482,2475326
201405,10002000,其他,175(含)-200萬,246,1180767
201405,10002000,其他,200(含)萬以上,1115,5551440
201406,10002000,其他,未達50萬,20642,67046413
201406,10002000,其他,50(含)-75萬,9588,35157577
