年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,行,未達50萬,98989,114020986
201401,10002000,行,50(含)-75萬,51797,64148987
201401,10002000,行,75(含)-100萬,20777,25953310
201401,10002000,行,100(含)-125萬,11409,16698193
201401,10002000,行,125(含)-150萬,3141,4929952
201401,10002000,行,150(含)-175萬,2522,3591929
201401,10002000,行,175(含)-200萬,1226,1877289
201401,10002000,行,200(含)萬以上,4830,9164759
201402,10002000,行,未達50萬,96733,110051559
201402,10002000,行,50(含)-75萬,50767,61060541
201402,10002000,行,75(含)-100萬,19855,23830183
201402,10002000,行,100(含)-125萬,11087,15426142
201402,10002000,行,125(含)-150萬,3041,4675093
201402,10002000,行,150(含)-175萬,2467,3325275
201402,10002000,行,175(含)-200萬,1237,1770630
201402,10002000,行,200(含)萬以上,4666,8381910
201403,10002000,行,未達50萬,99335,114321643
201403,10002000,行,50(含)-75萬,51630,63493045
201403,10002000,行,75(含)-100萬,19867,24436599
201403,10002000,行,100(含)-125萬,11164,16306673
201403,10002000,行,125(含)-150萬,3071,4759217
201403,10002000,行,150(含)-175萬,2393,3758453
201403,10002000,行,175(含)-200萬,1235,1940559
201403,10002000,行,200(含)萬以上,4608,8565405
201404,10002000,行,未達50萬,94742,108674189
201404,10002000,行,50(含)-75萬,49363,59550160
201404,10002000,行,75(含)-100萬,18954,23361740
201404,10002000,行,100(含)-125萬,10615,15758481
201404,10002000,行,125(含)-150萬,3078,4513497
201404,10002000,行,150(含)-175萬,2317,3322882
201404,10002000,行,175(含)-200萬,1176,1694788
201404,10002000,行,200(含)萬以上,4388,7844876
201405,10002000,行,未達50萬,100403,114899724
201405,10002000,行,50(含)-75萬,52153,63169254
201405,10002000,行,75(含)-100萬,19932,25042988
201405,10002000,行,100(含)-125萬,10845,16191679
201405,10002000,行,125(含)-150萬,3203,4904960
201405,10002000,行,150(含)-175萬,2361,3742069
201405,10002000,行,175(含)-200萬,1250,1867290
201405,10002000,行,200(含)萬以上,4612,8645388
201406,10002000,行,未達50萬,103633,119723673
201406,10002000,行,50(含)-75萬,54063,65105534
201406,10002000,行,75(含)-100萬,20895,25836603
201406,10002000,行,100(含)-125萬,11368,16552573
201406,10002000,行,125(含)-150萬,3310,4672195
201406,10002000,行,150(含)-175萬,2523,3737929
201406,10002000,行,175(含)-200萬,1346,1993916
201406,10002000,行,200(含)萬以上,4787,8585901
201407,10002000,行,未達50萬,113764,131074096
201407,10002000,行,50(含)-75萬,60572,73072032
201407,10002000,行,75(含)-100萬,24118,29876721
201407,10002000,行,100(含)-125萬,12850,19267928
201407,10002000,行,125(含)-150萬,3702,5353529
201407,10002000,行,150(含)-175萬,2795,4229803
201407,10002000,行,175(含)-200萬,1413,1989553
201407,10002000,行,200(含)萬以上,5444,9309695
201408,10002000,行,未達50萬,116752,129975309
201408,10002000,行,50(含)-75萬,62516,72704417
201408,10002000,行,75(含)-100萬,24958,29761110
201408,10002000,行,100(含)-125萬,13358,19541949
201408,10002000,行,125(含)-150萬,3565,4990410
201408,10002000,行,150(含)-175萬,2961,4445700
201408,10002000,行,175(含)-200萬,1482,2079300
201408,10002000,行,200(含)萬以上,5708,9515548
201409,10002000,行,未達50萬,103548,112970248
201409,10002000,行,50(含)-75萬,53665,61024923
201409,10002000,行,75(含)-100萬,20520,24269168
201409,10002000,行,100(含)-125萬,11245,16963303
201409,10002000,行,125(含)-150萬,3412,5142065
201409,10002000,行,150(含)-175萬,2507,3654942
201409,10002000,行,175(含)-200萬,1247,1777711
201409,10002000,行,200(含)萬以上,4838,8507702
201410,10002000,行,未達50萬,105498,111137932
201410,10002000,行,50(含)-75萬,55033,60884968
201410,10002000,行,75(含)-100萬,21432,24213238
201410,10002000,行,100(含)-125萬,11457,15904660
201410,10002000,行,125(含)-150萬,3373,4707414
201410,10002000,行,150(含)-175萬,2710,3819854
201410,10002000,行,175(含)-200萬,1295,1681924
201410,10002000,行,200(含)萬以上,4902,8763336
201411,10002000,行,未達50萬,99077,100999863
201411,10002000,行,50(含)-75萬,52001,55448909
201411,10002000,行,75(含)-100萬,20005,21945758
201411,10002000,行,100(含)-125萬,10916,14936894
201411,10002000,行,125(含)-150萬,3029,3841945
201411,10002000,行,150(含)-175萬,2478,3469510
201411,10002000,行,175(含)-200萬,1194,1556864
201411,10002000,行,200(含)萬以上,4634,7282955
201412,10002000,行,未達50萬,102608,97992058
201412,10002000,行,50(含)-75萬,52939,53879754
201412,10002000,行,75(含)-100萬,20435,20701316
201412,10002000,行,100(含)-125萬,11168,13885567
201412,10002000,行,125(含)-150萬,3258,3947346
201412,10002000,行,150(含)-175萬,2516,3403474
201412,10002000,行,175(含)-200萬,1191,1395963
201412,10002000,行,200(含)萬以上,4669,7605368
201501,10002000,行,未達50萬,103505,90624083
