年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10009000,百貨,未達50萬,11383,15859688
201401,10009000,百貨,50(含)-75萬,4258,5953551
201401,10009000,百貨,75(含)-100萬,1406,2177457
201401,10009000,百貨,100(含)-125萬,575,756515
201401,10009000,百貨,125(含)-150萬,217,322380
201401,10009000,百貨,150(含)-175萬,137,153552
201401,10009000,百貨,175(含)-200萬,74,125316
201401,10009000,百貨,200(含)萬以上,312,453094
201402,10009000,百貨,未達50萬,7808,9354913
201402,10009000,百貨,50(含)-75萬,2983,3300808
201402,10009000,百貨,75(含)-100萬,834,994683
201402,10009000,百貨,100(含)-125萬,402,484858
201402,10009000,百貨,125(含)-150萬,165,175909
201402,10009000,百貨,150(含)-175萬,108,95153
201402,10009000,百貨,175(含)-200萬,36,77235
201402,10009000,百貨,200(含)萬以上,221,213057
201403,10009000,百貨,未達50萬,8367,9159692
201403,10009000,百貨,50(含)-75萬,3016,3307755
201403,10009000,百貨,75(含)-100萬,866,822826
201403,10009000,百貨,100(含)-125萬,431,472582
201403,10009000,百貨,125(含)-150萬,128,127300
201403,10009000,百貨,150(含)-175萬,108,92131
201403,10009000,百貨,175(含)-200萬,22,65687
201403,10009000,百貨,200(含)萬以上,248,257219
201404,10009000,百貨,未達50萬,9002,11186371
201404,10009000,百貨,50(含)-75萬,3354,4379237
201404,10009000,百貨,75(含)-100萬,934,1137905
201404,10009000,百貨,100(含)-125萬,478,558251
201404,10009000,百貨,125(含)-150萬,205,210654
201404,10009000,百貨,150(含)-175萬,101,121809
201404,10009000,百貨,175(含)-200萬,42,39130
201404,10009000,百貨,200(含)萬以上,232,543457
201405,10009000,百貨,未達50萬,10173,11683811
201405,10009000,百貨,50(含)-75萬,3684,4612415
201405,10009000,百貨,75(含)-100萬,1071,1464537
201405,10009000,百貨,100(含)-125萬,499,595374
201405,10009000,百貨,125(含)-150萬,152,160139
201405,10009000,百貨,150(含)-175萬,90,95399
201405,10009000,百貨,175(含)-200萬,57,62980
201405,10009000,百貨,200(含)萬以上,259,329524
201406,10009000,百貨,未達50萬,7775,8865342
201406,10009000,百貨,50(含)-75萬,2841,3285681
201406,10009000,百貨,75(含)-100萬,768,877128
201406,10009000,百貨,100(含)-125萬,410,524222
201406,10009000,百貨,125(含)-150萬,102,102461
201406,10009000,百貨,150(含)-175萬,90,98537
201406,10009000,百貨,175(含)-200萬,30,82442
201406,10009000,百貨,200(含)萬以上,187,244507
201407,10009000,百貨,未達50萬,2448,2771337
201407,10009000,百貨,50(含)-75萬,1003,1357852
201407,10009000,百貨,75(含)-100萬,254,289159
201407,10009000,百貨,100(含)-125萬,74,83876
201407,10009000,百貨,125(含)-150萬,46,67160
201407,10009000,百貨,150(含)-175萬,26,61539
201407,10009000,百貨,175(含)-200萬,9,9655
201407,10009000,百貨,200(含)萬以上,42,40380
201408,10009000,百貨,未達50萬,2545,3175553
201408,10009000,百貨,50(含)-75萬,1078,1346768
201408,10009000,百貨,75(含)-100萬,219,378825
201408,10009000,百貨,100(含)-125萬,91,78992
201408,10009000,百貨,125(含)-150萬,43,24274
201408,10009000,百貨,150(含)-175萬,20,28004
201408,10009000,百貨,175(含)-200萬,15,8749
201408,10009000,百貨,200(含)萬以上,54,122731
201409,10009000,百貨,未達50萬,2510,3383999
201409,10009000,百貨,50(含)-75萬,1026,1359051
201409,10009000,百貨,75(含)-100萬,201,276823
201409,10009000,百貨,100(含)-125萬,89,120562
201409,10009000,百貨,125(含)-150萬,49,46650
201409,10009000,百貨,150(含)-175萬,22,28243
201409,10009000,百貨,175(含)-200萬,15,19456
201409,10009000,百貨,200(含)萬以上,63,80853
201410,10009000,百貨,未達50萬,2415,3045261
201410,10009000,百貨,50(含)-75萬,907,976314
201410,10009000,百貨,75(含)-100萬,200,248407
201410,10009000,百貨,100(含)-125萬,89,76126
201410,10009000,百貨,125(含)-150萬,46,138671
201410,10009000,百貨,150(含)-175萬,28,46768
201410,10009000,百貨,175(含)-200萬,6,3625
201410,10009000,百貨,200(含)萬以上,86,71524
201411,10009000,百貨,未達50萬,2435,2704453
201411,10009000,百貨,50(含)-75萬,1058,970069
201411,10009000,百貨,75(含)-100萬,207,217044
201411,10009000,百貨,100(含)-125萬,72,87287
201411,10009000,百貨,125(含)-150萬,52,28838
201411,10009000,百貨,150(含)-175萬,27,20646
201411,10009000,百貨,175(含)-200萬,11,4442
201411,10009000,百貨,200(含)萬以上,40,31810
201412,10009000,百貨,未達50萬,3116,3074520
201412,10009000,百貨,50(含)-75萬,1185,1113648
201412,10009000,百貨,75(含)-100萬,285,436243
201412,10009000,百貨,100(含)-125萬,88,73001
201412,10009000,百貨,125(含)-150萬,49,50077
201412,10009000,百貨,150(含)-175萬,31,30110
201412,10009000,百貨,175(含)-200萬,20,21985
201412,10009000,百貨,200(含)萬以上,61,52490
201501,10009000,百貨,未達50萬,2462,3022295
201501,10009000,百貨,50(含)-75萬,989,1532110
201501,10009000,百貨,75(含)-100萬,215,278222
201501,10009000,百貨,100(含)-125萬,86,210938
201501,10009000,百貨,125(含)-150萬,32,43755
201501,10009000,百貨,150(含)-175萬,28,27551
201501,10009000,百貨,175(含)-200萬,20,17668
201501,10009000,百貨,200(含)萬以上,54,55314
201502,10009000,百貨,未達50萬,2429,3086919
201502,10009000,百貨,50(含)-75萬,1002,1290692
201502,10009000,百貨,75(含)-100萬,224,349601
201502,10009000,百貨,100(含)-125萬,127,164487
201502,10009000,百貨,125(含)-150萬,50,74576
201502,10009000,百貨,150(含)-175萬,27,24620
201502,10009000,百貨,175(含)-200萬,19,10289
201502,10009000,百貨,200(含)萬以上,49,57746
201503,10009000,百貨,未達50萬,2421,2707716
201503,10009000,百貨,50(含)-75萬,942,1051262
201503,10009000,百貨,75(含)-100萬,182,253563
201503,10009000,百貨,100(含)-125萬,75,59879
201503,10009000,百貨,125(含)-150萬,34,16983
201503,10009000,百貨,150(含)-175萬,19,11099
201503,10009000,百貨,175(含)-200萬,9,3869
201503,10009000,百貨,200(含)萬以上,52,41944
201504,10009000,百貨,未達50萬,2401,3209221
201504,10009000,百貨,50(含)-75萬,902,1257791
201504,10009000,百貨,75(含)-100萬,232,302279
201504,10009000,百貨,100(含)-125萬,90,137059
201504,10009000,百貨,125(含)-150萬,67,48650
201504,10009000,百貨,150(含)-175萬,13,7707
201504,10009000,百貨,175(含)-200萬,16,7434
201504,10009000,百貨,200(含)萬以上,46,41507
201505,10009000,百貨,未達50萬,2348,2816617
201505,10009000,百貨,50(含)-75萬,959,1168330
201505,10009000,百貨,75(含)-100萬,213,254910
201505,10009000,百貨,100(含)-125萬,80,104306
201505,10009000,百貨,125(含)-150萬,50,72651
201505,10009000,百貨,150(含)-175萬,18,39107
201505,10009000,百貨,175(含)-200萬,26,6914
201505,10009000,百貨,200(含)萬以上,32,26625
201506,10009000,百貨,未達50萬,2514,3324115
201506,10009000,百貨,50(含)-75萬,995,1315990
201506,10009000,百貨,75(含)-100萬,210,328640
201506,10009000,百貨,100(含)-125萬,93,101121
201506,10009000,百貨,125(含)-150萬,57,70123
201506,10009000,百貨,150(含)-175萬,23,18167
201506,10009000,百貨,175(含)-200萬,31,9622
201506,10009000,百貨,200(含)萬以上,39,65269
201507,10009000,百貨,未達50萬,2542,3225814
201507,10009000,百貨,50(含)-75萬,1085,1371086
201507,10009000,百貨,75(含)-100萬,254,329220
201507,10009000,百貨,100(含)-125萬,98,228198
201507,10009000,百貨,125(含)-150萬,53,107513
201507,10009000,百貨,150(含)-175萬,26,29555
201507,10009000,百貨,175(含)-200萬,7,7180
201507,10009000,百貨,200(含)萬以上,41,35229
201508,10009000,百貨,未達50萬,2414,3040566
201508,10009000,百貨,50(含)-75萬,980,1056452
201508,10009000,百貨,75(含)-100萬,246,304712
201508,10009000,百貨,100(含)-125萬,78,70140
201508,10009000,百貨,125(含)-150萬,37,23483
201508,10009000,百貨,150(含)-175萬,22,21930
201508,10009000,百貨,175(含)-200萬,17,9872
201508,10009000,百貨,200(含)萬以上,47,122942
201509,10009000,百貨,未達50萬,2655,3773102
201509,10009000,百貨,50(含)-75萬,1047,1522513
201509,10009000,百貨,75(含)-100萬,262,298622
201509,10009000,百貨,100(含)-125萬,106,170842
201509,10009000,百貨,125(含)-150萬,38,45432
201509,10009000,百貨,150(含)-175萬,27,22144
201509,10009000,百貨,175(含)-200萬,9,6095
201509,10009000,百貨,200(含)萬以上,68,68039
201510,10009000,百貨,未達50萬,2338,2824108
201510,10009000,百貨,50(含)-75萬,999,1357441
201510,10009000,百貨,75(含)-100萬,222,366906
201510,10009000,百貨,100(含)-125萬,63,186587
201510,10009000,百貨,125(含)-150萬,48,78517
201510,10009000,百貨,150(含)-175萬,21,23274
201510,10009000,百貨,175(含)-200萬,12,28489
201510,10009000,百貨,200(含)萬以上,34,35521
201511,10009000,百貨,未達50萬,2412,2539779
201511,10009000,百貨,50(含)-75萬,953,1221994
201511,10009000,百貨,75(含)-100萬,214,435559
201511,10009000,百貨,100(含)-125萬,77,153648
201511,10009000,百貨,125(含)-150萬,47,36055
201511,10009000,百貨,150(含)-175萬,11,12251
201511,10009000,百貨,175(含)-200萬,11,11569
201511,10009000,百貨,200(含)萬以上,42,44111
201512,10009000,百貨,未達50萬,3327,3291021
201512,10009000,百貨,50(含)-75萬,1295,1313041
201512,10009000,百貨,75(含)-100萬,336,388322
201512,10009000,百貨,100(含)-125萬,123,136973
201512,10009000,百貨,125(含)-150萬,52,81384
201512,10009000,百貨,150(含)-175萬,30,45979
201512,10009000,百貨,175(含)-200萬,9,7437
201512,10009000,百貨,200(含)萬以上,56,47334
201601,10009000,百貨,未達50萬,9305,9603545
201601,10009000,百貨,50(含)-75萬,3118,3387098
201601,10009000,百貨,75(含)-100萬,771,1028211
201601,10009000,百貨,100(含)-125萬,293,257005
201601,10009000,百貨,125(含)-150萬,123,235885
201601,10009000,百貨,150(含)-175萬,74,84497
201601,10009000,百貨,175(含)-200萬,36,28002
201601,10009000,百貨,200(含)萬以上,165,260907
201602,10009000,百貨,未達50萬,8520,8253827
201602,10009000,百貨,50(含)-75萬,2798,2875028
201602,10009000,百貨,75(含)-100萬,816,980535
201602,10009000,百貨,100(含)-125萬,308,352377
201602,10009000,百貨,125(含)-150萬,131,140247
201602,10009000,百貨,150(含)-175萬,70,57714
201602,10009000,百貨,175(含)-200萬,40,53543
201602,10009000,百貨,200(含)萬以上,135,135762
201603,10009000,百貨,未達50萬,7661,7757130
201603,10009000,百貨,50(含)-75萬,2259,2340556
201603,10009000,百貨,75(含)-100萬,646,660193
201603,10009000,百貨,100(含)-125萬,213,278181
201603,10009000,百貨,125(含)-150萬,79,84423
201603,10009000,百貨,150(含)-175萬,48,75051
201603,10009000,百貨,175(含)-200萬,16,12016
201603,10009000,百貨,200(含)萬以上,84,133479
201604,10009000,百貨,未達50萬,8390,9049816
201604,10009000,百貨,50(含)-75萬,2584,3058033
201604,10009000,百貨,75(含)-100萬,715,883769
201604,10009000,百貨,100(含)-125萬,227,276846
201604,10009000,百貨,125(含)-150萬,128,172457
201604,10009000,百貨,150(含)-175萬,62,65682
201604,10009000,百貨,175(含)-200萬,21,17287
201604,10009000,百貨,200(含)萬以上,123,112967
201605,10009000,百貨,未達50萬,8805,8582370
201605,10009000,百貨,50(含)-75萬,2713,2744305
201605,10009000,百貨,75(含)-100萬,732,841124
201605,10009000,百貨,100(含)-125萬,245,252260
201605,10009000,百貨,125(含)-150萬,103,111970
201605,10009000,百貨,150(含)-175萬,61,53798
201605,10009000,百貨,175(含)-200萬,29,29289
201605,10009000,百貨,200(含)萬以上,105,177027
201606,10009000,百貨,未達50萬,9035,8515705
201606,10009000,百貨,50(含)-75萬,2792,2721858
201606,10009000,百貨,75(含)-100萬,724,751751
201606,10009000,百貨,100(含)-125萬,253,259638
201606,10009000,百貨,125(含)-150萬,98,105398
201606,10009000,百貨,150(含)-175萬,57,60202
201606,10009000,百貨,175(含)-200萬,31,56671
201606,10009000,百貨,200(含)萬以上,148,176476
201607,10009000,百貨,未達50萬,9281,9294605
201607,10009000,百貨,50(含)-75萬,2906,3044978
201607,10009000,百貨,75(含)-100萬,793,850252
201607,10009000,百貨,100(含)-125萬,296,360631
201607,10009000,百貨,125(含)-150萬,126,120376
201607,10009000,百貨,150(含)-175萬,82,84339
201607,10009000,百貨,175(含)-200萬,39,36888
201607,10009000,百貨,200(含)萬以上,154,202828
201608,10009000,百貨,未達50萬,8792,8648147
201608,10009000,百貨,50(含)-75萬,2817,3169026
201608,10009000,百貨,75(含)-100萬,715,850909
201608,10009000,百貨,100(含)-125萬,248,398503
201608,10009000,百貨,125(含)-150萬,116,97777
201608,10009000,百貨,150(含)-175萬,64,56353
201608,10009000,百貨,175(含)-200萬,27,30263
201608,10009000,百貨,200(含)萬以上,148,132953
201609,10009000,百貨,未達50萬,7996,8972268
201609,10009000,百貨,50(含)-75萬,2470,3032716
201609,10009000,百貨,75(含)-100萬,645,850909
201609,10009000,百貨,100(含)-125萬,263,332502
201609,10009000,百貨,125(含)-150萬,119,182704
201609,10009000,百貨,150(含)-175萬,68,86936
201609,10009000,百貨,175(含)-200萬,26,24442
201609,10009000,百貨,200(含)萬以上,147,207593
201610,10009000,百貨,未達50萬,8793,8627194
201610,10009000,百貨,50(含)-75萬,2758,2797176
201610,10009000,百貨,75(含)-100萬,705,757309
201610,10009000,百貨,100(含)-125萬,293,457437
201610,10009000,百貨,125(含)-150萬,99,64368
201610,10009000,百貨,150(含)-175萬,62,88993
201610,10009000,百貨,175(含)-200萬,32,21262
201610,10009000,百貨,200(含)萬以上,142,153044
201611,10009000,百貨,未達50萬,7865,7170768
201611,10009000,百貨,50(含)-75萬,2441,2152407
201611,10009000,百貨,75(含)-100萬,642,672422
201611,10009000,百貨,100(含)-125萬,249,254873
201611,10009000,百貨,125(含)-150萬,80,84013
201611,10009000,百貨,150(含)-175萬,56,77159
201611,10009000,百貨,175(含)-200萬,34,36820
201611,10009000,百貨,200(含)萬以上,110,200389
201612,10009000,百貨,未達50萬,8971,8438082
201612,10009000,百貨,50(含)-75萬,2782,2889733
201612,10009000,百貨,75(含)-100萬,718,720651
201612,10009000,百貨,100(含)-125萬,244,308470
201612,10009000,百貨,125(含)-150萬,88,69808
201612,10009000,百貨,150(含)-175萬,65,70444
201612,10009000,百貨,175(含)-200萬,31,37067
201612,10009000,百貨,200(含)萬以上,142,116939
201701,10009000,百貨,未達50萬,8864,9368049
201701,10009000,百貨,50(含)-75萬,2815,2845334
201701,10009000,百貨,75(含)-100萬,794,858062
201701,10009000,百貨,100(含)-125萬,326,392961
201701,10009000,百貨,125(含)-150萬,91,78565
201701,10009000,百貨,150(含)-175萬,91,85266
201701,10009000,百貨,175(含)-200萬,33,31356
201701,10009000,百貨,200(含)萬以上,168,250322
201702,10009000,百貨,未達50萬,7713,6940094
201702,10009000,百貨,50(含)-75萬,2471,2450615
201702,10009000,百貨,75(含)-100萬,619,552495
201702,10009000,百貨,100(含)-125萬,246,250030
201702,10009000,百貨,125(含)-150萬,75,74337
201702,10009000,百貨,150(含)-175萬,77,63645
201702,10009000,百貨,175(含)-200萬,23,21120
201702,10009000,百貨,200(含)萬以上,114,175622
201703,10009000,百貨,未達50萬,7720,6952785
201703,10009000,百貨,50(含)-75萬,2290,2058009
201703,10009000,百貨,75(含)-100萬,632,687490
201703,10009000,百貨,100(含)-125萬,243,285185
201703,10009000,百貨,125(含)-150萬,89,132425
201703,10009000,百貨,150(含)-175萬,59,52264
201703,10009000,百貨,175(含)-200萬,28,21836
201703,10009000,百貨,200(含)萬以上,85,115087
201704,10009000,百貨,未達50萬,8579,9622029
201704,10009000,百貨,50(含)-75萬,2558,3226438
201704,10009000,百貨,75(含)-100萬,670,935265
201704,10009000,百貨,100(含)-125萬,265,393806
201704,10009000,百貨,125(含)-150萬,111,106204
201704,10009000,百貨,150(含)-175萬,60,114282
201704,10009000,百貨,175(含)-200萬,29,18157
201704,10009000,百貨,200(含)萬以上,144,185045
201705,10009000,百貨,未達50萬,8719,8917117
201705,10009000,百貨,50(含)-75萬,2703,2940863
201705,10009000,百貨,75(含)-100萬,686,790034
201705,10009000,百貨,100(含)-125萬,258,373751
201705,10009000,百貨,125(含)-150萬,97,102932
201705,10009000,百貨,150(含)-175萬,88,90849
201705,10009000,百貨,175(含)-200萬,34,24055
201705,10009000,百貨,200(含)萬以上,139,155424
201706,10009000,百貨,未達50萬,7802,7337381
201706,10009000,百貨,50(含)-75萬,2294,2514548
201706,10009000,百貨,75(含)-100萬,657,606556
201706,10009000,百貨,100(含)-125萬,226,297171
201706,10009000,百貨,125(含)-150萬,63,63381
201706,10009000,百貨,150(含)-175萬,44,43696
201706,10009000,百貨,175(含)-200萬,34,58908
201706,10009000,百貨,200(含)萬以上,142,165840
201707,10009000,百貨,未達50萬,9062,8562840
201707,10009000,百貨,50(含)-75萬,2841,2665895
201707,10009000,百貨,75(含)-100萬,803,808721
201707,10009000,百貨,100(含)-125萬,299,251049
201707,10009000,百貨,125(含)-150萬,108,98549
201707,10009000,百貨,150(含)-175萬,73,70057
201707,10009000,百貨,175(含)-200萬,38,44422
201707,10009000,百貨,200(含)萬以上,149,240931
201708,10009000,百貨,未達50萬,9137,9262669
201708,10009000,百貨,50(含)-75萬,2706,2688656
201708,10009000,百貨,75(含)-100萬,752,749553
201708,10009000,百貨,100(含)-125萬,290,311721
201708,10009000,百貨,125(含)-150萬,98,115853
201708,10009000,百貨,150(含)-175萬,78,96292
201708,10009000,百貨,175(含)-200萬,39,29912
201708,10009000,百貨,200(含)萬以上,146,188722
201709,10009000,百貨,未達50萬,8546,9882477
201709,10009000,百貨,50(含)-75萬,2460,2925514
201709,10009000,百貨,75(含)-100萬,665,820119
201709,10009000,百貨,100(含)-125萬,232,445086
201709,10009000,百貨,125(含)-150萬,100,158238
201709,10009000,百貨,150(含)-175萬,50,61478
201709,10009000,百貨,175(含)-200萬,34,31181
201709,10009000,百貨,200(含)萬以上,138,226645
201710,10009000,百貨,未達50萬,9029,8910688
201710,10009000,百貨,50(含)-75萬,2793,2849811
201710,10009000,百貨,75(含)-100萬,769,830981
201710,10009000,百貨,100(含)-125萬,270,357724
201710,10009000,百貨,125(含)-150萬,102,98876
201710,10009000,百貨,150(含)-175萬,73,92258
201710,10009000,百貨,175(含)-200萬,34,23599
201710,10009000,百貨,200(含)萬以上,153,239540
201711,10009000,百貨,未達50萬,7941,7005043
201711,10009000,百貨,50(含)-75萬,2478,2191677
201711,10009000,百貨,75(含)-100萬,624,675841
201711,10009000,百貨,100(含)-125萬,231,197811
201711,10009000,百貨,125(含)-150萬,100,112314
201711,10009000,百貨,150(含)-175萬,67,80867
201711,10009000,百貨,175(含)-200萬,34,67861
