年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10009000,文教康樂,未達50萬,15060,46180131
201401,10009000,文教康樂,50(含)-75萬,7668,25307171
201401,10009000,文教康樂,75(含)-100萬,2788,12203443
201401,10009000,文教康樂,100(含)-125萬,1383,5388286
201401,10009000,文教康樂,125(含)-150萬,460,2354133
201401,10009000,文教康樂,150(含)-175萬,384,2232189
201401,10009000,文教康樂,175(含)-200萬,175,907724
201401,10009000,文教康樂,200(含)萬以上,817,6401879
201402,10009000,文教康樂,未達50萬,17208,46729921
201402,10009000,文教康樂,50(含)-75萬,8610,23533457
201402,10009000,文教康樂,75(含)-100萬,3038,8162975
201402,10009000,文教康樂,100(含)-125萬,1518,4902625
201402,10009000,文教康樂,125(含)-150萬,500,1375721
201402,10009000,文教康樂,150(含)-175萬,414,1410673
201402,10009000,文教康樂,175(含)-200萬,157,619520
201402,10009000,文教康樂,200(含)萬以上,862,4091405
201403,10009000,文教康樂,未達50萬,15141,45023542
201403,10009000,文教康樂,50(含)-75萬,6772,24317915
201403,10009000,文教康樂,75(含)-100萬,2230,6877175
201403,10009000,文教康樂,100(含)-125萬,1186,5507175
201403,10009000,文教康樂,125(含)-150萬,402,1703589
201403,10009000,文教康樂,150(含)-175萬,314,1917768
201403,10009000,文教康樂,175(含)-200萬,139,602671
201403,10009000,文教康樂,200(含)萬以上,688,4003903
201404,10009000,文教康樂,未達50萬,14262,48293137
201404,10009000,文教康樂,50(含)-75萬,6615,23466531
201404,10009000,文教康樂,75(含)-100萬,2313,8246136
201404,10009000,文教康樂,100(含)-125萬,1156,6925574
201404,10009000,文教康樂,125(含)-150萬,379,1779369
201404,10009000,文教康樂,150(含)-175萬,307,1991683
201404,10009000,文教康樂,175(含)-200萬,154,592582
201404,10009000,文教康樂,200(含)萬以上,710,5270773
201405,10009000,文教康樂,未達50萬,14206,46702559
201405,10009000,文教康樂,50(含)-75萬,6672,23063284
201405,10009000,文教康樂,75(含)-100萬,2355,8561609
201405,10009000,文教康樂,100(含)-125萬,1226,6782933
201405,10009000,文教康樂,125(含)-150萬,396,1768509
201405,10009000,文教康樂,150(含)-175萬,305,1510315
201405,10009000,文教康樂,175(含)-200萬,159,962353
201405,10009000,文教康樂,200(含)萬以上,665,3932961
201406,10009000,文教康樂,未達50萬,14273,51003315
201406,10009000,文教康樂,50(含)-75萬,6734,28334199
201406,10009000,文教康樂,75(含)-100萬,2389,11896264
201406,10009000,文教康樂,100(含)-125萬,1203,9469685
201406,10009000,文教康樂,125(含)-150萬,353,1982395
201406,10009000,文教康樂,150(含)-175萬,379,2522868
201406,10009000,文教康樂,175(含)-200萬,149,874390
201406,10009000,文教康樂,200(含)萬以上,756,6104478
201407,10009000,文教康樂,未達50萬,15912,51822865
201407,10009000,文教康樂,50(含)-75萬,7977,28060302
201407,10009000,文教康樂,75(含)-100萬,2966,11232082
201407,10009000,文教康樂,100(含)-125萬,1501,6399487
201407,10009000,文教康樂,125(含)-150萬,420,1833314
201407,10009000,文教康樂,150(含)-175萬,381,2208368
201407,10009000,文教康樂,175(含)-200萬,170,825624
201407,10009000,文教康樂,200(含)萬以上,799,7044809
201408,10009000,文教康樂,未達50萬,16530,51046461
201408,10009000,文教康樂,50(含)-75萬,8442,28014337
201408,10009000,文教康樂,75(含)-100萬,2950,9636464
201408,10009000,文教康樂,100(含)-125萬,1363,6686151
201408,10009000,文教康樂,125(含)-150萬,425,1599949
201408,10009000,文教康樂,150(含)-175萬,368,1949857
201408,10009000,文教康樂,175(含)-200萬,198,649574
201408,10009000,文教康樂,200(含)萬以上,831,5993497
201409,10009000,文教康樂,未達50萬,13447,43096153
201409,10009000,文教康樂,50(含)-75萬,6111,20542382
201409,10009000,文教康樂,75(含)-100萬,2132,7062091
201409,10009000,文教康樂,100(含)-125萬,1044,5482612
201409,10009000,文教康樂,125(含)-150萬,377,1316300
201409,10009000,文教康樂,150(含)-175萬,326,1648822
201409,10009000,文教康樂,175(含)-200萬,140,661033
201409,10009000,文教康樂,200(含)萬以上,695,4071048
201410,10009000,文教康樂,未達50萬,14830,48027783
201410,10009000,文教康樂,50(含)-75萬,6865,24213987
201410,10009000,文教康樂,75(含)-100萬,2209,8706999
201410,10009000,文教康樂,100(含)-125萬,1216,6451901
201410,10009000,文教康樂,125(含)-150萬,380,1787762
201410,10009000,文教康樂,150(含)-175萬,381,1803272
201410,10009000,文教康樂,175(含)-200萬,153,593232
201410,10009000,文教康樂,200(含)萬以上,677,5809958
201411,10009000,文教康樂,未達50萬,14374,45578162
201411,10009000,文教康樂,50(含)-75萬,6492,23339108
201411,10009000,文教康樂,75(含)-100萬,2291,8455963
201411,10009000,文教康樂,100(含)-125萬,1211,5905277
201411,10009000,文教康樂,125(含)-150萬,393,1708999
201411,10009000,文教康樂,150(含)-175萬,299,1575492
201411,10009000,文教康樂,175(含)-200萬,160,747400
201411,10009000,文教康樂,200(含)萬以上,739,4402744
201412,10009000,文教康樂,未達50萬,14372,52476545
201412,10009000,文教康樂,50(含)-75萬,6629,26385940
201412,10009000,文教康樂,75(含)-100萬,2393,9277790
201412,10009000,文教康樂,100(含)-125萬,1204,5920152
201412,10009000,文教康樂,125(含)-150萬,432,2998903
201412,10009000,文教康樂,150(含)-175萬,364,2187767
201412,10009000,文教康樂,175(含)-200萬,180,754520
201412,10009000,文教康樂,200(含)萬以上,790,6122287
201501,10009000,文教康樂,未達50萬,15533,52640671
201501,10009000,文教康樂,50(含)-75萬,7532,28293763
201501,10009000,文教康樂,75(含)-100萬,2630,11070112
201501,10009000,文教康樂,100(含)-125萬,1337,6392672
201501,10009000,文教康樂,125(含)-150萬,420,2029582
201501,10009000,文教康樂,150(含)-175萬,376,2081837
201501,10009000,文教康樂,175(含)-200萬,147,1004184
201501,10009000,文教康樂,200(含)萬以上,864,6539683
201502,10009000,文教康樂,未達50萬,16828,58031999
201502,10009000,文教康樂,50(含)-75萬,8319,29899842
201502,10009000,文教康樂,75(含)-100萬,2978,10073393
201502,10009000,文教康樂,100(含)-125萬,1462,5468542
201502,10009000,文教康樂,125(含)-150萬,505,2786477
201502,10009000,文教康樂,150(含)-175萬,443,2459744
201502,10009000,文教康樂,175(含)-200萬,209,832984
201502,10009000,文教康樂,200(含)萬以上,855,6752048
201503,10009000,文教康樂,未達50萬,13773,51689446
201503,10009000,文教康樂,50(含)-75萬,6013,23939794
201503,10009000,文教康樂,75(含)-100萬,2135,8564364
201503,10009000,文教康樂,100(含)-125萬,1135,6742348
201503,10009000,文教康樂,125(含)-150萬,351,1578453
201503,10009000,文教康樂,150(含)-175萬,316,1894462
201503,10009000,文教康樂,175(含)-200萬,158,766109
201503,10009000,文教康樂,200(含)萬以上,691,5410199
201504,10009000,文教康樂,未達50萬,15289,52052354
201504,10009000,文教康樂,50(含)-75萬,7042,26910763
201504,10009000,文教康樂,75(含)-100萬,2490,9237600
201504,10009000,文教康樂,100(含)-125萬,1204,6576782
201504,10009000,文教康樂,125(含)-150萬,416,1628345
201504,10009000,文教康樂,150(含)-175萬,331,1968307
201504,10009000,文教康樂,175(含)-200萬,140,1121562
201504,10009000,文教康樂,200(含)萬以上,777,5774150
201505,10009000,文教康樂,未達50萬,14603,54696896
201505,10009000,文教康樂,50(含)-75萬,6459,24659168
201505,10009000,文教康樂,75(含)-100萬,2291,10295680
201505,10009000,文教康樂,100(含)-125萬,1208,6686435
201505,10009000,文教康樂,125(含)-150萬,384,2192866
201505,10009000,文教康樂,150(含)-175萬,333,2314228
201505,10009000,文教康樂,175(含)-200萬,169,620237
201505,10009000,文教康樂,200(含)萬以上,773,6637011
201506,10009000,文教康樂,未達50萬,13661,49080241
201506,10009000,文教康樂,50(含)-75萬,6228,24613660
201506,10009000,文教康樂,75(含)-100萬,2255,10278610
201506,10009000,文教康樂,100(含)-125萬,1107,6047875
201506,10009000,文教康樂,125(含)-150萬,372,2780758
201506,10009000,文教康樂,150(含)-175萬,285,1454698
201506,10009000,文教康樂,175(含)-200萬,140,1320723
201506,10009000,文教康樂,200(含)萬以上,753,5332536
201507,10009000,文教康樂,未達50萬,15231,59283135
201507,10009000,文教康樂,50(含)-75萬,7286,30879836
201507,10009000,文教康樂,75(含)-100萬,2845,13427338
201507,10009000,文教康樂,100(含)-125萬,1363,7455314
201507,10009000,文教康樂,125(含)-150萬,440,2345059
201507,10009000,文教康樂,150(含)-175萬,395,2640327
201507,10009000,文教康樂,175(含)-200萬,187,1066862
201507,10009000,文教康樂,200(含)萬以上,789,7230653
201508,10009000,文教康樂,未達50萬,15714,55693555
201508,10009000,文教康樂,50(含)-75萬,7392,26676406
201508,10009000,文教康樂,75(含)-100萬,2839,10522450
201508,10009000,文教康樂,100(含)-125萬,1316,6697532
201508,10009000,文教康樂,125(含)-150萬,419,1635945
201508,10009000,文教康樂,150(含)-175萬,378,2294220
201508,10009000,文教康樂,175(含)-200萬,170,681749
201508,10009000,文教康樂,200(含)萬以上,762,5464945
201509,10009000,文教康樂,未達50萬,13766,45868384
201509,10009000,文教康樂,50(含)-75萬,6111,22548133
201509,10009000,文教康樂,75(含)-100萬,2218,7845038
201509,10009000,文教康樂,100(含)-125萬,1081,6112538
201509,10009000,文教康樂,125(含)-150萬,325,1632725
201509,10009000,文教康樂,150(含)-175萬,298,2454335
201509,10009000,文教康樂,175(含)-200萬,174,1470799
201509,10009000,文教康樂,200(含)萬以上,642,6141179
201510,10009000,文教康樂,未達50萬,14956,53096262
201510,10009000,文教康樂,50(含)-75萬,6822,27746192
201510,10009000,文教康樂,75(含)-100萬,2379,9591244
201510,10009000,文教康樂,100(含)-125萬,1189,5880301
201510,10009000,文教康樂,125(含)-150萬,369,2676853
201510,10009000,文教康樂,150(含)-175萬,339,2959089
201510,10009000,文教康樂,175(含)-200萬,147,949423
201510,10009000,文教康樂,200(含)萬以上,702,5078128
201511,10009000,文教康樂,未達50萬,14433,51973488
