年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,臺灣,食,未達50萬,6858805,10354491373
201401,臺灣,食,50(含)-75萬,3430372,5216881530
201401,臺灣,食,75(含)-100萬,1360018,2253039505
201401,臺灣,食,100(含)-125萬,793716,1505264925
201401,臺灣,食,125(含)-150萬,288999,612113855
201401,臺灣,食,150(含)-175萬,246363,605183277
201401,臺灣,食,175(含)-200萬,126457,273869391
201401,臺灣,食,200(含)萬以上,444973,1382841008
201401,臺灣,衣,未達50萬,1359161,3787422987
201401,臺灣,衣,50(含)-75萬,596340,1757531268
201401,臺灣,衣,75(含)-100萬,186581,595903342
201401,臺灣,衣,100(含)-125萬,101147,373747457
201401,臺灣,衣,125(含)-150萬,33396,123871329
201401,臺灣,衣,150(含)-175萬,27605,110262435
201401,臺灣,衣,175(含)-200萬,13306,53768600
201401,臺灣,衣,200(含)萬以上,58835,328566139
201401,臺灣,住,未達50萬,1085083,4888088851
201401,臺灣,住,50(含)-75萬,609903,2788133711
201401,臺灣,住,75(含)-100萬,256126,1272435825
201401,臺灣,住,100(含)-125萬,166532,1015549515
201401,臺灣,住,125(含)-150萬,54944,331578448
201401,臺灣,住,150(含)-175萬,49446,355517445
201401,臺灣,住,175(含)-200萬,24549,161043423
201401,臺灣,住,200(含)萬以上,114906,1106388157
201401,臺灣,行,未達50萬,6957929,7278358374
201401,臺灣,行,50(含)-75萬,3340261,3760140476
201401,臺灣,行,75(含)-100萬,1335055,1630075758
201401,臺灣,行,100(含)-125萬,748531,1056592910
201401,臺灣,行,125(含)-150萬,251012,352415896
201401,臺灣,行,150(含)-175萬,188103,282469881
201401,臺灣,行,175(含)-200萬,99264,147221360
201401,臺灣,行,200(含)萬以上,369563,648217239
201401,臺灣,文教康樂,未達50萬,1836314,8524756386
201401,臺灣,文教康樂,50(含)-75萬,960206,4795622168
201401,臺灣,文教康樂,75(含)-100萬,361567,2120425386
201401,臺灣,文教康樂,100(含)-125萬,235166,1702671668
201401,臺灣,文教康樂,125(含)-150萬,76719,585158153
201401,臺灣,文教康樂,150(含)-175萬,68605,565039164
201401,臺灣,文教康樂,175(含)-200萬,37190,320279256
201401,臺灣,文教康樂,200(含)萬以上,167011,1950430963
201401,臺灣,百貨,未達50萬,3522519,9222976972
201401,臺灣,百貨,50(含)-75萬,1733078,4933259045
201401,臺灣,百貨,75(含)-100萬,608484,1910254947
201401,臺灣,百貨,100(含)-125萬,377422,1342824171
201401,臺灣,百貨,125(含)-150萬,127783,472546922
201401,臺灣,百貨,150(含)-175萬,108658,418035628
201401,臺灣,百貨,175(含)-200萬,59433,237154297
201401,臺灣,百貨,200(含)萬以上,244853,1271725158
201401,臺灣,其他,未達50萬,8100712,25187505096
201401,臺灣,其他,50(含)-75萬,3968054,12136389683
