年月,地區,產業別,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,臺灣,百貨,6341987,20745479217
201402,臺灣,百貨,5838375,19418754412
201403,臺灣,百貨,5640651,17107334738
201404,臺灣,百貨,5924210,20064160343
201405,臺灣,百貨,6199395,19697036155
201406,臺灣,百貨,6243149,18539744472
201407,臺灣,百貨,6418059,18439191634
201408,臺灣,百貨,6144018,18061255569
201409,臺灣,百貨,5886255,19513753879
201410,臺灣,百貨,7486952,28071119162
201411,臺灣,百貨,7062308,25623600070
201412,臺灣,百貨,7536036,24378823371
201501,臺灣,百貨,6155049,19854404013
201502,臺灣,百貨,6615802,23076797019
201503,臺灣,百貨,5884178,18688796828
201504,臺灣,百貨,6096469,20382200810
201505,臺灣,百貨,6275307,19911872953
201506,臺灣,百貨,6512493,19151550397
201507,臺灣,百貨,6442586,18109358346
201508,臺灣,百貨,6524329,18645668746
201509,臺灣,百貨,5893785,18869244332
201510,臺灣,百貨,7456588,27566506074
201511,臺灣,百貨,7423239,27399090311
201512,臺灣,百貨,7220270,22656432612
201601,臺灣,百貨,6850672,21789988198
201602,臺灣,百貨,6780405,22759440907
201603,臺灣,百貨,6088873,18608450982
201604,臺灣,百貨,6305201,20699938043
201605,臺灣,百貨,6703623,20478506037
201606,臺灣,百貨,6404773,18300137442
201607,臺灣,百貨,6482782,18381890103
201608,臺灣,百貨,6705103,18243206033
201609,臺灣,百貨,5757485,18251864724
201610,臺灣,百貨,7340115,25947822487
201611,臺灣,百貨,7090680,25516245904
201612,臺灣,百貨,7000187,21497752112
201701,臺灣,百貨,6935092,21807307907
201702,臺灣,百貨,5634807,17278020121
201703,臺灣,百貨,5985744,17495738949
201704,臺灣,百貨,6029277,18953542229
201705,臺灣,百貨,6909519,20227011397
201706,臺灣,百貨,6086263,16497199647
201707,臺灣,百貨,6632136,17836476629
201708,臺灣,百貨,6565525,17392691497
201709,臺灣,百貨,5782646,17394081340
201710,臺灣,百貨,7530986,26535393069
201711,臺灣,百貨,7374713,27097836881
201712,臺灣,百貨,7251022,22070011803
201801,臺灣,百貨,6550440,19330812469
201802,臺灣,百貨,6868065,21662788932
201803,臺灣,百貨,5864609,17525010558
201804,臺灣,百貨,6450903,20281255944
201805,臺灣,百貨,6690867,20320141210
201806,臺灣,百貨,6229160,17182768374
201807,臺灣,百貨,6896477,18260784885
201808,臺灣,百貨,6785095,18086946031
201809,臺灣,百貨,6173458,18456967745
201810,臺灣,百貨,7866016,28037963798
201811,臺灣,百貨,7629575,26585118752
201812,臺灣,百貨,7665427,22328454263
201901,臺灣,百貨,8047073,23199843427
201902,臺灣,百貨,7058118,20796659444
201903,臺灣,百貨,6780608,19229471757
201904,臺灣,百貨,7435937,22543664126
201905,臺灣,百貨,7396855,21812125638
201906,臺灣,百貨,7431741,19957604637
201907,臺灣,百貨,8346513,21661452018
201908,臺灣,百貨,8128156,21038126646
201909,臺灣,百貨,7791206,22502324659
201910,臺灣,百貨,8913849,30364559593
201911,臺灣,百貨,8919382,30764495453
201912,臺灣,百貨,9115476,25761521930
202001,臺灣,百貨,8956721,26053382227
202002,臺灣,百貨,6148032,16355066553
202003,臺灣,百貨,6393757,17261748222
202004,臺灣,百貨,5727676,16890236291
202005,臺灣,百貨,7249125,20227214813
202006,臺灣,百貨,8110749,19948208930
202007,臺灣,百貨,7953368,19856770169
202008,臺灣,百貨,8567517,20698385541
202009,臺灣,百貨,7469413,21779577103
202010,臺灣,百貨,8744925,29884338320
202011,臺灣,百貨,9176912,30268904147
202012,臺灣,百貨,10459780,27186907168
202101,臺灣,百貨,9336412,25767859195
202102,臺灣,百貨,18091512,33911019399
202103,臺灣,百貨,19234554,33331303158
202104,臺灣,百貨,18183900,34708270989
202105,臺灣,百貨,18959388,31627401530
202106,臺灣,百貨,14858274,23400435007
202107,臺灣,百貨,16315962,26349075874
202108,臺灣,百貨,20651415,33946997574
202109,臺灣,百貨,19331187,33443152878
202110,臺灣,百貨,21180927,42109531869
202111,臺灣,百貨,22597285,45494257263
202112,臺灣,百貨,21972811,39874107954
202201,臺灣,百貨,21672024,40862053479
202202,臺灣,百貨,19117159,34281901314
202203,臺灣,百貨,21573885,36757736195
202204,臺灣,百貨,19958275,36011909871
202205,臺灣,百貨,21390276,33728205575
202206,臺灣,百貨,22208858,33868937558
202207,臺灣,百貨,24470604,38587279749
202208,臺灣,百貨,26198542,40522687998
202209,臺灣,百貨,24015016,39882851071
202210,臺灣,百貨,26177714,48550218826
202211,臺灣,百貨,25636730,50418924005
202212,臺灣,百貨,27413348,47093863578
202301,臺灣,百貨,28388921,51384622729
202302,臺灣,百貨,21690050,35951576385
202303,臺灣,百貨,25903599,40649895934
202304,臺灣,百貨,25111844,42869133627
202305,臺灣,百貨,27348806,44101833558
202306,臺灣,百貨,26660100,40310198333
202307,臺灣,百貨,28913943,42525573145
202308,臺灣,百貨,29460188,43111163747
