年月,地區,產業別,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,臺灣,行,9892502,12115598259
201402,臺灣,行,10028161,12148604023
201403,臺灣,行,11131797,13685343800
201404,臺灣,行,10538755,12759323305
201405,臺灣,行,10719015,13149587005
201406,臺灣,行,11299749,13913346755
201407,臺灣,行,11504971,14235631216
201408,臺灣,行,10869107,13001523647
201409,臺灣,行,11752208,13782773347
201410,臺灣,行,11335913,12924119861
201411,臺灣,行,10243203,11431710397
201412,臺灣,行,12091608,13011346998
201501,臺灣,行,10715536,10918381285
201502,臺灣,行,9840567,9855656214
201503,臺灣,行,11731447,12282680390
201504,臺灣,行,10808682,11283214854
201505,臺灣,行,10717411,11610080502
201506,臺灣,行,12130904,12949466548
201507,臺灣,行,11816855,12578679448
201508,臺灣,行,11412856,11566062640
201509,臺灣,行,11451808,11351177326
201510,臺灣,行,11316540,11489896951
201511,臺灣,行,11918309,11809675493
201512,臺灣,行,11842268,11781134942
201601,臺灣,行,11486075,11019432724
201602,臺灣,行,10018222,9320175084
201603,臺灣,行,12708053,12722706166
201604,臺灣,行,11270025,11117774333
201605,臺灣,行,12775126,12893139076
201606,臺灣,行,12110171,12477942331
201607,臺灣,行,11759637,11978257443
201608,臺灣,行,13495948,13143726599
201609,臺灣,行,11101140,11092020706
201610,臺灣,行,11975668,12440803555
201611,臺灣,行,11775731,12317272211
201612,臺灣,行,11759825,12581668175
201701,臺灣,行,10837010,11917051232
201702,臺灣,行,10751356,11665390351
201703,臺灣,行,13710576,14922274555
201704,臺灣,行,11075448,11743917304
201705,臺灣,行,13293456,13608481609
201706,臺灣,行,11745881,12660107852
201707,臺灣,行,12705531,13180620111
201708,臺灣,行,12897118,13651664385
201709,臺灣,行,12432509,13149628617
201710,臺灣,行,12880198,14360577049
201711,臺灣,行,12441787,13783272200
201712,臺灣,行,12502852,14222139900
201801,臺灣,行,13913190,15881595903
201802,臺灣,行,11366379,12478158849
201803,臺灣,行,13606915,15570863194
201804,臺灣,行,13124868,14538505639
201805,臺灣,行,13642081,15523627618
201806,臺灣,行,12801241,14511074154
201807,臺灣,行,14612119,16891348114
201808,臺灣,行,13878026,15818934520
201809,臺灣,行,12870499,14566421167
201810,臺灣,行,15012106,16955026345
201811,臺灣,行,13788521,15396434877
201812,臺灣,行,13208214,14997902096
201901,臺灣,行,15691264,17001906996
201902,臺灣,行,11975660,13141702546
201903,臺灣,行,13908366,15989300397
201904,臺灣,行,15218382,16913173475
201905,臺灣,行,14813235,17464138505
201906,臺灣,行,13772620,15770044073
201907,臺灣,行,16521042,18775981674
201908,臺灣,行,14839913,16222318857
201909,臺灣,行,15806988,16745896249
201910,臺灣,行,15684081,17177291346
201911,臺灣,行,14935039,16705207641
201912,臺灣,行,17050476,18563572401
202001,臺灣,行,15509351,16009004825
202002,臺灣,行,12528848,11123270721
202003,臺灣,行,15183213,11154437154
202004,臺灣,行,12718190,7884561262
202005,臺灣,行,13550206,9272166885
202006,臺灣,行,16518075,13182945859
202007,臺灣,行,15995966,13489768195
202008,臺灣,行,16148613,13212883990
202009,臺灣,行,15878579,12982593853
202010,臺灣,行,15630087,12509629294
202011,臺灣,行,16465097,13259593026
202012,臺灣,行,18104826,16291671147
202101,臺灣,行,17529553,15340116649
202102,臺灣,行,17367953,16825228177
202103,臺灣,行,22204822,21849356354
202104,臺灣,行,19815964,19461135917
202105,臺灣,行,16856920,16455279802
202106,臺灣,行,10928661,12080405998
202107,臺灣,行,13895986,15310859644
202108,臺灣,行,18697625,19030135408
202109,臺灣,行,19128794,18970999766
202110,臺灣,行,20742627,20192014639
202111,臺灣,行,22369818,21314910064
202112,臺灣,行,22595125,21533002899
202201,臺灣,行,21354001,20856471938
202202,臺灣,行,18701556,17154124589
202203,臺灣,行,24763039,23946084783
202204,臺灣,行,20050287,19128719640
202205,臺灣,行,18989264,18027881595
202206,臺灣,行,19945761,19558759303
202207,臺灣,行,22402342,22045168820
202208,臺灣,行,25165110,23762584350
202209,臺灣,行,23140032,22418106990
202210,臺灣,行,24265753,23848912863
202211,臺灣,行,24034449,24229520994
202212,臺灣,行,25516687,26759920227
202301,臺灣,行,24926144,24559000240
202302,臺灣,行,20870037,23515660929
202303,臺灣,行,27920682,29323808911
202304,臺灣,行,24071303,24969970078
202305,臺灣,行,27319905,28054729624
202306,臺灣,行,25746147,26517786415
202307,臺灣,行,27130701,27656569440
202308,臺灣,行,27261604,28123394851
