年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,衣,軍警人員一,1207,3331150
201401,10007000,衣,軍警人員二,395,1232355
201401,10007000,衣,其他公共行政類,21802,63169210
201401,10007000,衣,教育類,19969,54163639
201401,10007000,衣,工商及服務類,129666,388248437
201401,10007000,衣,專業及技術服務類,36533,104300947
201401,10007000,衣,其他,51503,151596901
201402,10007000,衣,軍警人員一,753,1853952
201402,10007000,衣,軍警人員二,197,457228
201402,10007000,衣,其他公共行政類,13904,37160940
201402,10007000,衣,教育類,12873,32947144
201402,10007000,衣,工商及服務類,80349,224488469
201402,10007000,衣,專業及技術服務類,23211,62000029
201402,10007000,衣,其他,32886,89169161
201403,10007000,衣,軍警人員一,786,1953176
201403,10007000,衣,軍警人員二,245,579696
201403,10007000,衣,其他公共行政類,13800,36664456
201403,10007000,衣,教育類,14269,34869901
201403,10007000,衣,工商及服務類,89909,249320793
201403,10007000,衣,專業及技術服務類,26732,71019790
201403,10007000,衣,其他,37002,101305943
201404,10007000,衣,軍警人員一,777,1920951
201404,10007000,衣,軍警人員二,238,589045
201404,10007000,衣,其他公共行政類,12764,32687457
201404,10007000,衣,教育類,13443,32044856
201404,10007000,衣,工商及服務類,85823,240217144
201404,10007000,衣,專業及技術服務類,26274,69733937
201404,10007000,衣,其他,35570,96255073
201405,10007000,衣,軍警人員一,832,2073689
201405,10007000,衣,軍警人員二,255,643446
201405,10007000,衣,其他公共行政類,13184,33957291
201405,10007000,衣,教育類,14600,35107790
201405,10007000,衣,工商及服務類,92125,257414174
201405,10007000,衣,專業及技術服務類,27989,72709552
201405,10007000,衣,其他,37909,103756181
201406,10007000,衣,軍警人員一,885,2240800
201406,10007000,衣,軍警人員二,284,680961
201406,10007000,衣,其他公共行政類,13290,33322646
201406,10007000,衣,教育類,14728,34606825
201406,10007000,衣,工商及服務類,94642,252912862
201406,10007000,衣,專業及技術服務類,28880,73487284
201406,10007000,衣,其他,39266,104381611
201407,10007000,衣,軍警人員一,934,2073395
201407,10007000,衣,軍警人員二,300,729714
201407,10007000,衣,其他公共行政類,16605,40589525
201407,10007000,衣,教育類,17257,38117757
201407,10007000,衣,工商及服務類,101239,252562410
201407,10007000,衣,專業及技術服務類,31719,74570742
201407,10007000,衣,其他,42194,101586130
201408,10007000,衣,軍警人員一,954,2251590
201408,10007000,衣,軍警人員二,291,643362
201408,10007000,衣,其他公共行政類,15781,37416955
201408,10007000,衣,教育類,17063,37817372
201408,10007000,衣,工商及服務類,98820,244352100
201408,10007000,衣,專業及技術服務類,30944,71088367
201408,10007000,衣,其他,41207,98156078
201409,10007000,衣,軍警人員一,841,2129700
201409,10007000,衣,軍警人員二,233,546398
201409,10007000,衣,其他公共行政類,12618,32105895
201409,10007000,衣,教育類,13640,32532121
201409,10007000,衣,工商及服務類,87507,237748445
201409,10007000,衣,專業及技術服務類,27637,69896626
201409,10007000,衣,其他,36104,95422828
201410,10007000,衣,軍警人員一,903,2370252
201410,10007000,衣,軍警人員二,277,763447
201410,10007000,衣,其他公共行政類,13968,36952137
201410,10007000,衣,教育類,14798,37117134
201410,10007000,衣,工商及服務類,92633,262003247
201410,10007000,衣,專業及技術服務類,29443,80495511
201410,10007000,衣,其他,37407,105935753
201411,10007000,衣,軍警人員一,928,2468762
201411,10007000,衣,軍警人員二,234,690003
201411,10007000,衣,其他公共行政類,12748,37087814
201411,10007000,衣,教育類,14371,38935087
201411,10007000,衣,工商及服務類,90719,275843505
201411,10007000,衣,專業及技術服務類,28651,84396767
201411,10007000,衣,其他,36894,112232960
201412,10007000,衣,軍警人員一,1243,3357896
201412,10007000,衣,軍警人員二,361,977774
201412,10007000,衣,其他公共行政類,16095,46385811
201412,10007000,衣,教育類,19083,52255058
201412,10007000,衣,工商及服務類,128566,399142892
201412,10007000,衣,專業及技術服務類,40211,117837524
201412,10007000,衣,其他,52586,161627686
201501,10007000,衣,軍警人員一,1139,3040607
201501,10007000,衣,軍警人員二,366,873362
201501,10007000,衣,其他公共行政類,17723,51219880
201501,10007000,衣,教育類,18178,48587745
201501,10007000,衣,工商及服務類,113571,345234072
201501,10007000,衣,專業及技術服務類,35635,104298153
201501,10007000,衣,其他,45872,137288756
201502,10007000,衣,軍警人員一,1168,3373784
201502,10007000,衣,軍警人員二,312,1002585
201502,10007000,衣,其他公共行政類,20058,56201107
201502,10007000,衣,教育類,18582,49539439
201502,10007000,衣,工商及服務類,117896,349560797
201502,10007000,衣,專業及技術服務類,35891,102511569
201502,10007000,衣,其他,47652,137469602
201503,10007000,衣,軍警人員一,907,2374270
201503,10007000,衣,軍警人員二,265,627324
201503,10007000,衣,其他公共行政類,14170,38248357
201503,10007000,衣,教育類,15450,38733822
201503,10007000,衣,工商及服務類,96421,271530195
201503,10007000,衣,專業及技術服務類,31632,84677537
201503,10007000,衣,其他,40304,114332306
201504,10007000,衣,軍警人員一,937,2403364
201504,10007000,衣,軍警人員二,305,729559
201504,10007000,衣,其他公共行政類,14663,37360306
201504,10007000,衣,教育類,15884,37664731
201504,10007000,衣,工商及服務類,103688,285768638
201504,10007000,衣,專業及技術服務類,33120,86548231
201504,10007000,衣,其他,41824,113949031
201505,10007000,衣,軍警人員一,1198,2754224
201505,10007000,衣,軍警人員二,332,774108
201505,10007000,衣,其他公共行政類,16099,38804935
201505,10007000,衣,教育類,17987,41758436
201505,10007000,衣,工商及服務類,118355,304528613
201505,10007000,衣,專業及技術服務類,37042,91268652
201505,10007000,衣,其他,48912,124574914
201506,10007000,衣,軍警人員一,1183,2518499
201506,10007000,衣,軍警人員二,341,729719
201506,10007000,衣,其他公共行政類,16658,39432301
201506,10007000,衣,教育類,19018,42094062
201506,10007000,衣,工商及服務類,123508,302765892
201506,10007000,衣,專業及技術服務類,39341,92905382
201506,10007000,衣,其他,50862,124017170
201507,10007000,衣,軍警人員一,1137,2384452
201507,10007000,衣,軍警人員二,421,806329
201507,10007000,衣,其他公共行政類,18633,44271709
201507,10007000,衣,教育類,19804,42734126
201507,10007000,衣,工商及服務類,119208,281537728
201507,10007000,衣,專業及技術服務類,38282,86990974
201507,10007000,衣,其他,50233,117422253
201508,10007000,衣,軍警人員一,1150,2283520
201508,10007000,衣,軍警人員二,344,810980
201508,10007000,衣,其他公共行政類,17066,39734423
201508,10007000,衣,教育類,18604,40814043
201508,10007000,衣,工商及服務類,114886,269498649
201508,10007000,衣,專業及技術服務類,36399,83077921
201508,10007000,衣,其他,47431,108856843
201509,10007000,衣,軍警人員一,997,2402238
201509,10007000,衣,軍警人員二,291,697132
201509,10007000,衣,其他公共行政類,14913,37587099
