年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,百貨,軍警人員一,1895,3673605
201401,10007000,百貨,軍警人員二,581,1112489
201401,10007000,百貨,其他公共行政類,17089,30881084
201401,10007000,百貨,教育類,28384,47922198
201401,10007000,百貨,工商及服務類,176871,338989730
201401,10007000,百貨,專業及技術服務類,58011,105227023
201401,10007000,百貨,其他,75343,137469569
201402,10007000,百貨,軍警人員一,1450,2755764
201402,10007000,百貨,軍警人員二,444,693652
201402,10007000,百貨,其他公共行政類,14319,23012688
201402,10007000,百貨,教育類,22617,36543983
201402,10007000,百貨,工商及服務類,141552,257527125
201402,10007000,百貨,專業及技術服務類,46396,79048752
201402,10007000,百貨,其他,59084,103613852
201403,10007000,百貨,軍警人員一,1460,2581057
201403,10007000,百貨,軍警人員二,487,858408
201403,10007000,百貨,其他公共行政類,15046,25222232
201403,10007000,百貨,教育類,24816,41220647
201403,10007000,百貨,工商及服務類,153699,286308075
201403,10007000,百貨,專業及技術服務類,51801,91276267
201403,10007000,百貨,其他,65442,116652053
201404,10007000,百貨,軍警人員一,1582,2480685
201404,10007000,百貨,軍警人員二,461,724445
201404,10007000,百貨,其他公共行政類,15192,25239376
201404,10007000,百貨,教育類,24992,41580515
201404,10007000,百貨,工商及服務類,151639,277826571
201404,10007000,百貨,專業及技術服務類,51668,89398084
201404,10007000,百貨,其他,67383,120887107
201405,10007000,百貨,軍警人員一,1756,2867490
201405,10007000,百貨,軍警人員二,523,898416
201405,10007000,百貨,其他公共行政類,15587,25176605
201405,10007000,百貨,教育類,25134,38996319
201405,10007000,百貨,工商及服務類,159764,273614129
201405,10007000,百貨,專業及技術服務類,54076,87231190
201405,10007000,百貨,其他,70057,117088868
201406,10007000,百貨,軍警人員一,1696,2522298
201406,10007000,百貨,軍警人員二,500,843034
201406,10007000,百貨,其他公共行政類,15387,23044191
201406,10007000,百貨,教育類,25516,37145247
201406,10007000,百貨,工商及服務類,160035,257094137
201406,10007000,百貨,專業及技術服務類,56001,85579588
201406,10007000,百貨,其他,70180,111478192
201407,10007000,百貨,軍警人員一,1672,2585821
201407,10007000,百貨,軍警人員二,505,678653
201407,10007000,百貨,其他公共行政類,15522,23190152
201407,10007000,百貨,教育類,27011,37897840
201407,10007000,百貨,工商及服務類,158542,247722411
201407,10007000,百貨,專業及技術服務類,55819,82986250
201407,10007000,百貨,其他,70739,110075602
201408,10007000,百貨,軍警人員一,1704,2770287
201408,10007000,百貨,軍警人員二,511,677094
201408,10007000,百貨,其他公共行政類,16545,24669771
201408,10007000,百貨,教育類,28364,40090351
201408,10007000,百貨,工商及服務類,163034,258580173
201408,10007000,百貨,專業及技術服務類,57216,85816348
201408,10007000,百貨,其他,70436,108063214
201409,10007000,百貨,軍警人員一,1474,2598264
201409,10007000,百貨,軍警人員二,478,772616
201409,10007000,百貨,其他公共行政類,14995,28645410
201409,10007000,百貨,教育類,25358,46137703
201409,10007000,百貨,工商及服務類,158820,319583358
201409,10007000,百貨,專業及技術服務類,55683,107677881
201409,10007000,百貨,其他,67877,138427382
201410,10007000,百貨,軍警人員一,1786,3454435
201410,10007000,百貨,軍警人員二,585,1130774
201410,10007000,百貨,其他公共行政類,17072,31318238
201410,10007000,百貨,教育類,28311,49140491
201410,10007000,百貨,工商及服務類,173990,339056025
201410,10007000,百貨,專業及技術服務類,60934,110382873
201410,10007000,百貨,其他,75436,142903212
201411,10007000,百貨,軍警人員一,1547,2500731
201411,10007000,百貨,軍警人員二,480,697589
201411,10007000,百貨,其他公共行政類,14458,23508377
201411,10007000,百貨,教育類,23995,36220365
201411,10007000,百貨,工商及服務類,154918,264829224
201411,10007000,百貨,專業及技術服務類,54280,88460237
201411,10007000,百貨,其他,64564,109737224
201412,10007000,百貨,軍警人員一,2002,3533405
201412,10007000,百貨,軍警人員二,620,925694
201412,10007000,百貨,其他公共行政類,17218,28717045
201412,10007000,百貨,教育類,29652,46715806
201412,10007000,百貨,工商及服務類,188763,332272631
201412,10007000,百貨,專業及技術服務類,66190,111144756
201412,10007000,百貨,其他,80409,142829390
201501,10007000,百貨,軍警人員一,1743,3346105
201501,10007000,百貨,軍警人員二,551,822382
201501,10007000,百貨,其他公共行政類,16046,28133201
201501,10007000,百貨,教育類,26211,41104760
201501,10007000,百貨,工商及服務類,163882,286245332
201501,10007000,百貨,專業及技術服務類,58065,94159839
201501,10007000,百貨,其他,70136,119375470
201502,10007000,百貨,軍警人員一,1887,3526823
201502,10007000,百貨,軍警人員二,550,973792
201502,10007000,百貨,其他公共行政類,17579,30889286
201502,10007000,百貨,教育類,28153,46018686
201502,10007000,百貨,工商及服務類,173807,321711693
201502,10007000,百貨,專業及技術服務類,63202,109218506
201502,10007000,百貨,其他,72765,131845826
201503,10007000,百貨,軍警人員一,1517,2674108
201503,10007000,百貨,軍警人員二,522,743876
201503,10007000,百貨,其他公共行政類,13888,24070676
201503,10007000,百貨,教育類,24427,41188135
201503,10007000,百貨,工商及服務類,150110,279939549
201503,10007000,百貨,專業及技術服務類,56432,95227189
201503,10007000,百貨,其他,66342,120895382
201504,10007000,百貨,軍警人員一,1722,2748054
201504,10007000,百貨,軍警人員二,564,1008025
201504,10007000,百貨,其他公共行政類,15338,25942278
201504,10007000,百貨,教育類,25853,38809016
201504,10007000,百貨,工商及服務類,161850,281348146
201504,10007000,百貨,專業及技術服務類,61418,97816745
201504,10007000,百貨,其他,69335,117590250
201505,10007000,百貨,軍警人員一,1848,3009417
201505,10007000,百貨,軍警人員二,624,805210
201505,10007000,百貨,其他公共行政類,15701,24588703
201505,10007000,百貨,教育類,26698,37222976
201505,10007000,百貨,工商及服務類,169502,276190614
201505,10007000,百貨,專業及技術服務類,63697,95321953
201505,10007000,百貨,其他,71962,115024801
201506,10007000,百貨,軍警人員一,1972,3445323
201506,10007000,百貨,軍警人員二,625,854144
201506,10007000,百貨,其他公共行政類,18416,30401966
201506,10007000,百貨,教育類,29859,43171457
201506,10007000,百貨,工商及服務類,189028,327934086
201506,10007000,百貨,專業及技術服務類,71419,114849843
201506,10007000,百貨,其他,82419,143411743
201507,10007000,百貨,軍警人員一,2082,3526679
201507,10007000,百貨,軍警人員二,696,1020260
201507,10007000,百貨,其他公共行政類,20742,33510035
201507,10007000,百貨,教育類,34011,50129026
201507,10007000,百貨,工商及服務類,198236,344232032
201507,10007000,百貨,專業及技術服務類,75544,120655635
201507,10007000,百貨,其他,88161,152040744
201508,10007000,百貨,軍警人員一,1984,3624067
201508,10007000,百貨,軍警人員二,622,849197
201508,10007000,百貨,其他公共行政類,19488,31398734
201508,10007000,百貨,教育類,31746,47775478
201508,10007000,百貨,工商及服務類,185800,330527160
201508,10007000,百貨,專業及技術服務類,68327,111916495
201508,10007000,百貨,其他,81565,145920292
201509,10007000,百貨,軍警人員一,1561,3272140
201509,10007000,百貨,軍警人員二,549,993047
201509,10007000,百貨,其他公共行政類,15795,34234471
201509,10007000,百貨,教育類,27408,53321278
201509,10007000,百貨,工商及服務類,163110,382272785
201509,10007000,百貨,專業及技術服務類,57662,126717723
201509,10007000,百貨,其他,71524,164844006
201510,10007000,百貨,軍警人員一,1998,4251194
201510,10007000,百貨,軍警人員二,679,1374130
201510,10007000,百貨,其他公共行政類,19718,43482569
201510,10007000,百貨,教育類,32045,61359874
201510,10007000,百貨,工商及服務類,196825,467789987
201510,10007000,百貨,專業及技術服務類,69033,152091801
201510,10007000,百貨,其他,86444,203780584
201511,10007000,百貨,軍警人員一,1511,2636265
201511,10007000,百貨,軍警人員二,523,898483
201511,10007000,百貨,其他公共行政類,14061,27184305
201511,10007000,百貨,教育類,24336,37793099
201511,10007000,百貨,工商及服務類,146995,278402868
201511,10007000,百貨,專業及技術服務類,52200,90934586
201511,10007000,百貨,其他,63853,120195849
201512,10007000,百貨,軍警人員一,1823,3600242
201512,10007000,百貨,軍警人員二,593,999461
201512,10007000,百貨,其他公共行政類,16407,29165774
201512,10007000,百貨,教育類,29160,46098816
201512,10007000,百貨,工商及服務類,174201,337902093
201512,10007000,百貨,專業及技術服務類,61829,113483182
201512,10007000,百貨,其他,76256,148797673
201601,10007000,百貨,軍警人員一,187,205883
201601,10007000,百貨,軍警人員二,70,50993
201601,10007000,百貨,其他公共行政類,2122,3124845
201601,10007000,百貨,教育類,2607,2951762
201601,10007000,百貨,工商及服務類,20027,26004566
201601,10007000,百貨,專業及技術服務類,6201,7018592
201601,10007000,百貨,其他,8274,10007740
201602,10007000,百貨,軍警人員一,187,207990
201602,10007000,百貨,軍警人員二,42,34506
201602,10007000,百貨,其他公共行政類,2044,2169998
201602,10007000,百貨,教育類,2333,2200188
201602,10007000,百貨,工商及服務類,17986,19611622
201602,10007000,百貨,專業及技術服務類,5587,5949600
201602,10007000,百貨,其他,7241,7466674
201603,10007000,百貨,軍警人員一,126,112056
201603,10007000,百貨,軍警人員二,52,56438
201603,10007000,百貨,其他公共行政類,1788,1576081
201603,10007000,百貨,教育類,2090,1892261
201603,10007000,百貨,工商及服務類,16081,15219183
201603,10007000,百貨,專業及技術服務類,4956,4178322
201603,10007000,百貨,其他,6739,6140945
201604,10007000,百貨,軍警人員一,136,132485
201604,10007000,百貨,軍警人員二,64,96790
201604,10007000,百貨,其他公共行政類,2072,2685023
201604,10007000,百貨,教育類,2425,2403408
201604,10007000,百貨,工商及服務類,18612,22056635
201604,10007000,百貨,專業及技術服務類,5647,6494168
201604,10007000,百貨,其他,7702,8764748
201605,10007000,百貨,軍警人員一,185,224612
201605,10007000,百貨,軍警人員二,52,139764
201605,10007000,百貨,其他公共行政類,2373,2540692
201605,10007000,百貨,教育類,2789,2640923
201605,10007000,百貨,工商及服務類,20946,23540827
201605,10007000,百貨,專業及技術服務類,6299,6606142
201605,10007000,百貨,其他,8577,8964902
201606,10007000,百貨,軍警人員一,188,355012
201606,10007000,百貨,軍警人員二,71,134471
201606,10007000,百貨,其他公共行政類,2486,2301018
201606,10007000,百貨,教育類,2839,2494023
201606,10007000,百貨,工商及服務類,22307,21910903
201606,10007000,百貨,專業及技術服務類,6912,6922932
201606,10007000,百貨,其他,9432,9440138
