年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,文教康樂,軍警人員一,3219,10478772
201401,10007000,文教康樂,軍警人員二,1104,2908128
201401,10007000,文教康樂,其他公共行政類,31720,130612616
201401,10007000,文教康樂,教育類,31093,119363108
201401,10007000,文教康樂,工商及服務類,211333,963887417
201401,10007000,文教康樂,專業及技術服務類,51531,259134781
201401,10007000,文教康樂,其他,66340,321959608
201402,10007000,文教康樂,軍警人員一,3528,10892183
201402,10007000,文教康樂,軍警人員二,1186,3690362
201402,10007000,文教康樂,其他公共行政類,29962,137100762
201402,10007000,文教康樂,教育類,31209,117751983
201402,10007000,文教康樂,工商及服務類,227023,1021568171
201402,10007000,文教康樂,專業及技術服務類,53090,273630596
201402,10007000,文教康樂,其他,67040,340687215
201403,10007000,文教康樂,軍警人員一,3786,9535710
201403,10007000,文教康樂,軍警人員二,1281,2843997
201403,10007000,文教康樂,其他公共行政類,28697,101511310
201403,10007000,文教康樂,教育類,31970,92556056
201403,10007000,文教康樂,工商及服務類,242178,911998186
201403,10007000,文教康樂,專業及技術服務類,56084,237505128
201403,10007000,文教康樂,其他,68073,301674047
201404,10007000,文教康樂,軍警人員一,3478,9057403
201404,10007000,文教康樂,軍警人員二,1183,3057421
201404,10007000,文教康樂,其他公共行政類,27137,107032625
201404,10007000,文教康樂,教育類,29934,94911954
201404,10007000,文教康樂,工商及服務類,226428,934951640
201404,10007000,文教康樂,專業及技術服務類,54182,250371736
201404,10007000,文教康樂,其他,65642,334089624
201405,10007000,文教康樂,軍警人員一,3522,10268721
201405,10007000,文教康樂,軍警人員二,1211,3319533
201405,10007000,文教康樂,其他公共行政類,26967,118964058
201405,10007000,文教康樂,教育類,30427,107609088
201405,10007000,文教康樂,工商及服務類,227947,998609832
201405,10007000,文教康樂,專業及技術服務類,55089,272476316
201405,10007000,文教康樂,其他,65805,356865992
201406,10007000,文教康樂,軍警人員一,2438,9276987
201406,10007000,文教康樂,軍警人員二,775,2943287
